local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2551.7480599496985	30592	25600	40	72.74756065400844	60.75105485232068	30592	0	11.883130599558353	40	32.0	1.0
		3068.4720250383507	61312	56320	88	156.697265625	180.0	61312	0	2.497076513245702	88	32.0	1.0
		3067.9180775586074	92032	87040	136	178.5498046875	300.0	92032	0	0.3622312364168465	136	32.0	1.0
223.07692307692307	452.84615384615387	3063.1650088561446	122496	117760	184	204.16360294117646	414.85730698529414	122496	13	0.6523754446146389	184	32.0	1.0
256.75	546.65	3056.5979471319106	152576	148480	232	228.97307180851064	479.679454787234	152576	54	1.6428347698723276	232	32.0	1.0
293.852657004831	656.0869565217391	3060.6349508359945	182016	179200	280	227.578125	446.12795516304345	182016	140	1.0121809826232493	280	32.0	1.0
351.2037037037037	757.6481481481482	3064.190023178152	211712	209920	328	166.58203125	334.75141433189657	211712	199	0.8928814468284448	328	32.0	1.0
406.9512195121951	882.7560975609756	2935.563561055991	241408	239360	373	174.32415140086206	301.41480334051727	241408	243	2.9785596152146656	373	32.0	1.0
341.2121212121212	632.7121212121212	2931.026083242024	271872	268800	419	204.62414653361344	302.0058429621849	271872	281	3.192005780727967	419	32.0	1.0
284.85714285714283	515.8285714285714	2811.928630499801	302208	296960	464	223.17082014767934	331.2161458333333	302208	317	2.3006508621904587	464	32.0	1.0
287.05357142857144	590.8125	3065.3736015866125	331264	327680	512	202.57674834801762	341.3622315528634	331264	383	2.7995516440520682	512	32.0	1.0
282.4712643678161	627.1609195402298	3060.8486347632193	360576	358400	560	172.803971069869	303.7183406113537	360576	447	2.551881088564793	560	32.0	1.0
241.92307692307693	626.474358974359	3003.7363498848263	390016	388480	606	149.41576086956522	275.9405570652174	390016	494	1.4313695411319318	606	32.0	1.0
186.61764705882354	596.3676470588235	2873.4462223193177	420352	417280	651	141.05584124472574	287.9751780063291	420352	531	1.4689539248744647	651	32.0	1.0
180.6060606060606	588.030303030303	2811.100768683196	450560	445440	696	142.85950741525423	325.3837394067797	450560	566	1.203505611088541	696	32.0	1.0
183.3	589.8	3062.6797303965614	479616	476160	744	139.95112885462555	336.3365225770925	479616	621	1.3096173408751686	744	32.0	1.0
207.11111111111111	628.4666666666667	3066.8397616743887	509568	506880	792	157.32872596153845	327.03565705128204	509568	672	5.380748263870676	792	32.0	1.0
