local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3119.932248944521	35968	31360	48	0.06924843189964158	71.25089605734767	35968	0	0.21944612177321687	48	32.0	1.0
		3516.0329716606643	71680	66560	104	1.2761256720430108	210.74910394265234	71680	0	0.370420210096719	104	32.0	1.0
		3582.674404047098	107520	102400	160	1.8905691964285714	350.5	107520	0	0.20039708750222676	160	32.0	1.0
		3637.007131930917	143488	138880	216	2.1257506672597866	490.7508896797153	143488	0	0.026256623769378557	216	32.0	1.0
2.3159276030986558	606.3026315789474	3515.6649979980834	176640	174080	272	0.7732263513513513	224.7990468146718	176640	255	0.019650427988381125	272	32.0	1.0
5.0	697.0	3580.0301589324013	212480	209920	328	2.769056919642857	156.7884765625	212480	256	0.5007400681289644	328	32.0	1.0
		3583.1293985438215	248320	245760	384	9.616489955357142	296.65234375	248320	256	1.1827564690528172	384	32.0	1.0
23.333333333333332	501.5833333333333	3573.5211574031987	283392	281600	440	25.373260720802918	434.155223540146	283392	263	0.6794081128069333	440	32.0	1.0
35.59722222222222	600.6472222222222	3450.68530962463	318208	316160	493	37.22613166360294	503.7635857077206	318208	366	1.4293671546960778	493	32.0	1.0
48.20601851851851	720.4976851851852	3324.8824153987694	353536	349440	545	25.288411458333332	321.48392210144925	353536	486	5.569904499615614	545	32.0	1.0
64.03968253968253	779.3888888888889	3441.7580298504627	389248	384000	600	14.170334901433693	193.5152329749104	389248	510	1.6339820294894956	600	32.0	1.0
33.0	565.1	3573.608148606557	424960	419840	656	19.73507504480287	307.338625672043	424960	520	1.1475440521192337	656	32.0	1.0
38.017857142857146	559.0714285714286	3576.539439472239	460032	455680	712	28.447251368613138	403.1514313412409	460032	552	1.636467652362106	712	32.0	1.0
34.782222222222224	599.16	3583.662849101959	494976	491520	768	21.945655906593405	319.8416323260073	494976	660	1.4228802012013537	768	32.0	1.0
37.27485380116959	617.6154970760234	3578.0213668471783	530176	527360	824	16.028778409090908	231.78875	530176	745	0.8107477115201098	824	32.0	1.0
48.59090909090909	718.4545454545455	3580.4038073635907	565376	563200	880	20.148352272727273	286.09110795454546	565376	768	1.3070202296865838	880	32.0	1.0
37.48148148148148	609.6666666666666	3582.1893063668185	600320	599040	936	26.29535828754579	367.19605654761904	600320	795	1.109958730105843	936	32.0	1.0
34.51440329218107	595.712962962963	3378.887098109539	635520	632960	988	24.816704545454545	357.6515340909091	635520	900	0.7431744961784437	988	32.0	1.0
37.19178082191781	596.7408675799086	3324.561222932441	670848	666240	1040	16.69896399456522	232.07348278985506	670848	993	1.2862561201820006	1040	32.0	1.0
42.275862068965516	593.7068965517242	3517.746004489168	706432	701440	1096	19.0709026528777	248.6767648381295	706432	1024	1.0209877451083489	1096	32.0	1.0
32.15	489.43333333333334	3583.0330612368552	741248	737280	1152	24.505198759191178	314.0098517922794	741248	1097	0.6155721350972142	1152	32.0	1.0
34.71467391304348	496.2192028985508	3579.2767041612	775808	773120	1208	16.006163194444444	238.66753472222223	775808	1211	0.38138642494699787	1208	32.0	1.0
35.5375	529.375	3581.959438828674	810368	808960	1264	10.918113425925926	203.08900462962964	810368	1255	0.440883799589106	1264	32.0	1.0
27.0	499.7142857142857	3579.51458055199	845824	844800	1319	24.80240297833935	284.41341380866425	845824	1269	0.9060188122771003	1319	32.0	1.0
45.21052631578947	609.6315789473684	3441.295149726635	881408	879360	1373	37.45503597122302	389.5765512589928	881408	1288	0.8243975241978964	1373	32.0	1.0
48.75	596.0075757575758	3327.6325112869195	916864	912640	1426	38.653768050541515	410.8480934115523	916864	1365	0.876709002931163	1426	32.0	1.0
58.923529411764704	694.8470588235294	3449.246086059668	951424	947200	1480	31.25295138888889	348.04623842592594	951424	1469	0.5725109257079937	1480	32.0	1.0
57.71590909090909	691.5530303030304	3581.283237694336	986752	983040	1536	20.54695991847826	233.73853600543478	986752	1518	0.7395253934498344	1536	32.0	1.0
48.07142857142857	596.3333333333334	3581.9208601650816	1021440	1018880	1592	29.753459409594097	299.7903021217712	1021440	1540	0.8085519133933953	1592	32.0	1.0
47.25	553.96875	3580.0653716698203	1056128	1054720	1648	32.71736623616236	332.8717712177122	1056128	1617	0.5806043515247958	1648	32.0	1.0
48.97126436781609	558.1264367816092	3505.79711776151	1091456	1089920	1702	29.81926517210145	305.7314311594203	1091456	1684	0.9144680193728871	1702	32.0	1.0
59.775862068965516	638.2327586206897	3385.1100167719883	1126912	1123840	1755	29.07804038808664	299.0309397563177	1126912	1751	0.7097739768478105	1755	32.0	1.0
57.192982456140356	627.7631578947369	3455.3547012001395	1162624	1158400	1809	28.044186827956988	285.764644937276	1162624	1791	0.7986879370830677	1809	32.0	1.0
52.76744186046512	571.5930232558139	3454.1841729443254	1197824	1192960	1864	32.62869318181818	337.69034090909093	1197824	1839	0.6749186859889464	1864	32.0	1.0
52.3954802259887	626.7033898305085	3577.0018991984266	1232512	1228800	1920	32.328586254612546	334.40391489852396	1232512	1912	0.7342691559876714	1920	32.0	1.0
56.85849056603774	606.4433962264151	3582.1214441469797	1267328	1264640	1976	27.69447954963235	299.0943244485294	1267328	1971	0.6298050345586879	1976	32.0	1.0
49.45762711864407	604.3474576271186	3571.9856615732565	1302144	1300480	2032	26.367560891544116	272.3538028492647	1302144	2039	0.6008595467678138	2032	32.0	1.0
55.84090909090909	580.7045454545455	3513.183878629033	1337344	1335680	2086	30.670596590909092	298.8890625	1337344	2083	0.7081745013042733	2086	32.0	1.0
55.21568627450981	584.2549019607843	3511.585781987297	1372928	1370880	2141	32.49294626798561	324.33855103417267	1372928	2141	0.7046035939996893	2141	32.0	1.0
56.6171875	579.828125	3258.8865451500556	1408128	1403520	2192	29.71352272727273	302.1516193181818	1408128	2214	1.0841225432414634	2192	32.0	1.0
52.879629629629626	619.1851851851852	3519.912302294829	1443328	1438720	2248	27.399715909090908	291.34477272727275	1443328	2272	0.8225698476391179	2248	32.0	1.0
55.91891891891892	625.9594594594595	3574.8586052692044	1478784	1474560	2304	28.640625	303.2514666064982	1478784	2311	0.9614748544991016	2304	32.0	1.0
50.91228070175438	573.5087719298245	3579.9440483765875	1513216	1510400	2360	34.283428206319705	343.0917750929368	1513216	2372	0.7264997892613921	2360	32.0	1.0
51.14230769230769	609.2782051282051	3579.6026309595063	1547776	1546240	2416	28.70419560185185	290.25616319444447	1547776	2454	0.7174778559378215	2416	32.0	1.0
54.67857142857143	581.1944444444443	3505.461745830798	1582976	1581440	2470	28.457642045454545	280.32289772727273	1582976	2500	0.8265256318781111	2470	32.0	1.0
59.03658536585366	613.9756097560976	3449.3735543693706	1618560	1616000	2524	32.7693345323741	308.1882868705036	1618560	2545	0.8043890600955045	2524	32.0	1.0
57.47385620915033	590.751633986928	3326.8888964733646	1654016	1649280	2576	36.15836529783393	329.2859318592058	1654016	2600	0.7624377923516127	2576	32.0	1.0
57.56849315068493	591.8219178082192	3519.0771691850696	1688576	1684480	2632	33.449942129629626	313.16484375	1688576	2681	0.8744368577109916	2632	32.0	1.0
65.0909090909091	641.9318181818181	3576.0417097741665	1724288	1720320	2688	31.05398745519713	293.308355734767	1724288	2730	0.7902552426925727	2688	32.0	1.0
57.86363636363637	607.0871212121212	3581.0046904669844	1758592	1756160	2744	32.85791744402985	304.0108150652985	1758592	2781	0.7637463089610849	2744	32.0	1.0
62.02272727272727	616.75	3579.433352991297	1793920	1792000	2800	37.013473731884055	334.1043365036232	1793920	2828	0.7757552593414273	2800	32.0	1.0
59.45762711864407	602.8135593220339	3580.695481283914	1828864	1827840	2855	36.92696886446886	329.36899038461536	1828864	2891	0.71149178174409	2855	32.0	1.0
64.41944444444444	642.2305555555556	3391.3320514183815	1864320	1861760	2908	33.93938966606498	319.10178813176896	1864320	2962	0.7399744506714478	2908	32.0	1.0
