local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3581.6343627750407	40704	35840	56	55.88352946993671	80.5	40704	0	0.7995899609689202	56	32.0	1.0
183.75	288.5	4083.756919530716	80128	76800	120	164.9451349431818	235.83928571428572	80128	4	0.48775220871903	120	32.0	1.0
241.25581395348837	405.2093023255814	4091.0908517225457	119808	117760	184	232.6686743951613	359.6092993951613	119808	53	0.36303302145097405	184	32.0	1.0
340.6333333333333	554.1619047619048	4015.3720693741434	159616	158080	246	224.8173231511254	335.8013967041801	159616	197	0.5449034926151076	246	32.0	1.0
396.50961538461536	606.8461538461538	4031.377171419363	200576	198400	309	139.8412353515625	183.058642578125	200576	264	0.6012723425787593	309	32.0	1.0
257.5151515151515	396.7878787878788	4222.329713473178	242048	240640	376	213.69191261574073	286.57236207561726	242048	300	0.6267166018708429	376	32.0	1.0
338.5416666666667	510.81944444444446	4094.408626331652	283520	281600	440	249.89605034722223	339.68077256944446	283520	390	0.7189032272435725	440	32.0	1.0
411.20512820512823	593.3525641025641	4087.52178447999	324608	322560	504	214.60703855140187	293.7748734423676	324608	479	0.514138447586447	504	32.0	1.0
412.3636363636364	600.5090909090909	4091.398534496563	364928	363520	568	191.80885416666666	264.5419146825397	364928	539	0.5386275693308562	568	32.0	1.0
334.97058823529414	524.7941176470588	4094.6297554195626	407552	404480	632	233.72797015765767	323.33976163663664	407552	594	0.5924532160861418	632	32.0	1.0
400.9225352112676	587.0281690140845	4094.4187747165474	448256	445440	696	229.0436320754717	316.9887234669811	448256	681	0.4400487110251561	696	32.0	1.0
410.73846153846154	599.0564102564103	4091.498409816794	489984	486400	760	211.38496932515338	289.0065423696319	489984	753	0.49679111293517053	760	32.0	1.0
422.3534482758621	597.8534482758621	4094.219914570758	531712	527360	824	218.9283215107362	294.27602569018404	531712	814	0.49790603516157717	824	32.0	1.0
399.1779661016949	581.457627118644	4088.796090757494	572800	568320	888	247.82432827102804	331.84082943925233	572800	879	0.5625390446512029	888	32.0	1.0
414.67605633802816	594.4225352112676	4220.754460981475	614656	610560	953	236.5640768348624	315.7696148700306	614656	963	0.5341723203659058	953	32.0	1.0
425.25	612.5050505050506	4156.318644579741	655744	652160	1018	214.2032710280374	283.6121008566978	655744	1036	0.5202392863539549	1018	32.0	1.0
405.07894736842104	584.9473684210526	4143.8569248653575	696832	693760	1083	221.58557242990653	298.51788843457945	696832	1102	0.45353685651834197	1083	32.0	1.0
386.3611111111111	565.7037037037037	4271.589181681942	738176	736640	1150	237.50205592105263	323.34609616873064	738176	1165	0.6228153480967479	1150	32.0	1.0
404.75657894736844	599.3092105263158	4157.265165794978	779520	778240	1216	221.1420278637771	302.4813999613003	779520	1254	0.7082566566991083	1216	32.0	1.0
390.5877192982456	577.8538011695907	4089.2954649629805	820224	819200	1279	202.46137971698113	269.2974154874214	820224	1319	0.5397184415469094	1279	32.0	1.0
388.6666666666667	561.4761904761905	4084.860747392071	861824	860160	1344	226.30125	302.1650240384615	861824	1383	0.6017282628096067	1344	32.0	1.0
395.9117647058824	566.875	4092.522778647836	904576	901120	1408	232.4785273203593	312.463183008982	904576	1460	0.5564951386768371	1408	32.0	1.0
421.59558823529414	589.6446078431372	4085.6387761749224	946048	942080	1472	228.30157696759258	306.59768036265433	946048	1535	0.5014195051044226	1472	32.0	1.0
409.84313725490193	597.7745098039215	4093.053195778062	988160	983040	1536	220.98819813829786	298.7336863601824	988160	1594	0.4852462410926819	1536	32.0	1.0
402.7734375	585.1640625	4088.6045876587077	1029120	1024000	1600	229.40859375	312.4927001953125	1029120	1664	0.6382983424700797	1600	32.0	1.0
394.05882352941177	578.2352941176471	4086.939908989007	1069824	1064960	1664	226.95209316037736	307.02665585691824	1069824	1742	0.561491568107158	1664	32.0	1.0
408.16901408450707	593.5633802816901	4089.878692988609	1110528	1105920	1728	220.04083136792454	293.49950864779873	1110528	1820	0.5606729051796719	1728	32.0	1.0
376.875	556.1785714285714	4088.6023496695975	1151232	1146880	1792	222.89954304245282	297.4750884433962	1151232	1881	0.4843316151527688	1792	32.0	1.0
387.1575342465753	557.3127853881278	4094.59520852445	1191168	1187840	1856	225.4471153846154	295.4423076923077	1191168	1964	0.5875054582720622	1856	32.0	1.0
388.65671641791045	550.0298507462686	4089.8969976118437	1232512	1228800	1920	216.4157072368421	279.7702205882353	1232512	2038	0.5451662784907967	1920	32.0	1.0
352.6474358974359	513.525641025641	4089.6259501549357	1274624	1269760	1984	217.48703457446808	279.6776215805471	1274624	2125	0.5457460748730227	1984	32.0	1.0
397.62295081967216	557.7868852459017	4091.7621040925055	1315840	1310720	2048	225.8345788043478	286.59047457298135	1315840	2190	0.5644113984890282	2048	32.0	1.0
399.344262295082	554.7786885245902	4084.0901023699957	1356416	1351680	2112	235.2604495268139	305.02797220031545	1356416	2259	0.5451068032998592	2112	32.0	1.0
400.86986301369865	569.3630136986301	4086.784063723487	1396480	1392640	2176	222.40322983226838	293.530276557508	1396480	2336	0.48914306215010583	2176	32.0	1.0
391.59166666666664	565.9361111111112	4091.5958538528944	1438080	1433600	2240	217.67206730769232	295.10197115384614	1438080	2403	0.447436902904883	2240	32.0	1.0
