local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3573.229631829871	40448	35840	56	52.77796576433121	80.0	40448	0	0.7929939184603947	56	32.0	1.0
189.0	288.0	4089.915205032605	81024	76800	120	159.08214215299685	237.5520504731861	81024	1	0.6925277932314202	120	32.0	1.0
240.25	425.85714285714283	4080.1767931741683	120960	117760	184	231.82399338942307	374.04084034455127	120960	48	0.5076013412326574	184	32.0	1.0
343.65625	563.0089285714286	4095.3929610719924	160128	158720	248	200.18788296568627	310.7747140522876	160128	239	0.6512744502397254	248	32.0	1.0
401.3333333333333	608.2777777777778	3966.7537881215553	200448	198400	309	122.12916666666666	170.41450892857142	200448	260	0.6895468914117969	309	32.0	1.0
265.22222222222223	430.31481481481484	4017.531708074262	241280	238720	372	193.38802899686522	293.97754212382443	241280	288	0.4668888555514434	372	32.0	1.0
303.8170731707317	500.63922764227647	3774.5800004523485	281728	276480	432	212.91055181962025	334.24626681170884	281728	389	0.4689375023047129	432	32.0	1.0
356.35526315789474	564.4508771929825	4094.7892251975322	320896	317440	496	143.94286151960785	208.69666564542484	320896	510	0.5185459578642622	496	32.0	1.0
335.0869565217391	500.8478260869565	4085.8575985495904	360832	358400	560	168.55108173076923	248.9960436698718	360832	535	0.49205270991660655	560	32.0	1.0
305.71527777777777	488.7013888888889	4077.8924171155527	400384	399360	623	204.70380764563106	316.27262843851133	400384	616	0.4340377697159374	623	32.0	1.0
317.6036585365854	538.7032520325203	3646.6380437623134	440576	435840	680	176.27157145700636	274.0701632165605	440576	723	0.4088241753348133	680	32.0	1.0
326.8125	549.1160714285714	4030.6840203529664	480512	476160	744	163.00871394230768	228.96832431891025	480512	785	0.5370214554714039	744	32.0	1.0
328.28409090909093	494.57196969696975	4087.576732822149	520064	517120	808	202.74461468446603	289.3111599919094	520064	840	0.4690072857774794	808	32.0	1.0
325.6707317073171	512.9024390243902	4089.3494876087007	559744	558080	872	195.34974798387097	283.1078377016129	559744	942	0.5811009260360152	872	32.0	1.0
