local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3581.1730080057364	40832	35840	56	52.17705047318612	80.75078864353313	40832	0	1.2221071766356804	56	32.0	1.0
168.0	293.3333333333333	4084.479661264247	81536	76800	120	155.85989091981133	239.0051591981132	81536	3	0.5432597637409344	120	32.0	1.0
256.5769230769231	432.7435897435897	4095.8044038719904	122112	117760	184	222.35540713722398	375.290023659306	122112	52	0.40300288377329707	184	32.0	1.0
322.1186440677966	558.8305084745763	4094.649664064566	161280	158720	248	193.26026348039215	318.3803104575163	161280	213	0.6163493322674185	248	32.0	1.0
384.35526315789474	647.7105263157895	4093.690072942821	201984	199680	312	127.24904186320755	182.68175117924528	201984	259	0.4559176709735766	312	32.0	1.0
285.9230769230769	450.2307692307692	4084.1307831363765	242816	240640	376	197.43867554858934	298.8851391065831	242816	285	0.4882324056234211	376	32.0	1.0
318.5853658536585	519.7743902439023	4076.958368456233	282624	281600	439	218.204707596463	338.61296724276525	282624	387	0.4416854551860264	439	32.0	1.0
359.5108695652174	572.5960144927536	3891.151040575036	323200	320640	500	160.45105481072557	235.70398757886434	323200	500	0.5421783094767665	500	32.0	1.0
327.05555555555554	538.3703703703703	4023.1636856781947	364032	360960	563	168.76271061912226	248.03725019592477	364032	529	0.500478871758022	563	32.0	1.0
316.3188405797101	499.1908212560387	3960.4007174934245	404736	400640	625	208.5280807783019	315.1251719732704	404736	603	0.4447046034038067	625	32.0	1.0
344.6358695652174	543.5235507246377	3966.8211999074065	445184	440320	688	191.92145470727849	281.6737786787975	445184	710	0.4564452455157325	688	32.0	1.0
373.2931034482759	572.5431034482758	4094.31700040331	485504	481280	752	170.15416666666667	239.01646825396824	485504	774	0.44469373091124	752	32.0	1.0
318.9375	513.40625	4091.388108768595	526080	522240	816	200.6701744873817	291.01621648264984	526080	823	0.4686149610206485	816	32.0	1.0
344.90506329113924	543.9430379746835	4091.2998332389684	566016	563200	880	208.08751502403845	303.39297876602564	566016	916	0.4531571447150782	880	32.0	1.0
354.5652173913044	548.9782608695652	4093.9030272331934	605696	604160	944	183.1281502016129	260.16587701612906	605696	994	0.4548162471037358	944	32.0	1.0
366.1	550.4	3955.9735425374756	645888	643840	1005	193.67107882165604	272.25218949044586	645888	1060	0.46525186837696636	1005	32.0	1.0
331.96153846153845	514.8615384615384	3824.60884327774	686336	682240	1065	204.48469640031647	290.5779024920886	686336	1135	0.41901992335915567	1065	32.0	1.0
371.98	553.3666666666667	3960.930619591427	726272	721920	1128	194.38829627403845	276.27090845352564	726272	1218	0.4350006893750221	1128	32.0	1.0
345.4347826086956	531.1449275362319	4090.5051352778205	766336	762880	1192	178.57443091054313	254.15330471246006	766336	1296	0.4053011934738606	1192	32.0	1.0
331.72222222222223	527.1635802469136	4086.4024242683727	806528	803840	1256	194.6413465366242	281.366988455414	806528	1357	0.42986292275600135	1256	32.0	1.0
349.73880597014926	534.9402985074627	4093.134818118573	846464	844800	1320	200.43284254807693	288.6545222355769	846464	1435	0.4107355517335236	1320	32.0	1.0
345.7391304347826	549.2777777777778	4025.1815832541315	886784	885120	1382	189.00625	273.5313988095238	886784	1519	0.42275761584601096	1382	32.0	1.0
346.65671641791045	533.7089552238806	3890.8695915825137	927232	924160	1443	176.5868028085443	260.5037826344937	927232	1592	0.4123632209222825	1443	32.0	1.0
329.39516129032256	525.2903225806451	3967.5723391879687	967936	963840	1505	182.30336084905662	273.15991057389937	967936	1659	0.43804344691095815	1505	32.0	1.0
326.4390243902439	525.6036585365854	3955.042093885955	1008256	1003520	1568	185.39895833333333	281.3532986111111	1008256	1750	0.526715781480547	1568	32.0	1.0
317.9013157894737	515.6052631578947	4086.1497221373247	1048192	1044480	1632	166.48610276442307	250.08576221955127	1048192	1837	0.41842598968651146	1632	32.0	1.0
319.05263157894734	514.8070175438596	4095.34844350425	1088384	1085440	1696	173.44175457802547	256.156548566879	1088384	1897	0.5380494429264218	1696	32.0	1.0
328.2890625	515.421875	4095.1942991410133	1128320	1126400	1760	189.24030949519232	279.8203375400641	1128320	1973	0.43959562957752496	1760	32.0	1.0
326.15625	510.1	3903.433791847477	1168128	1165440	1820	187.6257787379421	262.6685088424437	1168128	2064	0.558538444712758	1820	32.0	1.0
358.27777777777777	536.3386243386244	3889.021583446666	1208576	1204480	1881	183.03767800632912	253.25153283227849	1208576	2140	0.43160982625406297	1881	32.0	1.0
327.6328125	486.734375	3964.250869292445	1249152	1244160	1944	191.68400039432177	268.1556338722398	1249152	2209	0.47067667283709086	1944	32.0	1.0
360.15	536.4857142857143	4094.0541474955003	1288960	1285120	2008	200.90956591639872	282.97997889871385	1288960	2287	0.4839252713136375	2008	32.0	1.0
348.7866666666667	525.9866666666667	4087.095863373102	1328640	1326080	2072	180.33644153225808	255.50483870967741	1328640	2370	0.45161810459103435	2072	32.0	1.0
339.9179104477612	520.1044776119403	4091.0231443419443	1368704	1367040	2136	187.77608326677316	262.5939746405751	1368704	2446	0.49915070191491395	2136	32.0	1.0
340.0	507.60846560846556	3903.0799486290907	1408768	1406080	2197	200.3260782747604	271.5447533945687	1408768	2517	0.5037887743750556	2197	32.0	1.0
362.32	520.6844444444444	3900.3269468766525	1449216	1445120	2257	195.8049594541139	270.14420984968353	1449216	2610	0.5114775404334069	2257	32.0	1.0
342.6818181818182	506.72727272727275	3964.415271435155	1489536	1484800	2320	181.953125	246.92698412698414	1489536	2683	0.6513711847956218	2320	32.0	1.0
356.5	506.80059523809524	4089.486935441792	1529728	1525760	2384	201.09725816082803	271.5027617436306	1529728	2746	0.4409702585544437	2384	32.0	1.0
