local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3579.3658508348967	38656	35840	56	124.64322916666667	76.5	38656	0	2.825630592248802	56	32.0	1.0
201.2949039264829	229.50877192982455	3580.782139768311	76032	71680	112	175.34112799657535	133.45456977739727	76032	219	0.5655687817239335	112	32.0	1.0
239.4965277777778	250.55729166666663	3948.2352153011343	113408	111360	173	185.68600171232876	131.0283069349315	113408	354	0.37864898987969414	173	32.0	1.0
264.8809523809524	255.17410714285714	3702.546655207645	152192	148480	232	187.3066212871287	126.67605198019803	152192	495	0.3662347128078089	232	32.0	1.0
231.43333333333334	239.368	3643.1506352432816	189568	184960	288	183.3181720890411	127.77985873287672	189568	667	0.471451184180166	288	32.0	1.0
214.80654761904762	234.8824404761905	3958.1949763334733	226176	224640	350	183.27141608391608	129.21328671328672	226176	813	0.5992038742669167	350	32.0	1.0
258.26771653543307	248.05774278215225	3644.6518383030498	264192	261120	408	176.3007680976431	122.70023148148148	264192	980	0.6278897634354131	408	32.0	1.0
213.3480825958702	232.98230088495578	3632.848464783632	302208	297600	464	184.77088594276094	127.38649515993266	302208	1123	0.5849444318030562	464	32.0	1.0
267.0550847457627	248.50423728813558	4019.3718076213663	338944	337920	527	215.43853440766551	129.307137412892	338944	1280	0.7881561827564997	527	32.0	1.0
273.1792717086835	243.781512605042	3582.7561203330924	377472	373760	584	233.20701827242524	133.7064472591362	377472	1429	0.6804580084587398	584	32.0	1.0
281.02981029810303	244.20054200542006	3694.885217785915	414976	410880	641	216.26893131399316	127.11393451365188	414976	1586	0.6023794477968886	641	32.0	1.0
273.5	243.17119999999997	3966.1658049078515	451712	450560	703	204.27101480836237	125.46066528745645	451712	1754	0.39861566248920655	703	32.0	1.0
249.54427083333331	233.76302083333331	3583.9388194037747	489984	486400	760	214.51322115384616	125.24419941471572	489984	1908	0.6224764190744936	760	32.0	1.0
304.9382716049383	250.34104938271605	3766.315326676067	527744	524160	818	276.9226694915254	133.22063029661018	527744	2043	0.6074903466064354	818	32.0	1.0
