local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3579.6801154917302	36864	35840	55	126.32211538461539	73.0	36864	0	2.530479726771062	55	32.0	1.0
196.7208672086721	230.609756097561	3577.759335262129	73088	71680	112	179.50392005300353	143.60573100706713	73088	204	0.3558998649057589	112	32.0	1.0
252.9213483146067	256.4292134831461	3583.890542893757	110464	107520	168	164.14142765410958	126.2701198630137	110464	327	0.25798435968213845	168	32.0	1.0
225.48209366391183	246.84022038567494	3579.519524216143	147200	143360	224	178.89127831010452	121.53348214285714	147200	485	0.4547175144377564	224	32.0	1.0
213.1766381766382	230.85826210826212	3578.8488448914027	183936	179200	280	193.40292900696863	131.07240853658536	183936	637	0.33544920291751623	280	32.0	1.0
258.7087087087087	242.64264264264264	3701.914998640902	220416	216320	337	193.1483004385965	125.67012061403508	220416	783	0.44952583848907235	337	32.0	1.0
248.73046875	237.76432291666666	3709.5255702399213	256640	253440	395	191.36898189045937	121.78867601590106	256640	954	0.4799045816320798	395	32.0	1.0
251.5151515151515	229.4651515151515	3828.3089873014337	292864	291840	455	203.53909010600708	125.358960909894	292864	1101	0.5767490434149901	455	32.0	1.0
297.05459770114936	248.36350574712642	3575.395038315231	329856	327680	512	217.5767733564014	126.48475346020761	329856	1248	0.5146705595809117	512	32.0	1.0
285.6391585760518	242.11326860841424	3581.2706957390474	366976	363520	568	237.28178879310346	133.56072198275862	366976	1388	0.6503728963434696	568	32.0	1.0
343.4873949579832	260.69607843137254	3581.342365238236	404352	399360	624	262.30067422945206	143.55613227739727	404352	1531	0.5537215101399592	624	32.0	1.0
352.9924242424242	265.6257575757576	3839.5270968203026	440960	437760	683	259.409145541958	136.32003933566435	440960	1677	0.5547282979902575	683	32.0	1.0
329.389880952381	250.86309523809524	3835.54737479148	477568	476160	744	261.6504589160839	131.54007320804195	477568	1816	0.5509662190910245	744	32.0	1.0
384.2182890855458	266.21976401179944	3576.29064238734	514688	512000	800	300.49838362068965	147.91484375	514688	1949	0.493557424683656	800	32.0	1.0
391.09686609686605	269.2008547008547	3572.150755533757	552320	547840	856	290.70339073129253	142.71277104591837	552320	2090	0.5359873875443425	856	32.0	1.0
348.6842105263158	256.1228070175439	3643.9136218757976	588928	584320	912	239.25508085664336	138.57350852272728	588928	2236	0.36975013544516905	912	32.0	1.0
323.2415902140673	273.07186544342505	3895.2687851230303	625408	623360	973	258.4813596491228	157.6000274122807	625408	2370	0.5594496998142023	973	32.0	1.0
355.9126984126984	275.53333333333336	3711.5851537894973	662144	660480	1032	270.0906467770035	133.61454703832752	662144	2510	0.4729505287388624	1032	32.0	1.0
354.1335978835979	251.16865079365078	3583.811338056697	699392	696320	1088	295.82930627147766	137.89357817869416	699392	2663	0.5706051981874875	1088	32.0	1.0
393.50961538461536	254.9246794871795	3628.8644483620374	737408	732800	1144	310.7546822390572	134.43660563973063	737408	2801	0.584920790977776	1144	32.0	1.0
413.0028735632184	258.2040229885057	3834.843359816226	773760	771200	1204	316.1999339788732	139.06318772007043	773760	2944	0.5697859885791937	1204	32.0	1.0
408.91873278236915	267.034435261708	3772.219599755856	811264	808960	1264	328.45963097269623	142.44389931740614	811264	3088	0.5448206218580405	1264	32.0	1.0
426.18501529051986	262.5145259938838	3579.150662092557	848640	844800	1320	341.2203017979452	142.55444670376713	848640	3226	0.665167196254645	1320	32.0	1.0
432.09064327485373	261.4780701754386	3646.324064366511	886016	881280	1377	355.9035209760274	144.41216288527397	886016	3367	0.6510958564386033	1377	32.0	1.0
469.5017182130584	277.39862542955325	3900.2192746336923	922368	920320	1437	383.74779929577466	150.8101892605634	922368	3482	0.6696019989748796	1437	32.0	1.0
447.4014336917562	286.652329749104	3707.1186071978345	959616	957440	1496	363.66113616838487	168.62022121993127	959616	3607	0.470762144584777	1496	32.0	1.0
508.0426356589147	326.5639534883721	3576.8238457056013	997760	993280	1552	397.5068162751678	181.7669096057047	997760	3713	0.8842670627470527	1552	32.0	1.0
536.6987179487179	323.27243589743586	3834.312209200096	1034752	1031680	1611	457.6327314013841	165.53392625432525	1034752	3840	1.0090735059673503	1611	32.0	1.0
603.0844155844156	312.42857142857144	3823.5889309281456	1072000	1070080	1672	503.8740335051546	181.15359213917526	1072000	3935	0.8898237262104378	1672	32.0	1.0
662.5985663082438	332.35089605734765	3570.201838055789	1110400	1105920	1728	516.1536458333334	187.41216145833334	1110400	4055	0.7639087241675172	1728	32.0	1.0
629.6116504854369	326.18446601941747	3839.3626241218626	1147520	1144320	1787	508.359375	170.42769396551725	1147520	4179	1.0916089165513798	1787	32.0	1.0
647.459349593496	322.35569105691053	3834.8926662364966	1185664	1182720	1848	558.5177223154362	186.65590918624162	1185664	4277	0.9711732043594611	1848	32.0	1.0
780.5555555555555	357.946127946128	3701.0690486303047	1223936	1219840	1905	579.065635451505	186.11426107859532	1223936	4392	0.9166271869550672	1905	32.0	1.0
767.4882629107982	349.98122065727694	3960.1143353155717	1261440	1259520	1968	564.5331164675767	204.36060153583617	1261440	4477	0.7688600482448699	1968	32.0	1.0
686.1370716510902	355.8629283489097	3581.9513304122625	1298816	1295360	2024	549.3110552226027	194.1716609589041	1298816	4606	0.8831907851355416	2024	32.0	1.0
776.7316017316018	369.5779220779221	3634.296299394651	1336448	1331840	2080	592.8837159863946	189.80054209183675	1336448	4699	1.1260798605425018	2080	32.0	1.0
819.4047619047619	373.54285714285714	3956.3123684730435	1373184	1371520	2143	618.7989982578397	211.7534843205575	1373184	4772	0.8518919788655781	2143	32.0	1.0
784.7359735973597	365.83498349834986	3640.466585700372	1410432	1408000	2200	617.1901847079038	211.5588756443299	1410432	4904	1.0435151081336171	2200	32.0	1.0
905.7291666666666	396.1625	3647.8710204905656	1449088	1444480	2256	592.0206436258278	178.93186051324503	1449088	4996	1.2058250457048416	2256	32.0	1.0
768.2291666666667	341.4291666666667	4017.129175289638	1485824	1484800	2319	651.9272648083623	199.45818815331012	1485824	5086	1.0452536491174547	2319	32.0	1.0
896.6494845360825	367.4982817869415	3580.5484443973573	1523584	1520640	2376	683.4997351694915	213.80384004237288	1523584	5200	0.9367551516022599	2376	32.0	1.0
927.156862745098	384.278431372549	3704.8651624052973	1561856	1557760	2433	646.1525397157191	191.97849602842808	1561856	5301	1.1221057945176174	2433	32.0	1.0
915.1826484018267	382.11872146118725	3964.2321730713966	1598848	1597440	2496	688.5353589965398	208.86140246539793	1598848	5383	1.223178416017502	2496	32.0	1.0
910.9259259259259	383.0296296296297	3578.2893992062886	1636992	1633280	2552	707.3825503355705	224.2773961828859	1636992	5487	0.9969397448003292	2552	32.0	1.0
888.6666666666667	375.18333333333334	3773.5190505662345	1674752	1671040	2611	636.1162605932203	196.89388241525424	1674752	5609	1.1291325622695987	2611	32.0	1.0
852.8205128205128	372.18461538461537	3893.4880656708565	1711488	1710080	2672	647.3636215156795	196.3610899390244	1711488	5690	1.1377174590454726	2672	32.0	1.0
822.6470588235294	355.79019607843134	3575.2279437139605	1749248	1745920	2728	667.4735169491526	204.32960805084747	1749248	5797	0.9948315668318953	2728	32.0	1.0
869.0763052208835	368.75502008032123	3632.2861749881754	1787008	1782400	2784	689.0850105932203	209.85548199152544	1787008	5898	1.0017413097832883	2784	32.0	1.0
926.6233766233767	380.17965367965365	3966.0962415783	1823744	1822080	2846	701.0112695993031	208.6143837108014	1823744	5986	1.043889136564347	2846	32.0	1.0
950.1811594202899	387.7155797101449	3647.870324739118	1861376	1858560	2904	685.5428890306123	208.00255102040816	1861376	6092	1.064905634214138	2904	32.0	1.0
909.5238095238095	373.70238095238096	3575.7624462516533	1899520	1894400	2960	698.6668938758389	204.98904152684563	1899520	6191	1.1147990519446986	2960	32.0	1.0
1059.469696969697	412.5	4088.1363174925095	1936768	1935360	3024	742.8439110824743	216.47723367697594	1936768	6267	1.2715631113387644	3024	32.0	1.0
1001.9886363636364	391.26704545454544	3583.508478062766	1974016	1971200	3080	746.3179231099656	226.52708870274915	1974016	6369	1.1141610816121101	3080	32.0	1.0
1084.2105263157894	419.9912280701755	3583.1727007762356	2011904	2007040	3136	713.2152660472973	202.24561866554055	2011904	6481	1.1415830132152354	3136	32.0	1.0
975.8620689655172	383.0948275862069	3894.246890571904	2048640	2046080	3196	755.6116615853658	215.2031794425087	2048640	6546	1.0336377198497455	3196	32.0	1.0
1032.8125	397.5703125	3775.525168055022	2085504	2083840	3256	781.7423502604166	228.91672092013889	2085504	6656	1.1731168275078139	3256	32.0	1.0
1135.7142857142858	433.20714285714286	3580.2098108236787	2123648	2119680	3312	775.5164639261745	223.26688338926175	2123648	6733	1.2817638197115488	3312	32.0	1.0
1135.0401606425703	423.9578313253012	3711.132450731291	2160896	2156800	3369	798.4388423539519	232.4706561426117	2160896	6828	1.1441837517838729	3369	32.0	1.0
1169.8464912280701	433.7894736842105	3960.933730427909	2197504	2196480	3431	761.3049060314685	218.89117132867133	2197504	6914	0.9811190736870612	3431	32.0	1.0
1052.796052631579	411.39473684210526	3576.8343990513163	2236032	2232320	3488	751.8025851328904	222.5201152408638	2236032	7006	1.0564225744782834	3488	32.0	1.0
1066.0493827160494	415.462962962963	3575.5963378954634	2273280	2268160	3544	756.6714991408935	217.99994630584192	2273280	7095	1.0254825976278101	3544	32.0	1.0
1103.8978494623655	425.3494623655914	3965.194974420404	2310016	2307840	3606	799.7972016550523	230.5946755226481	2310016	7167	1.0607521481090976	3606	32.0	1.0
1168.574297188755	432.4759036144578	3705.2137841487333	2347264	2344960	3664	817.2505906357388	238.49948990549828	2347264	7264	0.9525044318930856	3664	32.0	1.0
1144.871794871795	435.4102564102564	3580.002108603361	2385536	2380800	3720	774.5309887123746	219.42435723244148	2385536	7350	0.9746245401246207	3720	32.0	1.0
1085.2477477477478	410.8873873873874	3830.363325376898	2422272	2419200	3779	817.1453070557492	232.66185757839722	2422272	7438	1.0521814343282732	3779	32.0	1.0
1184.2222222222222	433.9	3829.3760320521897	2460032	2457600	3840	821.5029131355932	226.51686970338983	2460032	7522	1.1219792243887166	3840	32.0	1.0
1257.8638497652585	442.9107981220657	3574.360918304717	2498560	2493440	3896	851.0135485880398	238.99898774916943	2498560	7607	1.1632565749543053	3896	32.0	1.0
1207.5	436.125	3901.5200074930244	2535040	2532480	3956	806.5693530701755	228.82491776315788	2535040	7694	0.9511764367421468	3956	32.0	1.0
1169.551282051282	437.29487179487177	3769.4613482986256	2573568	2570240	4016	830.876245847176	235.50363372093022	2573568	7781	1.2153391634424529	4016	32.0	1.0
1223.076923076923	444.46794871794873	3647.9483375236396	2611456	2606720	4073	826.6971072635135	235.78243771114865	2611456	7868	1.0898618175272357	4073	32.0	1.0
1211.7857142857142	443.97857142857146	3961.0802280790376	2647936	2646400	4134	812.452028508772	232.02140899122807	2647936	7949	1.0084108891057186	4134	32.0	1.0
1206.6666666666667	446.34	3646.449719157409	2685696	2682880	4192	814.7153072033898	230.35643538135594	2685696	8038	0.9502444806797751	4192	32.0	1.0
1174.2324561403507	429.0833333333333	3579.8749924091544	2723712	2718720	4248	848.6505681818181	234.4978956228956	2723712	8122	1.128345888108015	4248	32.0	1.0
1293.2835820895523	452.1865671641791	4030.5054385403246	2760704	2759040	4311	896.4330125432526	246.87513516435988	2760704	8197	1.1064086726733617	4311	32.0	1.0
1335.3881278538813	471.02511415525106	3644.232133610102	2798720	2795520	4368	881.6419402356902	241.84914246632997	2798720	8277	0.8292582223289892	4368	32.0	1.0
1318.2432432432433	458.9594594594595	3643.4715296194413	2836736	2832000	4425	881.9207702020202	246.25081544612794	2836736	8364	1.0367380132277806	4425	32.0	1.0
1228.6151960784314	448.7450980392157	4030.8064142307103	2874240	2872320	4488	852.4584044368601	238.87297354948805	2874240	8444	1.1464901717882308	4488	32.0	1.0
1417.96875	497.046875	3577.470353057901	2912768	2908160	4544	891.7488579734219	251.64885278239203	2912768	8514	0.9709623988185611	4544	32.0	1.0
1273.148148148148	455.9567901234568	3953.2769486352095	2949888	2947840	4605	883.9628232758621	252.86764547413793	2949888	8609	1.0591156521781546	4605	32.0	1.0
1337.5	479.1136363636364	3704.117619083136	2988288	2984960	4664	861.26171875	241.02065104166667	2988288	8686	1.029800329167964	4664	32.0	1.0
1361.0169491525423	489.7457627118644	3826.3681147507937	3026432	3023360	4723	897.903995385906	247.7780778104027	3026432	8751	0.9209158854969477	4723	32.0	1.0
1359.8360655737704	467.5655737704918	3838.1940565179493	3063680	3061760	4784	974.4523195876288	277.59933419243987	3063680	8824	0.9714923310475271	4784	32.0	1.0
1413.8354700854702	493.0598290598291	3581.1858905371137	3101568	3097600	4840	889.5705764358108	245.62631967905406	3101568	8920	1.1192742314721857	4840	32.0	1.0
1475.1412429378533	508.864406779661	3767.919861984582	3138944	3135360	4898	886.3455158390411	241.44450984589042	3138944	8989	1.2408788173363126	4898	32.0	1.0
1381.4676616915422	478.24626865671644	3895.2736962545523	3176832	3174400	4960	939.1522381756756	262.9486380912162	3176832	9064	0.9409316609944066	4960	32.0	1.0
1346.9178082191781	473.6986301369863	3582.4368758853534	3214976	3210240	5016	950.2464345637584	262.73458473154363	3214976	9142	1.1905452837901456	5016	32.0	1.0
1522.4264705882354	510.60049019607834	4012.6926363390717	3252096	3250560	5078	910.7152478448276	248.37836745689654	3252096	9218	1.306370027122959	5078	32.0	1.0
1398.943661971831	483.57042253521126	3640.0479309115053	3289856	3287040	5136	934.4372351694915	258.6761122881356	3289856	9298	1.2677354622503807	5136	32.0	1.0
1364.0046296296298	471.90509259259267	3699.6864236505326	3328256	3324160	5193	927.3776041666666	253.58330729166667	3328256	9382	1.3545202848158384	5193	32.0	1.0
1469.3589743589744	497.4128205128205	3965.1693730028524	3365632	3363840	5256	890.8042594178082	239.046875	3365632	9456	1.1072145137521956	5256	32.0	1.0
1457.0754716981132	487.75786163522014	3642.527832954352	3404928	3400320	5312	974.2543770358307	263.2053644136808	3404928	9518	1.0481040216982365	5312	32.0	1.0
1566.4179104477612	524.3656716417911	4025.3957199794136	3442176	3440640	5376	1036.5469286941582	285.0447003865979	3442176	9599	0.9019741755910218	5376	32.0	1.0
1575.9868421052631	513.5	3576.483278418561	3480448	3476480	5432	962.3001149665552	261.5594690635451	3480448	9680	0.8545108746205058	5432	32.0	1.0
1509.375	509.5486111111111	3827.754628276298	3517952	3514880	5491	906.0273570819113	242.87492000853243	3517952	9756	1.289010460598994	5491	32.0	1.0
1459.5833333333333	484.80833333333334	3836.690111279808	3556864	3553280	5552	951.4417146381579	260.4966591282895	3556864	9826	1.0902740984666544	5552	32.0	1.0
1441.6666666666667	483.24242424242425	3764.9896844692794	3594624	3591040	5610	948.0932203389831	257.34353813559323	3594624	9902	1.0591957754102246	5610	32.0	1.0
1556.084656084656	516.5529100529101	3901.3494326250056	3631104	3630080	5671	985.6661184210526	267.62560307017543	3631104	9976	0.8554562813923007	5671	32.0	1.0
1598.8281249999998	527.9375	3583.8509827586668	3670656	3665920	5728	1009.5115291262136	272.45125404530745	3670656	10051	1.1188893041066956	5728	32.0	1.0
1587.6984126984128	510.1666666666667	4083.2123137311346	3708800	3706880	5792	984.3291212248322	262.276216442953	3708800	10121	1.0782282780855894	5792	32.0	1.0
1589.2655367231637	517.8248587570621	3576.6338961311435	3747584	3742720	5848	1002.5384179042904	271.24922648514854	3747584	10193	1.0942049319190639	5848	32.0	1.0
1710.344827586207	556.4137931034483	4028.050127180081	3784704	3783040	5911	1057.272359913793	288.13970905172414	3784704	10258	0.8864025331678844	5911	32.0	1.0
1691.0714285714287	539.0285714285715	3640.6753428267375	3823616	3819520	5968	1051.3877467105262	283.3651058799342	3823616	10337	1.0168133628995795	5968	32.0	1.0
1605.4726368159204	521.0870646766168	3838.7396411038007	3861120	3857920	6027	1000.3159662969283	265.34401663822524	3861120	10412	0.9092234615552224	6027	32.0	1.0
1685.4166666666667	536.475	3839.9800416076405	3898240	3896320	6088	986.1072198275862	257.93526400862066	3898240	10476	1.0767909874681567	6088	32.0	1.0
1755.0	553.1636363636363	3583.8378247215433	3936000	3932160	6144	1083.9684851694915	294.1021186440678	3936000	10538	1.0961142294108868	6144	32.0	1.0
1630.050505050505	524.9671717171716	3695.3008120888485	3973376	3969280	6201	1031.7744006849316	281.3617026969178	3973376	10611	1.0957980323256107	6201	32.0	1.0
1756.5104166666665	569.3619791666667	3954.6109256955547	4011136	4008960	6264	1019.9655720338983	275.58021716101695	4011136	10685	0.9124066981058272	6264	32.0	1.0
1659.433962264151	537.6509433962265	3580.5718125617777	4049792	4044800	6320	1009.9298944536424	267.5833247102649	4049792	10743	1.0526556250240122	6320	32.0	1.0
1702.9850746268658	537.7313432835821	3901.638814496318	4086528	4083840	6380	1078.7932817944252	291.9192617595819	4086528	10819	0.9836131324370702	6380	32.0	1.0
1722.265625	542.9296875	3768.7845676049415	4124672	4121600	6440	1044.2428691275168	282.13553901006713	4124672	10890	1.0044224470853806	6440	32.0	1.0
1752.2388059701493	562.0	3829.6582980758367	4163072	4160000	6499	1004.6549479166666	271.53901041666666	4163072	10965	1.1513123279910977	6499	32.0	1.0
1644.3396226415093	546.1320754716982	3838.309125001367	4201728	4198400	6560	1028.6876552152319	278.94319122516555	4201728	11023	1.1661798714614304	6560	32.0	1.0
1671.2009803921567	536.5686274509804	3706.9693513993825	4239616	4235520	6617	1039.8556271114865	284.5027977195946	4239616	11098	0.9285178027654949	6617	32.0	1.0
