local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3583.149042424879	37632	35840	56	79.77151113013699	74.5	37632	0	0.6359543981296676	56	32.0	1.0
363.3333333333333	287.3333333333333	3579.6021195215926	75776	71680	112	339.21114723154363	221.80437290268458	75776	3	0.773283542533006	112	32.0	1.0
649.1	383.6	3957.523983648859	113408	111360	173	590.8617665816327	335.6818664965986	113408	58	0.611922057437115	173	32.0	1.0
935.952380952381	505.8333333333333	3703.8233913636227	152192	148480	232	663.9178527227723	379.45784344059405	152192	105	0.409508345111952	232	32.0	1.0
1202.0	660.0285714285715	3770.427650708863	189824	186240	290	758.7765731292517	453.38783482142856	189824	140	0.5290307638974026	290	32.0	1.0
1304.8015873015875	739.6428571428571	3894.9372660492527	227968	225280	352	780.2029152684564	484.0073668204698	227968	186	0.5439977042617337	352	32.0	1.0
1359.625	799.2375	3702.5593345633774	266496	262400	409	773.6441029900333	491.55704941860466	266496	230	0.5588933868627799	409	32.0	1.0
1475.945945945946	892.8243243243244	3957.3045415204347	304000	302080	472	778.8041275597269	503.5327431740614	304000	270	0.5202933922410011	472	32.0	1.0
1527.375	906.3125	3573.930834609846	342272	337920	528	764.7546509197324	495.541858277592	342272	316	0.5576827084379536	528	32.0	1.0
1411.8367346938776	878.5816326530612	4080.9994733617737	379904	378880	591	750.6754889455782	484.0598161139456	379904	366	0.5588858967262601	591	32.0	1.0
1220.7692307692307	732.6538461538462	3581.456018467946	418432	414720	648	719.7601744186046	453.2329215116279	418432	424	0.5129573719020475	648	32.0	1.0
1345.576923076923	766.2403846153846	3897.400452796008	456320	453760	708	730.7738597972973	461.6268211570946	456320	479	0.49016915261745453	708	32.0	1.0
1190.566037735849	714.9716981132076	3775.298731031097	494336	491520	768	692.4792192760942	430.3712647306397	494336	535	0.5169197211662928	768	32.0	1.0
1279.642857142857	752.8839285714286	3775.1021956348072	532864	529280	826	688.6910818106312	421.054427948505	532864	596	0.5122544786025738	826	32.0	1.0
1308.9308176100628	769.6823899371069	3901.5212159785415	571008	568320	888	648.5347630033557	391.5948248741611	571008	656	0.5571453252867344	888	32.0	1.0
1162.7222222222222	660.3166666666667	3706.477536661658	609536	605440	945	660.9349044850499	381.64747715946845	609536	708	0.5891223824337909	945	32.0	1.0
1114.7058823529412	626.2941176470588	3963.2720098903924	646784	645120	1008	652.0384987113403	367.9236469072165	646784	786	0.6209447360227979	1008	32.0	1.0
1166.4444444444443	647.2666666666667	3579.6146497925533	685952	680960	1064	652.6970996732026	360.2642463235294	685952	831	0.5513719123389039	1064	32.0	1.0
1187.450980392157	655.5784313725491	4084.3186630606156	723456	721920	1128	695.3247653583618	392.53890251706486	723456	885	0.5381134239723906	1128	32.0	1.0
1204.1666666666667	654.425	3581.385027016345	762112	757760	1184	671.7671254139073	377.71435223509934	762112	950	0.5601414750729289	1184	32.0	1.0
1267.4149659863947	696.8809523809525	4023.4752441758114	799616	798080	1246	653.414569112628	368.70179180887374	799616	1004	0.5599153641491167	1246	32.0	1.0
1159.3333333333333	660.5666666666667	3647.067169747423	838656	834560	1304	697.9149590163935	388.60432889344264	838656	1050	0.4759855591531458	1304	32.0	1.0
1237.9032258064517	703.9193548387096	3834.9164068169825	876032	872960	1363	723.1373073630137	403.2549497003425	876032	1117	0.560014275423551	1363	32.0	1.0
1159.4897959183672	656.8163265306123	3831.1106224801447	914176	911360	1424	686.5465079697987	381.0191380033557	914176	1170	0.5661868969680833	1424	32.0	1.0
1245.909090909091	644.0454545454545	3838.296776304231	952960	949760	1484	667.5278465346535	371.7580187706271	952960	1231	0.4080314077436924	1484	32.0	1.0
1223.409090909091	612.6931818181819	3836.0347384900574	991360	988160	1544	700.8223958333333	400.66455729166665	991360	1278	0.5026265194018682	1544	32.0	1.0
1174.7	702.81	3768.9427752794713	1029504	1025920	1602	713.697567114094	412.1458682885906	1029504	1333	0.45973784270985374	1602	32.0	1.0
1249.5833333333333	688.4754901960783	3895.4571775887257	1067136	1064960	1664	679.930644132653	381.6862776360544	1067136	1407	0.5241924968938674	1664	32.0	1.0
1242.0652173913043	704.6739130434783	3583.824154135961	1105664	1100800	1720	674.4297653654485	374.10013496677743	1105664	1456	0.6008626262524298	1720	32.0	1.0
1303.6904761904761	664.1190476190476	4095.4918599214784	1142912	1141760	1783	716.7324420103092	397.37325493986253	1142912	1501	0.4699164413743549	1783	32.0	1.0
1267.3809523809523	678.8333333333334	3582.833314480563	1181824	1177600	1840	734.6779913651316	414.90010793585526	1181824	1547	0.4653668989214981	1840	32.0	1.0
1355.0	702.8888888888889	4030.768273426044	1219584	1217920	1902	797.3498411016949	458.7522245762712	1219584	1588	0.5273736625188782	1902	32.0	1.0
1521.875	803.7916666666666	3645.9988446378134	1258240	1254400	1960	805.0411320364238	474.83904180463577	1258240	1642	0.5398381253511741	1960	32.0	1.0
1355.2380952380952	776.8650793650794	3901.059721923133	1296128	1293440	2021	784.6529244087837	470.23302892736484	1296128	1687	0.4768141026868195	2021	32.0	1.0
1404.107142857143	800.2946428571429	3775.873786567479	1333504	1331200	2080	748.1910851883562	446.87002354452056	1333504	1748	0.4995623480970577	2080	32.0	1.0
1331.909090909091	742.5545454545454	3577.3921128142315	1372032	1367040	2136	704.1489306478405	408.5314316860465	1372032	1808	0.4609973400032946	2136	32.0	1.0
1234.4791666666667	681.59375	4084.699816263192	1409408	1408000	2200	711.5892551369863	413.412082619863	1409408	1861	0.4400980998761952	2200	32.0	1.0
1269.433962264151	724.0440251572326	3577.1800555433865	1448704	1443840	2256	681.2561074918567	386.4617263843648	1448704	1919	0.5040370225906372	2256	32.0	1.0
1310.2173913043478	679.8695652173913	4080.663596011228	1485824	1484800	2319	715.0969827586207	403.06977370689657	1485824	1966	0.5265598023931185	2319	32.0	1.0
1300.8536585365853	730.1585365853658	3579.4837255774128	1524864	1520640	2376	747.4736168032787	417.83153176229507	1524864	2009	0.4427268709007062	2376	32.0	1.0
1333.0487804878048	729.719512195122	3950.5805587977266	1562368	1560320	2437	794.6264398464164	449.03367640784984	1562368	2053	0.4944004371273713	2437	32.0	1.0
1456.5891472868216	822.7674418604652	3705.7827939118865	1601408	1597440	2496	825.672131147541	473.90227971311475	1601408	2099	0.447588044581777	2496	32.0	1.0
1363.4313725490197	739.2843137254902	3955.293996750494	1639168	1637120	2557	796.2179555084746	460.25985169491526	1639168	2155	0.5348377672375225	2557	32.0	1.0
1506.4102564102564	831.2307692307693	3705.671747440007	1677312	1674240	2616	780.2744861577181	449.8368288590604	1677312	2200	0.5320685801364607	2616	32.0	1.0
1419.5744680851064	751.2127659574468	3824.5995796298203	1715712	1712640	2675	787.0494791666666	449.2319791666667	1715712	2248	0.38704893902196724	2675	32.0	1.0
1437.5886524822693	765.5496453900709	3832.4412083872835	1754368	1751040	2736	795.2845612582781	457.8051531456954	1754368	2300	0.46383898314393934	2736	32.0	1.0
1388.2222222222222	793.9555555555555	3827.4061548510276	1792512	1789440	2795	789.0543729026846	454.91385276845637	1792512	2348	0.47892897677118496	2795	32.0	1.0
1448.3720930232557	813.3488372093024	3836.1776367236625	1830784	1827840	2856	781.0386183110368	447.5801107859532	1830784	2398	0.4821806313073049	2856	32.0	1.0
1456.888888888889	800.8592592592593	3826.230218550945	1869312	1866240	2915	774.0435527408638	432.9278965946844	1869312	2449	0.4589673149383674	2915	32.0	1.0
1463.5135135135135	780.3918918918919	3831.3446569376274	1907968	1904640	2976	803.3958505794702	448.97876138245033	1907968	2487	0.5307649701345162	2976	32.0	1.0
1587.5555555555557	799.8777777777777	3839.8454652036366	1946240	1943040	3035	811.7639527591973	463.09570965719064	1946240	2536	0.5038128850066056	3035	32.0	1.0
1529.0425531914893	824.5744680851063	3833.145801184444	1984256	1981440	3096	793.0608164983165	459.9682765151515	1984256	2585	0.5244752132013196	3096	32.0	1.0
1573.1707317073171	829.9227642276421	3765.1806927249436	2022784	2019200	3154	806.17135589701	471.2595255398671	2022784	2629	0.49199295557778455	3154	32.0	1.0
1461.6666666666667	805.1904761904761	3896.96256226739	2061184	2058240	3216	799.06640625	468.374296875	2061184	2675	0.42772971826695627	3216	32.0	1.0
1486.6346153846155	821.5865384615385	3761.6520505345197	2099584	2096000	3274	803.4104166666667	460.07875	2099584	2731	0.5222608534426525	3274	32.0	1.0
1558.4	840.34	3903.5839829348633	2137728	2135040	3336	808.4647651006711	466.60573091442956	2137728	2759	0.5222222083999265	3336	32.0	1.0
1462.625	831.75	3835.1864309481525	2176512	2173440	3395	874.8795895214521	502.2643873762376	2176512	2802	0.49075222419480147	3395	32.0	1.0
1563.0882352941176	856.8823529411765	3834.962975732491	2215424	2211840	3456	902.3910361842105	516.3527703536184	2215424	2840	0.6034004588107593	3456	32.0	1.0
1609.8863636363637	851.3068181818181	3826.051886326536	2253312	2250240	3515	913.7605574324324	527.5006862331081	2253312	2886	0.6517223443015147	3515	32.0	1.0
1652.2222222222222	895.7333333333333	3837.6254926494303	2291840	2288640	3576	872.9495431893688	509.9242628737542	2291840	2934	0.5694187626731201	3576	32.0	1.0
1681.8918918918919	876.2567567567568	3828.29706684787	2330112	2327040	3635	858.4651964882943	505.54290342809367	2330112	2975	0.547716694363093	3635	32.0	1.0
1624.2424242424242	883.5151515151515	3836.7647824273085	2368512	2365440	3696	933.00859375	546.2447135416667	2368512	3008	0.5181872869124178	3696	32.0	1.0
1540.0	882.2638888888889	3965.275087265009	2407296	2405120	3758	966.1231435643564	571.5309663778878	2407296	3046	0.5918431310884414	3758	32.0	1.0
1790.0	974.6025641025641	3704.9697244065746	2446208	2442240	3816	978.0746299342105	579.2896535773026	2446208	3089	0.5766142398632806	3816	32.0	1.0
1989.516129032258	1082.4032258064517	3967.1484585387175	2484096	2481920	3878	962.9225612331081	574.1131492820946	2484096	3124	0.7039450921358601	3878	32.0	1.0
1670.4054054054054	946.418918918919	3711.729560720025	2522880	2519040	3936	990.9367264851485	582.2235715759076	2522880	3164	0.6160378754138947	3936	32.0	1.0
1877.7083333333335	1008.0833333333333	4028.3201263989695	2560896	2559360	3998	949.9710648148148	557.8335700757576	2560896	3209	0.5697702248730967	3998	32.0	1.0
1717.820512820513	962.1025641025641	3646.1453296992986	2600576	2595840	4056	927.531754032258	547.6141129032258	2600576	3249	0.5754083872869097	4056	32.0	1.0
1760.8064516129032	977.1129032258065	4095.481120427276	2638208	2636800	4120	979.4789009353741	565.6618835034013	2638208	3284	0.5829758723266423	4120	32.0	1.0
2116.060606060606	1189.621212121212	3577.803018720055	2677888	2672640	4176	991.4634576612904	570.7053679435484	2677888	3318	0.5366378149815968	4176	32.0	1.0
1776.09375	944.25	4094.3725219086346	2715648	2713600	4240	1000.421875	580.8172669491526	2715648	3351	0.5280505560804158	4240	32.0	1.0
1827.6829268292684	966.0853658536586	3703.6241819434586	2754816	2750720	4297	994.6795853758169	590.1961805555555	2754816	3395	0.5665892427950575	4297	32.0	1.0
1965.9722222222222	1038.6527777777778	3963.7256481393492	2792960	2790400	4360	997.2396707214765	585.4799444211409	2792960	3432	0.6581211097183681	4360	32.0	1.0
1763.142857142857	986.2	3582.3823222831716	2830976	2826240	4416	1032.1054292929293	592.3303872053872	2830976	3469	0.633516149861472	4416	32.0	1.0
