local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3581.723456248757	37504	35840	56	85.73077749140893	74.2508591065292	37504	0	0.46028019873691456	56	32.0	1.0
475.0	265.75	3577.666351804244	76544	71680	112	306.781762295082	222.5454405737705	76544	4	0.7337140022510928	112	32.0	1.0
688.6486486486486	387.2162162162162	4092.2795542725676	114048	112640	176	579.0758319112628	342.55186113481227	114048	49	0.6378645361401141	176	32.0	1.0
884.1666666666666	511.8333333333333	3582.235317560877	153600	148480	232	690.4105987055016	392.28754550970876	153600	102	0.4827519478276372	232	32.0	1.0
1260.857142857143	659.7428571428571	4090.894750025259	191488	189440	296	756.3175675675676	447.9506967905405	191488	139	0.4612733847461641	296	32.0	1.0
1329.857142857143	737.9428571428572	3769.003496831339	230912	227200	354	825.3239143668832	506.8429890422078	230912	176	0.4982857079855327	354	32.0	1.0
1394.111111111111	834.5555555555555	3899.1522566621743	269184	266240	416	831.8713419732442	513.5062970317725	269184	226	0.47025687752231476	416	32.0	1.0
1457.3809523809523	887.0674603174602	3775.158436503856	307712	304000	474	813.6591569767442	514.350057101329	307712	273	0.47635344968273724	474	32.0	1.0
1345.128205128205	778.8205128205128	3900.83705407686	345984	343040	536	800.5403428093646	513.7779316471572	345984	314	0.5427746359379061	536	32.0	1.0
1386.7857142857142	852.297619047619	3766.442245473933	384384	380800	594	826.9333333333333	520.6872135416667	384384	359	0.5997024972377152	594	32.0	1.0
1521.7073170731708	946.6951219512196	3898.024206245861	422400	419840	656	825.9175084175084	508.3494318181818	422400	404	0.5688458196818829	656	32.0	1.0
1406.0204081632653	834.9591836734694	3773.7096664126348	461184	457600	714	799.6895627062706	492.1212097772277	461184	459	0.5695885340201443	714	32.0	1.0
1486.578947368421	843.0394736842105	3895.7279831366977	500096	496640	776	808.9499383223684	488.5463353207237	500096	498	0.47614234878170875	776	32.0	1.0
1588.6046511627908	974.2209302325581	4013.5404872452264	538496	536960	838	852.8424479166666	497.772421875	538496	544	0.5997451161665301	838	32.0	1.0
1549.468085106383	853.2127659574468	3643.5574233487255	577408	573440	896	848.6184210526316	481.78721217105266	577408	595	0.5968368870430979	896	32.0	1.0
1521.4539007092199	812.5780141843971	4016.191581032976	615296	613760	958	793.6444256756756	451.7060810810811	615296	646	0.512978171749461	958	32.0	1.0
1408.5106382978724	800.9893617021277	3644.5503537882473	654592	650240	1016	789.5343037459284	452.57563110749186	654592	695	0.6135399644744808	1016	32.0	1.0
1634.6341463414635	841.2682926829268	4094.496938482241	692224	691200	1079	792.2996386054422	452.804793792517	692224	736	0.5739627661449569	1079	32.0	1.0
1530.0	817.9146341463414	3580.582132176734	731904	727040	1136	828.5877016129032	486.42058971774196	731904	778	0.4964590939252	1136	32.0	1.0
1346.5384615384614	779.8974358974359	4090.360899242454	769664	768000	1200	855.7441737288135	492.9375	769664	825	0.5418782097985968	1200	32.0	1.0
1546.3513513513512	802.1756756756756	3580.0855788077324	808704	803840	1256	872.5837602459017	509.25548155737704	808704	865	0.5540682102686593	1256	32.0	1.0
1676.388888888889	929.6111111111111	4082.663875288355	846976	844800	1320	885.465614548495	524.8633988294314	846976	901	0.5774409712757915	1320	32.0	1.0
1722.0	973.9833333333333	3702.701807183142	886016	881920	1377	941.8998463114754	555.0129098360655	886016	935	0.6472076271709643	1377	32.0	1.0
1787.948717948718	935.8461538461538	3965.363045071289	924032	921600	1440	902.823547979798	541.5769412878788	924032	979	0.5920293709588429	1440	32.0	1.0
1583.5714285714287	899.0833333333334	3766.958338647247	962944	959360	1498	922.9702919407895	552.1885793585526	962944	1023	0.5960290801936182	1498	32.0	1.0
1686.081081081081	935.8783783783783	3901.261966502477	1001088	998400	1560	911.4909291107383	540.0465866191275	1001088	1064	0.5642847053466304	1560	32.0	1.0
1512.837837837838	864.8648648648649	3766.0144996994477	1039744	1036160	1618	929.9332574503311	541.3738100165563	1039744	1105	0.5489799364887434	1618	32.0	1.0
2030.8974358974358	1064.5641025641025	3898.679348359598	1077888	1075200	1680	931.7150796979865	546.6850880872483	1077888	1149	0.5590845779065163	1680	32.0	1.0
1514.1379310344828	815.2758620689655	3836.3286782070504	1116672	1113600	1739	926.6047854785479	555.0647431930693	1116672	1180	0.4944249333466514	1739	32.0	1.0
1467.6470588235295	869.2647058823529	3837.72507289678	1155840	1152000	1800	982.7553104575163	600.3728043300654	1155840	1214	0.4571183489971474	1800	32.0	1.0
1951.4705882352941	1165.485294117647	4094.4102851988205	1194240	1192960	1864	989.346875	602.6391927083333	1194240	1251	0.6798680415377021	1864	32.0	1.0
1680.0406504065038	960.060975609756	3580.285189838967	1233280	1228800	1920	985.6790471311475	595.6597848360656	1233280	1297	0.6617032999971083	1920	32.0	1.0
1823.6764705882354	970.9264705882352	4021.683413382067	1270656	1269120	1982	1020.0347816780821	602.2180008561644	1270656	1334	0.5878439245204772	1982	32.0	1.0
1700.0	1005.8088235294117	3643.003176385463	1309568	1305600	2040	1025.6049547697369	589.8862818667764	1309568	1369	0.568823299531279	2040	32.0	1.0
2034.5588235294117	1130.5441176470588	4012.6619783323235	1347456	1345920	2102	1048.0590160472973	587.1459301097973	1347456	1407	0.5368171074698048	2102	32.0	1.0
2250.185185185185	1208.9259259259259	3644.1987176395546	1387264	1382400	2160	1061.5733018488745	592.4627713022508	1387264	1437	0.4621710782421046	2160	32.0	1.0
1857.2619047619048	965.2380952380952	4091.050908967947	1425024	1423360	2224	1065.1525423728813	593.6856726694915	1425024	1480	0.7176302652806044	2224	32.0	1.0
