local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3582.2262688838914	36992	35840	55	81.88697735191637	73.25087108013938	36992	0	0.6167059791359034	55	32.0	1.0
395.0	274.5	3581.000339843272	74880	71680	112	345.5864653716216	218.74063027871622	74880	2	0.6897387967297905	112	32.0	1.0
706.8571428571429	382.45714285714286	3758.559094476726	113024	109440	170	618.5405306208054	343.69339869966444	113024	41	0.670377681866802	170	32.0	1.0
936.829268292683	518.170731707317	3902.312655870274	150784	148480	232	727.8596398305085	411.24290254237286	150784	87	0.39616439599663983	232	32.0	1.0
1308.0555555555557	661.3611111111111	3580.517742163221	188928	184320	288	760.5332424496644	459.0439125419463	188928	127	0.5489501216049705	288	32.0	1.0
1372.1153846153845	773.3076923076923	3967.6934105314367	226176	224000	350	823.4541451890034	517.9787908075601	226176	154	0.5731846477475858	350	32.0	1.0
1604.6666666666667	858.9	3707.019484472537	263808	261120	408	891.4663052721088	569.6472417091836	263808	185	0.5760037742298225	408	32.0	1.0
1545.909090909091	912.7272727272727	3631.3559332210966	302208	297600	464	914.4111979166667	590.558828125	302208	222	0.5027523805786457	464	32.0	1.0
1852.857142857143	1111.6785714285713	4024.818896243563	339328	337920	528	957.1182650862069	608.4444773706897	339328	251	0.6635306403040886	528	32.0	1.0
1711.875	1009.40625	3577.809575588464	377600	373760	584	988.9177466555184	622.2443561872909	377600	287	0.626410059896963	584	32.0	1.0
1849.7222222222222	1097.8472222222222	3762.2052605337444	415104	411520	642	972.6173208191126	609.5481015358362	415104	327	0.5739215342649098	642	32.0	1.0
1912.1666666666667	1137.0666666666666	3902.5362362845126	452864	450560	704	1002.5206567796611	612.3483050847458	452864	358	0.6747014991218044	704	32.0	1.0
2003.9473684210527	1189.8026315789473	3573.9432402375746	491136	486400	760	1025.7007734113713	605.833429138796	491136	397	0.6724238353116172	760	32.0	1.0
1993.2692307692307	1139.9038461538462	3890.5404847502896	528000	525440	820	1033.816189236111	598.3150770399305	528000	424	0.7204399717350801	820	32.0	1.0
1869.8484848484848	947.5757575757576	3774.435891384407	566144	563200	880	1078.5392197986578	615.2467491610738	566144	460	0.6469670871893565	880	32.0	1.0
1938.4057971014495	1106.927536231884	3578.700255687671	604288	599040	936	1062.3054739932886	598.0183252936241	604288	508	0.6786872544991118	936	32.0	1.0
2093.2258064516127	1078.1290322580646	4017.0359495900216	640896	639360	998	1012.6062609265734	569.6708096590909	640896	542	0.5793626170244909	998	32.0	1.0
2133.478260869565	1101.2826086956522	3647.762834328432	679040	675840	1056	1063.0628670302012	599.5660916526846	679040	567	0.6666966653589544	1056	32.0	1.0
2052.0833333333335	1158.4166666666667	3773.3044509586316	717312	713600	1115	1124.5696592809365	627.0548181438127	717312	594	0.6060052089771982	1115	32.0	1.0
2148.2258064516127	1171.1451612903227	3898.1338917022595	754560	752640	1176	1188.2482280927834	643.1964669243986	754560	628	0.701703173215272	1176	32.0	1.0
2249.222222222222	1152.6222222222223	3580.0804630550506	792320	788480	1232	1124.834745762712	593.9894862288136	792320	674	0.700309227087668	1232	32.0	1.0
2197.777777777778	1063.111111111111	3903.8313488387084	830080	827520	1292	1122.2402012711864	589.4622616525423	830080	701	0.9166812575111787	1292	32.0	1.0
