local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3061.998488594593	35584	30720	48	233.23143115942028	70.5	35584	0	0.46730924777997035	48	32.0	1.0
		3573.785287342014	71552	66560	104	1321.883340747331	209.7508896797153	71552	0	0.5729876723406571	104	32.0	1.0
		3576.591432565386	107520	102400	160	3954.445618327402	350.2491103202847	107520	0	0.4843819072203977	160	32.0	1.0
		3634.4067960425477	143488	138880	216	6910.4926601423485	490.7508896797153	143488	0	0.4305635044085128	216	32.0	1.0
		3574.684675335546	179328	174720	272	9225.40736607143	631.0	179328	0	0.471237488090992	272	32.0	1.0
10160.0	802.0	3705.8782339259196	215424	211840	330	11771.36524822695	767.2403313386525	215424	5	0.5347329909945356	330	32.0	1.0
14536.363636363636	925.8181818181819	3835.987686734087	251776	250240	390	14086.933318661971	881.5385398327464	251776	16	0.48558841943740844	390	32.0	1.0
15744.444444444445	1071.888888888889	3646.0302084797822	288640	286720	448	16014.189995659723	986.4249674479166	288640	25	0.3527828366335096	448	32.0	1.0
18638.88888888889	1200.9444444444443	3579.532650563088	324480	322560	504	17559.333147321428	1064.9210100446428	324480	44	0.3578063876235059	504	32.0	1.0
21006.896551724138	1338.5862068965516	3582.4615493434244	360320	358400	560	17784.93582589286	1075.31796875	360320	76	0.37916886939534117	560	32.0	1.0
23278.78787878788	1490.4242424242425	3576.6453844434714	396160	394240	616	17404.425223214286	1047.5501116071428	396160	111	0.39663070413683144	616	32.0	1.0
25754.545454545456	1622.6818181818182	3572.627364273825	432256	430080	672	16761.33643617021	1000.9107657358156	432256	133	0.38995186731751474	672	32.0	1.0
28709.677419354837	1753.2903225806451	3575.6195564152385	469504	465920	728	15927.60685137457	943.9915700171821	469504	166	0.3800720033634986	728	32.0	1.0
31339.130434782608	1887.8695652173913	3583.044590694849	504960	501760	784	14955.798736462093	877.4048962093863	504960	190	0.3991580790440951	784	32.0	1.0
35750.0	2047.157894736842	3583.1894411702674	541184	537600	840	14790.906581272086	874.1371466431095	541184	210	0.38214264969740597	840	32.0	1.0
36022.22222222222	2039.0	3576.106449337337	577152	573440	896	14892.696285587188	866.8403858985765	577152	228	0.35475584704961094	896	32.0	1.0
39900.0	2175.0	3581.2882715650408	613248	609280	952	15389.57502216312	885.0961602393617	613248	240	0.31752253669713226	952	32.0	1.0
31350.0	1792.857142857143	3632.24487252466	650368	645760	1008	16261.678340517241	924.5179418103448	650368	254	0.390682155000312	1008	32.0	1.0
33285.71428571428	1836.4285714285713	3646.9811104618934	686336	682240	1065	16914.55738434164	957.1887789145908	686336	268	0.3417911449806732	1065	32.0	1.0
29313.333333333332	1673.6	3582.4268016991496	722304	718080	1121	17767.301490213522	1001.3219528469751	722304	283	0.379972360362964	1121	32.0	1.0
34385.0	1859.65	3578.700340884367	758016	753920	1177	18413.701276881722	1021.6097950268817	758016	303	0.3474168044381908	1177	32.0	1.0
28547.36842105263	1646.0	3646.5880711013156	794112	790400	1235	18545.113031914894	1029.485039893617	794112	322	0.3742054100951244	1235	32.0	1.0
31260.0	1730.7	3758.670861802769	830208	828160	1293	18590.029366134753	1027.5159851507092	830208	343	0.3168036911379674	1293	32.0	1.0
35845.833333333336	1922.5416666666667	3645.167595455563	866176	864640	1350	18230.888567615657	1010.1301434608541	866176	367	0.37175178893825467	1350	32.0	1.0
30993.75	1760.625	3647.8924149771374	902528	901120	1408	18061.512433978874	998.6082471390845	902528	383	0.318988680582622	1408	32.0	1.0
32173.684210526317	1810.3684210526317	3582.6364930548993	939520	936960	1464	18937.96766868512	1040.181579801038	939520	402	0.39609976086233345	1464	32.0	1.0
33930.434782608696	1860.0434782608695	3580.701366422243	975616	972800	1520	18715.134640957447	1024.9259197695035	975616	425	0.36845244680132183	1520	32.0	1.0
37135.71428571428	2053.1666666666665	3583.385042058641	1012224	1008640	1576	18656.353802447553	1016.103201486014	1012224	447	0.41241868226123707	1576	32.0	1.0
39976.92307692308	2173.769230769231	3575.3558355840864	1048576	1044480	1632	18205.53202024648	993.0182933538732	1048576	460	0.41495841754866497	1632	32.0	1.0
38925.0	2045.0	3578.8494413178855	1085312	1080320	1688	18096.67900696864	990.5587979094076	1085312	484	0.379389022210879	1688	32.0	1.0
34250.0	1840.5625	3580.5114312136657	1121024	1116160	1744	18136.769153225807	994.7799059139785	1121024	500	0.3680404545739293	1744	32.0	1.0
32671.428571428572	1806.8214285714287	3581.9096793360445	1157120	1152000	1800	18377.476728723403	1005.4711879432624	1157120	515	0.4086976531626923	1800	32.0	1.0
33044.117647058825	1800.3529411764705	3695.9472342608688	1193216	1189120	1857	18886.5663785461	1028.0846631205675	1193216	533	0.33453735944471863	1857	32.0	1.0
33476.31578947369	1860.1842105263158	3645.9520170802493	1229312	1225600	1915	19055.35239361702	1033.682845744681	1229312	553	0.34151169413636473	1915	32.0	1.0
39314.28571428572	2009.4285714285713	3758.5704225462414	1265408	1263360	1973	19058.876329787236	1034.45703125	1265408	567	0.3768497237871433	1973	32.0	1.0
40294.444444444445	2111.0	3698.4535658952186	1301504	1300480	2031	19476.94758421986	1064.5761580230496	1301504	585	0.3401558266888405	2031	32.0	1.0
40888.88888888889	2181.9166666666665	3577.1259172902223	1337984	1336320	2088	19739.925986842107	1073.5673519736843	1337984	604	0.4047544079653004	2088	32.0	1.0
35547.82608695652	1903.0434782608695	3577.72135791797	1374208	1372160	2144	19369.528489399294	1051.909176236749	1374208	627	0.3908821559910263	2144	32.0	1.0
35904.34782608696	1963.2391304347825	3572.246084086263	1410304	1408000	2200	18344.788896276597	996.782579787234	1410304	651	0.414374810377402	2200	32.0	1.0
33672.72727272727	1719.2727272727273	3577.005984763849	1446656	1443840	2256	18376.386443661973	1002.283808318662	1446656	662	0.3493680538875716	2256	32.0	1.0
33005.0	1823.5	3576.751165483695	1482752	1479680	2312	19280.35239361702	1045.6656416223404	1482752	682	0.3927814180829695	2312	32.0	1.0
33282.35294117647	1878.8823529411766	3578.4693023556424	1519360	1515520	2368	19302.398382867133	1042.4469241695804	1519360	699	0.3832761395190443	2368	32.0	1.0
36014.28571428572	1915.5714285714287	3580.0137890821047	1554816	1551360	2424	19305.739508122744	1040.7429772111914	1554816	721	0.3445220739979829	2424	32.0	1.0
41725.0	2100.8125	3577.7216985183704	1590784	1587200	2480	19373.662700177934	1043.7230315836298	1590784	737	0.43859751895070076	2480	32.0	1.0
39126.666666666664	2104.6666666666665	3580.4023576411537	1627264	1623040	2536	19477.801535087718	1049.399808114035	1627264	752	0.31533710532156484	2536	32.0	1.0
43315.78947368421	2201.684210526316	3578.501673213714	1663616	1658880	2592	19048.280699823943	1033.8520576584508	1663616	773	0.41126547248235773	2592	32.0	1.0
39430.0	2141.5	3572.3668012725875	1699456	1694720	2648	19322.606026785714	1051.5585658482144	1699456	783	0.359909961266177	2648	32.0	1.0
37616.666666666664	1957.0555555555557	3581.837731090755	1735296	1730560	2704	20025.95145089286	1086.8576450892858	1735296	801	0.36419526234801325	2704	32.0	1.0
40726.666666666664	2095.133333333333	3628.856530395948	1771648	1767040	2760	20318.615206866198	1099.6743232834508	1771648	816	0.3137597631929176	2760	32.0	1.0
36940.0	1917.6666666666667	3839.764906971905	1808000	1805440	2820	20360.332306338027	1105.9456701144366	1808000	831	0.34595293514430525	2820	32.0	1.0
41841.17647058824	2123.705882352941	3644.9786412139156	1844096	1841920	2878	20944.099069148935	1141.8463818705675	1844096	848	0.44743705348208035	2878	32.0	1.0
38403.125	2019.1875	3580.4044895863203	1879808	1877760	2933	20576.078068996416	1124.2261704749103	1879808	865	0.370646818253127	2933	32.0	1.0
38523.333333333336	2052.3333333333335	3647.5755239455134	1915904	1914240	2990	20475.437721631206	1123.2902260638298	1915904	881	0.3098913007660916	2990	32.0	1.0
39110.52631578947	2165.6315789473683	3573.592686969915	1951616	1950080	3046	20689.642137096773	1131.202844982079	1951616	901	0.37599892701421467	3046	32.0	1.0
35930.555555555555	1953.5277777777778	3644.6582626627155	1987584	1986560	3103	20412.408251779358	1115.4718916814948	1987584	920	0.34888313468872456	3103	32.0	1.0
39818.75	2103.625	3579.6312717159303	2023552	2022400	3159	20761.268349644128	1133.0113712188613	2023552	936	0.31241416997675386	3159	32.0	1.0
42955.0	2230.15	3574.830550909304	2060160	2058240	3216	20153.854348776225	1100.2421328671328	2060160	956	0.32931597177919586	3216	32.0	1.0
36752.380952380954	2009.7619047619048	3580.4081565379465	2096768	2094080	3272	19818.943946678322	1081.7861123251748	2096768	977	0.34711172950587105	3272	32.0	1.0
39587.5	2123.875	3573.6473979773846	2132864	2129920	3328	19678.349401595744	1070.255346852837	2132864	993	0.3727192558082087	3328	32.0	1.0
43286.36363636364	2252.5	3581.151679515156	2169088	2165760	3384	19590.38206713781	1059.956382508834	2169088	1015	0.3782359456111278	3384	32.0	1.0
46804.545454545456	2327.7272727272725	3576.0551509098436	2205696	2201600	3440	19221.896853146853	1040.4676573426573	2205696	1027	0.38361377495207954	3440	32.0	1.0
34833.333333333336	1961.5555555555557	3574.6570487268764	2242048	2237440	3496	20605.460497359156	1105.2523657570423	2242048	1036	0.3692507169741605	3496	32.0	1.0
42477.27272727273	2200.318181818182	3582.8765241612014	2278144	2273280	3552	22003.25243794326	1166.672456781915	2278144	1048	0.3414680590587003	3552	32.0	1.0
42800.0	2124.766666666667	3707.3445879911205	2314496	2310400	3609	22268.532680457745	1180.6964128521126	2314496	1064	0.4341446796530171	3609	32.0	1.0
41223.529411764706	2137.0	3771.6260761268404	2350720	2348160	3668	22505.733767667843	1191.304301015901	2350720	1081	0.4063802627941309	3668	32.0	1.0
35312.5	1916.85	3640.310942958389	2386816	2384640	3725	22100.63441932624	1168.5019392730496	2386816	1102	0.36446440690442133	3725	32.0	1.0
42445.0	2131.275	3639.19065603024	2422656	2421120	3782	21881.7578125	1154.85390625	2422656	1124	0.3733488151378799	3782	32.0	1.0
40914.705882352944	2127.205882352941	3581.5395564846863	2458496	2456960	3838	21261.328125	1129.2447265625	2458496	1142	0.41691719873675276	3838	32.0	1.0
40785.71428571428	2140.5	3641.193701063376	2494464	2493440	3895	21137.78636565836	1122.5175989768684	2494464	1156	0.35021910816431046	3895	32.0	1.0
