local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3063.7301351789374	34432	30720	48	171.76673689138576	68.25093632958801	34432	0	0.5113264315392977	48	32.0	1.0
		3572.3284289617627	68608	66560	104	866.652036516854	201.74906367041197	68608	0	0.48454529805374996	104	32.0	1.0
		3580.7490452851184	103808	102400	160	2769.7272727272725	337.2509090909091	103808	0	0.5049601551145315	160	32.0	1.0
		3455.7061956335633	139136	136960	213	5795.737092391304	475.0	139136	0	0.35393583198200984	213	32.0	1.0
		3381.4515870309183	174464	170880	266	8154.347826086957	613.0	174464	0	0.41803729702841563	266	32.0	1.0
11000.0	803.0	3574.591511618694	210304	206720	322	10525.85658482143	751.1793805803571	210304	2	0.42670710158667396	322	32.0	1.0
12562.5	897.75	3641.6087192856603	246272	243200	379	12823.974088078292	873.6336465747331	246272	10	0.3717900280628288	379	32.0	1.0
15611.111111111111	1041.4444444444443	3646.9453840121582	282368	279680	437	14805.305296985816	983.0544104609929	282368	19	0.39609287846191177	437	32.0	1.0
16462.5	1164.5833333333333	3644.3455788921683	318336	316160	493	16006.94506227758	1042.4515680604982	318336	43	0.3908049552036183	493	32.0	1.0
19653.125	1313.4375	3508.7763267545934	353920	351360	548	16054.302495503596	1044.7092513489208	353920	77	0.3582516223192215	548	32.0	1.0
20785.714285714286	1456.3428571428572	3455.3220842973783	389504	385920	602	15640.56598471223	997.9705485611511	389504	115	0.3989836151401202	602	32.0	1.0
25166.666666666668	1591.3333333333333	3516.144258046041	425344	421120	658	15273.45703125	955.8273716517857	425344	138	0.4372665456363133	658	32.0	1.0
26484.48275862069	1726.5172413793102	3514.366612185548	460928	456320	712	14639.90276528777	910.6462455035971	460928	168	0.33186765553222763	712	32.0	1.0
30050.0	1889.090909090909	3512.017062123567	496640	491520	768	14341.204637096775	880.46583781362	496640	194	0.33409026611064163	768	32.0	1.0
32553.333333333332	1994.1	3583.8896884539654	531840	527360	824	13899.272727272728	847.7444602272727	531840	211	0.3476191894816501	824	32.0	1.0
34318.75	1944.3125	3582.173258213522	567680	563200	880	13857.371651785714	837.8036551339286	567680	227	0.39466054631131037	880	32.0	1.0
28275.0	1811.3333333333333	3575.3459712578288	602880	599040	936	14748.803977272728	880.0025852272727	602880	239	0.35654684714972973	936	32.0	1.0
35294.117647058825	1983.764705882353	3581.3328091392736	638208	634880	992	15432.894587862318	910.4014945652174	638208	256	0.34912640055907623	992	32.0	1.0
34308.333333333336	1956.75	3574.590661607137	673664	670720	1048	16147.39113267148	945.21497066787	673664	268	0.3573308064203177	1048	32.0	1.0
33653.333333333336	1853.0	3583.5071966764826	709120	706560	1104	16883.382220216605	985.0130302346571	709120	283	0.42056578477578505	1104	32.0	1.0
25137.5	1506.21875	3578.8817338484964	745344	742400	1160	17501.86340547703	1015.2646863957597	745344	301	0.3839407731512828	1160	32.0	1.0
31915.909090909092	1785.590909090909	3574.297006809893	780672	778240	1216	17342.094089673912	1007.3777173913044	780672	324	0.3994623553007841	1216	32.0	1.0
28288.88888888889	1693.361111111111	3583.7999745430848	815872	814080	1272	17688.366477272728	1028.8245454545454	815872	344	0.421982160769403	1272	32.0	1.0
29245.454545454544	1765.7727272727273	3575.684705959925	851840	849920	1328	17631.975645017792	1018.6672597864768	851840	366	0.4040551107110722	1328	32.0	1.0
31052.17391304348	1795.1304347826087	3582.1713802475338	886912	885760	1384	17104.336792883212	979.4878250456204	886912	389	0.3684704443439841	1384	32.0	1.0
33768.42105263158	1902.6842105263158	3503.294655222342	922496	920960	1438	17046.279226618706	980.3347009892086	922496	408	0.41780304149897013	1438	32.0	1.0
32915.38461538462	1918.4423076923076	3515.7032569728926	958208	956160	1493	16271.667786738351	928.1282202060931	958208	435	0.3618061435493556	1493	32.0	1.0
31700.0	1829.0	3638.0853313493753	994176	992640	1550	16335.058941281139	928.1362044039146	994176	450	0.33853584201189507	1550	32.0	1.0
30231.25	1784.0	3582.5599050522046	1030144	1028480	1606	17079.156472419927	960.2712133007118	1030144	467	0.3741102792056544	1606	32.0	1.0
33347.36842105263	1866.157894736842	3639.768159684475	1065984	1064960	1663	17337.815290178572	969.6443638392857	1065984	486	0.37173870127452047	1663	32.0	1.0
39314.28571428572	2082.214285714286	3569.950361103852	1101824	1100800	1719	17508.108258928572	979.3549386160714	1101824	501	0.3551345854731543	1719	32.0	1.0
28119.04761904762	1605.904761904762	3503.8501258402393	1137536	1136000	1774	17811.329525089604	990.8248767921147	1137536	522	0.40284323177554393	1774	32.0	1.0
34904.545454545456	1919.3636363636363	3440.8504445375847	1173120	1170560	1828	18114.80440647482	1001.4034959532374	1173120	544	0.37108346461145963	1828	32.0	1.0
34265.0	1855.7	3570.6811498191546	1208960	1206400	1884	17194.665178571428	954.08203125	1208960	565	0.303059003315866	1884	32.0	1.0
35011.76470588235	1910.7058823529412	3453.7366242744583	1244672	1240960	1939	17388.2084453405	963.825912858423	1244672	582	0.3633063184944066	1939	32.0	1.0
34257.142857142855	1833.7142857142858	3518.712331877184	1280384	1276160	1993	17888.113239247312	989.1978046594982	1280384	596	0.3866188651709645	1993	32.0	1.0
31690.909090909092	1797.7272727272727	3579.6877874101	1316096	1312000	2049	18510.173051075268	1015.4310875896057	1316096	618	0.3938882961603148	2049	32.0	1.0
32691.176470588234	1826.4117647058824	3709.952686193594	1352192	1349120	2107	18412.40857712766	998.4024545656029	1352192	636	0.36171797303290204	2107	32.0	1.0
31266.666666666668	1728.8	3636.950679842719	1388160	1385600	2164	19041.85108985765	1032.7315391459074	1388160	651	0.4149250395988163	2164	32.0	1.0
39319.04761904762	2026.7380952380952	3631.7337999362417	1424128	1422080	2221	19200.469862099642	1033.7626223309608	1424128	673	0.3666565935862692	2221	32.0	1.0
32568.0	1832.18	3518.2486364059564	1459968	1457280	2276	18519.29129464286	1003.7306082589286	1459968	699	0.37887154519557953	2276	32.0	1.0
36910.0	1969.8	3575.323691686758	1495680	1493120	2332	17658.434139784946	960.3536066308244	1495680	719	0.3183451546356082	2332	32.0	1.0
35521.42857142857	1857.9285714285713	3633.3471682819827	1531648	1529600	2389	17854.142571174376	978.0900800711744	1531648	733	0.36072521722107603	2389	32.0	1.0
38515.625	1980.34375	3638.291652637406	1567616	1566080	2446	18076.670929715303	990.5946674822064	1567616	750	0.3888307455600354	2446	32.0	1.0
37788.23529411765	2007.6764705882354	3647.9345958991976	1603712	1602560	2504	18473.55108599291	1015.5785682624113	1603712	768	0.3352676281898186	2504	32.0	1.0
33344.117647058825	1749.9411764705883	3516.73999862941	1639424	1637760	2558	17909.977038530466	988.6802475358423	1639424	786	0.32844657395724897	2558	32.0	1.0
33622.22222222222	1883.0	3644.9228965081584	1676288	1674240	2616	19129.139539930555	1055.001003689236	1676288	795	0.3874362341031946	2616	32.0	1.0
36658.69565217391	1971.9347826086957	3580.6512154286474	1713664	1710080	2672	19260.578981164384	1052.9478007277398	1713664	820	0.36367075817127315	2672	32.0	1.0
34710.52631578947	1911.1052631578948	3582.5045793014906	1750656	1745920	2728	19133.588343425607	1046.9893490484428	1750656	840	0.39599593076854944	2728	32.0	1.0
34359.375	1895.09375	3829.543019247189	1787392	1784320	2787	19197.446646341465	1050.1654780052265	1787392	858	0.34027338709871646	2787	32.0	1.0
36880.95238095238	2026.3333333333333	3835.978550604614	1824128	1822720	2848	18818.29268292683	1028.1802047038327	1824128	879	0.3973491356753912	2848	32.0	1.0
37752.17391304348	1994.6521739130435	3577.748521003549	1861504	1858560	2904	18695.95462328767	1021.8545858304794	1861504	902	0.35047703316169126	2904	32.0	1.0
34265.0	1832.8	3581.1022837065047	1898752	1894400	2960	18276.331615120274	1004.4208816580756	1898752	922	0.3275590371340513	2960	32.0	1.0
33286.36363636364	1773.1818181818182	3759.0054007026283	1935744	1932160	3018	17916.400843425607	985.1267571366782	1935744	944	0.416319473807154	3018	32.0	1.0
37840.90909090909	2039.1818181818182	3830.9296481473784	1972096	1970560	3078	18606.860695422536	1018.2531360035211	1972096	956	0.3816031785060962	3078	32.0	1.0
41204.166666666664	2150.7083333333335	3645.9133570162016	2009600	2007040	3136	19361.110814846415	1056.7070979095563	2009600	969	0.31643105657963916	3136	32.0	1.0
37815.0	2018.35	3580.793484152048	2047232	2042880	3192	19941.47799744898	1083.0746704931973	2047232	989	0.33327179894383463	3192	32.0	1.0
35919.04761904762	1898.6190476190477	3709.1583751185494	2084224	2080000	3250	19203.59266868512	1044.0120836937717	2084224	1010	0.3724890120070556	3250	32.0	1.0
34586.666666666664	1932.9	3835.3145618879526	2120448	2118400	3309	19731.45980565371	1069.0243484982332	2120448	1026	0.3779846083814815	3309	32.0	1.0
40015.38461538462	2088.076923076923	3705.3915588815075	2157440	2155520	3368	20422.223724048443	1094.5475508217994	2157440	1039	0.33192105439759917	3368	32.0	1.0
38805.0	2043.675	3582.7989865839154	2194944	2191360	3424	20299.336070819114	1083.449818686007	2194944	1062	0.3134291080225791	3424	32.0	1.0
42238.46153846154	2150.230769230769	3641.850459648272	2232448	2227840	3480	20355.068792662118	1087.4057700511946	2232448	1075	0.3775532626147781	3480	32.0	1.0
36968.42105263158	2015.1315789473683	3885.150788803947	2268928	2266880	3541	20491.472039473683	1095.4573190789474	2268928	1095	0.41368250854191235	3541	32.0	1.0
33923.80952380953	1797.404761904762	3709.615899891913	2306560	2304000	3600	20811.80644132653	1102.1219175170068	2306560	1117	0.33279300039097415	3600	32.0	1.0
37216.666666666664	1982.5	3582.1453450128483	2343936	2339840	3656	20899.654858732876	1100.4792647688357	2343936	1129	0.40408828255853485	3656	32.0	1.0
42794.444444444445	2148.277777777778	3770.146987888423	2381184	2377600	3714	21300.102018900343	1116.5830648625429	2381184	1147	0.3867474939545681	3714	32.0	1.0
42871.42857142857	2148.5	3899.7963539848324	2418688	2416640	3776	21592.528796928327	1136.5786582764506	2418688	1161	0.33975247005301135	3776	32.0	1.0
43653.125	2231.78125	3576.3081693659187	2456448	2452480	3832	21719.841101694914	1138.5074947033897	2456448	1178	0.3342548604788525	3832	32.0	1.0
40805.26315789474	2019.7894736842106	3772.7124731973913	2493952	2490240	3891	21662.118707337882	1143.4184886945393	2493952	1197	0.3995171871225713	3891	32.0	1.0
43750.0	2193.8636363636365	3892.5661141777296	2530944	2529280	3952	21199.956747404845	1121.2837640570933	2530944	1220	0.3389432698366095	3952	32.0	1.0
44336.36363636364	2285.181818181818	3580.4824352448773	2568704	2565120	4008	21450.94279661017	1128.7179819915254	2568704	1231	0.347246568250869	4008	32.0	1.0
46733.333333333336	2370.4666666666667	3639.2329821828434	2606208	2601600	4064	21982.033916382254	1148.0006132679182	2606208	1246	0.37982665108782904	4064	32.0	1.0
47778.57142857143	2315.3928571428573	4013.976027415387	2642944	2641920	4127	22398.91387195122	1167.118956881533	2642944	1262	0.3290513710133613	4127	32.0	1.0
38690.90909090909	2006.3181818181818	3572.980275905344	2680320	2677760	4184	22873.90303938356	1191.228301583904	2680320	1274	0.3619841518893577	4184	32.0	1.0
44847.05882352941	2239.235294117647	3576.6493840954536	2718336	2713600	4240	22867.792508417508	1190.7353745791245	2718336	1291	0.3599708498056446	4240	32.0	1.0
43431.25	2231.3125	3889.369464002788	2755200	2752640	4300	23673.014322916668	1222.2815483940972	2755200	1307	0.3289858512580395	4300	32.0	1.0
44065.625	2211.5	3766.8109586125784	2791808	2790400	4360	23385.459462412586	1205.3382320804196	2791808	1325	0.3843809477984905	4360	32.0	1.0
48616.666666666664	2386.6666666666665	3574.093389150085	2829312	2826240	4416	23435.129586177474	1210.2242694112629	2829312	1337	0.40369574699018684	4416	32.0	1.0
44523.529411764706	2187.3529411764707	3576.8522717949686	2866944	2862080	4472	23611.732036564626	1227.8712266156463	2866944	1354	0.33675853602055994	4472	32.0	1.0
43303.125	2257.0625	3833.9224758726164	2903552	2900480	4531	24124.598448426572	1248.676218312937	2903552	1371	0.43935138643798183	4531	32.0	1.0
47417.64705882353	2293.705882352941	3707.1546210412953	2939648	2937600	4589	23724.565048758865	1223.665974069149	2939648	1388	0.3380083229778142	4589	32.0	1.0
48978.57142857143	2511.3571428571427	3452.463498074263	2975360	2972160	4643	23579.28427419355	1216.33739359319	2975360	1402	0.3729411213210336	4643	32.0	1.0
45720.0	2355.5	3518.206130116018	3011072	3007360	4698	23937.4271953405	1230.0782370071684	3011072	1413	0.3726250439882278	4698	32.0	1.0
55135.71428571428	2554.8571428571427	3518.293994349073	3046656	3042560	4753	25084.009667266186	1271.8742693345323	3046656	1427	0.3311247145587748	4753	32.0	1.0
53477.77777777778	2525.222222222222	3517.197179829154	3082368	3077760	4808	25612.497199820788	1294.0760528673836	3082368	1436	0.4424931313503872	4808	32.0	1.0
50775.0	2379.25	3775.717426848343	3118720	3115520	4867	27022.480193661973	1355.9620653609154	3118720	1444	0.3465047944652832	4867	32.0	1.0
48577.27272727273	2306.5454545454545	3711.5953291549627	3154816	3152640	4926	27792.927194148935	1387.2098293439717	3154816	1456	0.34349641216508414	4926	32.0	1.0
52381.818181818184	2499.6363636363635	3699.2476050564023	3190784	3189760	4983	28681.95896352313	1427.2059052491104	3190784	1467	0.34260553931980803	4983	32.0	1.0
47603.846153846156	2492.076923076923	3583.7006963839667	3227392	3225600	5040	29260.612434440558	1442.4371722027972	3227392	1481	0.42009935214331273	5040	32.0	1.0
62187.5	2991.75	3581.6038125852356	3263872	3261440	5096	29948.470394736843	1463.0640899122807	3263872	1489	0.3953015735106809	5096	32.0	1.0
53546.666666666664	2574.866666666667	3577.095954684744	3301120	3297280	5152	31085.73883161512	1504.6712038230241	3301120	1504	0.4424754474312067	5152	32.0	1.0
63600.0	3031.8571428571427	3576.1377565635207	3337856	3333120	5208	32140.377286585364	1537.9147974738676	3337856	1511	0.36506474683327333	5208	32.0	1.0
59380.0	2914.0	3643.3037448652713	3374208	3369600	5264	32941.68408890845	1560.3392935739437	3374208	1521	0.3711907568254641	5264	32.0	1.0
56944.444444444445	2731.6666666666665	3769.931874258639	3410560	3407360	5323	34355.74933978873	1615.535018705986	3410560	1530	0.32332160993147707	5323	32.0	1.0
62162.5	2933.125	3826.2214015314885	3447168	3445760	5384	35783.812281468534	1662.5624726835665	3447168	1538	0.36248453388937185	5384	32.0	1.0
60250.0	2734.9285714285716	3578.669159164537	3483904	3481600	5440	36136.01371951219	1666.6161530923346	3483904	1552	0.4407270188842501	5440	32.0	1.0
67109.09090909091	2997.7272727272725	3577.488487574615	3520640	3517440	5496	36789.748475609755	1687.1384472996515	3520640	1563	0.4134241254734142	5496	32.0	1.0
