local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2552.2784871627555	28800	25600	40	1.5358744394618835	57.25112107623318	28800	0	0.05817812879104167	40	32.0	1.0
		3063.0890579064458	59008	56320	88	5.815346927966102	172.0	59008	0	0.05996337356433893	88	32.0	1.0
10.0	295.0	2749.7010782310886	87424	83840	130	8.747184684684685	286.02245213963965	87424	1	0.06284915893116877	130	32.0	1.0
12.205882352941176	416.7647058823529	2879.8861586749294	117120	112640	176	10.30340786637931	380.3337823275862	117120	36	0.11278173305175226	176	32.0	1.0
15.0	517.5833333333334	2548.522454522917	143488	138240	216	10.413379854368932	421.3462530339806	143488	77	0.08922872705152259	216	32.0	1.0
17.32758620689655	613.8103448275862	3067.5227214459373	173696	168960	264	8.284229343220339	396.8199152542373	173696	140	0.053852220298722386	264	32.0	1.0
14.153846153846153	728.1846153846154	2867.4375821849253	200320	197760	308	5.899939903846154	328.3578350360577	200320	215	0.033524528992446984	308	32.0	1.0
14.558823529411764	804.8235294117648	2747.541562407517	227584	225280	352	5.321302816901408	258.2517238849765	227584	253	0.05287815554236824	352	32.0	1.0
15.0	575.9722222222222	2871.2015073361895	256640	254080	396	7.206428964757709	297.29505093612335	256640	274	0.05522875271906907	396	32.0	1.0
16.818181818181817	504.8636363636364	2687.662560676467	282624	280960	439	9.151016009852217	359.6433959359606	282624	296	0.0648962771303432	439	32.0	1.0
13.14207650273224	592.639344262295	2618.371907250924	308352	307200	480	8.539334577114428	370.16841573383084	308352	364	0.04334874766901499	480	32.0	1.0
15.892857142857142	600.4910714285714	2559.5032092183533	337408	332800	520	7.033659140969163	314.04487885462555	337408	424	0.05663363444618881	520	32.0	1.0
14.75609756097561	663.3536585365854	3071.8445879407977	364800	363520	568	5.976927570093458	300.7389018691589	364800	472	0.05689196125604212	568	32.0	1.0
12.8	687.16	2621.61633966614	394496	389760	609	6.255051185344827	297.1146282327586	394496	501	0.05059748922088524	609	32.0	1.0
12.055555555555554	614.9944444444445	2997.472587301963	421760	419840	656	7.278829225352113	333.06994571596243	421760	535	0.21569388227022074	656	32.0	1.0
12.916666666666666	641.6898148148148	2678.860090389844	450816	446720	697	7.306580396475771	365.49260049559473	450816	574	0.032408382584590736	697	32.0	1.0
13.69047619047619	590.1309523809524	2622.7881895941223	476544	472960	738	7.6278762437810945	368.5319496268657	476544	619	0.055315741848927444	738	32.0	1.0
13.275862068965518	689.3275862068965	2812.0299883899092	502656	501120	782	7.480085784313726	377.9012331495098	502656	653	0.03583545233546333	782	32.0	1.0
15.07246376811594	687.6666666666667	2106.304751827603	527360	522240	816	6.325291450777202	345.9869251943005	527360	710	0.038040281848653275	816	32.0	1.0
12.916666666666666	707.3888888888889	2555.9218512046773	552576	547840	856	6.07193845177665	320.2564641497462	552576	747	0.037314179074019196	856	32.0	1.0
