local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3066.1187274460976	33152	30720	48	138.61867704280155	65.75097276264592	33152	0	0.43040824865359656	48	32.0	1.0
		3325.211511981227	67200	64000	100	623.4433740601504	196.5	67200	0	0.04898542218590872	100	32.0	1.0
		3320.908861195623	101120	97280	152	857.6356132075472	329.24905660377357	101120	0	0.02898759938454112	152	32.0	1.0
		3576.492383196865	135296	133120	208	1030.0503277153557	462.250936329588	135296	0	0.030764396452078863	208	32.0	1.0
1500.0	626.125	3263.483280361536	169472	165760	259	1205.2024812734082	590.6013869382023	169472	8	0.04145922707211153	259	32.0	1.0
1500.0	737.4705882352941	3389.5415079175505	203648	199680	312	1296.0849719101125	684.8994323501872	203648	27	0.06345469554675356	312	32.0	1.0
2000.0	863.5714285714286	3572.9654990921163	236544	235520	367	1431.4810311284048	740.6559156128404	236544	57	0.1465008666738868	367	32.0	1.0
2086.206896551724	1001.0344827586207	3065.6478299711434	270976	266240	416	1447.4326208178438	754.8641960966543	270976	94	0.04381429367907801	416	32.0	1.0
1700.0	1126.34	3573.2512058106154	303744	302080	472	1343.109130859375	682.5643615722656	303744	153	0.03686507920169139	472	32.0	1.0
2393.3333333333335	1240.0	3192.9541618240446	338176	334080	521	1262.081784386617	594.1855250929368	338176	181	0.022165958712599715	521	32.0	1.0
3125.0	1354.15	3446.6737828026335	372096	368640	576	1297.9658018867924	618.9979363207547	372096	202	0.023766770196909256	576	32.0	1.0
2500.0	1393.375	3582.788654186606	405888	404480	632	1327.7994791666667	635.5455137310606	405888	227	0.012696204490826599	632	32.0	1.0
2738.095238095238	1274.0714285714287	3134.8333794064724	440448	435840	680	1329.0509259259259	637.3344328703704	440448	249	0.012932635222872099	680	32.0	1.0
2553.5714285714284	1182.9642857142858	3510.4016639226998	473728	471040	736	1297.3557692307693	641.503125	473728	278	0.018801221391186118	736	32.0	1.0
1685.1851851851852	1106.9259259259259	3390.8619526932703	507648	504960	789	1292.4823113207547	644.0908313679246	507648	306	0.01838526450413859	789	32.0	1.0
2096.7741935483873	1219.274193548387	3258.3111865950978	541568	537600	840	1328.9209905660377	644.1936615566037	541568	338	0.015960944652119103	840	32.0	1.0
2190.4761904761904	1124.857142857143	3577.296339155167	575104	573440	896	1341.4241412213742	645.8859136450382	575104	359	0.021578321931883693	896	32.0	1.0
1685.1851851851852	1172.1666666666667	3132.816694386052	609408	604800	944	1397.2714552238806	686.3208372201492	609408	387	0.019094359207277495	944	32.0	1.0
2961.5384615384614	1211.7692307692307	3519.669876544611	642816	640000	1000	1348.4494731800767	673.4948814655172	642816	416	0.015067628069248582	1000	32.0	1.0
2133.3333333333335	1092.6833333333334	3323.739518845291	676480	673280	1052	1311.5791349809886	664.0764317965779	676480	448	0.016755337808997586	1052	32.0	1.0
2625.0	1329.25	3319.0182512381425	710912	706560	1104	1256.5055762081784	663.0782411710037	710912	478	0.016458610627943508	1104	32.0	1.0
2476.190476190476	1260.7142857142858	3583.2365030139104	744320	742400	1160	1184.3271072796936	646.0065253831417	744320	501	0.01258025859715417	1160	32.0	1.0
2444.4444444444443	1202.4814814814815	3133.7826023084804	778496	773760	1209	1200.4330524344568	649.2312441479401	778496	531	0.015485675093166682	1209	32.0	1.0
2211.5384615384614	1135.8076923076924	3519.0235711021305	811648	808960	1264	1292.652027027027	661.746319980695	811648	558	0.015337658766657113	1264	32.0	1.0
1625.0	1192.642857142857	3441.0423953894374	845568	843520	1317	1450.6485849056603	669.3829009433962	845568	587	0.01652433746933656	1317	32.0	1.0
2637.9310344827586	1230.844827586207	3193.4110406668105	879872	875520	1368	1433.4479944029852	644.5967234141791	879872	620	0.010665963330835687	1368	32.0	1.0
1803.5714285714287	1162.107142857143	3580.6062683679415	913024	911360	1424	1348.636583011583	612.9124638030888	913024	651	0.02351259086779984	1424	32.0	1.0
2410.25641025641	1179.7564102564102	3069.6900682941555	947200	942080	1472	1328.4468632958801	594.4511352996254	947200	693	0.022671077400445938	1472	32.0	1.0
2333.3333333333335	1032.4285714285713	3569.985630178923	980480	977920	1528	1307.9026442307693	602.7386117788461	980480	715	0.026750728305030082	1528	32.0	1.0
2375.0	1156.5	3256.1658167584765	1014272	1010560	1578	1333.7180397727273	619.0158913352273	1014272	741	0.025851679258048533	1578	32.0	1.0
3521.7391304347825	1209.4347826086957	3391.0258581503663	1047936	1044480	1632	1260.1295152091254	630.2320876901141	1047936	764	0.022669509329177714	1632	32.0	1.0
1761.904761904762	1127.5396825396824	3507.517771123143	1081216	1079680	1686	1293.8401442307693	654.628485576923	1081216	789	0.017194529029506224	1686	32.0	1.0
1890.625	1122.65625	3133.257142007754	1115648	1111040	1736	1396.3754646840148	672.7758480483271	1115648	822	0.017638483084738255	1736	32.0	1.0
2281.25	1322.796875	3580.647547979137	1149184	1146880	1792	1426.5565362595419	642.2552182729007	1149184	858	0.017660353099927306	1792	32.0	1.0
1984.8484848484848	1043.5151515151515	3192.8604319797764	1182976	1178880	1841	1439.5123106060605	601.3992069128788	1182976	892	0.021366218732175778	1841	32.0	1.0
2379.310344827586	1171.4137931034484	3453.1236757788492	1216512	1213440	1896	1394.9785305343512	598.0293714217557	1216512	924	0.02318525929003954	1896	32.0	1.0
2909.090909090909	1165.8181818181818	3503.3234179738565	1250176	1248640	1950	1392.1102661596958	593.7109672053232	1250176	948	0.019131541058110695	1950	32.0	1.0
2500.0	1235.15	3127.4709891884963	1284480	1280000	2000	1311.8878264925372	621.7121326958955	1284480	969	0.014534119376912713	2000	32.0	1.0
1844.8275862068965	1085.0344827586207	3581.1021130843114	1317504	1315840	2056	1348.6858042635658	632.9958212209302	1317504	999	0.013467614979682756	2056	32.0	1.0
2965.5172413793102	1132.5689655172414	3123.9856674178004	1351808	1347200	2104	1392.548973880597	640.8441872667911	1351808	1029	0.02024338338136052	2104	32.0	1.0
2379.310344827586	1217.2586206896551	3518.539836302026	1385344	1382400	2160	1421.9048187022902	637.4346374045801	1385344	1059	0.02891751184194748	2160	32.0	1.0
2135.135135135135	1079.4864864864865	3385.1638206021157	1418880	1416320	2212	1420.652433206107	604.9696445610687	1418880	1101	0.0414711782672944	2212	32.0	1.0
2812.5	1273.5208333333333	3259.5784388713937	1453056	1448960	2264	1343.8085205992509	600.7579588014981	1453056	1126	0.0517405412840442	2264	32.0	1.0
2033.3333333333333	1141.8333333333333	3570.3560823453295	1486336	1484800	2320	1298.7379807692307	585.0589242788461	1486336	1158	0.02754689267437373	2320	32.0	1.0
2633.3333333333335	1072.35	3124.129540622226	1520768	1516160	2368	1292.2862453531598	585.3974210037175	1520768	1189	0.02940050254498298	2368	32.0	1.0
1732.142857142857	1073.0714285714287	3517.0773645766985	1554432	1551360	2424	1255.7925380228137	582.8560480038022	1554432	1221	0.035249198404406865	2424	32.0	1.0
2041.6666666666667	1050.5416666666667	3388.7956629754635	1587840	1585280	2476	1255.6273946360154	583.8416846264367	1587840	1247	0.02469925951355925	2476	32.0	1.0
2803.5714285714284	1146.9285714285713	3257.766807459225	1622144	1617920	2528	1305.7952425373135	603.4742304104477	1622144	1277	0.024418216162862685	2528	32.0	1.0
1350.0	1042.35	3572.9193860298014	1655168	1653760	2584	1354.5906007751937	629.6910125968992	1655168	1297	0.011729069378426564	2584	32.0	1.0
2130.4347826086955	1152.0434782608695	3135.6575248927707	1689856	1685120	2633	1449.8097324723246	664.3702721402213	1689856	1320	0.010605281104846877	2633	32.0	1.0
2157.1428571428573	1155.1714285714286	3515.4442507684107	1723136	1720320	2688	1444.6514423076924	662.7462139423077	1723136	1356	0.010574762988835574	2688	32.0	1.0
2666.6666666666665	1110.8541666666667	3386.2436415757097	1756800	1754240	2740	1511.703897338403	654.4220532319391	1756800	1381	0.02267019391561357	2740	32.0	1.0
2478.2608695652175	1240.0217391304348	3262.344756156069	1790720	1786880	2792	1571.6096698113208	686.7352299528302	1790720	1408	0.02152340837682669	2792	32.0	1.0
1965.5172413793102	1139.896551724138	3517.9475932691744	1823744	1822080	2847	1585.6044089147288	674.5922662306201	1823744	1439	0.02462430875748396	2847	32.0	1.0
2166.6666666666665	1265.462962962963	3131.8906807938547	1858048	1853440	2896	1570.8372201492537	665.9745802238806	1858048	1469	0.01953896800322192	2896	32.0	1.0
3024.6913580246915	1198.6543209876543	3583.802794054778	1891328	1889280	2952	1551.8028846153845	646.7703725961538	1891328	1500	0.014481132692058704	2952	32.0	1.0
2986.4864864864867	1194.3108108108108	3132.6709008202015	1925376	1920640	3001	1432.360197368421	613.3878054511279	1925376	1538	0.018297096410272072	3001	32.0	1.0
1642.857142857143	1085.0714285714287	3512.5928521158435	1958784	1955840	3056	1473.9583333333333	617.6183249521073	1958784	1560	0.020121125216511163	3056	32.0	1.0
2454.5454545454545	1090.6818181818182	3253.173704500311	1992064	1988480	3106	1588.4615384615386	651.9350360576923	1992064	1584	0.028545327438041567	3106	32.0	1.0
2053.5714285714284	1282.0535714285713	3383.4367502160267	2025728	2022400	3160	1679.5686787072243	653.9964947718631	2025728	1614	0.15075176899079923	3160	32.0	1.0
2816.6666666666665	1188.0666666666666	3580.0628138205266	2059264	2058240	3215	1603.2323473282443	636.1308444656488	2059264	1647	0.0204207322221588	3215	32.0	1.0
2916.6666666666665	1256.6875	3070.997202451592	2093696	2088960	3264	1578.1830855018588	628.5017425650558	2093696	1672	0.0179693547305556	3264	32.0	1.0
2520.0	1163.92	3578.7777863589213	2126976	2124800	3320	1653.7259615384614	637.6644230769231	2126976	1697	0.020484166793591743	3320	32.0	1.0
3019.230769230769	1071.9038461538462	3263.705556349153	2161152	2157440	3370	1625.7022471910113	652.5709854868913	2161152	1724	0.02241146902553737	3370	32.0	1.0
2225.8064516129034	1222.8064516129032	3379.982430461115	2194560	2191360	3424	1667.5646551724137	652.200790229885	2194560	1755	0.030387046824519832	3424	32.0	1.0
2805.5555555555557	1113.111111111111	3569.2938561638534	2228224	2227200	3479	1771.2690114068441	683.1998871197719	2228224	1774	0.026602266703478313	3479	32.0	1.0
3092.5925925925926	1205.3703703703704	3070.098345875124	2263168	2257920	3528	1719.3223443223444	700.0039205586081	2263168	1805	0.02463205629123413	3528	32.0	1.0
2585.714285714286	1183.8	3571.9492495867366	2296064	2293760	3584	1703.9761673151752	680.2441634241245	2296064	1842	0.03614937786811164	3584	32.0	1.0
3467.7419354838707	1319.983870967742	3251.354820843931	2329984	2326400	3634	1752.4469339622642	635.7326061320755	2329984	1874	0.035875568110495804	3634	32.0	1.0
3230.769230769231	1222.0384615384614	3382.642437472879	2363776	2360320	3688	1849.7869318181818	630.1460996685606	2363776	1902	0.04584859156360229	3688	32.0	1.0
2800.0	1244.65	3508.13151469698	2397056	2395520	3742	2051.0216346153848	632.1420072115385	2397056	1922	0.07286735494724578	3742	32.0	1.0
2961.5384615384614	1238.0	3132.7568532151354	2431616	2426880	3792	2367.5925925925926	657.0014178240741	2431616	1948	0.5153429791936651	3792	32.0	1.0
5375.0	1122.7083333333333	3579.0158520717737	2464768	2462720	3848	2763.8754826254826	662.4702582046332	2464768	1972	0.14569871955817298	3848	32.0	1.0
4326.086956521739	1147.6521739130435	3197.310383266144	2498944	2494720	3898	3139.132724719101	691.9572507022472	2498944	1997	0.14717448484152557	3898	32.0	1.0
4909.090909090909	1156.8181818181818	3449.1655716539717	2532992	2529280	3952	3297.1393327067667	715.3508282424812	2532992	2019	0.18438010147117354	3952	32.0	1.0
4796.875	1296.578125	3577.660987521442	2566528	2565120	4008	3239.1758110687024	743.1512404580153	2566528	2052	0.0824914432762723	4008	32.0	1.0
5016.666666666667	1400.7833333333333	3127.9685496096217	2601088	2596480	4056	3017.042824074074	675.0175925925926	2601088	2084	0.06059962596433858	4056	32.0	1.0
6363.636363636364	1265.1363636363637	3507.1146708038914	2634752	2631680	4112	3336.264258555133	677.2882604562737	2634752	2106	0.09922533904734467	4112	32.0	1.0
6000.0	1178.1538461538462	3327.2033218631395	2668160	2664960	4164	3660.560344827586	717.2139307950191	2668160	2119	0.10751088948633808	4164	32.0	1.0
6920.0	1338.16	3323.7702264878985	2701568	2698240	4216	3842.432950191571	756.5644456417624	2701568	2146	0.10388810914726211	4216	32.0	1.0
7913.04347826087	1351.2826086956522	3449.1358618848944	2734848	2732800	4269	3876.081730769231	738.8397536057693	2734848	2170	0.1189464881735028	4269	32.0	1.0
5861.111111111112	1242.326388888889	3196.0808555945173	2768768	2764800	4320	3858.0188679245284	755.5427476415094	2768768	2198	0.08620657888697643	4320	32.0	1.0
6785.714285714285	1421.642857142857	3512.36722622945	2801536	2800000	4374	3620.91064453125	744.7520141601562	2801536	2228	0.039580507660974505	4374	32.0	1.0
6694.444444444444	1425.0833333333333	3133.874066381198	2835968	2831360	4424	3170.219563197026	721.6983619888476	2835968	2247	0.014287978168576956	4424	32.0	1.0
5625.0	1234.111111111111	3574.9475319986695	2868992	2867200	4480	2901.2536337209303	710.0128391472869	2868992	2285	0.017044859821908176	4480	32.0	1.0
5482.142857142857	1258.1964285714287	3134.569143752425	2903296	2898560	4528	2436.4214085820895	676.354244402985	2903296	2315	0.01356598197404916	4528	32.0	1.0
4583.333333333333	1307.2833333333333	3519.1563530652506	2936320	2933760	4584	2185.592296511628	674.2082727713179	2936320	2348	0.03556281243384417	4584	32.0	1.0
6145.833333333333	1402.4375	3317.6285350051307	2970112	2967040	4635	2061.109138257576	634.2307646780303	2970112	2373	0.06474703389639948	4635	32.0	1.0
6208.333333333333	1300.0833333333333	3325.8739420858574	3004032	3000320	4688	2472.169811320755	644.9058077830189	3004032	2397	0.10562501288950443	4688	32.0	1.0
4115.384615384615	1147.7884615384614	3506.0781004572664	3037056	3035520	4742	2718.326065891473	650.4034944282946	3037056	2426	0.053976275889133965	4742	32.0	1.0
4222.222222222223	1213.4814814814815	3132.3222152677704	3071488	3066880	4792	2531.1338289962823	645.7368726765799	3071488	2453	0.02738357162103057	4792	32.0	1.0
3619.0476190476193	1115.857142857143	3571.8711657782837	3104512	3102720	4848	2500.060562015504	671.1448643410853	3104512	2475	0.03212344941649852	4848	32.0	1.0
3527.777777777778	1073.9305555555557	3133.9373103763996	3138816	3134080	4897	2373.571595149254	683.3609783115671	3138816	2513	0.03133138041107022	4897	32.0	1.0
4277.777777777777	1270.4074074074074	3509.8238385312015	3171840	3169280	4952	2234.435562015504	660.3075036337209	3171840	2541	0.048929799788377505	4952	32.0	1.0
4772.727272727273	1398.6818181818182	3383.1681834718493	3205760	3203200	5004	2276.002358490566	656.7602889150943	3205760	2563	0.06750389747321606	5004	32.0	1.0
6533.333333333333	1282.2333333333333	3258.8286743424683	3239936	3235840	5056	2642.0880149812733	675.2525163857678	3239936	2580	0.08640184160321951	5056	32.0	1.0
6272.727272727273	1257.090909090909	3582.190245358964	3273216	3271680	5112	2992.7283653846152	713.3400240384616	3273216	2605	0.09183805974732552	5112	32.0	1.0
4750.0	1213.7115384615386	3124.232166894563	3307648	3303040	5160	3368.1749535315985	720.0436512546469	3307648	2632	0.10723531739010166	5160	32.0	1.0
6111.111111111111	1274.1851851851852	3516.857193914835	3341056	3338240	5216	3917.7741858237546	723.2097701149426	3341056	2659	0.0883581353617566	5216	32.0	1.0
7294.117647058823	1273.4705882352941	3446.308145737117	3374848	3372800	5269	4482.125946969697	730.7673413825758	3374848	2676	0.10443838249962285	5269	32.0	1.0
7066.666666666667	1390.2333333333333	3188.325144830494	3408896	3404800	5320	5121.446193609023	742.6932272086466	3408896	2706	0.09635039214410034	5320	32.0	1.0
7736.8421052631575	1328.578947368421	3581.027638049339	3442048	3440640	5376	5724.42084942085	751.2551278957529	3442048	2725	0.09714871728127557	5376	32.0	1.0
9612.90322580645	1311.6451612903227	3065.723032549233	3476352	3471360	5424	6164.179104477612	744.290286847015	3476352	2758	0.13978184185301265	5424	32.0	1.0
11882.35294117647	1326.0	3580.7466570471106	3509120	3507200	5480	6474.91455078125	741.5521545410156	3509120	2777	0.10673483201701726	5480	32.0	1.0
11173.076923076924	1461.1538461538462	3196.5745630190504	3543296	3539200	5529	6680.799391385768	753.7565543071161	3543296	2804	0.1124404255224734	5529	32.0	1.0
12803.57142857143	1407.1964285714287	3450.540906108676	3576704	3573760	5584	6762.990900383142	726.4116977969348	3576704	2834	0.11563593291423538	5584	32.0	1.0
12896.551724137931	1471.3620689655172	3321.4376664642755	3610240	3607040	5635	6845.568940839695	714.9688692748092	3610240	2864	0.1165676572013135	5635	32.0	1.0
14722.222222222223	1424.5	3323.4532844325536	3643776	3640320	5688	6890.9231870229005	680.9847030057252	3643776	2882	0.1465461789015329	5688	32.0	1.0
13629.62962962963	1365.4814814814815	3442.236565513149	3676928	3674880	5741	7334.851592664093	696.2985038610038	3676928	2909	0.11222553119625685	5741	32.0	1.0
13750.0	1289.5454545454545	3193.715369897607	3710848	3706880	5792	7280.66037735849	680.6462558962264	3710848	2936	0.12491126373118046	5792	32.0	1.0
14758.620689655172	1295.448275862069	3570.7793686457694	3744128	3742720	5848	7229.026442307692	669.7902043269231	3744128	2965	0.12305679218843579	5848	32.0	1.0
15000.0	1332.7142857142858	3068.282482643057	3778304	3773440	5896	7223.636470037453	652.3009714419476	3778304	2993	0.16231990900511542	5896	32.0	1.0
14772.727272727272	1331.1818181818182	3581.459516917531	3811200	3809280	5952	7645.823200389105	658.0521643968872	3811200	3016	0.1793070385631706	5952	32.0	1.0
14229.166666666666	1246.1041666666667	3131.3018199246007	3845248	3840640	6000	7756.0209116541355	651.1998355263158	3845248	3042	0.16267382136235634	6000	32.0	1.0
15814.814814814816	1281.7037037037037	3500.898781261497	3878656	3875840	6056	7942.5586685823755	657.9445941091954	3878656	3070	0.18870223433311498	6056	32.0	1.0
17333.333333333332	1346.111111111111	3390.4349677226523	3912448	3909760	6109	8051.935369318182	668.519472064394	3912448	3090	0.1770506557428612	6109	32.0	1.0
15391.304347826086	1231.1521739130435	3256.506850334982	3946752	3942400	6160	8496.735074626866	696.3582381063433	3946752	3114	0.23993543228682349	6160	32.0	1.0
15333.333333333334	1330.861111111111	3580.9842170358097	3980288	3978240	6216	8850.90648854962	719.9318046278626	3980288	3133	0.13320405767964466	6216	32.0	1.0
17600.0	1279.96	3125.889367695355	4014208	4009600	6264	8823.496462264151	730.3782724056604	4014208	3158	0.13272885233163834	6264	32.0	1.0
17724.137931034482	1389.551724137931	3508.7362171009117	4047616	4044800	6320	8659.183429118773	716.4887152777778	4047616	3188	0.17929864681458899	6320	32.0	1.0
19000.0	1412.5	3327.196660028074	4081152	4078080	6371	8700.918416030534	714.6214813931298	4081152	3208	0.16384368104969754	6371	32.0	1.0
16540.0	1277.04	3324.4331908697527	4114176	4111360	6424	8682.65503875969	713.1231225775193	4114176	3236	0.13834921080829962	6424	32.0	1.0
17448.275862068964	1347.2068965517242	3327.3383883915144	4147840	4144640	6476	8480.632129277566	694.846809648289	4147840	3265	0.14757221557486516	6476	32.0	1.0
18840.0	1446.76	3324.8313340445575	4181504	4177920	6528	8280.150903041826	687.2209481939163	4181504	3290	0.13427684692522654	6528	32.0	1.0
16545.454545454544	1345.6136363636363	3388.2237856606366	4214528	4211840	6581	8242.611434108527	688.4097323158915	4214528	3314	0.1315170222155328	6581	32.0	1.0
17060.0	1355.24	3261.0563985050344	4248320	4244480	6632	7837.209990530303	674.8626598011364	4248320	3340	0.12766002797905138	6632	32.0	1.0
17470.58823529412	1443.6470588235295	3577.2533490913743	4281344	4280320	6687	8064.710513565891	689.6737524224807	4281344	3357	0.1615254904736172	6687	32.0	1.0
16214.285714285714	1318.232142857143	3065.7967069357032	4315648	4311040	6736	8199.830923507463	696.4968808302239	4315648	3386	0.18599568489862947	6736	32.0	1.0
