local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3064.449098827488	32384	30720	48	135.27141434262947	64.25099601593625	32384	0	0.12856417699852804	48	32.0	1.0
		3262.8992208486793	67072	63360	99	646.6213099630996	194.7490774907749	67072	0	0.056819193722570646	99	32.0	1.0
		3391.5481497988444	100864	97280	152	1042.9983428030303	328.5	100864	0	0.030717089561358938	152	32.0	1.0
		3582.262122400603	134144	133120	207	1272.8966346153845	459.5	134144	0	0.018347820834341375	207	32.0	1.0
1400.0	626.4	3121.3581406399544	169088	164480	256	1448.9755036630036	589.7194654304029	169088	5	0.01397511435254496	256	32.0	1.0
1671.875	743.15625	3511.5139540220825	202368	199680	312	1531.8509615384614	681.190625	202368	38	0.012534140160174243	312	32.0	1.0
1892.857142857143	870.047619047619	3259.248012692447	235904	232320	362	1511.2714694656488	687.0264491889313	235904	88	0.03079344015568495	362	32.0	1.0
2289.4736842105262	993.8684210526316	3383.158529379823	268800	266240	416	1495.0753891050583	635.3327152237354	268800	132	0.02304841274464572	416	32.0	1.0
2358.974358974359	1119.4358974358975	3325.7390736592693	302592	299520	467	1388.4055397727273	584.5381747159091	302592	173	0.0304283528570451	467	32.0	1.0
2461.5384615384614	1241.2307692307693	3326.070638212497	336896	332800	520	1292.5023320895523	551.1869752798508	336896	199	0.01772909708110229	520	32.0	1.0
2738.095238095238	1327.0714285714287	3581.379224954807	370176	368640	576	1264.453125	565.7718449519231	370176	221	0.017807861740168716	576	32.0	1.0
2275.0	1233.875	3130.764671979825	404608	400000	624	1296.6136152416357	589.0670597118959	404608	244	0.01661053509451449	624	32.0	1.0
2181.818181818182	1066.5454545454545	3512.237379138862	438016	435200	680	1389.0684865900382	642.4707255747127	438016	255	0.016117433019514595	680	32.0	1.0
2571.4285714285716	1141.3214285714287	3259.3273926706006	471552	467840	730	1396.6781965648854	665.0103470896946	471552	287	0.016071291444823145	730	32.0	1.0
1887.0967741935483	1163.1451612903227	3388.555218554403	504832	501760	784	1529.3870192307693	671.9256310096154	504832	321	0.020739508715147775	784	32.0	1.0
2242.4242424242425	1083.469696969697	3383.607100593292	538240	535680	836	1544.6599616858236	648.7569444444445	538240	355	0.015350079584795121	836	32.0	1.0
2173.076923076923	1132.326923076923	3258.1537701430093	572416	568320	888	1573.9115168539327	636.8840999531835	572416	384	0.02368145058146463	888	32.0	1.0
3310.344827586207	1191.7241379310344	3575.3355967665257	605824	604160	944	1513.4099616858236	633.0820761494252	605824	413	0.018599768859400814	944	32.0	1.0
2423.076923076923	1199.3076923076924	3188.3306737330886	640256	636160	993	1468.7209572490706	646.8611756505576	640256	439	0.015128481715005271	993	32.0	1.0
2775.862068965517	1184.6896551724137	3449.3950599325094	673792	670720	1048	1526.2404580152672	656.2051228530535	673792	470	0.022952103259211237	1048	32.0	1.0
3020.0	1274.42	3391.436095349098	707200	704640	1100	1562.3802681992338	643.7415289750958	707200	496	0.022417826954132088	1100	32.0	1.0
2257.5757575757575	1116.2727272727273	3260.266433779066	741120	737280	1152	1547.2582547169811	626.3599941037736	741120	531	0.021324442681641534	1152	32.0	1.0
2978.2608695652175	1199.695652173913	3576.6448738502454	774144	773120	1207	1498.516230620155	614.3966812015503	774144	556	0.016585373268886046	1207	32.0	1.0
2224.137931034483	1220.3620689655172	3071.43130646882	808576	803840	1256	1589.5388011152415	621.6470434479554	808576	586	0.019291382206946005	1256	32.0	1.0
3018.5185185185187	1092.7592592592594	3579.975678604352	842112	839680	1312	1552.0932729007634	618.0080808683206	842112	614	0.015831382396364852	1312	32.0	1.0
2637.9310344827586	1140.103448275862	3252.189066710529	875904	872320	1362	1442.6195549242425	624.9226740056819	875904	644	0.01619939868338406	1362	32.0	1.0
1851.851851851852	1173.7037037037037	3389.6489954250833	909696	906240	1416	1483.3392518939395	632.9388020833334	909696	671	0.016970346129878803	1416	32.0	1.0
2805.5555555555557	1151.6666666666667	3510.341151913166	942976	941440	1470	1425.8413461538462	617.3512319711539	942976	709	0.019785082019451592	1470	32.0	1.0
2296.875	1139.015625	3128.9832005054204	977408	972800	1520	1345.0569237918216	578.2414904739777	977408	744	0.022634379528462888	1520	32.0	1.0
2194.4444444444443	1165.0	3580.663497174738	1010816	1008640	1576	1394.4264846743295	591.3930495689655	1010816	763	0.01625893045482891	1576	32.0	1.0
2134.6153846153848	1104.923076923077	3262.6681904294887	1044864	1041280	1626	1469.9248120300751	626.7371358082706	1044864	793	0.022427769619971515	1626	32.0	1.0
2210.5263157894738	1152.3947368421052	3384.7257879435774	1078400	1075200	1680	1643.8752385496184	636.9772781488549	1078400	813	0.020586803900422872	1680	32.0	1.0
2200.0	1048.66	3443.848218711071	1111808	1109760	1733	1726.772030651341	667.8416546934866	1111808	839	0.015156147237164233	1733	32.0	1.0
2961.5384615384614	1210.326923076923	3189.4119047396694	1146112	1141760	1784	1740.6716417910447	669.6923390858209	1146112	869	0.013921496841837378	1784	32.0	1.0
2892.8571428571427	1152.8035714285713	3577.9333090526293	1179008	1177600	1840	1781.2803988326848	680.2678745136187	1179008	899	0.014912702899891883	1840	32.0	1.0
3218.75	1209.375	3068.526466176805	1212928	1208320	1888	1789.7995283018868	660.3696639150943	1212928	935	0.01401376309998644	1888	32.0	1.0
3223.9583333333335	1223.6041666666667	3579.007075286002	1245696	1244160	1944	1628.0517578125	615.2381896972656	1245696	973	0.016004276087707176	1944	32.0	1.0
1619.047619047619	1114.047619047619	3134.082027018797	1280256	1275520	1993	1583.0729166666667	599.0815104166667	1280256	995	0.017778522211450095	1993	32.0	1.0
2950.0	1216.575	3517.592963322632	1313920	1310720	2048	1711.3830798479087	643.9678588403042	1313920	1017	0.0177880826914175	2048	32.0	1.0
3383.3333333333335	1184.6666666666667	3454.48529245821	1347456	1345280	2101	1608.6891698473282	639.6781965648855	1347456	1049	0.020960183559372177	2101	32.0	1.0
2225.0	1138.375	3195.2532521512917	1381376	1377280	2152	1598.0542452830189	628.9301297169811	1381376	1072	0.01776363764542575	2152	32.0	1.0
2960.0	1236.8	3515.665500298704	1414144	1412480	2206	1598.32763671875	646.7067260742188	1414144	1098	0.013362566285111286	2206	32.0	1.0
2597.222222222222	1148.0555555555557	3133.6025270201667	1448192	1443840	2256	1533.452772556391	639.518826362782	1448192	1138	0.01331767656840384	2256	32.0	1.0
2833.3333333333335	1119.9791666666667	3573.90933739038	1481600	1479680	2312	1546.4858716475096	619.9052622126437	1481600	1165	0.016566264659299383	2312	32.0	1.0
2687.5	1088.1875	3127.6746797651676	1515648	1511040	2360	1663.563204887218	658.2225975093985	1515648	1183	0.020335804515828688	2360	32.0	1.0
2270.2702702702704	1179.581081081081	3516.571130525467	1548928	1546240	2416	1642.0072115384614	648.9591346153846	1548928	1223	0.019350286406864012	2416	32.0	1.0
2452.3809523809523	1199.1190476190477	3452.021245406468	1582848	1580800	2469	1604.805424528302	635.1979363207547	1582848	1245	0.02582281950052898	2469	32.0	1.0
3071.4285714285716	1147.5	3188.490490027163	1617152	1612800	2520	1632.1420242537313	664.3203416511194	1617152	1273	0.027062613964446036	2520	32.0	1.0
2923.076923076923	1281.326923076923	3580.5740299946847	1650432	1648640	2576	1534.0444711538462	654.4747295673077	1650432	1300	0.031591829602673115	2576	32.0	1.0
2527.777777777778	1073.5694444444443	3069.501179747999	1684608	1679360	2624	1471.178604868914	657.517029494382	1684608	1329	0.018605519687601674	2624	32.0	1.0
2482.1428571428573	1144.0357142857142	3583.329178316399	1717888	1715200	2680	1423.1670673076924	662.8125600961539	1717888	1358	0.0194929830655123	2680	32.0	1.0
1955.8823529411766	1113.2941176470588	3385.2840799567907	1751680	1749120	2732	1456.735321969697	658.0181995738636	1751680	1393	0.01985614573977028	2732	32.0	1.0
2946.4285714285716	1180.2142857142858	3257.487593955613	1785344	1781760	2784	1406.93322243346	643.223502851711	1785344	1422	0.029108559963508293	2784	32.0	1.0
2326.923076923077	1299.8653846153845	3568.817712733306	1818624	1817600	2839	1503.485576923077	628.5259615384615	1818624	1451	0.032659734328362076	2839	32.0	1.0
2456.521739130435	1134.2608695652175	3131.8943348382295	1853568	1848960	2888	1689.7035256410256	636.6798305860806	1853568	1475	0.057875187497357934	2888	32.0	1.0
3526.315789473684	1231.9473684210527	3516.284276206731	1887104	1884160	2944	2001.4909351145038	691.2171397900763	1887104	1494	0.06617825398487705	2944	32.0	1.0
3600.0	1319.25	3390.731841793008	1920640	1918080	2996	2072.101622137405	702.2157084923664	1920640	1514	0.08156165068682569	2996	32.0	1.0
3318.181818181818	1125.9772727272727	3263.217086945869	1954688	1950720	3048	2450.0411184210525	733.8387276785714	1954688	1538	0.06493119969784927	3048	32.0	1.0
3000.0	1307.3333333333333	3582.2298542032668	1987584	1986560	3103	2777.267752918288	753.5413120136187	1987584	1559	0.07791393107988617	3103	32.0	1.0
3729.1666666666665	1253.6458333333333	3063.721029158453	2022272	2017280	3152	3338.7915129151293	774.6999827029521	2022272	1584	0.12437615053234052	3152	32.0	1.0
5037.037037037037	1372.5925925925926	3578.285906947243	2055168	2053120	3208	3538.849708171206	778.4625486381323	2055168	1613	0.0861024294863455	3208	32.0	1.0
5028.571428571428	1291.4	3132.0381170668816	2089088	2084480	3256	3432.7240566037735	738.1743808962265	2089088	1649	0.07245952434216936	3256	32.0	1.0
5803.571428571428	1337.1785714285713	3519.7312979789704	2121984	2119680	3312	3145.823200389105	702.6615393968872	2121984	1678	0.036638119091678946	3312	32.0	1.0
6652.173913043478	1408.2608695652175	3327.5911024918023	2156160	2152960	3363	3267.9073033707864	686.4563143726592	2156160	1702	0.08369537917714492	3363	32.0	1.0
7380.0	1394.38	3327.859564031879	2189696	2186240	3416	3684.9952290076335	680.7679210400763	2189696	1729	0.11270491061907895	3416	32.0	1.0
6166.666666666667	1384.7083333333333	3517.4459691765005	2222976	2221440	3470	4310.336538461538	706.3472055288462	2222976	1742	0.12048458080324861	3470	32.0	1.0
9047.619047619048	1450.5714285714287	3132.1358189561915	2257792	2252800	3520	4414.55078125	734.3877240349265	2257792	1763	0.05834185252897441	3520	32.0	1.0
7300.0	1357.95	3583.733674577149	2290816	2288640	3576	4777.374031007752	762.8610101744187	2290816	1783	0.1091951192356646	3576	32.0	1.0
9775.0	1515.275	3131.8071621042814	2324608	2320000	3624	5161.310369318182	766.0475260416666	2324608	1805	0.14023075718432665	3624	32.0	1.0
9475.0	1328.15	3512.1067061744325	2358400	2355200	3680	5794.448390151515	789.3976680871212	2358400	1826	0.12480532896838017	3680	32.0	1.0
10916.666666666666	1410.625	3443.6674899420327	2391808	2389760	3733	6059.297174329502	783.3227969348659	2391808	1850	0.11363046567113895	3733	32.0	1.0
11410.714285714286	1405.2142857142858	3192.60638645311	2425856	2421760	3784	6262.717340225564	785.3705650845865	2425856	1879	0.10250743106007576	3784	32.0	1.0
10555.555555555555	1385.6666666666667	3582.942621618023	2458752	2457600	3840	6342.6860408560315	760.9959873540856	2458752	1906	0.13022956711107067	3840	32.0	1.0
12840.0	1457.84	3071.3240501330665	2492928	2488320	3888	6456.460674157303	744.0400280898876	2492928	1931	0.15520269221936664	3888	32.0	1.0
14052.631578947368	1567.7368421052631	3576.6087922980782	2525952	2524160	3944	6928.5368217054265	748.4292332848837	2525952	1950	0.1474889224794294	3944	32.0	1.0
13860.0	1456.54	3195.6309732787204	2560256	2556160	3993	7420.942164179104	757.4418726679105	2560256	1977	0.16564891380923136	3993	32.0	1.0
15552.631578947368	1503.921052631579	3444.9664752138174	2593792	2590720	4048	7734.6731870229005	746.8574666030535	2593792	1998	0.19190732735124502	4048	32.0	1.0
16421.052631578947	1554.2631578947369	3450.1165545805366	2627328	2625280	4101	8027.940124045802	745.6838322996183	2627328	2017	0.15235669158820836	4101	32.0	1.0
15575.0	1357.275	3198.7077211776887	2661888	2657280	4152	8352.662037037036	767.8753761574075	2661888	2038	0.13467434633011913	4152	32.0	1.0
16455.128205128203	1464.7564102564102	3578.582858494484	2694784	2693120	4208	8012.889105058366	736.0244406614786	2694784	2069	0.1601301138621888	4208	32.0	1.0
15368.421052631578	1497.8947368421052	3135.238971043487	2729088	2724480	4256	8107.975746268657	740.6566581156717	2729088	2088	0.17650933338639638	4256	32.0	1.0
