local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2939.2569549445743	31488	29440	45	1.1495901639344261	62.5	31488	0	0.09970813020029001	45	32.0	1.0
		3191.962378060312	64256	61440	96	73.9290771484375	187.5	64256	0	0.9908289595269689	96	32.0	1.0
		3125.1394002613806	97408	92800	144	148.49601833976834	316.25096525096524	97408	0	0.4651739625260234	144	32.0	1.0
		3516.2587337848518	129152	128000	200	203.06338205645162	443.0	129152	0	0.2548685512571995	200	32.0	1.0
		3070.0117368979195	163456	158720	248	254.0517723880597	572.0	163456	0	0.22624715960895023	248	32.0	1.0
		3511.238278848152	195456	193920	302	305.206	701.5	195456	0	0.20963296839208514	302	32.0	1.0
280.5	867.75	3130.5198228960912	228992	225280	352	347.07466603053433	824.9204437022901	228992	6	0.21284099712967872	352	32.0	1.0
300.9032258064516	968.5483870967741	3069.972457241105	260736	256000	400	366.6648185483871	886.4744833669355	260736	39	0.16357843996956944	400	32.0	1.0
380.47058823529414	1088.0588235294117	3519.6451239769626	292736	291200	454	373.99175	905.263	292736	56	0.21665469081037575	454	32.0	1.0
482.70588235294116	1207.8823529411766	3133.504882905977	325888	322560	504	392.2818532818533	950.2945222007722	325888	74	0.21315171293914317	504	32.0	1.0
546.6153846153846	1343.1538461538462	3259.874311731109	358784	355200	554	396.79474708171205	974.6008633268483	358784	100	0.136113658323884	554	32.0	1.0
549.6111111111111	1460.888888888889	3387.8140024976865	391680	389120	608	359.9078307392996	915.3006140564203	391680	137	0.11651306164761384	608	32.0	1.0
573.0769230769231	1583.7307692307693	3127.196692108457	425088	420480	656	326.38505747126436	852.7404513888889	425088	163	0.12046819665314008	656	32.0	1.0
653.8271604938273	1725.6666666666667	3512.680770494048	458112	455680	712	309.2290455426357	818.8615249515503	458112	193	0.14567762081112182	712	32.0	1.0
569.0	1649.5	3066.1155171207984	491264	486400	760	273.52473455598454	752.7719292953668	491264	217	0.11422317106431971	760	32.0	1.0
650.0	1829.3333333333333	3577.0418189771526	523264	522240	815	281.12	791.4476875	523264	223	0.14818273416974329	815	32.0	1.0
696.0	2091.75	3063.3400817671964	556800	552960	864	298.3574666030534	858.1671338263359	556800	231	0.13969311042099583	864	32.0	1.0
487.8095238095238	1543.1904761904761	3377.116722706743	589440	586880	916	313.9643382352941	905.9170036764706	589440	252	0.16050118630608687	916	32.0	1.0
512.1666666666666	1616.0	3262.9195182516814	621952	619520	968	318.82492618110234	896.0482591043307	621952	277	0.18379999639896247	968	32.0	1.0
535.8181818181819	1698.6818181818182	3058.5894148215175	654848	650240	1016	315.4630350194553	859.5382721303502	654848	301	0.1638001975758622	1016	32.0	1.0
457.7391304347826	1472.9565217391305	3573.906278518509	687104	686080	1071	306.96676587301585	829.6771143353175	687104	324	0.14968498410149053	1071	32.0	1.0
547.2	1531.5	3066.7596137933688	720512	716800	1120	308.6076388888889	831.5496587643678	720512	344	0.14980263171755537	1120	32.0	1.0
487.1777777777778	1476.2611111111112	3195.36134811011	753024	748800	1169	303.8022883858268	812.1493294783464	753024	378	0.21125014567253542	1169	32.0	1.0
537.6551724137931	1596.8275862068965	3453.896026528411	784768	783360	1224	285.54296875	739.7747920866935	784768	407	0.211191780323332	1224	32.0	1.0
566.1176470588235	1495.1764705882354	3070.920643040664	818432	814080	1272	297.01497148288973	739.0577768536122	818432	424	0.2518878309056163	1272	32.0	1.0
543.8333333333334	1533.375	3326.017301307092	850560	847360	1324	303.1109312749004	740.4997821215139	850560	448	0.16046603453847078	1324	32.0	1.0
560.3076923076923	1497.4615384615386	3313.979501045204	882176	880640	1376	311.77087550607285	740.6223747469636	882176	462	0.289112418030317	1376	32.0	1.0
532.5	1417.25	3068.9228120378716	915072	911360	1424	338.94722762645915	766.4309946498055	915072	487	0.23624388066430888	1424	32.0	1.0
510.1818181818182	1300.0	3070.4348798339165	947200	942080	1472	346.7135209163347	776.5209163346614	947200	509	0.2646975572376202	1472	32.0	1.0
558.3157894736842	1465.0526315789473	3452.5101224979508	978688	976640	1525	362.3050050813008	781.380430640244	978688	528	0.24375273526277183	1525	32.0	1.0
575.6363636363636	1548.4545454545455	3190.0130319300706	1009664	1008640	1575	374.51097623966945	787.4794034090909	1009664	550	0.2939231114089489	1575	32.0	1.0
578.8571428571429	1462.9761904761904	3070.699476587722	1041792	1039360	1624	384.3342878486056	777.1116782868526	1041792	572	0.24526968187823586	1624	32.0	1.0
642.1666666666666	1497.25	3065.8840995615433	1074560	1070080	1672	390.1492919921875	774.61279296875	1074560	596	0.20994845436265072	1672	32.0	1.0
690.4	1468.0	3382.402865404937	1106560	1104000	1724	391.23225	758.61990625	1106560	622	0.28511385376063675	1724	32.0	1.0
688.0	1487.0833333333333	3257.9620217838446	1139072	1136640	1776	378.92704232283467	739.7957984744095	1139072	647	0.21714451292959544	1776	32.0	1.0
642.5882352941177	1390.5294117647059	3066.4195063748098	1172352	1167360	1824	386.03653846153844	749.6936899038461	1172352	664	0.2815802632831037	1824	32.0	1.0
670.4444444444445	1434.2222222222222	3502.7814109675437	1204096	1202560	1878	410.81300403225805	778.942855342742	1204096	682	0.2727007331947486	1878	32.0	1.0
741.3913043478261	1501.6521739130435	3133.195343514151	1236736	1233920	1928	421.7219362745098	787.294699754902	1236736	705	0.28312862932682037	1928	32.0	1.0
739.2413793103449	1527.2241379310344	3190.8662178758527	1270016	1265920	1977	409.76850961538463	750.0170673076923	1270016	736	0.33121865166693315	1977	32.0	1.0
663.3333333333334	1341.2291666666667	3455.218389699901	1301760	1300480	2032	401.41507056451616	715.3400327620968	1301760	761	0.3463508031585	2032	32.0	1.0
719.047619047619	1429.5238095238096	3061.8750095795713	1335168	1331200	2080	412.8298611111111	709.6522988505748	1335168	783	0.3760509854182601	2080	32.0	1.0
645.625	1271.6875	3376.608643054224	1367680	1365120	2132	449.2892470472441	748.2843257874016	1367680	800	0.34976433776319027	2132	32.0	1.0
748.3076923076923	1434.6538461538462	3254.948345183519	1401088	1397760	2184	462.85452586206895	749.3453963122605	1401088	826	0.28798222799713796	2184	32.0	1.0
817.6551724137931	1472.103448275862	3186.9311102858055	1433856	1429760	2233	453.4559326171875	725.7235412597656	1433856	856	0.33418202643491784	2233	32.0	1.0
811.5294117647059	1447.5294117647059	3448.6413760844366	1466496	1464320	2288	463.0236519607843	735.3465073529412	1466496	873	0.3637265080755407	2288	32.0	1.0
832.96	1475.64	3067.253706757315	1499776	1495040	2336	470.92572115384615	736.8955829326923	1499776	899	0.30229718176027137	2336	32.0	1.0
753.7333333333333	1292.0	3391.9297240512324	1531648	1528960	2388	476.28501506024094	744.9050891064257	1531648	915	0.3868279495777992	2388	32.0	1.0
699.4545454545455	1318.6363636363637	3260.282350445396	1564544	1561600	2440	489.99452821011675	763.7889409046693	1564544	937	0.3312348863826348	2440	32.0	1.0
851.8461538461538	1440.1538461538462	3134.3537241806102	1597568	1592960	2488	500.1587936046512	766.5383054748062	1597568	965	0.3898617587983608	2488	32.0	1.0
901.1111111111111	1504.2777777777778	3512.930425849316	1629440	1628160	2544	499.847640562249	755.5715047690763	1629440	985	0.42858413739928175	2544	32.0	1.0
922.5	1484.8333333333333	3070.3543244464904	1662976	1658880	2592	487.52445133587787	738.7865279103054	1662976	1011	0.3246366415793697	2592	32.0	1.0
859.5384615384615	1443.4615384615386	3256.7745842418185	1695232	1691520	2643	478.84449404761904	724.7280505952381	1695232	1037	0.39331139624118805	2643	32.0	1.0
845.0	1429.8	3391.4641486903815	1727616	1725440	2696	485.5308794466403	715.2961956521739	1727616	1058	0.42249592716963785	2696	32.0	1.0
888.0	1372.904761904762	3068.7207892948104	1760256	1756160	2744	505.199387254902	726.3096507352941	1760256	1079	0.3746159703781207	2744	32.0	1.0
919.8181818181819	1494.8636363636363	3135.634576277522	1792128	1787520	2792	515.7010542168674	734.9083835341365	1792128	1101	0.3989911371221145	2792	32.0	1.0
857.6	1345.3333333333333	3319.8467023619746	1823360	1820800	2844	541.9615778688525	761.4540855532787	1823360	1116	0.4029944874346256	2844	32.0	1.0
796.0	1300.787037037037	3253.4636993120916	1855744	1853440	2896	571.5416254940711	798.9935770750989	1855744	1137	0.48952999195227254	2896	32.0	1.0
949.2903225806451	1497.967741935484	3070.016198896439	1888384	1884160	2944	562.5669117647059	771.7897977941177	1888384	1170	0.4378748967622717	2944	32.0	1.0
1020.0	1568.0625	3071.5505784535417	1920000	1914880	2992	545.4719129554655	744.4239941801619	1920000	1186	0.4010141162822644	2992	32.0	1.0
902.7142857142857	1328.9285714285713	3322.707818672214	1951232	1948160	3043	558.4782274590164	758.7377369364754	1951232	1214	0.34436748162204145	3043	32.0	1.0
973.3913043478261	1492.1304347826087	3319.930952045597	1982464	1981440	3095	545.6581711065573	741.6767418032787	1982464	1237	0.367439806747895	3095	32.0	1.0
993.3333333333334	1455.9722222222222	3069.948319403143	2013952	2012160	3144	533.7471417682926	721.3810022865854	2013952	1256	0.43149434759908795	3144	32.0	1.0
944.0	1447.625	3071.8988558692945	2046208	2042880	3192	559.3022693452381	738.7216331845239	2046208	1280	0.42695711832493544	3192	32.0	1.0
1002.4444444444445	1455.7777777777778	3067.7473015998785	2078080	2073600	3240	560.0149974899598	727.9423004518072	2078080	1298	0.3675440012787779	3240	32.0	1.0
925.4814814814815	1354.537037037037	3315.2267894832116	2109952	2106880	3291	563.972640562249	735.6063943273092	2109952	1327	0.40086888317383973	3291	32.0	1.0
964.2	1412.8	3318.5745546585845	2141696	2140160	3344	563.7348160282259	726.3359375	2141696	1347	0.4402473847258766	3344	32.0	1.0
979.1304347826087	1385.9855072463768	3064.773169023135	2174336	2170880	3392	569.9902573529412	721.890962009804	2174336	1374	0.4307012561087807	3392	32.0	1.0
1056.6896551724137	1438.655172413793	3194.716151853318	2206976	2202880	3441	536.9231004901961	694.194056372549	2206976	1403	0.2805103989584105	3441	32.0	1.0
899.6	1375.7333333333333	3454.7876172318925	2238592	2237440	3496	533.9213056680162	705.0564587550607	2238592	1419	0.33997204398567027	3496	32.0	1.0
