local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
46.09375	137.5625	3513.261543479245	36736	35200	54	42.478070175438596	72.05860745614035	36736	30	0.7773723767173512	54	32.0	1.0
126.97601010101012	198.54545454545453	3646.5767731243122	72704	71680	111	91.16158807829181	120.50581072064057	72704	212	0.18325171783043628	111	32.0	1.0
156.37626262626262	212.28977272727272	3578.70613426922	109568	107520	168	100.20345052083333	129.84334309895834	109568	391	0.19827460576044886	168	32.0	1.0
152.44987468671678	209.8001253132832	3580.2861278331334	146816	143360	224	95.17316365979381	121.72240120274914	146816	562	0.21008341200649738	224	32.0	1.0
172.7777777777778	218.4346405228758	3583.5467492221683	184192	179200	280	112.5709011130137	139.0755832619863	184192	689	0.2987091893862401	280	32.0	1.0
247.7	282.94	3838.7511692117714	220672	217600	339	171.02549342105263	209.88371710526314	220672	741	0.3091486729050087	339	32.0	1.0
331.0655737704918	408.9344262295082	3835.9765406619704	257920	256000	400	207.90431701030928	269.74565077319585	257920	809	0.3182710499548521	400	32.0	1.0
398.9130434782609	501.82608695652175	3578.411462201594	296320	291840	456	228.93932291666667	306.72783854166664	296320	856	0.3111574117626463	456	32.0	1.0
456.0	574.38	3964.197802700881	333696	331520	518	280.92198202054794	390.9290721318493	333696	882	0.3062523945324844	518	32.0	1.0
518.6363636363636	642.9318181818181	3708.166030690981	371840	368640	576	324.9279047818792	477.96783242449663	371840	905	0.26053159414180393	576	32.0	1.0
549.8484848484849	787.5	3767.8739658515683	409984	406400	634	342.3843854865772	556.4649748322148	409984	939	0.2744164089190549	634	32.0	1.0
620.3333333333334	888.7444444444444	3896.113589198043	447232	445440	696	344.7202534364261	573.8108623281787	447232	989	0.3788360357284546	696	32.0	1.0
579.1964285714286	902.9196428571429	3577.9966693494607	485120	481280	752	334.33461782094594	532.1551414695946	485120	1050	0.27334999133433613	752	32.0	1.0
573.9215686274509	880.2107843137254	3646.7422520299465	522496	517760	809	293.2451305650685	408.6225920376712	522496	1125	0.2956088306872468	809	32.0	1.0
535.1736111111111	715.2222222222223	3894.2291087401964	558848	556800	869	291.7082966549296	364.424130721831	558848	1184	0.31361691442628703	869	32.0	1.0
542.4418604651163	677.0116279069767	3711.343173494891	596480	593920	928	293.3107461734694	348.27659970238096	596480	1230	0.3184475281228453	928	32.0	1.0
519.375	606.4270833333334	3582.194342784997	634112	629760	984	307.25366709183675	366.2494419642857	634112	1283	0.28306419242705616	984	32.0	1.0
553.5	661.6416666666667	3772.1037909380243	671104	667520	1042	303.8132569204152	364.9661818771626	671104	1349	0.27104758625400477	1042	32.0	1.0
569.5689655172414	649.948275862069	3891.4286461188362	708096	706560	1104	301.68333693771626	348.58374783737025	708096	1409	0.28167344870105865	1104	32.0	1.0
538.7037037037037	620.7037037037037	3580.7095544729696	745600	742400	1160	274.6355055460751	298.1483575085324	745600	1503	0.3200509526899883	1160	32.0	1.0
479.2391304347826	515.5652173913044	3583.4460329037347	783104	778240	1216	265.2538395904437	282.1190539675768	783104	1558	0.28637688427365254	1216	32.0	1.0
503.7121212121212	553.4949494949494	3898.9899658153627	819840	817280	1276	256.91637630662024	273.921875	819840	1637	0.27198490823308624	1276	32.0	1.0
470.3636363636364	518.1454545454545	3773.476434374232	857088	855040	1336	265.6239261168385	277.77308848797253	857088	1697	0.3085096464802822	1336	32.0	1.0
519.1549295774648	533.9084507042254	3578.0116581349907	894976	890880	1392	280.2290962837838	281.28497149493245	894976	1774	0.32553450018167496	1392	32.0	1.0
504.95024875621897	517.0	3639.7344792029953	931968	927360	1448	281.05482266435985	284.4110077854671	931968	1850	0.31867304018565584	1448	32.0	1.0
521.8361581920904	536.0819209039548	3885.6070510119907	968448	966400	1509	255.36019736842104	266.2987938596491	968448	1918	0.33853217000599767	1509	32.0	1.0
522.6851851851852	542.5246913580247	3707.667276289938	1006208	1003520	1568	271.39512711864404	290.9057468220339	1006208	1977	0.3089515547883713	1568	32.0	1.0
509.70238095238096	536.9583333333334	3581.248256949783	1044096	1039360	1624	266.0185282939189	277.6508129222973	1044096	2071	0.30824827642313074	1624	32.0	1.0
459.2592592592593	486.05820105820106	3632.544444467394	1080448	1075840	1680	243.81794674295776	250.56115206866198	1080448	2151	0.4029338733692254	1680	32.0	1.0
415.54945054945057	431.94871794871796	3838.4815577028894	1116928	1114240	1740	197.9281798245614	199.33404605263158	1116928	2266	0.32451820410788057	1740	32.0	1.0
396.864406779661	404.5169491525424	3770.8434710948914	1153536	1152000	1800	210.47175480769232	208.1900131118881	1153536	2335	0.30421794280409814	1800	32.0	1.0
408.2638888888889	404.99768518518516	3578.440083899794	1190656	1187840	1856	230.11206896551724	231.00274784482758	1190656	2418	0.2872837462595531	1856	32.0	1.0
463.7931034482759	455.66379310344826	3581.4762413075428	1228160	1223680	1912	247.8324978668942	247.27402410409556	1228160	2481	0.3062656203817044	1912	32.0	1.0
529.6491228070175	517.8947368421053	3895.6982316103085	1265280	1262720	1972	287.05495689655174	281.5543911637931	1265280	2543	0.30109454058110713	1972	32.0	1.0
534.5767195767196	518.1666666666666	3764.728533974115	1301504	1300480	2031	287.91547040636044	278.7260655918728	1301504	2617	0.3140532164755514	2031	32.0	1.0
557.4166666666666	533.6	3582.593630692259	1339136	1336320	2088	289.13398171768705	281.5607727465986	1339136	2683	0.3153531772264263	2088	32.0	1.0
576.0714285714286	554.5357142857143	3576.770909701414	1377280	1372160	2144	286.9484060402685	286.75304110738256	1377280	2748	0.2842067770127739	2144	32.0	1.0
537.3880597014926	536.320895522388	3901.988305208401	1413888	1411200	2204	282.9291411713287	284.00759396853147	1413888	2827	0.2717956371605396	2204	32.0	1.0
516.0042735042734	523.0128205128206	3770.8036984689757	1450624	1448960	2264	263.98192508710804	258.94046711672473	1450624	2919	0.31339504520098366	2264	32.0	1.0
485.16908212560384	469.6256038647343	3583.359074597892	1487872	1484800	2320	245.60754939862542	229.70226589347078	1487872	3002	0.33298024867794346	2320	32.0	1.0
465.09661835748796	433.57971014492756	3577.3364357697055	1525376	1520640	2376	232.4898677474403	219.98925447952217	1525376	3080	0.3211155299629484	2376	32.0	1.0
489.43502824858757	457.9463276836158	3900.7432921265677	1562240	1559680	2436	257.3291015625	247.47770182291666	1562240	3147	0.2999378554522991	2436	32.0	1.0
502.2420634920635	476.3968253968254	3773.852820784683	1599488	1597440	2496	261.62934922680415	257.3013584621993	1599488	3247	0.3330453485250473	2496	32.0	1.0
453.7113402061856	434.2216494845361	3582.8127347421605	1636480	1633280	2552	226.46193771626298	210.31606833910035	1636480	3362	0.3598235212266445	2552	32.0	1.0
388.4782608695652	354.6135265700483	3579.6732107933144	1673600	1669120	2608	197.88362068965517	178.31236530172413	1673600	3443	0.3253242875050221	2608	32.0	1.0
