local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3578.2725342134377	38400	35840	56	0.0	76.0	38400	0	0.006016992527293041	56	32.0	1.0
		3966.6441188637696	77568	75520	117	1.5176930147058822	227.0	77568	0	0.16134529843636344	117	32.0	1.0
		3710.8877875714884	117376	112640	176	2.9865353697749195	381.2508038585209	117376	0	0.05937187508699658	176	32.0	1.0
		4090.4884809014875	155776	153600	240	4.27734375	534.0	155776	0	0.01706586747786787	240	32.0	1.0
		3701.0906919637164	194816	190720	297	6.455430327868853	685.2491803278689	194816	0	0.24627423524374567	297	32.0	1.0
		3962.1833620468456	233344	230400	360	8.072856104651162	836.7508305647841	233344	0	0.03112573650506665	360	32.0	1.0
		3958.7240058114257	272128	270080	421	9.847050330033003	987.7491749174917	272128	0	0.03166128441760103	421	32.0	1.0
		3711.3222063040666	311680	307200	480	12.134430622977346	1140.7508090614888	311680	0	0.05859223063403772	480	32.0	1.0
		4095.7835075369785	349824	348160	544	13.822698196308725	1292.5	349824	0	0.03853714453725843	544	32.0	1.0
		3710.640503582512	389504	385280	601	15.334828629032257	1444.5	389504	0	0.0958109948490011	601	32.0	1.0
		3963.793429062023	428160	424960	664	17.04296875	1597.5	428160	0	0.01821005903184414	664	32.0	1.0
		3902.3138648468826	466688	464000	724	19.165697674418606	1748.249169435216	466688	0	0.06568871757093196	724	32.0	1.0
		3774.9416709158827	505856	501760	784	20.72686887254902	1900.0	505856	0	0.11036806146924695	784	32.0	1.0
22.923674242424244	2091.0795454545455	3646.5009046769296	542848	538240	840	19.599643166089965	1811.4498810553632	542848	186	0.015957384802667157	840	32.0	1.0
28.003100775193797	2134.232558139535	4028.162958272175	580608	578560	904	0.5830508474576271	134.10301906779662	580608	256	0.023500607966525422	904	32.0	1.0
		3774.012803250318	620032	616320	963	1.542182426948052	238.3046875	620032	256	0.055587786353406325	963	32.0	1.0
		3899.7136011971857	658944	655360	1024	3.078202097039474	391.3046875	658944	256	0.05617776494015191	1024	32.0	1.0
		4021.461351729947	697216	695680	1086	5.012541806020067	542.0565948996656	697216	256	0.05234944424967492	1086	32.0	1.0
		3644.645500781246	736768	732160	1144	7.0573675161812295	694.052841828479	736768	256	0.09972042898679602	1144	32.0	1.0
		4093.36390465668	774912	773120	1208	8.536047609060402	845.8046875	774912	256	0.04384806362213567	1208	32.0	1.0
		3775.175534060192	814592	810880	1266	10.037172379032258	997.8046875	814592	256	0.026900166509159166	1266	32.0	1.0
		3895.064845105727	853248	849920	1328	11.95638451986755	1150.8046875	853248	256	0.038790879881895717	1328	32.0	1.0
		3965.461683385955	891648	889600	1389	13.613098958333333	1301.3046875	891648	256	0.04197123803992252	1389	32.0	1.0
		3709.964974304108	931072	926720	1448	15.049563717532468	1453.3046875	931072	256	0.03412302989133839	1448	32.0	1.0
		4083.143120080806	968704	967680	1511	16.790710034013607	1603.8046875	968704	256	0.02539437666298851	1511	32.0	1.0
		3646.9070505708296	1008896	1004160	1568	18.82110867834395	1755.8046875	1008896	256	0.03110871281017337	1568	32.0	1.0
		4023.591265383549	1046784	1044480	1632	20.33179370777027	1908.3046875	1046784	256	0.028329756125458516	1632	32.0	1.0
22.694682539682542	2107.1238888888884	3574.5037075607825	1084416	1080320	1688	18.938483205782312	1788.7212744472788	1084416	426	0.021417720409642373	1688	32.0	1.0
25.897798742138367	2129.856918238994	3885.7942334080817	1121920	1119360	1748	0.925581271331058	168.89214483788396	1121920	512	0.016858769270280998	1748	32.0	1.0
		3774.4539718809865	1161088	1157120	1808	1.4024203431372548	236.53125	1161088	512	0.024888370853538313	1808	32.0	1.0
		4093.5346878477326	1199232	1198080	1872	2.8009909815436242	387.53125	1199232	512	0.025454921007622033	1872	32.0	1.0
		3645.1902608601185	1239296	1234560	1928	4.5770017971246	540.281998801917	1239296	512	0.016701280438740338	1928	32.0	1.0
		4031.5892767672626	1277952	1274880	1992	6.5003362996688745	694.03125	1277952	512	0.02501453876902815	1992	32.0	1.0
		4015.4177373341645	1316736	1315200	2054	8.023643770627062	845.2804764851485	1316736	512	0.024545917092191595	2054	32.0	1.0
		3636.7982766018886	1356416	1351680	2112	9.647253024193548	998.53125	1356416	512	0.022827889224321676	2112	32.0	1.0
		4090.316101463849	1394816	1392640	2176	11.658020833333333	1151.03125	1394816	512	0.02181280894728843	2176	32.0	1.0
		3772.170274572322	1434112	1430400	2235	13.506260179153095	1302.782013436482	1434112	512	0.02827158188289505	2235	32.0	1.0
		3903.5533668373237	1472256	1469440	2296	14.988150167785236	1454.03125	1472256	512	0.024456340407372497	2296	32.0	1.0
		3771.69083631334	1510784	1507200	2354	16.74592504152824	1603.780471345515	1510784	512	0.0184049923615209	2354	32.0	1.0
		3902.6158534661254	1549568	1546240	2416	18.787283415841586	1754.7820235148515	1549568	512	0.02415507570690205	2416	32.0	1.0
31.0	2097.0	3954.274551989414	1587968	1585920	2477	20.391744791666667	1905.094375	1587968	513	0.024021842730704877	2477	32.0	1.0
23.17721088435374	2104.871598639456	3709.201232895406	1625344	1623040	2536	18.608224529109588	1751.1889715325342	1625344	677	0.019062003499623073	2536	32.0	1.0
25.301149425287356	2122.6488505747125	3637.170792375758	1664128	1659520	2592	1.214418316831683	198.06889438943895	1664128	768	0.01581566172119762	2592	32.0	1.0
		4027.5099495591785	1702528	1699840	2656	1.5219010416666667	240.3046875	1702528	768	0.023904380010208115	2656	32.0	1.0
		3829.5225320300315	1741312	1738240	2715	3.0421823432343236	391.05824566831683	1741312	768	0.026772866230773722	2715	32.0	1.0
