local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3576.111808959453	40960	35840	56	0.0	81.0	40960	0	0.5150002240386259	56	32.0	1.0
		4089.0791939996993	80256	76800	120	1.7391846498371335	237.25081433224756	80256	0	0.17200977124957717	120	32.0	1.0
		4089.6445445761674	119680	117760	184	3.7174056412337664	391.0	119680	0	0.2757701649206865	184	32.0	1.0
		3962.9467115646694	159616	157440	246	5.504982972756411	546.0	159616	0	0.006176734944024394	246	32.0	1.0
		3759.750164275649	199808	195200	304	8.242038216560509	702.5	199808	0	0.09012971459165343	304	32.0	1.0
		4030.867517880661	238976	235520	368	9.915211397058824	857.5	238976	0	0.11106201413804229	368	32.0	1.0
		4092.797135344186	278272	276480	432	11.5267457247557	1010.7491856677525	278272	0	0.03964831899975252	432	32.0	1.0
		3884.957861495075	318080	315520	492	13.58216941318328	1165.2508038585208	318080	0	0.03182004638171444	492	32.0	1.0
		3839.362715644209	358528	353920	552	15.439725079113924	1322.0	358528	0	0.1287077794452974	552	32.0	1.0
		4023.6519590109565	397696	394240	616	17.047615400326798	1477.5	397696	0	0.07784180624184955	616	32.0	1.0
		4086.570099661452	436224	435200	679	18.61627906976744	1629.249169435216	436224	0	0.03890739861018364	679	32.0	1.0
		3764.1948901213036	476544	472960	738	20.71845238095238	1783.2507936507936	476544	0	0.03635613349763582	738	32.0	1.0
28.285714285714285	1986.142857142857	3903.229182068942	515584	512000	800	22.362935450819673	1928.343212090164	515584	7	0.0892008587177242	800	32.0	1.0
25.47507122507123	2105.5897435897436	3575.671097503781	552960	547840	856	14.407828553082192	1282.6570526541095	552960	256	0.03919676801888272	856	32.0	1.0
		4091.3155198925183	592384	588800	920	0.09813818993506493	134.45703125	592384	256	0.0205167204967438	920	32.0	1.0
		4088.084856152572	631680	629760	984	1.9047231270358307	288.2090289087948	631680	256	0.06955576803557051	984	32.0	1.0
		3954.857604794173	671488	669440	1045	3.2893137057877815	442.7050592845659	671488	256	0.09464186987244204	1045	32.0	1.0
		3774.3521476619726	711808	707200	1104	4.733134920634921	599.2089781746032	711808	256	0.040114116456391194	1104	32.0	1.0
		4025.104173883849	751744	747520	1168	6.3719951923076925	755.95703125	751744	256	0.030515958271280397	1168	32.0	1.0
		4090.6138303278085	790656	788480	1232	8.376130756578947	909.95703125	790656	256	0.07689800893876964	1232	32.0	1.0
		3903.4458885950876	830208	827520	1292	9.870550161812298	1063.2050465210357	830208	256	0.038436941925707895	1292	32.0	1.0
