local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3582.1712095234507	39552	35840	56	0.0	78.25081433224756	39552	0	0.0701646092638839	56	32.0	1.0
		4090.451666445555	78720	76800	120	0.9013735702614379	231.5	78720	0	0.12069563115073834	120	32.0	1.0
		3895.7575497455127	118400	115840	180	1.910509072580645	385.5	118400	0	0.03276911111218699	180	32.0	1.0
		3770.887105234273	158720	153600	240	3.455431547619048	541.7492063492064	158720	0	0.04816338789484386	240	32.0	1.0
		4088.0637466770845	198144	194560	304	5.416345373376624	697.5	198144	0	0.09099527909256722	304	32.0	1.0
		4083.647812026406	237056	235520	368	6.940660978618421	850.5	237056	0	0.08875439150369857	368	32.0	1.0
		3902.9624492809894	277248	274560	429	8.670257762738853	1005.0	277248	0	0.040550749979867434	429	32.0	1.0
		3775.261024164953	317312	312320	488	10.471395766773163	1161.7507987220447	317312	0	0.03604113279893142	488	32.0	1.0
		4095.4501714726553	356864	353280	552	12.230127427184467	1317.2491909385112	356864	0	0.08798715720786277	552	32.0	1.0
		4093.359808375931	395776	394240	616	13.612947162828947	1470.5	395776	0	0.06385173031503655	616	32.0	1.0
		3902.45476225158	435840	433280	676	15.245731829073483	1624.7507987220447	435840	0	0.028203186018314834	676	32.0	1.0
		3774.867081956204	475904	471040	736	17.4598392571885	1781.2492012779553	475904	0	0.08190894860114592	736	32.0	1.0
34.0	1977.0	4094.9713521440935	514944	512000	800	19.072592213114753	1933.978406762295	514944	1	0.0952782404183381	800	32.0	1.0
21.252136752136753	2121.880341880342	3581.56302292082	553088	547840	856	16.38265520134228	1671.881082214765	553088	209	0.01861443026012109	856	32.0	1.0
26.343750000000004	2176.34375	4087.8792182868456	591744	588800	920	0.48145177980132453	143.3268315397351	591744	256	0.02704198688024917	920	32.0	1.0
		4095.7164258837515	631040	629760	984	1.8122455211726385	254.86759466612378	631040	256	0.046609646509750746	984	32.0	1.0
		3708.187845427823	671104	666880	1042	3.421350838658147	409.86678813897765	671104	256	0.05857590833229238	1042	32.0	1.0
		3962.1235594180994	710784	706560	1104	5.207333669354838	565.6171875	710784	256	0.02075828413287508	1104	32.0	1.0
		4086.3018256370297	749952	747520	1168	7.143229166666667	719.6171875	749952	256	0.036817550206251326	1168	32.0	1.0
		4031.1642235734894	789376	787840	1230	8.831295657467532	873.1171875	789376	256	0.05467032215693184	1230	32.0	1.0
		3771.6255372164496	829696	825600	1289	10.38298611111111	1028.8675843253968	829696	256	0.05518574645383662	1289	32.0	1.0
		3965.1747577753995	869760	865280	1352	12.165460263578275	1185.8667881389777	869760	256	0.043136233511927816	1352	32.0	1.0
		4089.543396860597	909440	906240	1416	14.137878024193549	1341.6171875	909440	256	0.07651248759975715	1416	32.0	1.0
		4094.780246152987	948224	947200	1479	15.751959570957096	1494.867600041254	948224	256	0.07075197305825967	1479	32.0	1.0
		3893.6460102141086	988800	986240	1540	17.357674487381704	1649.8667931782334	988800	256	0.059230596964537606	1540	32.0	1.0
		3825.7719691662223	1029248	1024640	1600	19.373121044303797	1808.1171875	1029248	256	0.03977627325803042	1600	32.0	1.0
20.333333333333332	2072.3333333333335	4027.7025588771135	1068672	1064960	1664	21.175426136363637	1959.0306412337663	1068672	259	0.03665861304398277	1664	32.0	1.0
24.10566448801743	2116.854357298475	3645.6187855661065	1106176	1101440	1720	11.641424914675769	1107.5051194539249	1106176	511	0.035316359401414435	1720	32.0	1.0
22.0	2146.0	4027.5582919989893	1145472	1141760	1784	0.3027025651465798	148.15177117263843	1145472	512	0.02693096744678769	1784	32.0	1.0
		4085.098816629646	1184384	1182720	1848	2.3709652549342106	300.13671875	1184384	512	0.0688972216212278	1848	32.0	1.0
		3771.8123687130483	1224192	1220480	1907	4.189283561093248	453.88622889871385	1224192	512	0.0549582837907187	1907	32.0	1.0
		3898.620590970949	1264128	1259520	1968	5.978089943910256	609.63671875	1264128	512	0.049143780337753476	1968	32.0	1.0
		4086.5084712800117	1303424	1300480	2032	7.862123371335505	764.3872149837133	1303424	512	0.03806249473564094	2032	32.0	1.0
		3965.4903120914823	1342336	1340160	2094	9.6953125	917.13671875	1342336	512	0.030514620627546982	2094	32.0	1.0
		3708.041152886718	1382528	1377280	2152	11.255249800955413	1071.63671875	1382528	512	0.04315621545538306	2152	32.0	1.0
		4088.449880267953	1421568	1418240	2216	12.682300204918032	1226.386219262295	1421568	512	0.05264381417509867	2216	32.0	1.0
		4092.530285431148	1460608	1459200	2280	14.61936475409836	1378.887218237705	1460608	512	0.039015670387016144	2280	32.0	1.0
		3827.979973638817	1500672	1497600	2339	16.546076277955272	1533.386232028754	1500672	512	0.05519061317762076	2339	32.0	1.0
		3827.870345309867	1540864	1536000	2400	18.242734872611464	1690.13671875	1540864	512	0.026790338797403165	2400	32.0	1.0
		4088.427307589721	1579648	1576960	2464	19.863500412541253	1844.3872215346535	1579648	512	0.0467635189925204	2464	32.0	1.0
23.175925925925927	2089.9814814814813	3967.184676839963	1618688	1616640	2525	21.08473360655738	1935.346362704918	1618688	558	0.04893740687946804	2525	32.0	1.0
24.766145833333333	2113.43125	3706.823108262713	1657216	1653760	2584	6.19624688538206	616.6418968023256	1657216	768	0.03663744486994663	2584	32.0	1.0
		4095.4567126953734	1696256	1694720	2648	0.8257428278688524	190.65125512295083	1696256	768	0.039299225916693103	2648	32.0	1.0
		3839.538263535469	1736320	1733120	2708	2.583191892971246	345.15340455271564	1736320	768	0.03612840103451163	2708	32.0	1.0
		3835.7236701359934	1776512	1771520	2768	4.645402070063694	501.90234375	1776512	768	0.04226497164927423	2768	32.0	1.0
		4095.7755982321564	1815680	1812480	2832	6.413219975490196	656.90234375	1815680	768	0.03388729198195506	2832	32.0	1.0
		4089.8225143967966	1854464	1853440	2895	8.039114067656765	809.1512479372938	1854464	768	0.10086707243814118	2895	32.0	1.0
		3837.5574628346485	1895040	1891840	2956	10.022969242902208	964.1533911671925	1895040	768	0.05033650580549338	2956	32.0	1.0
		3837.98835906778	1934848	1930240	3016	13.085359726688102	1121.1512761254019	1934848	768	0.10243986382459601	3016	32.0	1.0
		4086.1098758079524	1973632	1971200	3080	15.181337665016502	1274.6534395627064	1973632	768	0.04915539276407799	3080	32.0	1.0
