local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2558.3849307013725	30848	25600	40	-0.2930831589958159	61.2510460251046	30848	0	0.20843282444402575	40	32.0	1.0
		3122.62587084616	61568	56960	88	-0.63935546875	181.0	61568	0	0.08362038957420737	88	32.0	1.0
		3263.8371312352256	92800	89600	140	-1.2891265368852458	302.0	92800	0	0.17908298754348204	140	32.0	1.0
		3319.704427225068	123904	122880	191	-1.6837705761316872	423.7489711934156	123904	0	0.09677945227161341	191	32.0	1.0
		3071.509136063122	155520	153600	240	-2.32122975708502	546.251012145749	155520	0	0.1230713595084998	240	32.0	1.0
		3067.4832863740166	186880	184320	288	-2.1723852040816327	669.2489795918367	186880	0	0.05386775316825757	288	32.0	1.0
		3066.436801862694	217600	215040	336	-2.033463541666667	790.5	217600	0	0.15391737183866402	336	32.0	1.0
		3071.7392799416402	249088	245760	384	-2.452458079268293	912.0	249088	0	0.15576178448585173	384	32.0	1.0
		3071.269729304067	280320	276480	432	-1.5619877049180328	1034.5	280320	0	0.1812028835217158	432	32.0	1.0
		3068.0307942631457	311424	307200	480	-0.7166602366255144	1156.2510288065844	311424	0	0.20210628933273256	480	32.0	1.0
		3067.0984095003887	342400	337920	528	-0.10272469008264463	1277.5	342400	0	0.18650734013256928	528	32.0	1.0
		3061.3040941125932	373376	368640	576	0.7889979338842975	1398.5	373376	0	0.3625480520228545	576	32.0	1.0
		3059.4752237013427	404480	399360	624	1.5012538580246915	1519.7489711934156	404480	0	0.227373570514222	624	32.0	1.0
		3256.002877035533	435584	432000	674	2.1166409465020575	1641.2510288065844	435584	0	0.2866110795736313	674	32.0	1.0
2.1528595697301105	1783.0	2871.811616543634	463360	460800	720	1.6541258640552996	1310.3197004608294	463360	256	0.12211510773910128	720	32.0	1.0
		3061.175507472996	495232	491520	768	-0.36662274096385544	89.89125251004016	495232	256	0.1087092215117688	768	32.0	1.0
		3066.2818791927143	526592	522240	816	-0.25510204081632654	213.38998724489795	526592	256	0.23983645633173487	816	32.0	1.0
		3066.8290312507143	557824	552960	864	-0.6950883709016393	335.640625	557824	256	0.10926272964570671	864	32.0	1.0
		3189.147723029498	589056	584960	913	-1.215452100409836	457.640625	589056	256	0.08314731572659648	913	32.0	1.0
		3186.790820490961	620032	616960	963	-1.2540999483471074	579.140625	620032	256	0.10834656607359648	963	32.0	1.0
		3199.4200422625227	651008	648960	1013	-1.2857696280991735	700.140625	651008	256	0.0718354856222868	1013	32.0	1.0
		3192.4763793898305	681984	680960	1063	-1.3572443181818181	821.140625	681984	256	0.24386751383543015	1063	32.0	1.0
		3062.5755593770896	713728	711680	1112	-0.8352759576612904	943.640625	713728	256	0.1428124174019512	1112	32.0	1.0
		3064.1536613538174	744704	742400	1160	-0.11205449380165289	1066.140625	744704	256	0.5354731380551433	1160	32.0	1.0
		3070.849137363667	775680	773120	1208	0.3014914772727273	1187.140625	775680	256	0.2049223555562397	1208	32.0	1.0
		3067.80631868629	806912	803840	1256	0.7286757172131147	1308.640625	806912	256	0.2712930667524536	1256	32.0	1.0
		3071.426547496475	838016	834560	1304	1.0269097222222223	1430.3912680041153	838016	256	0.38427748810499907	1304	32.0	1.0
		3061.8325182206563	869120	865280	1352	1.1130722736625513	1551.8899819958847	869120	256	0.16356360795907676	1352	32.0	1.0
		3061.304894176406	900480	896000	1400	1.2528061224489795	1673.891262755102	900480	256	0.47950090118683875	1400	32.0	1.0
2.259813650688264	1782.0047265594171	3005.2141806469504	927744	926080	1447	0.4920041079812207	798.9969190140845	927744	512	0.11235389866410418	1447	32.0	1.0
		3130.3845985695893	959488	957440	1496	-0.5753213205645161	121.6328125	959488	512	0.1418311451466716	1496	32.0	1.0
		3068.786568020166	990720	988160	1544	-0.7183337602459017	244.6328125	990720	512	0.16741068117941418	1544	32.0	1.0
		3071.993334975398	1022464	1018880	1592	-1.0901272681451613	367.6328125	1022464	512	0.17646113185522458	1592	32.0	1.0
		3064.347139497564	1054464	1049600	1640	-1.34746875	492.1328125	1054464	512	0.10577254664773743	1640	32.0	1.0
		3068.148414171901	1085568	1080320	1688	-1.6286651234567902	615.382941100823	1085568	512	0.10546042653732002	1688	32.0	1.0
		3259.458226761702	1116672	1112960	1738	-1.567676183127572	736.882683899177	1116672	512	0.13889570198953152	1738	32.0	1.0
		3125.7002451210456	1147392	1144320	1787	-1.7794596354166667	857.6328125	1147392	512	0.28281089967610884	1787	32.0	1.0
		3131.3170270167902	1178368	1175680	1836	-1.0322507747933884	978.1328125	1178368	512	0.9782115312255159	1836	32.0	1.0
