local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
0.0	125.76923076923077	3067.337823543817	32896	30720	48	0.3020833333333333	64.74549632352941	32896	57	0.08984155243767115	48	32.0	1.0
1.4513274336283186	185.03834808259586	3064.214872135654	65280	61440	96	0.8683917984189723	100.77510499011858	65280	257	0.10096168677167346	96	32.0	1.0
1.3025073746312683	178.49808259587022	3199.1145486642017	97664	93440	146	0.8861783596837944	102.75870800395256	97664	424	0.12035970143973827	146	32.0	1.0
1.6856725146198832	193.42690058479533	3451.3456291479706	129920	128000	200	0.9634176587301587	104.48335193452381	129920	576	0.17267775301028182	200	32.0	1.0
1.9594801223241594	203.76605504587158	3064.5767944197023	162816	158720	248	1.1107125486381324	109.61183730544747	162816	738	0.17828168820900223	248	32.0	1.0
1.9168209876543212	198.3134259259259	3262.9972884166145	195072	191360	298	1.1037636408730158	109.13312251984127	195072	898	0.162465525791049	298	32.0	1.0
2.080128205128205	208.4358974358974	3385.534694719847	227328	225280	352	1.1184895833333333	111.93684895833333	227328	1075	0.1274356287041748	352	32.0	1.0
1.899122807017544	197.24853801169593	3066.507737297029	260352	256000	400	1.0679808624031009	105.64952761627907	260352	1222	0.18050511340455463	400	32.0	1.0
1.9030812324929973	201.18795518207284	3455.5896269814493	292608	290560	453	1.2561073908730158	114.83184523809524	292608	1382	0.163609902743461	453	32.0	1.0
2.259587020648968	213.63421828908557	3196.361411286752	326016	322560	504	1.3326149425287357	117.89292983716476	326016	1532	0.13644605268742524	504	32.0	1.0
2.377777777777778	218.08055555555558	3194.289307981515	358656	354560	553	1.3759497549019608	119.48933823529411	358656	1691	0.1431198964769743	553	32.0	1.0
2.4802259887005644	223.5296610169491	3454.7779835185174	390656	389120	608	1.251875	114.79384375	390656	1848	0.14596587412736634	608	32.0	1.0
2.183641975308642	209.30401234567904	3061.1800892773776	423680	419840	656	1.2125423934108528	112.26377785852713	423680	1992	0.12778008418778578	656	32.0	1.0
2.3128930817610063	215.24056603773585	3321.137762949746	456192	453120	707	1.216904527559055	111.18605437992126	456192	2144	0.13649538283546767	707	32.0	1.0
2.2420289855072464	211.62608695652173	3318.6006697377643	488704	486400	760	1.2240095964566928	112.76282603346456	488704	2301	0.15376556678762976	760	32.0	1.0
2.3130841121495327	214.26401869158877	3064.105714616129	522240	517120	808	1.217557251908397	112.62401598282443	522240	2448	0.10156864071420084	808	32.0	1.0
2.258771929824561	211.89035087719296	3445.671702778615	553728	551680	861	1.235740599593496	110.31373856707317	553728	2608	0.09551922646614741	861	32.0	1.0
2.0345345345345347	204.8768768768769	3194.1626605488364	586624	583680	912	1.3888010700389104	118.97945038910505	586624	2743	0.08744526040904663	912	32.0	1.0
2.3913690476190474	221.48139880952382	3071.542524191174	619264	614400	960	1.4010110294117648	121.12205882352941	619264	2892	0.1116971264903744	960	32.0	1.0
2.5130434782608697	224.2659420289855	3569.9822388914226	651264	650240	1015	1.41396875	122.94684375	651264	3053	0.09138380282304503	1015	32.0	1.0
2.3594202898550725	219.02028985507246	3067.2033265162427	685312	680960	1064	1.3369067199248121	116.27707941729324	685312	3198	0.08618448841936734	1064	32.0	1.0
2.327635327635328	216.19586894586894	3455.1975526962087	717696	715520	1118	1.3938982213438735	118.91322875494072	717696	3351	0.09910789784044027	1118	32.0	1.0
2.4522653721682848	222.6197411003236	3197.0043785790795	750976	747520	1168	1.4569110576923077	122.13094951923077	750976	3490	0.09232492864131928	1168	32.0	1.0
2.5895061728395063	228.71759259259264	3186.54084167745	783616	779520	1217	1.5909007352941176	129.95511642156862	783616	3631	0.0798254842888944	1217	32.0	1.0
2.643302180685358	231.791277258567	3447.250175150715	815488	814080	1272	1.461972891566265	123.97822540160642	815488	3772	0.09612183448943225	1272	32.0	1.0
2.4901960784313726	221.30392156862746	3071.0686418265336	848384	844800	1320	1.3969479571984436	120.08116488326849	848384	3926	0.10029809087670098	1320	32.0	1.0
2.4840579710144923	222.1246376811594	3255.178206169199	881024	877440	1370	1.3613664215686274	119.6967524509804	881024	4079	0.08559385783970357	1370	32.0	1.0
