local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3576.609047589522	36864	35840	55	155.0314138986014	73.0	36864	0	4.408667577532205	55	32.0	1.0
		3580.8165143250785	75136	71680	112	708.809651964883	219.25083612040135	75136	0	5.371631273052149	112	32.0	1.0
1417.0	430.8	3647.7664868112306	112896	108160	169	1266.1278866525424	367.1957097457627	112896	5	5.232488990091441	169	32.0	1.0
1521.4310344827586	530.448275862069	3894.064727100344	149248	147200	229	1767.5502860915492	480.96990536971833	149248	37	11.841952997446061	229	32.0	1.0
2187.6206896551726	664.2068965517242	3704.843651224734	186880	184320	288	2034.0394610969388	511.22076955782313	186880	102	10.895847403396994	288	32.0	1.0
2985.4411764705883	802.1764705882352	3580.3831702489033	224512	220160	344	1948.1865965136055	470.8425276360544	224512	160	9.3122490133558	344	32.0	1.0
3741.988888888889	927.5333333333333	3708.508118840757	261376	257280	401	1901.3079698350693	437.98383246527777	261376	207	9.002814197749423	401	32.0	1.0
4200.847826086957	956.3913043478261	3956.168574302525	297984	296960	463	1978.9530430506993	453.97634396853147	297984	231	8.779036929530482	463	32.0	1.0
4447.220238095238	1082.232142857143	3583.86995100819	336000	332800	520	2114.222932449495	484.66895517676767	336000	263	8.551265873407063	520	32.0	1.0
4398.455882352941	901.3676470588235	3576.6180679106023	373760	368640	576	2145.420365466102	498.3728283898305	373760	298	10.399702761854444	576	32.0	1.0
4018.8333333333335	855.8	3828.4618668745516	410112	407040	635	2158.5379621478874	507.29219850352115	410112	347	9.571412474422132	635	32.0	1.0
4371.086538461538	871.4038461538462	3838.826469588445	446592	445440	695	1979.4254385964912	476.1879934210526	446592	405	8.515039507548014	695	32.0	1.0
4391.411764705882	901.8235294117648	3576.4709402415633	483968	481280	752	1819.3060520119864	456.86354880136986	483968	439	8.892143638510452	752	32.0	1.0
3500.8275862068967	932.7413793103449	3583.0070134753078	521088	517120	808	1875.7221443965518	487.8391702586207	521088	470	6.473873819623675	808	32.0	1.0
3135.6222222222223	860.4629629629628	3766.3560794861655	558464	554880	866	1655.3602044092465	489.0380725599315	558464	522	8.982005513947586	866	32.0	1.0
3025.2413793103447	841.5862068965517	3832.4050052441144	594816	593280	926	1378.34375	417.97826804577466	594816	586	8.892490522066753	926	32.0	1.0
2493.701923076923	817.3846153846154	3646.9978873574305	632064	629760	984	1183.4578232388317	390.99441580756013	632064	641	7.304989259818504	984	32.0	1.0
2149.255319148936	697.6702127659574	3583.830818533404	669056	665600	1040	1280.434634515571	371.0213830017301	669056	692	5.924632127795901	1040	32.0	1.0
2541.2181818181816	702.7757575757577	3580.677911275878	706048	701440	1096	1383.6947448096885	354.97291306228374	706048	752	6.612215567912374	1096	32.0	1.0
2230.88	662.47	3702.244401556282	742656	738560	1153	1559.6281687062938	375.02712521853147	742656	810	9.1943594781976	1153	32.0	1.0
2936.0384615384614	677.5192307692307	3824.835907501637	779008	776960	1213	1486.7502200704225	339.7454335387324	779008	867	7.733950841426849	1213	32.0	1.0
2599.0714285714284	662.5119047619048	3703.7152816905145	816000	814080	1272	1505.9888354238753	341.5175173010381	816000	913	7.567654642008119	1272	32.0	1.0
2633.8393939393936	636.8545454545455	3580.6146265594757	853632	849920	1328	1669.2647215136055	364.61941964285717	853632	974	7.165255120822361	1328	32.0	1.0
2623.7272727272725	622.2363636363636	3647.143931102712	891136	886400	1384	1639.791142278157	349.919288609215	891136	1040	7.694212832621166	1384	32.0	1.0
3202.7272727272725	660.3454545454546	3902.869422352753	927488	925440	1445	1523.7753080985915	327.65234375	927488	1106	7.063900269445826	1445	32.0	1.0
2734.451219512195	622.2682926829268	3707.479748264152	964864	962560	1504	1550.1361836472602	333.27399935787673	964864	1151	8.206540008722726	1504	32.0	1.0
2597.571895424837	629.9477124183006	3577.1117020142487	1002624	998400	1560	1734.7498675847457	356.64851694915257	1002624	1207	6.921130793435233	1560	32.0	1.0
2870.806818181818	632.4204545454545	3703.7543132243095	1039616	1035520	1617	1919.3725670415224	374.26029952422147	1039616	1256	9.00273903420097	1617	32.0	1.0
3116.492537313433	635.8432835820895	3645.8110203998867	1075712	1072000	1674	1894.7445146276596	359.7319647606383	1075712	1331	8.334660233112803	1674	32.0	1.0
3194.023076923077	654.7923076923076	3887.3700464383974	1112064	1111040	1735	1715.082773987676	319.21261553697184	1112064	1400	7.106029297484726	1735	32.0	1.0
3115.219858156028	612.3936170212766	3577.9890046781147	1149056	1146880	1792	1730.3884623702422	322.6222967128028	1149056	1450	7.091267782345152	1792	32.0	1.0
3030.461805555555	614.6875	3576.636874575401	1186304	1182720	1848	1794.3847991838488	337.43784901202747	1186304	1503	10.075368966375079	1848	32.0	1.0
2786.1953125	579.1015625	3576.8635061823998	1223808	1218560	1904	1824.8869453924915	336.66491574232083	1223808	1576	5.68408481989588	1904	32.0	1.0
3035.5377358490564	604.5471698113207	3885.3297222727756	1260160	1257600	1964	1824.2019971390846	333.5070972711268	1260160	1634	7.159252222379049	1964	32.0	1.0
3500.1339285714284	623.5357142857143	3774.0631659115256	1297792	1295360	2024	1873.672831632653	343.13515093537416	1297792	1694	5.776476643482844	2024	32.0	1.0
3102.0258620689656	633.5775862068965	3580.290732538897	1335680	1331200	2080	1751.923880912162	332.5284258868243	1335680	1757	6.690722397395542	2080	32.0	1.0
3071.7537313432836	580.2537313432836	3634.9980672588226	1372288	1367680	2136	1700.7161276223776	311.7295399912587	1372288	1831	5.899641750114305	2136	32.0	1.0
2795.066037735849	569.4182389937107	3888.265808994831	1408768	1406720	2197	1699.3042763157894	305.2501918859649	1408768	1893	6.3895418526696375	2197	32.0	1.0
2799.992537313433	537.0522388059702	3709.2155484972004	1445504	1443840	2256	1716.536694250871	300.9168662891986	1445504	1970	6.9873018345590365	2256	32.0	1.0
2778.35593220339	538.7457627118644	3577.1622646473447	1482496	1479680	2312	1619.6604400951558	279.37059364186854	1482496	2036	9.183389276266098	2312	32.0	1.0
2779.4313725490197	545.9215686274509	3579.549697910613	1519616	1515520	2368	1716.8425377155172	308.3443157327586	1519616	2091	6.040550810950143	2368	32.0	1.0
2829.245901639344	568.5245901639345	3571.1825634973925	1556352	1551360	2424	1790.055368031359	323.1400533536585	1556352	2156	6.216241676892553	2424	32.0	1.0
2680.2045454545455	534.3787878787879	3758.40166813821	1592704	1589120	2482	1766.8936784771126	306.1539392605634	1592704	2228	5.9387131682757675	2482	32.0	1.0
3042.4066666666668	568.8155555555556	3831.405266316005	1629056	1627520	2542	1645.7387764084508	282.6351507482394	1629056	2316	7.7603040357430775	2542	32.0	1.0
2768.0424242424237	514.1787878787878	3642.300308686242	1666560	1664000	2600	1542.4746693686006	269.01149210750856	1666560	2377	5.84984866915078	2600	32.0	1.0
2539.9296875	486.5546875	3578.5009065287254	1703808	1699840	2656	1634.5331024484535	279.1746402491409	1703808	2449	6.319264041525977	2656	32.0	1.0
2406.60606060606	485.48989898989896	3632.41931500141	1740928	1736320	2712	1750.1837015086207	287.53022629310345	1740928	2527	6.264311756406512	2712	32.0	1.0
2951.5158730158732	519.5608465608466	3769.2333057057135	1777152	1774080	2771	1718.1787212897527	285.07773851590105	1777152	2598	6.27822960635363	2771	32.0	1.0
2888.3676470588234	513.9264705882352	3837.073551515593	1813504	1812480	2831	1652.789640184859	272.6050836267606	1813504	2674	6.469520252943039	2831	32.0	1.0
2792.212121212121	497.32070707070704	3579.284630024037	1851136	1848320	2888	1557.9259406887754	263.32227891156464	1851136	2751	7.2716100550534435	2888	32.0	1.0
2614.520833333333	484.5651041666667	3571.5744784380513	1888384	1884160	2944	1568.37220790378	270.3017880154639	1888384	2824	7.383289160473006	2944	32.0	1.0
2573.9032258064517	494.3225806451613	3583.6050117976774	1925248	1920000	3000	1628.6790093315972	291.5854763454861	1925248	2892	7.05107025376388	3000	32.0	1.0
2824.6908602150534	538.4408602150537	3825.3278210667067	1961472	1958400	3059	1662.2240227473499	289.97982000883394	1961472	2964	6.268406247688552	3059	32.0	1.0
2797.2014925373132	521.1492537313433	3696.5073455269294	1997568	1995520	3117	1613.0643561613474	277.599844858156	1997568	3039	6.688078863867398	3117	32.0	1.0
2428.7464788732395	491.48591549295776	3710.337988135312	2034176	2032640	3176	1605.3750546328672	273.5970826048951	2034176	3116	7.175529273889833	3176	32.0	1.0
2418.133744855967	462.23045267489715	3566.4102159563536	2071040	2068480	3232	1536.6840006510417	258.29706488715277	2071040	3214	7.19698937024389	3232	32.0	1.0
2476.676056338028	460.5633802816901	3577.5517469759075	2108032	2104320	3288	1435.5063256920416	237.1233509948097	2108032	3292	7.053838233862605	3288	32.0	1.0
2108.723404255319	415.25	3570.0789778968333	2144512	2140160	3344	1310.0338541666667	229.0205043859649	2144512	3399	7.13505077787808	3344	32.0	1.0
2192.7089201877934	408.7793427230047	3646.653687659421	2181376	2176640	3401	1289.5242241753472	224.62356228298611	2181376	3478	7.60297423496581	3401	32.0	1.0
2229.5755555555556	417.3	3838.2759209072615	2217728	2215040	3461	1343.297177596831	235.49262764084506	2217728	3558	6.144476652145386	3461	32.0	1.0
2025.888888888889	416.3397435897436	3701.12254155695	2253696	2252160	3518	1369.4782028469751	237.0747887010676	2253696	3652	6.592922871572929	3518	32.0	1.0
1882.6458333333333	397.14583333333337	3638.8078611345613	2290048	2288640	3576	1187.7389139524648	208.43494168133802	2290048	3753	7.21706401274122	3576	32.0	1.0
1923.3456790123457	381.2572016460905	3578.2069496413374	2326784	2324480	3632	1169.4025479094078	206.06767203832752	2326784	3854	7.30068781546184	3632	32.0	1.0
1630.2325581395348	362.38953488372096	3579.0863235528673	2363648	2360320	3688	1145.4135199652778	205.45442708333334	2363648	3951	6.79012137225696	3688	32.0	1.0
1924.3333333333333	393.1435185185185	3575.411791154498	2400384	2396160	3744	1237.8660986498257	217.67073170731706	2400384	4036	5.999569407531193	3744	32.0	1.0
1840.867383512545	385.63440860215053	3582.8377549530533	2436864	2432000	3800	1099.9894736842105	210.46600877192984	2436864	4143	5.962325289845467	3800	32.0	1.0
1755.7104166666668	378.0395833333333	3698.3874992048204	2473216	2469120	3857	1041.8277948943662	201.10469850352112	2473216	4237	5.330251653989156	3857	32.0	1.0
1458.1529411764707	347.9137254901961	3774.7094561195195	2509568	2506880	3916	1115.081426056338	202.50299845950704	2509568	4340	6.375811603109716	3916	32.0	1.0
1823.3312236286918	379.75738396624473	3766.7873967948435	2545792	2544640	3976	1102.326855123675	205.6854019434629	2545792	4434	5.977805624405543	3976	32.0	1.0
1649.8607843137254	375.69019607843137	3579.874566146024	2582528	2580480	4032	1053.3924760452962	204.327743902439	2582528	4538	5.926746696233749	4032	32.0	1.0
1565.7967479674796	360.119918699187	3580.3841082944095	2619264	2616320	4088	1014.8928027003484	195.91457970383274	2619264	4639	6.74210866859981	4088	32.0	1.0
1367.6203703703702	339.8796296296296	3582.467184160067	2655360	2652160	4144	948.1733156028369	185.14516843971631	2655360	4752	6.483406347887857	4144	32.0	1.0
1608.5363984674332	349.65900383141764	3583.544698960763	2691840	2688000	4200	983.1331414473684	183.52601425438596	2691840	4856	5.380124990429197	4200	32.0	1.0
1533.719483568075	346.59154929577466	3582.6463122664263	2728576	2723840	4256	1237.194631968641	213.61563588850174	2728576	4939	6.208476477435657	4256	32.0	1.0
1869.4944444444445	375.8611111111111	3633.396692413877	2764928	2760320	4312	1187.904131822183	211.37348701584506	2764928	5039	6.6337413255657465	4312	32.0	1.0
1657.4397163120568	363.61347517730496	3772.5002118172165	2801152	2798080	4371	1155.5071499558303	207.402136704947	2801152	5146	4.965144084671796	4371	32.0	1.0
1900.8691983122362	384.30379746835445	3767.403415710749	2837376	2835840	4430	1195.1868650618374	213.0025949646643	2837376	5238	7.588300488762936	4430	32.0	1.0
1750.3315789473684	376.2745614035087	3641.8959683256785	2874112	2872320	4488	937.246706228223	196.81925087108013	2874112	5356	6.970140510591968	4488	32.0	1.0
1407.7846441947565	352.7022471910112	3582.83698640895	2910720	2908160	4544	860.4776278409091	180.24341673951048	2910720	5460	6.005639389157295	4544	32.0	1.0
1254.611111111111	321.1399176954733	3578.9528817176647	2947200	2944000	4600	928.9537280701754	184.91071820175438	2947200	5561	6.096662150962012	4600	32.0	1.0
