local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3197.336736832268	36096	32000	49	127.07008928571429	71.5	36096	0	1.2476635468097366	49	32.0	1.0
		3897.891701084878	72576	71040	110	436.6267817982456	212.75087719298244	72576	0	4.15124366725566	110	32.0	1.0
811.3333333333334	395.0	3645.461051744376	110080	107520	168	946.0490880972696	356.15115720989763	110080	3	4.087438229342987	168	32.0	1.0
1173.4285714285713	555.5714285714286	3581.2170308136383	147072	143360	224	1591.9700475778548	496.1932580017301	147072	10	4.240374943507569	224	32.0	1.0
2094.3846153846152	655.4230769230769	3583.769472836549	183808	179200	280	2066.179306402439	598.9138991724739	183808	38	3.3696741459092925	280	32.0	1.0
2610.8	795.3111111111111	3577.1534118272148	219904	215040	336	2288.645500886525	630.7815547429078	219904	87	3.2879183824573244	336	32.0	1.0
3146.445945945946	934.4324324324324	3637.780520416732	256128	251520	392	2187.5849436837457	617.469164090106	256128	128	3.292640638670751	392	32.0	1.0
3530.469696969697	1064.030303030303	3644.199672373066	292224	288000	450	2152.3412289450353	599.2854886968086	292224	163	6.55985121994183	450	32.0	1.0
4603.0	1181.9333333333334	3774.676439132921	328448	325760	508	2448.2664255742047	643.9674249116608	328448	178	4.926370281597664	508	32.0	1.0
4444.724137931034	1170.9655172413793	3710.798015073948	364544	362880	566	2758.1054133421985	679.5054022606383	364544	207	9.364777400575836	566	32.0	1.0
4464.908602150537	1097.6774193548388	3642.0165501490196	401280	399360	624	2973.187255008711	688.7375054442508	401280	241	7.46123003343056	624	32.0	1.0
5152.767857142857	1193.375	3577.673078467316	438016	435200	680	3068.368412456446	665.7796167247387	438016	273	11.662568019969124	680	32.0	1.0
4991.75	1204.7142857142858	3581.991872861422	474624	471040	736	3293.4766990821677	680.1599377185315	474624	301	7.1487091566835135	736	32.0	1.0
5064.228571428572	1079.4	3577.75201221374	511872	506880	792	3399.5296123281787	670.9661189862543	511872	339	7.079044256891523	792	32.0	1.0
5071.045454545455	1061.4242424242425	3711.2239202259943	548224	544000	850	3456.047040052817	664.1676386443662	548224	373	7.04733598026736	850	32.0	1.0
6175.75	1179.5	3837.996224371879	584576	582400	910	3406.5179907570423	650.211542693662	584576	413	5.646903724471728	910	32.0	1.0
5543.878787878788	1077.6666666666667	3699.841863535616	621184	619520	968	3174.1845225087413	629.4199355332167	621184	448	4.924691270651488	968	32.0	1.0
4904.100694444444	1071.0277777777778	3580.264127735746	658176	655360	1024	2752.097642733564	604.5169225778546	658176	502	6.14594447187015	1024	32.0	1.0
4335.496376811594	985.7028985507245	3583.3190136943304	695040	691200	1080	2127.3901095920137	490.3614095052083	695040	555	5.660655169614723	1080	32.0	1.0
3783.1428571428573	934.547619047619	3582.650752275397	731520	727040	1136	2129.893914473684	498.2108826754386	731520	578	7.465784241046224	1136	32.0	1.0
4395.935483870968	1000.6774193548387	3640.067761578363	768256	763520	1192	2360.7330411585367	537.6495535714286	768256	612	5.553758567997387	1192	32.0	1.0
4029.090909090909	1033.090909090909	3888.3831637893645	804608	802560	1253	2485.683868838028	579.6031305017606	804608	634	4.391751669469427	1253	32.0	1.0
3728.421875	939.046875	3704.3162646450905	841856	839680	1312	2494.9895564862545	615.52204145189	841856	667	5.317327820648582	1312	32.0	1.0
3514.529411764706	917.2058823529412	3582.634870755567	878720	875520	1368	2545.9237467447915	634.3227810329861	878720	707	5.199887081980705	1368	32.0	1.0
4754.75	1142.0694444444443	3576.2457196538876	915456	911360	1424	2510.601480836237	615.8164198606272	915456	744	5.564133689339672	1424	32.0	1.0
3557.1617647058824	966.9852941176471	3579.869962510683	952448	947200	1480	2567.9390138408303	616.9216046712803	952448	781	6.021415133561407	1480	32.0	1.0
4968.4	1174.22	3765.0807108224594	988544	984960	1538	2590.7529920212764	605.6283798758865	988544	807	6.004015149741337	1538	32.0	1.0
5190.725	1183.8916666666669	3772.63276004779	1024768	1022720	1597	2673.213422040636	609.3554825530035	1024768	849	6.941372643082829	1597	32.0	1.0
4431.267857142857	1083.267857142857	3705.462638275454	1060864	1059840	1655	2575.013851950355	574.6674423758865	1060864	878	6.399738667340114	1655	32.0	1.0
4448.8421052631575	1027.6315789473683	3583.9648807152275	1097600	1095680	1712	2521.0688153310102	578.8860246080139	1097600	919	5.259447760749281	1712	32.0	1.0
3896.377551020408	960.5612244897959	3575.4189345448726	1134208	1131520	1768	2356.0281905594406	552.9488636363636	1134208	970	5.938697097556932	1768	32.0	1.0
4391.477777777778	995.7481481481483	3581.4229115273283	1171072	1167360	1824	2167.7300618489585	509.92491319444446	1171072	1023	6.51072666474751	1824	32.0	1.0
3754.65625	912.9895833333334	3579.7108033625177	1207808	1203200	1880	1869.7903146777003	439.92941528745644	1207808	1075	5.349077820777893	1880	32.0	1.0
3422.3333333333335	871.8541666666666	3629.5190910406995	1244288	1239680	1936	1794.0959155701755	407.91019736842105	1244288	1127	4.615080090505736	1936	32.0	1.0
2941.7926829268295	701.609756097561	3772.033716130674	1280640	1277440	1996	1825.880281690141	403.6040107834507	1280640	1173	5.770709304511547	1996	32.0	1.0
3369.6101694915255	752.228813559322	3772.656754519731	1316864	1315200	2055	1823.9821941254418	397.60269434628975	1316864	1234	5.139626761614266	2055	32.0	1.0
2923.141304347826	679.6521739130435	3642.558009801669	1353728	1351680	2112	1703.5293511284722	380.26085069444446	1353728	1283	6.260580358798044	2112	32.0	1.0
3285.0425531914893	725.4042553191489	3583.5603322632355	1390336	1387520	2168	1743.7870684003497	387.35347465034965	1390336	1334	8.603107767445701	2168	32.0	1.0
2823.4507575757575	650.9507575757575	3583.031780190547	1426304	1423360	2224	1762.5893572064058	391.1191336743772	1426304	1382	4.826428747602871	2224	32.0	1.0
2890.8684210526317	682.640350877193	3580.3626186479755	1463040	1459200	2280	1793.1190929878048	395.7635289634146	1463040	1444	5.710368537477085	2280	32.0	1.0
3122.1706349206347	709.6904761904761	3575.4546519249066	1499136	1495040	2336	1623.6069370567375	354.43223625886526	1499136	1515	5.7957639587777	2336	32.0	1.0
