local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3069.615475382354	32768	30720	48	81.72059547244095	65.0	32768	0	0.2215328358579427	48	32.0	1.0
		3186.944882657443	66816	62720	97	249.124765037594	195.0	66816	0	0.15045515151352298	97	32.0	1.0
478.57142857142856	338.42857142857144	3451.4630621797987	99968	97280	152	472.96392374517376	319.1568532818533	99968	14	0.20145057128234342	152	32.0	1.0
701.5325670498084	463.5977011494253	3065.941294094062	132736	128000	200	573.7579345703125	351.2254638671875	132736	131	0.26850366305249435	200	32.0	1.0
867.5	546.1125	3583.47610198361	165120	163840	256	542.2214673913044	306.4427803853755	165120	177	0.2521179738853659	256	32.0	1.0
793.1034482758621	526.948275862069	3064.2849031842693	199552	194560	304	590.026719330855	351.3764811802974	199552	207	0.19551035785116255	304	32.0	1.0
814.0	518.06	3579.559841159439	232192	230400	360	657.3345588235294	401.1249693627451	232192	261	0.22389173827001027	360	32.0	1.0
929.4117647058823	556.7941176470588	3071.6588757743034	266112	261120	408	696.7423349056604	430.7293337264151	266112	297	0.17391000230175754	408	32.0	1.0
1002.0	619.0622222222222	3438.7639734710974	297728	295680	461	646.0716093117409	401.60475708502025	297728	387	0.27364058406004366	461	32.0	1.0
981.4285714285714	603.1285714285714	3194.7937928261836	330496	327680	512	572.7935791015625	359.1956481933594	330496	478	0.3299661637009943	512	32.0	1.0
720.4081632653061	390.66326530612247	3127.6423284489497	363648	359040	560	500.4524613899614	309.07815516409266	363648	530	0.2952721236894528	560	32.0	1.0
762.8504672897196	399.429906542056	3447.9563381249227	395136	393600	614	437.7699441056911	294.8747776930894	395136	669	0.27420361681530875	614	32.0	1.0
503.33333333333337	282.5974358974359	3132.3044622822754	428288	424960	664	285.43375965250965	256.36459338803087	428288	746	0.3661858031898737	664	32.0	1.0
465.7817109144543	263.12094395280235	3070.580051167668	460544	455680	712	335.6274801587302	281.09768725198415	460544	887	0.3290917705744505	712	32.0	1.0
341.90938511326857	237.09466019417476	3446.5372539260957	492288	490240	765	178.34866431451613	262.1692288306452	492288	1013	0.1915987456603995	765	32.0	1.0
284.1880341880342	224.11965811965814	3191.94742363127	525440	522240	816	270.43918918918916	299.26945583976834	525440	1101	0.3175857999161178	816	32.0	1.0
399.16666666666663	257.64500000000004	3134.426174754135	558208	553600	864	283.8348388671875	311.2672119140625	558208	1236	0.3121844298051049	864	32.0	1.0
333.3333333333333	227.62121212121215	3517.2128485811163	590208	588800	920	235.64375	317.884375	590208	1339	0.3635087294969708	920	32.0	1.0
426.8518518518519	262.78472222222223	3071.6826011563917	623872	619520	968	354.2597433460076	363.9355394486692	623872	1431	0.3518541014830892	968	32.0	1.0
623.9583333333334	321.1145833333333	3508.7073654015	656256	654720	1022	467.63216403162056	423.77411684782606	656256	1487	0.27232290752645993	1022	32.0	1.0
681.4285714285714	347.7	3129.008508220353	689408	686080	1072	548.3439913127413	483.5777931949807	689408	1525	0.1859510066360235	1072	32.0	1.0
768.8679245283018	379.9622641509434	3321.8883743242864	722432	719360	1123	568.5743701550388	527.7945130813954	722432	1585	0.22288621195098934	1123	32.0	1.0
902.7272727272727	458.54848484848486	3327.9636600647855	755200	752640	1176	612.078857421875	583.2498474121094	755200	1651	0.18469221274948344	1176	32.0	1.0
846.4285714285714	465.9761904761905	3064.6875162779315	788608	783360	1224	504.2265325670498	573.5852490421456	788608	1700	0.13246821930321553	1224	32.0	1.0
755.8333333333334	429.5166666666667	3573.3694426461575	821120	819200	1280	549.2125984251968	643.6136195866142	821120	1743	0.27329557934509857	1280	32.0	1.0
693.2432432432432	441.72972972972974	3064.3542815312803	855168	849920	1328	588.0081062030075	704.5471980733083	855168	1785	0.20765007939189672	1328	32.0	1.0
789.7058823529412	522.3970588235294	3581.493733821359	887808	885760	1384	626.4920343137255	755.8773590686275	887808	1822	0.1769625613066767	1384	32.0	1.0
890.1960784313726	498.2450980392157	3068.409986418164	921600	916480	1432	655.6551846590909	791.9544566761364	921600	1878	0.14901190010520318	1432	32.0	1.0
983.9285714285714	495.35714285714283	3581.873747526028	954368	952320	1488	675.2166748046875	838.5104675292969	954368	1907	0.15075970900111965	1488	32.0	1.0
933.6538461538462	505.5192307692308	3199.0565983995057	988416	984320	1537	651.1131343984962	870.0828829887218	988416	1964	0.1337329378085477	1537	32.0	1.0
1032.051282051282	509.1025641025641	3455.2745602660725	1022080	1018880	1592	676.3753564638783	925.3078956749049	1022080	2007	0.18996139351617206	1592	32.0	1.0
920.0	457.3666666666667	3390.73628641059	1055360	1052800	1644	684.1015625	971.7825721153846	1055360	2037	0.16059920779214457	1644	32.0	1.0
962.5	488.96354166666663	3261.8804757479184	1088768	1085440	1696	670.3184865900383	1020.585608237548	1088768	2115	0.19862071159653938	1696	32.0	1.0
827.5	395.075	3452.0462367732916	1122048	1120000	1749	563.0048076923077	1029.162950721154	1122048	2158	0.17137950743144414	1749	32.0	1.0
790.0	344.01666666666665	3194.4148250394	1155584	1152000	1800	648.8370706106871	1103.6177242366412	1155584	2189	0.23914634231843201	1800	32.0	1.0
915.1162790697674	398.16279069767444	3518.4278112879	1188736	1187200	1854	701.960666023166	1178.6237331081081	1188736	2235	0.1809274768801751	1854	32.0	1.0
963.3333333333334	407.65	3131.6155333765396	1223040	1218560	1904	720.7468516791045	1239.6581156716418	1223040	2268	0.23043347105383874	1904	32.0	1.0
1179.1666666666667	499.9166666666667	3572.3679049131915	1256320	1254400	1960	803.3022836538462	1326.5943509615386	1256320	2293	0.24658787004383548	1960	32.0	1.0
1164.4736842105262	507.2236842105263	3069.964776978763	1290368	1285120	2008	826.7416588345865	1394.5599154135339	1290368	2333	0.31374965716774267	2008	32.0	1.0
1214.2857142857142	487.48571428571427	3583.519070891141	1323392	1320960	2064	811.5673449612403	1445.8735465116279	1323392	2371	0.2480152295237141	2064	32.0	1.0
1277.7777777777778	504.1111111111111	3321.087428722027	1357312	1354240	2115	868.8325471698113	1530.8876474056603	1357312	2390	0.20793830172396174	2115	32.0	1.0
1231.081081081081	1939.418918918919	3325.5831407238115	1390976	1387520	2168	891.5339828897338	1517.7796756178707	1390976	2434	0.400010675437889	2168	32.0	1.0
1493.2432432432433	622.8018018018017	3444.745025199572	1424128	1422080	2221	828.2758204633204	1320.266620415058	1424128	2474	0.22078818966687289	2221	32.0	1.0
1209.090909090909	634.8181818181819	3194.784743390198	1458432	1454080	2272	841.6103078358209	1376.5562616604477	1458432	2507	0.2833895889275214	2272	32.0	1.0
1170.967741935484	491.4032258064516	3577.9240266169586	1491840	1489920	2328	886.0991379310345	1431.9548910440612	1491840	2540	0.2650846738501319	2328	32.0	1.0
1136.6935483870968	758.3158602150539	3069.1506677186417	1525120	1520640	2376	727.9747596153846	1369.4253605769231	1525120	2626	0.36124414013465866	2376	32.0	1.0
1088.235294117647	959.7058823529412	3575.23678700626	1557888	1556480	2432	717.242431640625	1351.1217956542969	1557888	2662	0.2701450872035431	2432	32.0	1.0
1140.7407407407406	533.3333333333334	3066.2900518298584	1592448	1587200	2480	745.9114583333334	1381.8015625	1592448	2690	0.19552468318336955	2480	32.0	1.0
984.1463414634146	662.1341463414634	3574.657558752706	1625216	1623040	2536	766.2261962890625	1439.6836547851562	1625216	2736	0.2401777906343341	2536	32.0	1.0
1048.4375	826.703125	3128.951417572752	1659008	1654400	2584	812.2662168560606	1464.9206616950758	1659008	2770	0.26231371650161844	2584	32.0	1.0
1003.2258064516129	457.53225806451616	3518.674510544143	1692416	1689600	2640	840.5950670498084	1473.7909782088122	1692416	2803	0.21759470312723092	2640	32.0	1.0
1256.578947368421	845.8947368421053	3379.933368145321	1726080	1723520	2692	876.9902566539924	1502.5170805608366	1726080	2843	0.18214404654617494	2692	32.0	1.0
1257.142857142857	586.4642857142857	3252.3095158539363	1760384	1756160	2744	901.2185167910447	1551.0287138526119	1760384	2873	0.2878267131745815	2744	32.0	1.0
1276.7857142857142	631.9107142857143	3583.045444731726	1793408	1792000	2800	936.3705184108527	1617.3728500484497	1793408	2902	0.1869853184159313	2800	32.0	1.0
1348.076923076923	811.4615384615385	3128.122832927375	1827968	1823360	2848	943.3362268518518	1667.9927951388888	1827968	2930	0.21633619721978903	2848	32.0	1.0
1230.7692307692307	703.0	3515.155822713169	1861120	1858560	2904	931.1444256756756	1675.910020511583	1861120	2971	0.29776042267414077	2904	32.0	1.0
1486.5384615384614	878.3076923076923	3312.090954868471	1894912	1891840	2955	980.2142518939394	1735.0082859848485	1894912	2999	0.25676846716041657	2955	32.0	1.0
1213.3333333333333	1546.4333333333334	3321.721419515187	1928960	1925120	3008	1012.0594454887218	1715.3017504699249	1928960	3031	0.27078490043586156	3008	32.0	1.0
1351.9047619047622	1923.0476190476193	3452.418930578381	1961856	1959680	3061	1005.7544990272373	1574.3207988813228	1961856	3071	0.2913560241741954	3061	32.0	1.0
1347.5	1861.0333333333335	3199.6109481850685	1995904	1991680	3112	972.8530310150376	1449.6935796522557	1995904	3117	0.19522993167971864	3112	32.0	1.0
1424.4186046511627	1151.046511627907	3572.22554090489	2029312	2027520	3168	1008.803280651341	1277.1530471743295	2029312	3162	0.47648546591933283	3168	32.0	1.0
1482.5581395348838	1069.093023255814	3068.368921008247	2063360	2058240	3216	1005.4746240601504	1169.947544642857	2063360	3208	0.3680757189479967	3216	32.0	1.0
1377.0833333333333	998.1666666666666	3576.459538139886	2096256	2094080	3272	1031.2895184824902	1134.059125729572	2096256	3260	0.4319230674632958	3272	32.0	1.0
1578.888888888889	1052.5777777777778	3127.576140485034	2130048	2125440	3320	1062.6390861742425	1047.465701941288	2130048	3307	0.5151560778419176	3320	32.0	1.0
1746.6666666666667	1180.4	3516.589474043247	2163328	2160640	3376	1069.7866586538462	976.4391826923077	2163328	3352	0.3588458340881126	3376	32.0	1.0
1541.6666666666667	820.2333333333333	3388.3587074189613	2197120	2194560	3428	1098.9908854166667	985.1366299715909	2197120	3385	0.3526708485128788	3428	32.0	1.0
1526.7361111111113	945.392361111111	3256.2691339471503	2230400	2227200	3480	1119.4260817307693	919.1475961538462	2230400	3439	0.34882089180442005	3480	32.0	1.0
1777.5	868.8833333333333	3253.238177682988	2263424	2259840	3530	1064.3774224806202	835.2923934108527	2263424	3505	0.5633391679823399	3530	32.0	1.0
1551.3513513513512	1440.0405405405406	3381.95662324243	2296576	2293760	3584	1100.8898407335907	745.0762548262549	2296576	3544	0.6431315281876812	3584	32.0	1.0
1901.9607843137255	849.5784313725491	3248.310727585858	2329984	2326400	3634	1125.0658524904215	667.5740840517242	2329984	3600	0.6330204047262669	3634	32.0	1.0
1623.404255319149	1047.3085106382978	3381.8989017768145	2363136	2360320	3688	1109.1517857142858	596.14017253861	2363136	3651	0.4481514435675409	3688	32.0	1.0
1625.9259259259259	826.2592592592592	3327.5285152920155	2396800	2393600	3739	1047.5463403041824	540.1566658745247	2396800	3707	0.3651520202265066	3739	32.0	1.0
1321.6666666666667	495.95	3325.954694046413	2430208	2426880	3792	1085.9135536398467	544.5680974616859	2430208	3740	0.4507239396279713	3792	32.0	1.0
1569.7368421052631	800.3684210526316	3390.5168170318866	2463488	2460800	3845	1150.5859375	601.5889423076923	2463488	3782	0.4306961105398412	3845	32.0	1.0
1726.1363636363637	667.6022727272727	3253.5196013493846	2497408	2493440	3896	1135.722287735849	571.449204009434	2497408	3829	0.4739428444528112	3896	32.0	1.0
1715.625	632.71875	3568.365752476802	2530304	2529280	3951	1099.8480058365758	600.1157283560311	2530304	3865	0.3453778861598535	3951	32.0	1.0
1854.5698924731184	707.0241935483871	3066.7204173113532	2564224	2560000	4000	1129.7612028301887	596.0122641509435	2564224	3937	0.6978186332449621	4000	32.0	1.0
1708.8235294117646	632.2352941176471	3579.6826727942	2596992	2595840	4056	1069.122314453125	542.3187866210938	2596992	3994	0.5056543238461018	4056	32.0	1.0
1871.705426356589	698.9728682170543	3068.260271034817	2631040	2626560	4104	1115.031719924812	552.9186442669173	2631040	4042	0.3696218460487823	4104	32.0	1.0
1707.8947368421052	626.1578947368421	3581.1135448072123	2664192	2662400	4160	1066.3006756756756	557.2766047297297	2664192	4081	0.28512581158429384	4160	32.0	1.0
1497.0	578.24	3065.9140097014015	2698112	2693120	4208	1102.5176886792453	597.5024174528302	2698112	4132	0.4413073919713497	4208	32.0	1.0
1744.5945945945946	709.4054054054054	3582.6966899372323	2730880	2728960	4264	1107.21435546875	616.2226257324219	2730880	4173	0.36494308417396887	4264	32.0	1.0
1724.4186046511627	643.2131782945736	3124.81651563695	2764928	2760320	4312	1170.8206062030076	629.8300928101504	2764928	4226	0.6203718239751955	4312	32.0	1.0
1659.090909090909	697.0795454545455	3519.9159947416606	2798208	2795520	4368	1180.7211538461538	610.7182692307692	2798208	4279	0.5609762966632843	4368	32.0	1.0
2146.8992248062013	676.7751937984497	3199.124461419758	2831744	2827520	4418	1219.3553196564885	598.5242426049618	2831744	4325	0.6588398578763008	4418	32.0	1.0
1831.25	826.828125	3452.7857010249563	2864384	2862080	4472	1242.1047794117646	637.041237745098	2864384	4361	0.5814929218203934	4472	32.0	1.0
1783.6805555555557	950.3055555555557	3193.527370410952	2898176	2894080	4521	1233.1380208333333	589.1590613162879	2898176	4418	0.6570463512016802	4521	32.0	1.0
1677.412280701754	604.6622807017543	3448.9514593793137	2929792	2928640	4576	1128.9726720647773	497.4666624493927	2929792	4519	0.5759851129894907	4576	32.0	1.0
1778.5714285714287	591.1571428571428	3065.867685708408	2963712	2959360	4624	856.2028301886793	452.46975235849055	2963712	4557	0.33590336081882316	4624	32.0	1.0
1185.1515151515152	445.23939393939395	3576.7971221893167	2996224	2995200	4679	867.8580216535433	487.50319881889766	2996224	4622	0.38875481540506535	4679	32.0	1.0
1231.6666666666667	577.375	3065.5366740427266	3030016	3025920	4728	912.9231770833334	464.2267400568182	3030016	4689	0.5231793179195754	4728	32.0	1.0
1302.8846153846155	681.8076923076923	3506.137299888983	3062656	3061120	4782	997.5765931372549	446.7844669117647	3062656	4745	0.48436668929126525	4782	32.0	1.0
1704.0816326530612	616.5816326530612	3133.7412399014306	3096192	3092480	4832	1057.0879055343512	435.2353590171756	3096192	4798	0.4309473513066769	4832	32.0	1.0
1827.2727272727273	645.1022727272727	3507.4902727040144	3129216	3127680	4886	1117.1481346899225	449.1620942344961	3129216	4848	0.4384509485076975	4886	32.0	1.0
1615.625	560.65625	3133.48398128696	3163776	3159040	4936	1204.748263888889	472.40517939814816	3163776	4882	0.8040730687975883	4936	32.0	1.0
1839.2156862745098	693.7156862745098	3583.574342551837	3196160	3194880	4992	1255.0086462450593	497.05709609683794	3196160	4939	0.628265132861478	4992	32.0	1.0
1722.1212121212122	581.0454545454545	3071.632002095925	3229824	3225600	5040	1142.9806321292776	489.0460135456274	3229824	5002	0.3458925791395207	5040	32.0	1.0
1613.0	530.71	3577.6058981194324	3262464	3261440	5095	1090.1991421568628	476.6542585784314	3262464	5053	0.45523716942830517	5095	32.0	1.0
1651.0204081632653	583.2244897959183	3066.086697456107	3296896	3292160	5144	1094.3686105947954	489.6812558085502	3296896	5106	0.40913928193705423	5144	32.0	1.0
1580.0	545.9433333333333	3517.615256552218	3329024	3327360	5199	1129.9956424302788	502.0615662350598	3329024	5163	0.6880525350570679	5199	32.0	1.0
1945.9999999999998	658.14	3129.64751479216	3362944	3358720	5248	1109.7729952830189	494.8430129716981	3362944	5222	0.5139025066580091	5248	32.0	1.0
1818.0555555555557	570.1111111111111	3515.677136969925	3395456	3393920	5302	1117.7903543307086	506.27371432086613	3395456	5260	0.5469750320469892	5302	32.0	1.0
1793.2432432432433	672.0945945945946	3131.215425571802	3429504	3425280	5352	1218.4445488721803	543.2380169172932	3429504	5301	0.7962101696431637	5352	32.0	1.0
1623.3333333333333	602.6166666666667	3575.92253045314	3462144	3461120	5407	1266.767769607843	588.5437806372549	3462144	5332	0.4983763341199268	5407	32.0	1.0
1862.962962962963	744.5925925925926	3064.6897030969753	3496576	3491840	5456	1248.6843633828996	647.7543854553903	3496576	5359	0.2246959942335985	5456	32.0	1.0
1509.090909090909	696.2878787878788	3579.3070442132375	3529600	3527680	5512	1157.6732073643411	675.9851017441861	3529600	5395	0.1997119164360421	5512	32.0	1.0
1571.111111111111	679.1472222222221	3071.381887089993	3563648	3558400	5560	1129.3233082706768	682.359140037594	3563648	5461	0.5824508306880792	5560	32.0	1.0
1767.3076923076924	708.3076923076923	3577.0859105145614	3596032	3594240	5616	1204.3601778656127	640.4241600790514	3596032	5518	1.3990795559116773	5616	32.0	1.0
2057.1428571428573	801.795918367347	3070.5861978375283	3629824	3624960	5664	1233.8275331439395	612.8687263257576	3629824	5570	0.6088484361146888	5664	32.0	1.0
1942.0454545454545	866.6022727272727	3582.244024821512	3662592	3660800	5720	1218.85986328125	583.2102966308594	3662592	5616	0.5046953822353056	5720	32.0	1.0
1686.6666666666665	899.3714285714286	3067.201939257656	3696256	3691520	5768	1198.4107652091254	573.4076164448669	3696256	5654	0.4594478377451499	5768	32.0	1.0
1707.6923076923076	611.525641025641	3583.8667041764616	3728768	3727360	5824	1242.658095472441	588.1988496555118	3728768	5697	0.6057309939392975	5824	32.0	1.0
1864.1509433962265	696.6603773584906	3070.8856582708627	3762176	3758080	5872	1266.8372844827586	572.1319743773946	3762176	5753	1.2312606004998088	5872	32.0	1.0
2016.9398907103825	772.3907103825137	3455.8400739292265	3794816	3792640	5925	1224.4056372549019	542.0261029411764	3794816	5821	1.2027148011158098	5925	32.0	1.0
2115.5172413793102	659.7327586206897	3191.235163013724	3828736	3824640	5976	1113.340212264151	494.3017688679245	3828736	5883	0.8514751514383391	5976	32.0	1.0
1743.75	518.625	3579.9834370474678	3861632	3860480	6031	1081.4445525291828	492.1718446011673	3861632	5926	0.8681040782820094	6031	32.0	1.0
1784.8039215686274	611.4509803921569	3070.826669020707	3895552	3891200	6080	1146.589033018868	523.915654481132	3895552	5984	0.7735175894839423	6080	32.0	1.0
1855.0925925925928	717.6203703703704	3575.6626773234157	3928576	3927040	6136	1103.4308381782946	500.4812863372093	3928576	6023	0.5244119521230459	6136	32.0	1.0
1560.8695652173913	776.9347826086956	3065.642140692466	3961984	3957760	6184	1152.610153256705	516.7063577586207	3961984	6074	1.0697543416172266	6184	32.0	1.0
1875.5952380952383	591.5208333333334	3454.9751148133632	3994496	3992320	6238	1161.4357775590552	494.68436269685037	3994496	6137	1.4838057844727128	6238	32.0	1.0
1895.2380952380952	578.8095238095239	3198.883293886445	4028544	4024320	6288	1055.812382518797	497.6704945958647	4028544	6180	0.25015019755810497	6288	32.0	1.0
1524.0437158469947	650.6598360655738	3321.1806707252613	4060672	4057600	6339	969.6899900398406	475.98067106573706	4060672	6261	0.7759143714519108	6339	32.0	1.0
1375.3205128205127	511.3525641025641	3325.2178490167726	4094080	4090880	6392	994.911398467433	450.4010117337165	4094080	6322	0.893452099752876	6392	32.0	1.0
1728.125	593.9791666666666	3388.995453930988	4127360	4124800	6444	1052.8125	448.76802884615387	4127360	6372	0.8129882130485314	6444	32.0	1.0
1743.5897435897436	610.8846153846154	3261.3318733715328	4161280	4157440	6496	1128.151533018868	470.6349646226415	4161280	6414	0.6923835142873801	6496	32.0	1.0
1654.2553191489362	570.5212765957447	3391.8255689680036	4194048	4191360	6548	1184.28955078125	497.0949401855469	4194048	6462	1.0340856926945539	6548	32.0	1.0
2141.304347826087	678.6195652173913	3259.2417276394303	4227456	4224000	6600	1225.2993295019157	500.40005387931035	4227456	6512	1.2539972324783986	6600	32.0	1.0
2068.0	585.16	3388.3580618347255	4260608	4257920	6653	1216.4122828185327	512.3619691119691	4260608	6566	1.2455039985899656	6653	32.0	1.0
2202.222222222222	756.8185185185184	3255.838559857729	4293760	4290560	6704	1238.9237451737451	501.43324686293437	4293760	6621	1.0438529457531722	6704	32.0	1.0
1986.4864864864865	618.9864864864865	3443.438026919959	4327168	4325120	6757	1222.4197796934866	502.6346683429119	4327168	6661	1.0860455452271227	6757	32.0	1.0
1928.9473684210527	591.078947368421	3194.0142084874165	4361344	4357120	6808	1277.498829588015	540.6320517322098	4361344	6702	1.0447739853578455	6808	32.0	1.0
2200.0	753.125	3571.200125283382	4394368	4392960	6864	1310.2319525193798	547.324339874031	4394368	6750	1.3523185359580177	6864	32.0	1.0
2144.230769230769	641.7788461538462	3071.57796326155	4427648	4423680	6912	1235.6400240384614	533.0275540865384	4427648	6810	1.4092678120359778	6912	32.0	1.0
2130.392156862745	652.4215686274509	3569.1830073731703	4460544	4459520	6967	1141.318093385214	518.7834083171206	4460544	6868	1.0021033116362312	6967	32.0	1.0
1840.7738095238094	726.0178571428571	3066.4003866954286	4494592	4490240	7016	1128.5831766917292	500.2544055451128	4494592	6930	1.0455726023231233	7016	32.0	1.0
1740.0	572.6	3578.058839563785	4527488	4526080	7072	1106.073686770428	483.0636855544747	4527488	6974	0.7731085063091346	7072	32.0	1.0
1768.0851063829787	597.531914893617	3069.815860631157	4561408	4556800	7120	1156.2205188679245	510.0501768867924	4561408	7025	0.8049904846896728	7120	32.0	1.0
1885.1851851851852	586.0277777777778	3573.362562271056	4594176	4592640	7176	1111.6424560546875	496.0913391113281	4594176	7087	0.8130725406642471	7176	32.0	1.0
1703.3333333333333	594.3166666666667	3067.8408681086717	4628480	4623360	7224	1184.7481343283582	533.3099055503732	4628480	7118	1.0481958293045561	7224	32.0	1.0
