local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2809.451852710982	31232	28160	43	92.6330061983471	62.0	31232	0	0.39974128437596695	43	32.0	1.0
		3064.0785357488303	61952	58880	91	286.4518229166667	182.5	61952	0	0.1725315481501942	91	32.0	1.0
600.0	359.0	3262.1891262667928	93056	91520	142	454.1698816872428	303.1933191872428	93056	1	0.1801354373421739	142	32.0	1.0
647.6190476190476	427.2857142857143	3132.8692997972557	124800	122880	192	548.1476814516129	406.86624243951616	124800	23	0.15189254969358446	192	32.0	1.0
675.0	561.46875	3064.9678919273388	156928	153600	240	599.3743774900398	485.1965575199203	156928	55	0.1713034575805068	240	32.0	1.0
710.6382978723404	665.7659574468086	3067.743284430252	188416	184320	288	569.239075203252	489.0107977642276	188416	108	0.11702672539589305	288	32.0	1.0
737.0967741935484	694.6451612903226	3064.045163965356	219648	215040	336	568.3401639344262	502.17568519467216	219648	144	0.15254311620568237	336	32.0	1.0
834.8484848484849	702.7121212121212	3127.4294957851284	251008	246400	384	632.2544642857143	535.2109056122449	251008	179	0.21339331831162175	384	32.0	1.0
994.3181818181819	775.8068181818181	3132.1595368228027	281856	277760	433	687.0202282157676	529.0681081431535	281856	226	0.23612020088701832	433	32.0	1.0
1025.0	755.4722222222222	2943.0789686550484	311936	307200	480	700.5418882978723	515.9121343085106	311936	266	0.2640498286866127	480	32.0	1.0
1026.1363636363637	741.2045454545455	3321.7033179425484	343552	340480	531	717.1875	514.5783464068826	343552	312	0.22906797311688756	531	32.0	1.0
916.6666666666666	623.2222222222222	3326.5176100576023	375680	373760	584	723.3410109561753	556.2726593625498	375680	331	0.14622687998245348	584	32.0	1.0
1003.2738095238094	653.0223214285714	3068.673357274963	407296	404480	632	750.8413461538462	587.4836475202429	407296	398	0.32542689703404903	632	32.0	1.0
1172.7272727272727	787.0909090909091	3068.8785167865003	439296	435200	680	680.8375	553.84665625	439296	420	0.28124394772263867	680	32.0	1.0
1083.3333333333333	795.0333333333333	3324.9539319316273	471552	468480	731	731.7677331349206	620.0733196924604	471552	451	0.24199187938196987	731	32.0	1.0
933.8235294117648	617.2941176470588	3327.052168217706	502912	501760	784	757.4617346938776	646.0589285714286	502912	487	0.19218821120711993	784	32.0	1.0
1102.6785714285713	776.8035714285714	3068.4517836580467	534016	532480	832	733.8734567901234	639.195183899177	534016	551	0.37796178840411204	832	32.0	1.0
