local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3068.0093168187695	33152	30720	48	110.29000486381322	65.75097276264592	33152	0	0.5280697722919285	48	32.0	1.0
		3318.3839506979066	67072	64000	99	358.44634433962267	196.2490566037736	67072	0	0.2643157209397531	99	32.0	1.0
560.0	345.9	3322.371546920824	101760	97280	152	554.1051660516605	325.23408671586714	101760	10	0.17687580657174	152	32.0	1.0
727.0833333333334	474.2708333333333	3576.581901803408	134784	133120	208	654.1030765503876	413.19534278100775	134784	64	0.17463501007296145	208	32.0	1.0
774.0	593.82	3061.391085318091	168704	163840	256	567.2995283018868	419.11606721698115	168704	118	0.10191151443480824	256	32.0	1.0
840.990990990991	683.3243243243244	3579.94617977599	202112	199680	312	538.7122844827586	428.9719528256705	202112	158	0.15580269800765173	312	32.0	1.0
941.3793103448276	735.551724137931	3324.7130214009658	236032	232960	363	608.7529481132076	462.42240566037736	236032	189	0.2078236038340073	363	32.0	1.0
875.0	639.359375	3325.9815594050147	269952	266240	416	681.907429245283	510.05259433962266	269952	224	0.16153856212238096	416	32.0	1.0
870.5128205128203	673.5320512820513	3326.754897156344	302592	299520	467	619.8345588235294	482.11780024509807	302592	318	0.19250168417598687	467	32.0	1.0
805.7142857142857	584.8428571428572	3316.5609870284206	337024	332800	520	527.3321328996283	428.9694179832714	337024	355	0.22852619273482627	520	32.0	1.0
752.4509803921568	476.35539215686276	3575.8250492061775	370176	368640	576	555.6195704633204	445.5218689671815	370176	435	0.24780087818258575	576	32.0	1.0
811.3095238095239	492.8313492063492	3068.0258266642454	403200	399360	624	543.8014777131783	439.66566739341084	403200	534	0.33499616167197627	624	32.0	1.0
