local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3582.83220436416	39424	35840	56	23.100490196078432	78.0	39424	0	0.1891516001695501	56	32.0	1.0
		4084.262540011754	78208	76800	120	235.0299092409241	230.25082508250824	78208	0	0.8023470810730942	120	32.0	1.0
		3901.2127046318124	118528	115840	181	723.6284722222222	384.74920634920636	118528	0	1.4269264822245622	181	32.0	1.0
		3769.8192567627475	158720	153600	240	1319.2799562101911	542.0	158720	0	1.0934573831194538	240	32.0	1.0
		4090.031561095038	198016	194560	304	2055.3924063517916	697.2508143322475	198016	0	1.4155609533190727	304	32.0	1.0
		4095.2347133235207	237184	235520	368	2736.374080882353	850.5	237184	0	1.5761760539608076	368	32.0	1.0
		3950.1127672699076	277248	275200	429	3237.507488019169	1005.2492012779553	277248	0	0.6564722200397586	429	32.0	1.0
		3775.480976502645	317696	312960	488	3435.9251384493673	1162.5	317696	0	0.1773958221330481	488	32.0	1.0
		4022.4041829076396	357120	353280	552	3670.916193181818	1318.5	357120	0	7.1571222530910745	552	32.0	1.0
		4086.4171985907797	396032	394240	616	4139.404296875	1471.5	396032	0	1.1218029437586665	616	32.0	1.0
4200.0	1626.0	3772.988664423698	435584	432000	674	4665.862661812298	1621.6264158576053	435584	1	1.6319298733924996	674	32.0	1.0
5525.0	1760.25	3902.3380445363628	474624	471040	736	5193.176229508197	1755.100537909836	474624	5	1.2923411402490832	736	32.0	1.0
6060.0	1937.4	4091.0498373438113	513664	512000	800	5685.673668032787	1879.8246413934426	513664	10	1.6531020341208205	800	32.0	1.0
6214.492753623187	2080.304347826087	3759.72035378617	553344	549760	858	5864.53125	1898.298160282258	553344	36	1.420346664200569	858	32.0	1.0
6833.333333333333	2234.1428571428573	3899.021160261096	592896	588800	920	5911.764259708738	1850.607200647249	592896	59	1.5824119967799033	920	32.0	1.0
7720.833333333333	2390.8333333333335	4091.2141920776344	631808	629760	984	5938.278680098684	1790.776212993421	631808	84	1.772817030083388	984	32.0	1.0
8641.176470588236	2539.3529411764707	3836.3517969185855	671232	668160	1043	5992.486810064935	1726.4193638392858	671232	103	1.5027974424725872	1043	32.0	1.0
9550.0	2685.3571428571427	3839.341665619394	710784	706560	1104	6061.326860841424	1708.7959648058252	710784	118	2.3923140524840747	1104	32.0	1.0
10089.130434782608	2860.0	4093.381265175618	749696	747520	1168	6063.8260690789475	1668.7249691611842	749696	143	1.9166791797615588	1168	32.0	1.0
10668.421052631578	3000.9473684210525	3891.438911440297	789120	786560	1228	5816.634537337663	1546.379692573052	789120	162	1.4869604622324308	1228	32.0	1.0
10976.470588235294	3146.823529411765	3773.3717860375095	829568	824320	1288	5586.760779272152	1464.0379746835442	829568	180	2.424346513549487	1288	32.0	1.0
11040.90909090909	3332.5	4090.441537716777	868608	865280	1352	5351.41649590164	1409.5272540983606	868608	203	1.5132019370794296	1352	32.0	1.0
11180.76923076923	3278.6153846153848	3954.6337598396267	907008	904960	1413	4633.208333333333	1136.3579166666666	907008	231	1.9585150885777396	1413	32.0	1.0
11116.666666666666	2998.6666666666665	3710.805621245222	947328	942080	1472	4822.120535714285	1144.7658978174604	947328	237	3.783818604203604	1472	32.0	1.0
11777.777777777777	3322.8888888888887	4081.8757288419242	986368	983040	1536	5076.956967213115	1222.2191086065575	986368	246	22.92393946199445	1536	32.0	1.0
8300.0	1808.0	4090.903419797466	1025792	1024000	1600	5416.312398538961	1290.411221590909	1025792	248	1.661085999221541	1600	32.0	1.0
11400.0	2888.8888888888887	3773.200711094686	1065472	1061760	1659	5666.585181451613	1367.8003276209677	1065472	257	5.180062376089015	1659	32.0	1.0
12080.0	3191.3	3896.125177099975	1105152	1100800	1720	5838.782762096775	1445.5754788306451	1105152	267	1.552836220589329	1720	32.0	1.0
9845.0	2240.95	4089.434271971968	1143296	1141760	1784	6022.601195469799	1487.7239932885907	1143296	279	1.3318716449430212	1784	32.0	1.0
12312.5	3152.375	3886.680782360478	1183360	1180800	1844	6085.293530351438	1488.475064896166	1183360	287	5.7305590619488305	1844	32.0	1.0
10127.272727272728	2407.0	3833.7815707249747	1223936	1219200	1904	6360.5875394321765	1560.3265970031546	1223936	298	1.4550155113140741	1904	32.0	1.0
11987.5	2787.5625	4030.948800135234	1262976	1259520	1968	6697.7202868852455	1627.7569672131146	1262976	307	1.4552928134799004	1968	32.0	1.0
11305.555555555555	2614.277777777778	4029.5983643552745	1301504	1299840	2031	6999.558762458471	1634.8218438538206	1301504	325	3.8411792306199906	2031	32.0	1.0
12120.0	2733.6666666666665	3832.704590882723	1341824	1338240	2090	6794.598214285715	1602.0041418650794	1341824	340	1.5055441450706477	2090	32.0	1.0
10781.818181818182	2489.6363636363635	3899.7153658103316	1381120	1377280	2152	6677.379377035831	1571.5510739006515	1381120	363	2.1544864500362064	2152	32.0	1.0
10552.941176470587	2556.764705882353	4088.6723123141132	1420160	1418240	2216	6536.129610655737	1522.5956454918032	1420160	380	1.9760522535070777	2216	32.0	1.0
10388.888888888889	2754.6666666666665	3835.9915239214433	1459840	1456640	2275	6747.943548387097	1571.1722026209677	1459840	389	1.6715504924877216	2275	32.0	1.0
11137.09677419355	2868.1774193548385	3833.7130383511326	1499392	1495040	2336	6454.811387540453	1495.7263096682848	1499392	423	1.464927966477441	2336	32.0	1.0
12087.5	2775.75	4084.3684759859416	1538304	1536000	2400	6016.455078125	1392.674958881579	1538304	431	1.8068327688379213	2400	32.0	1.0
12068.181818181818	2823.090909090909	3894.717797744319	1577600	1575040	2460	5984.52259771987	1367.6342884771987	1577600	454	1.97049400806427	2460	32.0	1.0
12275.0	2747.6875	3768.2573046024336	1617408	1612800	2520	5888.46463022508	1320.6016881028938	1617408	470	3.1222029657413564	2520	32.0	1.0
12775.0	2789.5	4093.5511719595042	1655680	1653760	2584	5955.544523411371	1308.5917119565217	1655680	482	4.095643738051876	2584	32.0	1.0
13922.222222222223	3009.3333333333335	3839.7165736553184	1695360	1692160	2644	6349.755544354839	1361.0044858870967	1695360	491	2.977529286344846	2644	32.0	1.0
14766.666666666666	2965.222222222222	3838.368033953917	1735296	1730560	2704	6823.617788461538	1402.7679787660256	1735296	500	2.6497396806875866	2704	32.0	1.0
10350.0	2307.3333333333335	4091.4132475301717	1774976	1771520	2768	7409.543850806452	1480.3705141129033	1774976	506	3.7132172025740147	2768	32.0	1.0
11481.25	2502.6875	4095.2914311905824	1814528	1812480	2832	8215.485942556634	1550.4172734627832	1814528	522	5.1223562359809875	2832	32.0	1.0
11890.0	2556.75	3888.7614988701034	1854080	1851520	2892	8765.39745145631	1556.3010720064724	1854080	533	5.387639758984248	2892	32.0	1.0
12600.0	2821.6923076923076	3773.5578914783887	1893632	1889280	2952	8804.978256472492	1585.1531148867314	1893632	546	1.4544439069926738	2952	32.0	1.0
12362.962962962964	2672.185185185185	4090.1079020581683	1932288	1930240	3016	8458.291080298013	1527.0156767384105	1932288	573	2.8285744711756706	3016	32.0	1.0
13763.333333333334	2810.5	3834.4839178049897	1971712	1968640	3075	8272.415280032468	1431.774908685065	1971712	591	3.7619289705308816	3075	32.0	1.0
12858.823529411764	2580.705882352941	3834.1711841293895	2011776	2007040	3136	7845.971445686901	1385.3697833466454	2011776	608	1.598896433095463	3136	32.0	1.0
13700.0	2521.684210526316	4091.0793559229946	2050560	2048000	3200	7819.059405940594	1377.0983653052806	2050560	627	3.0954849761910737	3200	32.0	1.0
14460.0	2517.6666666666665	3836.500293309157	2089600	2086400	3259	7733.668032786885	1375.7300204918033	2089600	642	2.813375977388883	3259	32.0	1.0
16170.0	3130.2	3838.5058916285816	2129536	2124800	3320	7282.9176682692305	1395.8411458333333	2129536	652	1.14587217899131	3320	32.0	1.0
13490.90909090909	2545.5454545454545	4085.8344714538075	2168320	2165760	3384	7391.939975247525	1411.2632786716172	2168320	663	1.9419700191356242	3384	32.0	1.0
14075.0	2588.125	4028.721546082237	2207616	2206080	3446	8058.3265472312705	1475.2950682003257	2207616	671	3.2640063108936435	3446	32.0	1.0
