local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3578.6074788930778	40192	35840	56	40.49979967948718	79.5	40192	0	0.62269672758079	56	32.0	1.0
		4090.6469464552383	80384	76800	120	348.0543391719745	236.0	80384	0	1.5076133428228786	120	32.0	1.0
		4087.025662981631	120960	117760	184	816.4308951104101	393.7507886435331	120960	0	1.8785873158485629	184	32.0	1.0
		4095.1706757612246	161792	158720	248	1353.2376567398119	552.7492163009405	161792	0	2.046981385385152	248	32.0	1.0
		4087.7596776841197	203776	199680	312	1925.297732469512	714.5	203776	0	1.2731680111028254	312	32.0	1.0
		4089.058074254147	244992	240640	376	2669.7447593167703	877.0	244992	0	0.9256139411590993	376	32.0	1.0
		4092.9794751716854	285952	281600	440	3262.48779296875	1037.5	285952	0	0.6772182956337929	440	32.0	1.0
		4090.312206051213	325632	322560	504	3423.530745967742	1195.0	325632	0	0.1804367106888094	504	32.0	1.0
		4093.4969407072467	366080	363520	568	3574.5895965189875	1351.5	366080	0	0.3053751775296405	568	32.0	1.0
		4095.542922105351	408448	404480	632	3784.089407099698	1513.250755287009	408448	0	0.6936043398454785	632	32.0	1.0
5500.0	1701.75	4085.731277267351	449408	445440	696	4083.14208984375	1667.21328125	449408	4	2.0561187305065687	696	32.0	1.0
4528.571428571428	1832.2857142857142	4089.7881459325604	490368	486400	760	4472.51220703125	1783.894580078125	490368	11	1.1523936432786286	760	32.0	1.0
5938.461538461538	1995.6923076923076	4089.4088654965094	531456	527360	824	4765.921923676013	1870.377117406542	531456	24	2.0032221565488726	824	32.0	1.0
5971.428571428572	2146.214285714286	4086.0158998601682	572032	568320	888	5094.748126971609	1913.1894962539432	572032	38	1.4804045611526817	888	32.0	1.0
6119.642857142857	2333.25	4092.9471013530297	613376	609280	952	5282.889899380805	1913.8586735681115	613376	70	0.852950681000948	952	32.0	1.0
6931.720430107527	2475.2258064516127	4093.4466122694776	654336	650240	1016	4986.31103515625	1734.3387939453125	654336	104	1.351578074041754	1016	32.0	1.0
7478.571428571428	2656.6190476190477	4089.807325995763	694016	691200	1080	4935.655241935484	1638.6598286290323	694016	126	1.5894438333343714	1080	32.0	1.0
8610.0	2810.4	4094.946072033701	734080	732160	1144	4896.510583067093	1569.2931309904154	734080	144	1.495922290487215	1144	32.0	1.0
9200.0	2961.285714285714	3895.877303735391	773760	771200	1204	4924.800907258064	1507.9022429435483	773760	165	1.1162910662591456	1204	32.0	1.0
9800.0	3103.2	3903.1240475974073	814464	810240	1266	4801.464229559749	1422.603822720126	814464	181	0.9524113297943146	1266	32.0	1.0
10664.70588235294	3254.3529411764707	4014.6690664328435	855168	850560	1328	4732.340801886792	1365.5588639937107	855168	198	0.8086253313287612	1328	32.0	1.0
