local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3708.666686135913	41216	37120	57	53.69384765625	81.5	41216	0	3.5414126320546004	57	32.0	1.0
		4269.013224792032	82560	80000	124	389.57285216718265	242.25077399380805	82560	0	1.447750196945089	124	32.0	1.0
		4281.836093390398	123904	122880	191	819.5239938080496	403.749226006192	123904	0	1.0747558494001181	191	32.0	1.0
		4089.6570058536104	166144	163840	256	1528.3238636363637	567.0	166144	0	1.1352168725087093	256	32.0	1.0
		4092.2249668022273	208384	204800	320	2287.907196969697	732.0	208384	0	1.113277074182406	320	32.0	1.0
		4091.380411302603	249600	245760	384	3000.2183618012423	895.0	249600	0	0.8752951801288873	384	32.0	1.0
		4088.7132790352202	290944	286720	448	3612.9571400928794	1056.250773993808	290944	0	0.9270858666859567	448	32.0	1.0
		4150.249895484413	332928	328320	512	4371.053258384146	1219.0	332928	0	1.0069349082186818	512	32.0	1.0
		4151.086993397441	374016	369920	577	4986.4388629283485	1381.2492211838007	374016	0	2.1754393178683062	577	32.0	1.0
4000.0	1479.0	4268.586058020258	415360	412800	644	5544.153928018576	1537.0994582043343	415360	1	1.2053000197481754	644	32.0	1.0
6071.428571428572	1767.0	4221.504017874258	456704	455040	711	6153.9957430340555	1692.9321787925696	456704	8	1.300554422745064	711	32.0	1.0
6614.705882352941	1872.3529411764705	4156.83502849019	498816	496640	776	6416.608092705167	1754.893094604863	498816	26	1.1559659460416207	776	32.0	1.0
7489.473684210527	2044.0526315789473	4090.1396467159025	540160	537600	840	6657.147349071208	1780.67823626161	540160	47	1.2839674931019545	840	32.0	1.0
8292.857142857143	2216.095238095238	4095.577484994469	581632	578560	904	6790.415219907408	1766.2995515046296	581632	71	1.3153261011466384	904	32.0	1.0
9176.923076923076	2346.5	4092.3110402078814	623488	619520	968	6574.178134556575	1664.2165519877676	623488	97	1.3271083855070174	968	32.0	1.0
10001.785714285714	2527.5	4085.918721420202	665216	660480	1032	6470.65759202454	1586.208061733129	665216	127	1.2732898411341012	1032	32.0	1.0
11005.555555555555	2688.5555555555557	4143.210348289781	706688	702080	1096	5874.221161265432	1418.2845052083333	706688	163	1.2000006479211152	1096	32.0	1.0
11329.166666666666	2820.8055555555557	4152.843646214935	747776	743680	1161	4628.998734423676	1097.2705169392523	747776	203	1.5831686968986804	1161	32.0	1.0
11750.0	2957.5833333333335	4269.973953057003	789120	786560	1228	4249.351780185759	972.9355166408669	789120	216	1.6748043921456408	1228	32.0	1.0
