local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3581.993579932048	38912	35840	56	80.89171150662251	77.0	38912	0	0.13168467806618928	56	32.0	1.0
		4094.964422044167	78208	76800	120	751.3232899022802	229.25081433224756	78208	0	0.7874810952926055	120	32.0	1.0
2156.25	420.5	3758.85097014679	118144	114560	178	1672.384565304487	380.68018830128204	118144	8	0.4930127049828398	178	32.0	1.0
2083.3333333333335	534.4444444444445	3893.7469310807414	158208	153600	240	2296.1074780351437	517.4107428115016	158208	17	0.4807591613742613	240	32.0	1.0
2507.1428571428573	687.5714285714286	4090.5963958761713	196352	194560	304	2597.0624475671143	641.704226090604	196352	31	0.33395527640823275	304	32.0	1.0
3125.0	835.1818181818181	3829.9801321054474	236032	232960	363	2947.1875	743.2832409274193	236032	54	0.4927412155952494	363	32.0	1.0
3630.2083333333335	967.7916666666666	3836.9277529322035	275840	271360	424	3117.108370176849	802.6356260048232	275840	81	0.4214638411754467	424	32.0	1.0
3992.5925925925926	1127.5925925925926	4095.1953729374795	314240	312320	488	3269.6380208333335	829.9965625	314240	112	0.6412506707711145	488	32.0	1.0
4309.848484848485	1148.1363636363637	3834.8441815795077	353792	350720	547	3348.3995752427186	829.1794346682848	353792	150	0.5112048156433187	547	32.0	1.0
4912.037037037037	1310.888888888889	3837.1066433951696	393216	389120	608	3519.8635349025976	839.8075537743506	393216	178	0.6469144917658118	608	32.0	1.0
4915.0	1283.6	4093.4523668150105	432256	430080	672	3590.6121926229507	851.5817879098361	432256	199	0.5862863268703222	672	32.0	1.0
4437.0	1175.96	3888.5129917440927	471680	469120	732	3619.5705661525976	900.9290787337662	471680	225	0.6969806330899397	732	32.0	1.0
4646.153846153846	1171.3461538461538	3774.452712537304	511872	506880	792	3665.489400875796	936.0676253980891	511872	251	0.4849062819654743	792	32.0	1.0
4350.0	1054.388888888889	4092.4250954848894	550528	547840	856	3982.318398178808	997.8502173013245	550528	269	0.8081969564082101	856	32.0	1.0
4934.166666666667	1167.9833333333333	4026.2247924283297	589696	588160	918	3987.817861519608	1009.3067044526143	589696	304	0.6340394403424955	918	32.0	1.0
5536.95652173913	1333.8260869565217	3646.913917499936	629760	624640	976	4239.646565495208	1060.9275908546326	629760	327	0.7247963441086227	976	32.0	1.0
5007.142857142857	1053.047619047619	4084.4597542848283	668416	665600	1040	4328.963162251655	1100.9255484271523	668416	348	0.590559282223694	1040	32.0	1.0
5761.0	1359.64	3963.782667033695	707328	705280	1101	4447.350431743421	1145.075991981908	707328	375	0.7880126253747549	1101	32.0	1.0
6204.166666666667	1636.2777777777778	3763.0300608226594	747648	743040	1160	4535.989583333333	1156.0493055555555	747648	394	0.7511461485745543	1160	32.0	1.0
6326.315789473684	1370.1052631578948	4022.103791019216	786944	783360	1224	4687.44401465798	1197.2200223941368	786944	413	0.6946611644234508	1224	32.0	1.0
5488.888888888889	1685.111111111111	4090.477280666188	826624	824320	1288	4875.645161290323	1242.210912298387	826624	431	0.766068555880338	1288	32.0	1.0
6038.461538461538	1306.0	3885.8715090356104	865920	863360	1348	5092.911492263844	1301.2875356270358	865920	444	0.6905507023135821	1348	32.0	1.0
5231.25	1146.40625	3766.8301308034493	905472	901120	1408	5431.070489482201	1391.250682645631	905472	461	0.5726538725197315	1408	32.0	1.0
