local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3775.5444290553223	41344	37760	58	177.97045366043614	81.75077881619937	41344	0	0.6901640386465167	58	32.0	1.0
		4152.177859935693	82432	79360	123	2204.4648072429904	242.2492211838006	82432	0	1.2739519613938264	123	32.0	1.0
		3965.815083147493	123264	119040	186	2501.391065830721	402.2507836990596	123264	0	0.22492158885986085	186	32.0	1.0
3012.5	630.5	4221.800977564886	164480	161280	251	2721.646933229814	561.7796486801242	164480	4	0.5962916531241857	251	32.0	1.0
3467.0454545454545	722.3636363636364	4084.2423438594506	205312	202240	315	2961.575480015674	680.8783307210032	205312	27	0.7916893805377185	315	32.0	1.0
3415.0	893.6333333333333	4083.7362430167695	246272	243200	379	3142.330322265625	758.56630859375	246272	60	0.860643147258088	379	32.0	1.0
3967.2413793103447	994.9655172413793	3961.5065846991997	286976	282880	441	3261.633991745283	795.9389740566038	286976	90	1.0161632739247815	441	32.0	1.0
4293.382352941177	1127.264705882353	4031.660207776201	327808	323200	504	3203.1886755485893	806.514743338558	327808	125	0.7266126192278333	504	32.0	1.0
4539.473684210527	1316.6842105263158	4210.041822057359	369024	365440	570	3414.166828416149	856.5411248059006	369024	144	1.184042010569211	570	32.0	1.0
4166.964285714285	1029.75	4084.052529207854	409984	406400	634	3712.725830078125	915.626123046875	409984	173	0.9915098985657096	634	32.0	1.0
4944.117647058823	1339.4117647058824	4014.660203018232	450816	446720	697	3897.8889106583074	974.7130436912225	450816	190	0.819665653364999	697	32.0	1.0
5143.333333333333	1302.8666666666666	4094.840562664933	491904	487680	761	3805.376265576324	990.1005646417445	491904	220	0.5907067558728158	761	32.0	1.0
4878.75	975.375	4282.326481812766	533120	530560	828	4052.425029114907	1054.2477921195652	533120	241	0.9645451732091049	828	32.0	1.0
5750.0	1520.7	4210.6011396857775	574336	572800	894	4186.026057841615	1084.8957201086957	574336	262	0.9193518042112842	894	32.0	1.0
5095.0	1223.55	4159.49522422096	615680	614400	960	4453.688564241486	1138.2663748065015	615680	282	1.1667923563809106	960	32.0	1.0
6288.0952380952385	1516.8095238095239	4091.612712142089	657408	655360	1024	4646.499952070552	1187.8506278757668	657408	303	1.0285680647939444	1024	32.0	1.0
5935.9375	1462.375	4093.162806456754	698112	696320	1088	4885.094830974843	1254.4659738600628	698112	320	0.9345651178155094	1088	32.0	1.0
5870.0	1364.52	4085.888985741209	739456	737280	1152	5016.948045665635	1303.000725619195	739456	346	0.8047931353212334	1152	32.0	1.0
6259.090909090909	1404.5	4092.3975071725886	780544	778240	1216	4801.736516744549	1317.443730529595	780544	369	0.45828264171723276	1216	32.0	1.0
5552.083333333333	1404.0625	4089.8069365510664	821632	819200	1280	4918.861954828661	1357.7764554127725	821632	395	0.9645413511898369	1280	32.0	1.0
6358.823529411765	1430.9411764705883	4090.7113296375055	862592	860160	1344	5134.6142578125	1408.5030029296875	862592	412	0.9385502990335226	1344	32.0	1.0
5905.0	1249.5333333333333	4086.822464915563	904192	901120	1408	5263.493990384615	1463.9158653846155	904192	428	0.9412065052893013	1408	32.0	1.0
6434.259259259259	1613.5555555555557	4080.541472500017	945280	942080	1472	5429.635173286604	1524.1826323987539	945280	457	0.8537527259904891	1472	32.0	1.0
5683.823529411765	1530.5294117647059	4089.642986921827	986368	983040	1536	5381.325447819315	1535.2423335280373	986368	475	0.8903352572815493	1536	32.0	1.0
6855.0	1726.45	4093.7577710801356	1027456	1024000	1600	5357.942708333333	1552.186769859813	1027456	495	1.027534324559383	1600	32.0	1.0
6706.944444444444	1583.361111111111	4088.0907901918486	1068160	1064960	1664	5601.408952437107	1599.2079402515724	1068160	514	1.1280951553490013	1664	32.0	1.0
8225.0	1826.1875	4089.1630911804386	1109760	1105920	1728	5648.992788461538	1648.9028365384615	1109760	534	1.0678795892745256	1728	32.0	1.0
6563.888888888889	1695.1851851851852	4092.9599728099597	1152128	1146880	1792	5560.145628776435	1649.2472384818732	1152128	562	1.2663597548380494	1792	32.0	1.0
6314.285714285715	1602.0	4086.6453393536403	1192576	1187840	1856	5693.641218354431	1653.5736995648733	1192576	576	1.6308717750944197	1856	32.0	1.0
7957.894736842105	1966.6315789473683	4092.545689046773	1233408	1228800	1920	5812.013861677116	1680.5071022727273	1233408	595	1.1439104857854545	1920	32.0	1.0
7539.285714285715	1789.3214285714287	4095.6695579103475	1274112	1269760	1984	6039.419958726415	1758.763610455975	1274112	610	1.2557220286689699	1984	32.0	1.0
6721.739130434783	1686.195652173913	4087.5207147039187	1315200	1310720	2048	5888.157126168225	1716.7448646806854	1315200	635	0.9878131770528853	2048	32.0	1.0
8338.235294117647	2235.6176470588234	4090.3265217291205	1356416	1351680	2112	6077.346176242236	1754.6688179347825	1356416	653	1.204208601731807	2112	32.0	1.0
8150.72463768116	3441.1739130434785	4089.8555203495193	1397120	1392640	2176	6082.565595518868	1621.4452142295597	1397120	687	1.5137938051484525	2176	32.0	1.0
8066.666666666667	2063.0	4092.2652249206367	1437440	1433600	2240	5660.300099206349	1374.9872271825398	1437440	705	1.168280160985887	2240	32.0	1.0
7302.941176470588	1735.5882352941176	4085.6899816192495	1478272	1474560	2304	5836.02444161442	1398.3450480015674	1478272	722	1.2839514436200261	2304	32.0	1.0
6881.25	1387.53125	4092.8369171936315	1519616	1515520	2368	6160.529943885449	1473.8874564628484	1519616	739	1.1998376776464283	2368	32.0	1.0
7379.411764705882	1580.9411764705883	4085.674726732155	1560704	1556480	2432	6308.885806074766	1529.0473860981308	1560704	756	1.3288340584840626	2432	32.0	1.0
7646.153846153846	1700.5384615384614	4094.1042957418535	1601024	1597440	2496	6358.604910714285	1545.5724206349207	1601024	782	1.1948340102098882	2496	32.0	1.0
8442.391304347826	2241.021739130435	4085.5020726708863	1640960	1638400	2560	6343.495843349359	1528.0004507211538	1640960	806	1.6091775824315846	2560	32.0	1.0
7617.045454545455	2009.090909090909	4093.482700364816	1681920	1679360	2624	6418.096923828125	1479.6855712890624	1681920	829	1.492476087063551	2624	32.0	1.0
9102.173913043478	2248.1739130434785	4086.6162735627454	1723392	1720320	2688	6533.769772376543	1449.4288194444443	1723392	852	1.511387967504561	2688	32.0	1.0
8654.761904761905	2123.8809523809523	4089.420838623774	1764224	1761280	2752	6642.869563087775	1423.3988538401254	1764224	874	1.4144059498794377	2752	32.0	1.0
8431.034482758621	1834.3103448275863	4093.984000550571	1804288	1802240	2816	6539.12365215655	1377.549795327476	1804288	903	1.2563723055645823	2816	32.0	1.0
8083.333333333333	2315.1666666666665	4087.006120088478	1845248	1843200	2880	6666.275634765625	1387.1424072265625	1845248	915	1.3576119802892208	2880	32.0	1.0
8864.0	1615.2	4092.6656072347064	1886592	1884160	2944	6928.377757352941	1422.2059791021672	1886592	940	1.4497193959541619	2944	32.0	1.0
8609.09090909091	1848.939393939394	4090.548378853094	1928192	1925120	3008	6878.481971153846	1376.76125	1928192	974	1.4353903457522392	3008	32.0	1.0
7594.117647058823	1692.4411764705883	4091.67488437477	1968768	1966080	3072	6920.530609227129	1323.412435922713	1968768	1012	1.3473900062963367	3072	32.0	1.0
8146.825396825398	1494.7698412698412	4093.6548590909424	2009984	2007040	3136	6696.575359083851	1212.3752183618012	2009984	1039	1.4708130399230868	3136	32.0	1.0
10892.307692307691	2362.846153846154	4093.5251290745005	2051456	2048000	3200	7171.135947145061	1283.3958333333333	2051456	1052	0.7076487361919135	3200	32.0	1.0
9502.631578947368	1764.5657894736842	4089.8287455683167	2092672	2088960	3264	6718.944099378882	1229.0287994953417	2092672	1091	1.024034003727138	3264	32.0	1.0
9233.064516129032	1778.274193548387	4088.9608483777733	2134144	2129920	3328	6438.260754243827	1144.2236448688273	2134144	1124	1.3728920775465667	3328	32.0	1.0
11171.0	2229.76	4086.776966873328	2174720	2170880	3392	6372.963081624605	1078.2972693217666	2174720	1151	1.3926220417488366	3392	32.0	1.0
9355.882352941177	1341.7058823529412	4090.349991866856	2215552	2211840	3456	6739.682112068966	1102.0186128526645	2215552	1168	1.3269699472002685	3456	32.0	1.0
10485.185185185184	1773.0740740740741	4092.1282725723086	2257280	2252800	3520	7041.197756901841	1122.3801284509202	2257280	1197	2.036360082682222	3520	32.0	1.0
10968.103448275862	1928.1724137931035	4090.367326830314	2298240	2293760	3584	7171.461181640625	1047.1238037109374	2298240	1227	1.8217978249303997	3584	32.0	1.0
10258.333333333334	1466.6666666666667	4091.6635801919297	2338816	2334720	3648	7368.180697949527	1026.4721263801262	2338816	1251	1.574313129298389	3648	32.0	1.0
9940.277777777777	1566.5277777777778	4085.8629430837573	2379904	2375680	3712	7355.098812305296	1076.712300428349	2379904	1270	0.8527231803163886	3712	32.0	1.0
11902.941176470587	1861.1176470588234	4092.366214872825	2420608	2416640	3776	7738.015919811321	1106.174970518868	2420608	1287	1.6858993861824274	3776	32.0	1.0
9025.0	1573.5	4092.9471988637624	2462336	2457600	3840	8463.438218941717	1155.2283358895706	2462336	1299	1.8206670549698174	3840	32.0	1.0
12818.478260869566	1913.891304347826	4156.668365547348	2503936	2499200	3904	9283.618990384615	1199.8505288461538	2503936	1324	2.49363770801574	3904	32.0	1.0
