local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3066.0108933805095	32896	30720	48	-0.7710171568627451	65.25098039215686	32896	0	0.6131482959996598	48	32.0	1.0
		3132.25075699675	66816	62080	96	-1.5943985849056603	195.2490566037736	66816	0	0.32626227881216135	96	32.0	1.0
		3516.8272032410946	99456	97280	152	-2.789644607843137	325.25098039215686	99456	0	0.45241852127946913	152	32.0	1.0
		3130.0810382969025	133376	128640	200	-3.941362028301887	455.24905660377357	133376	0	0.668292428056399	200	32.0	1.0
		3517.655737086224	165504	163840	256	-5.190301294820717	584.2509960159363	165504	0	0.5913314146787992	256	32.0	1.0
		3062.795411481555	199552	194560	304	-6.408922697368421	713.5	199552	0	0.45685709174722433	304	32.0	1.0
		3580.8980605784654	232064	230400	360	-7.661417322834645	843.5	232064	0	0.5203325902777058	360	32.0	1.0
		3069.175816520724	265728	261120	408	-8.897813688212928	972.7490494296578	265728	0	0.5622488770944377	408	32.0	1.0
		3580.285445655509	298112	296960	464	-10.29005064229249	1101.7509881422925	298112	0	0.5332872763808284	464	32.0	1.0
-22.4	1238.2	3071.1015079831013	331008	327680	512	-11.545567850194553	1219.0941755836575	331008	5	0.6261863525335988	512	32.0	1.0
-21.833333333333332	1368.25	3391.1167080393952	364288	361600	565	-12.333864182692308	1307.6412860576922	364288	17	0.5601765357379643	565	32.0	1.0
-20.85	1491.0	3258.504992565414	397696	394240	616	-12.409722222222221	1338.2270713601533	397696	40	0.5467533688334858	616	32.0	1.0
-20.75	1608.6875	3187.586489268372	430336	426240	665	-11.359865196078431	1282.4111519607843	430336	72	0.4925505079481067	665	32.0	1.0
-19.34285714285714	1735.6571428571428	3453.499811130405	462336	460800	720	-10.109875	1182.46678125	462336	108	0.3924319699406624	720	32.0	1.0
-19.36842105263158	1867.3684210526317	3070.449074409236	495616	491520	768	-8.54891826923077	1035.6765024038461	495616	151	0.3904812994878739	768	32.0	1.0
-19.3125	1987.03125	3441.5176271384908	528128	526080	821	-6.7891240157480315	837.9705031988188	528128	189	0.3464525226714476	821	32.0	1.0
-18.473684210526315	2110.2105263157896	3198.7237300486	561024	558080	872	-5.995865758754864	747.1742157101168	561024	209	0.409606683195806	872	32.0	1.0
-17.3	2239.4	3199.068950779863	594176	590080	921	-5.919492036679537	706.9115890444016	594176	229	0.37679071815646425	921	32.0	1.0
-18.066666666666666	2375.6666666666665	3449.0748845975045	626816	624640	976	-5.9689644607843135	687.2450980392157	626816	245	0.31312169554558666	976	32.0	1.0
-15.5	2470.75	3068.7509740708933	660352	655360	1024	-6.498389790076335	718.8718392175573	660352	249	0.32164152277012664	1024	32.0	1.0
-19.0	1946.6666666666667	3579.2920445726627	693120	691200	1080	-7.43798828125	826.8457641601562	693120	255	0.310021628758737	1080	32.0	1.0
-18.4	1997.6	3067.258306774824	726912	721920	1128	-8.227864583333334	902.9073153409091	726912	260	0.36396464410548407	1128	32.0	1.0
-19.2	1530.0	3579.485089321959	758784	757760	1183	-9.095946285140561	1008.7153300702811	758784	265	0.285358174551617	1183	32.0	1.0
-19.4	1615.4	3065.655415708895	793088	788480	1232	-9.738718516791044	1082.8343633395523	793088	275	0.3090773484840685	1232	32.0	1.0
-19.384615384615383	1711.3846153846155	3578.108577290828	825984	824320	1288	-10.196984435797665	1139.6953428988327	825984	288	0.3398266801876681	1288	32.0	1.0
-19.176470588235293	1644.5882352941176	3062.3738619160004	859776	855040	1336	-10.329131155303031	1168.7394649621212	859776	305	0.2841336256824434	1336	32.0	1.0
-18.846153846153847	1726.423076923077	3503.5155419906323	891776	890240	1390	-9.94328125	1157.7179375	891776	332	0.2984725700484382	1390	32.0	1.0
-18.307692307692307	1794.8846153846155	3131.5415724516165	925568	921600	1440	-9.162198153409092	1083.4787227746212	925568	359	0.32185264393687246	1440	32.0	1.0
-18.806451612903224	1897.8548387096773	3441.619030169332	958208	956160	1493	-8.656433823529412	1028.4085171568627	958208	391	0.2792542462922492	1493	32.0	1.0
-18.689655172413794	1830.0344827586207	3189.447374807735	991872	988160	1544	-7.826045627376426	944.2672884980989	991872	422	0.3426283719200714	1544	32.0	1.0
-18.103448275862068	1953.655172413793	3320.0279984519934	1024512	1021440	1595	-6.57046568627451	808.9965992647059	1024512	453	0.34038490612132877	1595	32.0	1.0
-18.46153846153846	1976.8461538461538	3327.3967646360807	1057408	1054720	1648	-6.56426313229572	788.3856395914397	1057408	466	0.2514722735252021	1648	32.0	1.0
-16.615384615384617	2013.6923076923076	3263.2182536837336	1090944	1087360	1698	-6.720926765267175	805.3050453244275	1090944	479	0.3155756022036076	1698	32.0	1.0
-18.923076923076923	2003.8461538461538	3391.168116360921	1124224	1121280	1752	-6.981790865384616	838.30859375	1124224	492	0.25546729205935087	1752	32.0	1.0
