local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3068.4915359356673	33664	30720	48	-1.0447198275862069	66.75095785440612	33664	0	0.43890497644315474	48	32.0	1.0
		3579.49915299821	68352	66560	104	-2.1095191420664205	199.7490774907749	68352	0	0.23329161202335463	104	32.0	1.0
		3449.6542148446906	103168	101120	157	-3.326947380514706	335.5	103168	0	0.23597837752609882	157	32.0	1.0
		3195.4511166745565	138112	133120	208	-4.520232371794871	471.75091575091574	138112	0	0.342754371263379	208	32.0	1.0
		3581.517370318779	172800	168960	264	-5.7734375	607.7490774907749	172800	0	0.26880454484905514	264	32.0	1.0
		3579.5469703240974	207104	204800	320	-7.16152635261194	742.5	207104	0	0.29280161784429637	320	32.0	1.0
		3444.525486231156	241408	239360	373	-8.475513059701493	876.5	241408	0	0.3779215691084007	373	32.0	1.0
		3322.634263296363	276736	272640	425	-9.962494338768115	1012.5	276736	0	0.34697994797562176	425	32.0	1.0
-19.0	1150.5	3452.870908183573	311424	307200	480	-11.447849400369003	1144.9044049815498	311424	2	0.32523587423969397	480	32.0	1.0
-20.444444444444443	1294.2222222222222	3581.2636142656806	345856	343040	536	-12.624041589219331	1256.4959921003717	345856	11	0.34214229096791576	536	32.0	1.0
-20.59090909090909	1418.409090909091	3571.741656031947	380288	378880	592	-12.93607690520446	1299.2151196561338	380288	34	0.2845094966303025	592	32.0	1.0
-20.13953488372093	1558.0	3263.98513648126	415104	411520	642	-11.863396139705882	1244.42724609375	415104	80	0.25487212657928465	642	32.0	1.0
-19.20408163265306	1684.3673469387754	3379.1598814462304	450048	445440	696	-9.336195054945055	1025.5196886446886	450048	137	0.21847372543480661	696	32.0	1.0
