local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3068.687243230671	33024	30720	48	-0.89324951171875	65.5	33024	0	0.4521993462791822	48	32.0	1.0
		3197.550551909617	66944	62720	98	-1.6841686320754716	195.7509433962264	66944	0	0.1907359378412366	98	32.0	1.0
		3446.65091796903	100224	97280	152	-2.7143329326923076	327.0	100224	0	0.23507975276421617	152	32.0	1.0
		3388.4239933951467	133760	131200	204	-3.745318463740458	457.5	133760	0	0.2381031229518927	204	32.0	1.0
		3261.102773841342	167424	163840	256	-4.824916825095057	588.7490494296578	167424	0	0.325695590259364	256	32.0	1.0
		3381.3774880894866	200320	197760	308	-5.973765807392996	718.7509727626459	200320	0	0.31011932028027683	308	32.0	1.0
		3256.9173781638215	234624	230400	360	-7.092758861940299	850.0	234624	0	0.2710537346653067	360	32.0	1.0
		3577.150858137243	267776	266240	416	-8.18131636100386	981.7490347490348	267776	0	0.3050288846716285	416	32.0	1.0
		3070.716893570978	301824	296960	464	-9.222098214285714	1113.0	301824	0	0.3319650425886114	464	32.0	1.0
-19.5	1210.0	3578.316911631788	334592	332800	520	-10.0958251953125	1229.2982177734375	334592	4	0.34120236589972464	520	32.0	1.0
-19.5	1350.0	3068.165583049481	368128	363520	568	-11.005904103053435	1340.0582657442749	368128	8	0.3682517752361794	568	32.0	1.0
-18.1	1505.75	3580.32126033222	400512	399360	624	-11.305490365612648	1407.677618577075	400512	28	0.26948609708675314	624	32.0	1.0
-19.12	1621.56	3066.1780467119183	434688	430080	672	-10.511060393258427	1366.1189138576779	434688	57	0.31486564005414647	672	32.0	1.0
-18.214285714285715	1760.7142857142858	3391.426151480745	466688	464000	725	-9.6434375	1313.3083125	466688	87	0.30994086248694724	725	32.0	1.0
-18.642857142857142	1879.4285714285713	3257.0418972453886	500096	496640	776	-8.549838362068966	1220.4831178160919	500096	118	0.3854299522205895	776	32.0	1.0
-17.75	2013.7222222222222	3186.3235796043255	532736	528640	825	-7.098927696078431	1065.4928921568628	532736	159	0.3001071862420257	825	32.0	1.0
-16.933333333333334	2134.0333333333333	3448.2110935348587	565504	563200	880	-5.81976318359375	896.1170654296875	565504	193	0.3612110698764974	880	32.0	1.0
-16.4	2275.76	3066.5258365753234	599040	593920	928	-5.168237118320611	775.9772781488549	599040	220	0.28935318688551587	928	32.0	1.0
-16.818181818181817	2412.6363636363635	3579.506994611137	631552	629760	984	-5.106576033464567	729.7411417322835	631552	233	0.30132366956344675	984	32.0	1.0
-14.727272727272727	2530.2727272727275	3122.457675083294	665728	661120	1032	-5.623888108614232	734.0820458801498	665728	244	0.26115243695676327	1032	32.0	1.0
-18.0	2430.6666666666665	3517.2658887615876	698752	696320	1088	-6.189347141472868	779.7039123062016	698752	250	0.26047258398362566	1088	32.0	1.0
-14.666666666666666	2779.0	3128.8266739417813	732288	727680	1136	-7.098222805343512	866.2907621660305	732288	253	0.2738943040991823	1136	32.0	1.0
