local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2554.0341380451514	29568	25600	40	-0.5089042030567685	58.751091703056765	29568	0	0.07259838454192505	40	32.0	1.0
		3069.280875711925	59008	56320	88	-8.542595108695652	173.5	59008	0	3.2633900779183023	88	32.0	1.0
		2995.0397869061444	87936	86400	134	-14.603636615044248	287.5	87936	0	15.324526236716496	134	32.0	1.0
		2620.584552417805	116352	112640	176	-19.73092623873874	399.5	116352	0	1.2350756387625421	176	32.0	1.0
		2622.0599787873816	143616	138880	217	-24.114986795774648	508.2488262910798	143616	0	2.2189864886970057	217	32.0	1.0
		2878.493670044808	169728	167680	261	-30.554036458333332	612.5	169728	0	26.951488903977655	261	32.0	1.0
		2681.9938307160064	196224	194560	304	-34.875377415458935	715.2512077294685	196224	0	22.5084566896738	304	32.0	1.0
		2552.0507009523553	222720	220160	344	-39.67632850241546	818.7487922705315	222720	0	3.5798953304998578	344	32.0	1.0
		2559.1566499896967	249088	245760	384	-46.01649726941748	922.0	249088	0	5.403195309685543	384	32.0	1.0
		2558.7507929804833	275840	271360	424	-52.549865430622006	1025.751196172249	275840	0	11.686673875153065	424	32.0	1.0
		2743.179101262893	302464	298880	466	-59.00086388221154	1130.0	302464	0	9.87436316730011	466	32.0	1.0
		2877.9612145050387	328960	327680	512	-64.61903683574879	1233.7487922705313	328960	0	5.131518592329129	512	32.0	1.0
		2551.673714647108	355584	353280	552	-69.44211989182692	1337.5	355584	0	2.4272805459797384	552	32.0	1.0
-99.0	1463.0	2558.096387280469	382336	378880	592	-74.35746860047847	1440.110571172249	382336	1	3.1868011966347694	592	32.0	1.0
-96.75	1581.5	2553.7715991560062	409216	404480	632	-79.2116443452381	1532.9245907738095	409216	9	11.110268810391426	632	32.0	1.0
-94.33333333333333	1641.5555555555557	2739.001071043073	435584	432000	674	-78.17760163834951	1519.8324863470873	435584	29	8.604507785822664	674	32.0	1.0
-96.28688230008984	1739.566037735849	2681.90814892853	461440	458880	716	-49.641011757425744	1027.3574025371288	461440	140	3.7399646654015495	716	32.0	1.0
-95.60606060606061	1844.5151515151515	2748.247609993717	488320	486400	760	-34.14471726190476	750.1574404761905	488320	179	5.279662671414289	760	32.0	1.0
-94.82828282828282	1962.939393939394	2548.182914008596	514688	512000	800	-26.781212075242717	593.6311438106796	514688	222	4.164025917649269	800	32.0	1.0
-94.0	2080.375	2552.046394334445	541824	537600	840	-22.793853183962263	498.5721919221698	541824	230	2.5793467804789545	840	32.0	1.0
-94.14285714285714	2136.714285714286	2620.592913813992	568448	563840	880	-24.224646935096153	507.49083533653845	568448	238	2.6876063503324987	880	32.0	1.0
-96.57142857142857	2248.3571428571427	2876.8118674939906	594688	592640	925	-24.860518292682926	486.33978658536586	594688	255	5.412047741148207	925	32.0	1.0
		2684.034840326044	621184	619520	968	-28.69580314009662	550.7527551328502	621184	255	2.8844301159991774	968	32.0	1.0
-89.0	2481.0	2555.475539837162	648192	645120	1008	-33.51747630331754	650.6861670616114	648192	256	3.569217539578676	1008	32.0	1.0
		2555.18515922881	674688	670720	1048	-38.5558952294686	750.1081672705315	674688	256	2.8288624972105025	1048	32.0	1.0
		2549.874739937512	701568	696320	1088	-44.546800595238096	854.37109375	701568	256	6.315391398966312	1088	32.0	1.0
		2809.055425282517	727552	724480	1131	-51.193080357142854	957.6342749384237	727552	256	4.656648310811021	1131	32.0	1.0
		2815.4433961715445	753664	752640	1175	-56.84057138480392	1059.37109375	753664	256	2.9137811213731766	1175	32.0	1.0
		2554.1893663178607	780672	778240	1216	-62.34830420616114	1163.108412322275	780672	256	3.0454044690946254	1216	32.0	1.0
		2551.351217774258	807552	803840	1256	-67.70606398809524	1268.37109375	807552	256	3.423218807578087	1256	32.0	1.0
-99.0	1715.0	2558.644821769819	834048	829440	1296	-73.11080917874396	1367.4558801328503	834048	257	4.237273083627224	1296	32.0	1.0
-98.22222222222223	1703.5	2678.473270429867	860416	856320	1337	-76.00455097087378	1421.037848907767	860416	275	3.5023996255746703	1337	32.0	1.0
-97.43739837398375	1717.676016260163	2686.3265795500165	886400	883200	1379	-69.37226754926108	1312.2306804187192	886400	342	3.7835261041209813	1379	32.0	1.0
-97.24489795918367	1747.8673469387754	2807.637074408125	912768	911360	1424	-47.26634557038835	928.8470873786408	912768	399	3.936717246638404	1424	32.0	1.0
-97.1923076923077	1739.8846153846155	2549.73311363312	939520	936960	1464	-37.26218600478469	743.4252392344498	939520	428	3.448443205654621	1464	32.0	1.0
-96.42857142857143	1784.5	2551.9150191449153	966016	962560	1504	-31.20757850241546	628.1308121980676	966016	451	4.154229789227247	1504	32.0	1.0
-96.52941176470588	1821.4705882352941	2549.8528803832405	992768	988160	1544	-30.272017045454547	603.3807939593302	992768	468	2.4782831348478793	1544	32.0	1.0
-96.4	1893.45	2751.683520286039	1019392	1015680	1587	-30.204552283653847	599.1654522235577	1019392	489	3.672103043212447	1587	32.0	1.0
