local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2554.717587530704	29824	25600	40	-0.6004126082251082	59.25108225108225	29824	0	0.0683084548683837	40	32.0	1.0
		3058.54781322848	59008	56320	88	-8.51819490131579	174.0	59008	0	6.481853915999333	88	32.0	1.0
		2933.3008019973	87808	85760	133	-14.780763888888888	287.24888888888887	87808	0	2.892082300844292	133	32.0	1.0
		2687.7051684503544	116736	112640	176	-20.46919939159292	400.0	116736	0	18.159790422074323	176	32.0	1.0
		3061.3315147198778	146304	143360	224	-25.638156114718615	514.2510822510823	146304	0	4.857976395869628	224	32.0	1.0
		3065.146087616316	176256	174080	272	-32.934995993589745	630.5	176256	0	2.6314381596942744	272	32.0	1.0
		3063.711631802068	206208	204800	320	-38.08273237179487	747.5	206208	0	5.06777992642795	320	32.0	1.0
		2876.1661440623193	236160	233600	364	-43.50307158119658	864.5	236160	0	2.2962448861111295	364	32.0	1.0
		2876.2060010571363	266496	262400	409	-51.62262658227848	982.2489451476794	266496	0	8.566546597807772	409	32.0	1.0
		2942.8957573549924	296704	291840	456	-59.32504634533898	1100.5	296704	0	7.603131922516734	456	32.0	1.0
		3068.1991907702914	326528	322560	504	-65.2959696888412	1217.7510729613734	326528	0	4.444968655705452	504	32.0	1.0
		3061.493502705742	356352	353280	552	-70.70872451716738	1334.2489270386266	356352	0	2.206908667460084	552	32.0	1.0
		3067.9025184826164	386432	384000	600	-76.17692819148937	1451.2510638297872	386432	0	3.309194453060627	600	32.0	1.0
-96.37777777777778	1606.6	3071.8076780566553	416128	414720	648	-81.962890625	1552.751986799569	416128	18	9.878015092263619	648	32.0	1.0
-97.18214285714285	1701.5	2557.229868434136	445440	440320	688	-71.24464383187772	1373.1112854803494	445440	135	7.174200584739447	688	32.0	1.0
-95.54954954954954	1801.6756756756756	3066.2677231207463	474880	471040	736	-36.372384510869566	768.5899796195653	474880	175	5.40010679513216	736	32.0	1.0
-95.86363636363636	1907.1818181818182	3063.027309574647	504192	501760	784	-29.240515829694324	617.2839451419214	504192	202	2.96806839259807	784	32.0	1.0
-96.42424242424241	2021.909090909091	3062.7069572538885	534144	532480	832	-26.066439636752136	533.8125333867522	534144	230	6.021892441436648	832	32.0	1.0
-94.15384615384616	2129.153846153846	2940.6239260545913	563968	561920	877	-23.66164833690987	458.49389753218884	563968	247	3.6977306882540386	877	32.0	1.0
-97.0	2242.3333333333335	2938.3074244736363	594432	591360	923	-26.860852153361346	488.36009716386553	594432	253	7.289968665527261	923	32.0	1.0
-95.0	2414.0	2810.9613450335582	624768	619520	968	-31.672303533755276	583.3382449894515	624768	256	2.377095991373062	968	32.0	1.0
		3071.853742315211	654592	650240	1016	-36.543086105150216	678.8347974785407	654592	256	3.2072584169606366	1016	32.0	1.0
		3064.9764950074878	684672	680960	1064	-43.01974734042553	795.8681848404256	684672	256	6.655162714421749	1064	32.0	1.0
		3071.7115993433426	714240	711680	1112	-50.72669778138528	912.3346523268398	714240	256	6.416439451277256	1112	32.0	1.0
		3068.7169157466815	744448	742400	1160	-58.517876059322035	1029.1015625	744448	256	5.871543801079194	1160	32.0	1.0
		3066.4546813696097	774272	773120	1208	-64.83265155579399	1146.3683275214592	774272	256	4.7827081345021725	1208	32.0	1.0
		2879.8696119214765	804480	801920	1252	-70.43246822033899	1263.6015625	804480	256	4.654159770770506	1252	32.0	1.0
		2879.739235648704	834944	830720	1297	-76.8640362394958	1382.1015625	834944	256	6.445242896344927	1297	32.0	1.0
-99.0	1716.909090909091	2942.247756797861	864896	860160	1344	-80.25397302350427	1437.8418469551282	864896	279	3.8543243997908654	1344	32.0	1.0
-99.0	1716.2322077922079	3069.365469306457	893312	890880	1392	-58.248733108108105	1056.9757179054054	893312	402	3.7690956524262824	1392	32.0	1.0
