local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2557.9531149769314	29696	25600	40	-0.46480978260869565	59.0	29696	0	0.3408351936494	40	32.0	1.0
		3064.510904497578	59136	56320	88	-8.11304347826087	174.0	59136	0	2.8461580123209083	88	32.0	1.0
		2941.86691530637	87936	85760	133	-14.560347222222223	287.75111111111113	87936	0	16.631772474365103	133	32.0	1.0
		2681.588182553008	116352	112640	176	-20.94580518018018	399.5	116352	0	9.422408331272214	176	32.0	1.0
		2936.1118538822443	144128	142080	221	-25.711405529953918	509.2488479262673	144128	0	7.145889346301556	221	32.0	1.0
		2683.920148353131	172032	168960	264	-31.87464162844037	618.0	172032	0	50.94973320877829	264	32.0	1.0
		2811.5903328212744	200192	197120	307	-35.592400568181816	727.5	200192	0	7.016333213725756	307	32.0	1.0
		2806.8475562838858	228480	225280	352	-40.6683399321267	837.7511312217194	228480	0	3.466560019718276	352	32.0	1.0
		2809.104329543833	256512	253440	395	-47.58707905251141	947.7488584474886	256512	0	23.52997152264728	395	32.0	1.0
		2810.072008576611	285056	281600	440	-55.10601177130045	1058.2511210762332	285056	0	50.1117622498009	440	32.0	1.0
		2931.3840808106593	313088	311040	485	-60.94131706621005	1168.7488584474886	313088	0	2.418996343678898	485	32.0	1.0
		2873.352719281737	343424	339840	530	-66.89256988396625	1282.7510548523207	343424	0	2.802363231115871	530	32.0	1.0
		2941.901048925183	373888	369280	576	-71.60143119747899	1401.5	373888	0	4.406986733493597	576	32.0	1.0
-91.0	1502.0	3003.279378900224	403840	399360	624	-77.82979433760684	1515.6888354700855	403840	1	10.140931287159523	624	32.0	1.0
-94.46666666666667	1631.3333333333333	3058.5275573650974	433536	430080	672	-81.55862742456897	1579.4207637392242	433536	16	9.598053794043759	672	32.0	1.0
-96.26038647342995	1751.9420289855072	2811.3897622145387	461312	458240	715	-60.18119959677419	1199.928931451613	461312	156	6.724699445242106	715	32.0	1.0
-95.29411764705883	1856.0294117647059	2808.3145203062686	491392	486400	760	-30.984541223404257	668.6529920212766	491392	191	4.837219434976578	760	32.0	1.0
-94.25	1970.5555555555557	3068.5904826578308	520832	517120	808	-23.995142663043477	503.1038043478261	520832	230	6.641237337142229	808	32.0	1.0
