local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2552.3096099805894	28672	25600	40	0.0	57.0	28672	0	0.004879324568901211	40	32.0	1.0
		3001.8653733616425	57216	55680	86	0.0	168.25112107623318	57216	0	0.016105819804816627	86	32.0	1.0
		2621.691778326272	87040	81920	128	0.0	282.2489270386266	87040	0	0.0021580016528744074	128	32.0	1.0
		3069.1528609117217	115456	112640	176	0.0	396.0	115456	0	0.0006786073569552779	176	32.0	1.0
		2943.059117324252	144256	142080	221	0.0	507.75111111111113	144256	0	0.0002442397778698554	221	32.0	1.0
		2681.749495769574	173568	168960	264	0.0	621.2489082969432	173568	0	9.856854630079186e-05	264	32.0	1.0
		3064.3329284070533	201984	199680	312	0.0	734.0	201984	0	0.00010762221288966127	312	32.0	1.0
		2751.7208458852947	230784	227200	354	0.0	845.7511111111111	230784	0	7.84710457429312e-05	354	32.0	1.0
		2873.9897266653843	259712	256000	400	0.0	958.5	259712	0	3.7758696219933206e-05	400	32.0	1.0
		3069.065866656612	288384	286720	448	0.0	1071.0	288384	0	3.944424285388474e-05	448	32.0	1.0
		2682.6649282060516	317696	313600	489	0.0	1184.2489082969432	317696	0	0.00010789729187707985	489	32.0	1.0
		2938.8654161049803	346624	343040	536	0.0	1298.0	346624	0	6.200611636465529e-05	536	32.0	1.0
		3070.593149458095	375168	373760	584	0.0	1410.2511210762332	375168	0	6.759955590496247e-05	584	32.0	1.0
		2559.0538776283174	404352	399360	624	0.0	1523.0	404352	0	5.673311090959032e-05	624	32.0	1.0
		3062.3834694204957	433024	430080	672	0.0	1636.0	433024	0	4.1456594999544905e-05	672	32.0	1.0
		2875.7837921921428	461568	458880	716	0.0	1747.7488789237668	461568	0	3.792213769057443e-05	716	32.0	1.0
		2750.2761857355404	490496	486400	760	0.0	1860.0	490496	0	4.989247120399589e-05	760	32.0	1.0
		3071.6806240272194	519296	517120	808	0.0	1972.7511111111112	519296	0	6.462857758530542e-05	808	32.0	1.0
0.0	2045.5	2556.2176936558253	544768	542720	848	0.0	383.6290436557789	544768	256	3.3172502730849375e-05	848	32.0	1.0
		2807.657497146205	573952	570880	891	0.0	139.95703125	573952	256	2.924361790995368e-05	891	32.0	1.0
		2814.2018325540434	603264	599040	936	0.0	254.2078329694323	603264	256	6.550648635715738e-05	936	32.0	1.0
		3067.2471353276646	632064	629760	984	0.0	367.7062152777778	632064	256	4.7478172234605154e-05	984	32.0	1.0
		2751.8118353761706	660992	657280	1026	0.0	480.45703125	660992	256	3.7314356036620754e-05	1026	32.0	1.0
		2869.264365816473	690176	686080	1072	0.0	593.95703125	690176	256	5.991202909211532e-05	1072	32.0	1.0
		3069.444071682749	718720	716800	1120	0.0	706.7078545403588	718720	256	4.142372948005383e-05	1120	32.0	1.0
		2741.8282537474724	747904	744320	1162	0.0	819.45703125	747904	256	5.7795138066770356e-05	1162	32.0	1.0
		2878.5373642848103	776576	773120	1208	0.0	932.45703125	776576	256	4.306766983142512e-05	1208	32.0	1.0
		3007.85341900853	804736	803200	1254	0.0	1043.45703125	804736	256	3.31037215840732e-05	1254	32.0	1.0
		2614.064842923278	834304	829440	1296	0.0	1156.2062364718615	834304	256	4.8069154531947876e-05	1296	32.0	1.0
		3070.710307293575	862976	860160	1344	0.0	1269.95703125	862976	256	6.163724248153812e-05	1344	32.0	1.0
		2877.762451432559	891520	888960	1388	0.0	1381.7078545403588	891520	256	7.894236223778121e-05	1388	32.0	1.0
		2743.830989100149	920448	916480	1432	0.0	1493.95703125	920448	256	5.017712340883339e-05	1432	32.0	1.0
		3068.7764817658986	948864	947200	1480	0.0	1605.95703125	948864	256	7.400023967344775e-05	1480	32.0	1.0
		2559.032714256005	978048	972800	1520	0.0	1718.45703125	978048	256	7.851933171423297e-05	1520	32.0	1.0
		3062.836036616727	1006464	1003520	1568	0.0	1830.95703125	1006464	256	5.7769171689869836e-05	1568	32.0	1.0
		2994.72186302792	1035136	1033600	1614	0.0	1942.45703125	1035136	256	8.15321583578897e-05	1614	32.0	1.0
0.0	2044.5639567277958	2429.9712890475134	1060480	1057920	1652	0.0	971.5213462752525	1060480	512	0.0001680661720648028	1652	32.0	1.0
		2745.7591206015513	1089408	1085440	1696	0.0	109.1171875	1089408	512	7.835734337194563e-05	1696	32.0	1.0
		3066.612613905534	1118080	1116160	1744	0.0	221.6171875	1118080	512	7.589860306704092e-05	1744	32.0	1.0
		2687.7649497548173	1147264	1143040	1785	0.0	334.6171875	1147264	512	5.431372503109032e-05	1785	32.0	1.0
		2933.954138857276	1175936	1172480	1832	0.0	447.6171875	1175936	512	0.00010211430578644294	1832	32.0	1.0
		3071.6525051322733	1204352	1203200	1879	0.0	559.1171875	1204352	512	0.0001117792584641683	1879	32.0	1.0
		2552.6906681881255	1233792	1228800	1920	0.0	672.1171875	1233792	512	5.446633950646728e-05	1920	32.0	1.0
		3060.193790473954	1262336	1259520	1968	0.0	785.3667670964126	1262336	512	9.680249714468421e-05	1968	32.0	1.0
		2943.1153050001753	1291136	1288960	2014	0.0	897.3676041666666	1291136	512	9.381500718597596e-05	2014	32.0	1.0
		2680.5449312502083	1320704	1315840	2056	0.0	1011.3667816558442	1320704	512	9.570418272969186e-05	2056	32.0	1.0
		3067.464372504854	1349248	1346560	2104	0.0	1124.8676079035874	1349248	512	7.54993909405736e-05	2104	32.0	1.0
		2935.895374157504	1378048	1376000	2149	0.0	1236.8667708333332	1378048	512	9.923205127254025e-05	2149	32.0	1.0
		2683.912417380575	1406976	1402880	2192	0.0	1349.6171875	1406976	512	9.421919273949624e-05	2192	32.0	1.0
		3071.0552466905583	1435648	1433600	2240	0.0	1462.1171875	1435648	512	8.611222727950008e-05	2240	32.0	1.0
		2684.7182754044534	1464576	1460480	2281	0.0	1574.6171875	1464576	512	3.567318295919416e-05	2281	32.0	1.0
		2937.0130205347787	1493888	1489920	2328	0.0	1688.3675968886462	1493888	512	2.129947054701451e-05	2328	32.0	1.0
		3059.5621836469345	1522944	1520640	2376	0.0	1802.3667745044054	1522944	512	2.1343801497171928e-05	2376	32.0	1.0
		2740.5520006566276	1551744	1548160	2418	0.0	1915.3676041666668	1551744	512	1.887151179722596e-05	2418	32.0	1.0
0.0	2044.2640516935853	2365.4763313561552	1576960	1571840	2456	0.0	1497.6484771573605	1576960	768	2.78703435613256e-05	2456	32.0	1.0
		3067.2082184381156	1605888	1602560	2504	0.0	82.2109375	1605888	768	1.7912532759586004e-05	2504	32.0	1.0
		3059.562256297243	1634816	1633280	2552	0.0	195.2109375	1634816	768	2.9272176457576887e-05	2552	32.0	1.0
		2622.977400625824	1664256	1659520	2592	0.0	309.2109375	1664256	768	1.4220388720787014e-05	2592	32.0	1.0
		2999.502240830156	1692928	1689600	2640	0.0	422.7109375	1692928	768	2.007142647168318e-05	2640	32.0	1.0
		3006.9287248626797	1721344	1719680	2686	0.0	534.2109375	1721344	768	1.2021897265660062e-05	2686	32.0	1.0
		2617.5955312583733	1751040	1745920	2728	0.0	647.7109375	1751040	768	2.232277716714071e-05	2728	32.0	1.0
		3069.215953108026	1779584	1776640	2776	0.0	761.461427970852	1779584	768	1.6981264470435537e-05	2776	32.0	1.0
		2999.9831012272584	1808256	1806720	2822	0.0	873.2109375	1808256	768	1.9573860556746418e-05	2822	32.0	1.0
		2620.1093509055827	1837440	1832960	2864	0.0	986.2109375	1837440	768	3.3242987770097986e-05	2864	32.0	1.0
		3063.2669623607567	1866112	1863680	2912	0.0	1099.2109375	1866112	768	1.9381582973210243e-05	2912	32.0	1.0
		2866.5257086132206	1895040	1892480	2956	0.0	1211.7109375	1895040	768	1.9176579009829517e-05	2956	32.0	1.0
		2748.659120512873	1924224	1920000	3000	0.0	1325.2109375	1924224	768	1.4603889145415781e-05	3000	32.0	1.0
		3071.849421443689	1952512	1950720	3048	0.0	1437.4604425904977	1952512	768	3.16334989349798e-05	3048	32.0	1.0
		2677.168211872032	1981696	1977600	3089	0.0	1549.7109375	1981696	768	2.001932968441241e-05	3089	32.0	1.0
		2942.2680879396644	2010752	2007040	3136	0.0	1663.4614193281939	2010752	768	2.1439556194115754e-05	3136	32.0	1.0
		3066.5999144772677	2039552	2037760	3184	0.0	1776.460451388889	2039552	768	3.0149907416898714e-05	3184	32.0	1.0
		2555.655396063197	2068480	2063360	3224	0.0	1889.2109375	2068480	768	2.0495430248956836e-05	3224	32.0	1.0
0.0	2044.0001187469936	2742.378766587208	2094464	2090880	3266	0.0	1941.4777555418718	2094464	950	4.2063349523925265e-05	3266	32.0	1.0
0.0	2046.704552590267	2873.2194469618994	2122496	2119680	3312	0.0	73.11258561643835	2122496	1024	4.0234941796212375e-05	3312	32.0	1.0
		2942.8379649549584	2151296	2149120	3357	0.0	168.1248611111111	2151296	1024	2.8177752958274342e-05	3357	32.0	1.0
		2685.441460461581	2180352	2176000	3400	0.0	281.1251376651982	2180352	1024	2.950761794171169e-05	3400	32.0	1.0
		3068.1695282655214	2208768	2206720	3448	0.0	393.375	2208768	1024	3.237204671791005e-05	3448	32.0	1.0
		2680.21605115834	2237696	2233600	3489	0.0	505.375	2237696	1024	2.6044818019815978e-05	3489	32.0	1.0
		2941.17474149859	2266496	2263040	3536	0.0	618.1248611111112	2266496	1024	3.495106766228886e-05	3536	32.0	1.0
