local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2557.6097168138176	28416	25600	40	0.0	56.5	28416	0	0.03681570367189124	40	32.0	1.0
		2876.2464755276565	57088	54400	84	0.0	167.5	57088	0	0.015848663439762524	84	32.0	1.0
		2751.688112132905	86272	81920	128	0.0	280.5	86272	0	0.004987289110431448	128	32.0	1.0
		3069.076393430245	114688	112640	176	0.0	393.0	114688	0	0.001477837554072418	176	32.0	1.0
		2686.365240421378	143744	139520	218	0.0	505.2511013215859	143744	0	0.0006210290729151373	218	32.0	1.0
		2935.78739056326	172544	168960	264	0.0	618.2488888888889	172544	0	0.00027556588120996423	264	32.0	1.0
		3067.543680869038	201216	199680	312	0.0	730.5	201216	0	0.0001984054190415918	312	32.0	1.0
		2557.5138913064875	230528	225280	352	0.0	843.7510917030568	230528	0	0.00014026081898919074	352	32.0	1.0
		3058.4662831967175	258944	256000	400	0.0	956.5	258944	0	0.00012244171243006954	400	32.0	1.0
		2991.69913193899	287616	286080	446	0.0	1068.0	287616	0	0.00014716201398503313	446	32.0	1.0
		2619.7004175890347	316800	312320	488	0.0	1181.0	316800	0	9.277430217480287e-05	488	32.0	1.0
		3070.4015157819126	345472	343040	536	0.0	1294.0	345472	0	7.478773320220473e-05	536	32.0	1.0
		2930.8248219447687	374528	372480	581	0.0	1406.7488986784142	374528	0	0.00014996301912712323	581	32.0	1.0
		2686.0248837598583	403712	399360	624	0.0	1520.5	403712	0	8.615542656327814e-05	624	32.0	1.0
		3066.52744216678	432128	430080	672	0.0	1633.0	432128	0	6.157312259347236e-05	672	32.0	1.0
		2686.0484972987606	461184	456960	714	0.0	1745.2511013215858	461184	0	6.041319790840914e-05	714	32.0	1.0
		2941.016564064793	489856	486400	760	0.0	1858.0	489856	0	8.440618911782107e-05	760	32.0	1.0
		3071.1417681535595	518528	517120	808	0.0	1970.0	518528	0	6.216315193796618e-05	808	32.0	1.0
0.0	2045.5	2559.884831841524	544000	542720	848	0.0	448.7102701005025	544000	256	9.908221575187781e-05	848	32.0	1.0
		2558.228521604979	573440	568320	888	0.0	137.1328125	573440	256	2.4965106877061772e-05	888	32.0	1.0
		3064.5291259846435	601856	599040	936	0.0	250.1328125	601856	256	8.946510526660252e-05	936	32.0	1.0
		3004.2310877893356	630656	629120	982	0.0	361.8846527777778	630656	256	3.3436048931395383e-05	982	32.0	1.0
		2619.240933125673	660224	655360	1024	0.0	475.88102002164504	660224	256	3.08840795436741e-05	1024	32.0	1.0
		3062.83319719053	688768	686080	1072	0.0	589.3846692825113	688768	256	5.905524549613498e-05	1072	32.0	1.0
		2868.021169839003	717440	714880	1116	0.0	701.1328125	717440	256	6.263393941646262e-05	1116	32.0	1.0
		2750.7120989751893	746624	742400	1160	0.0	814.1328125	746624	256	7.939657970465223e-05	1160	32.0	1.0
		3062.2909633018767	775040	773120	1208	0.0	926.6328125	775040	256	3.296222146786931e-05	1208	32.0	1.0
		2558.642261009138	803968	798720	1248	0.0	1038.6328125	803968	256	6.35784795804284e-05	1248	32.0	1.0
		3059.8274529144537	832768	829440	1296	0.0	1151.3809722222222	832768	256	3.423067249741507e-05	1296	32.0	1.0
