local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3578.610119855606	39040	35840	56	0.0	77.25082508250826	39040	0	0.03877986511465029	56	32.0	1.0
		4089.638021906534	77824	76800	119	29.90769389438944	228.74917491749176	77824	0	1.6107203544132294	119	32.0	1.0
		3638.7114610977933	117888	113280	176	167.45706869009584	382.75079872204475	117888	0	0.9000844861331739	176	32.0	1.0
196.0	567.2	4029.1274614696426	156288	153600	240	250.5515625	532.96484375	156288	5	0.4761906485655345	240	32.0	1.0
258.2352941176471	702.5	3774.405847559225	195072	191360	298	292.7196782178218	640.3184044966997	195072	39	0.3416889547530947	298	32.0	1.0
303.52941176470586	836.0980392156863	3895.0787431112353	233728	230400	360	298.39869619205297	651.2773954884105	233728	90	0.403455424332811	360	32.0	1.0
406.6666666666667	981.6666666666666	3966.0477566246204	272256	270080	421	274.1346553156146	606.4946272840532	272256	144	0.395760534972441	421	32.0	1.0
550.4545454545455	1124.659090909091	3711.8317672684293	311296	307200	480	247.37756147540983	560.9410348360656	311296	190	0.6048576945470552	480	32.0	1.0
479.3333333333333	1135.8333333333333	4082.821250015388	349184	348160	543	242.44562922297297	550.3539115287163	349184	223	0.5470854926203924	543	32.0	1.0
556.7567567567568	1071.837837837838	3638.997560860871	389248	384640	600	230.31649361022363	526.6699780351438	389248	261	0.5573600185544867	600	32.0	1.0
429.2857142857143	957.7142857142857	4025.022073387044	428160	424960	664	241.10043174342104	564.2034847861842	428160	289	0.5295879134209827	664	32.0	1.0
384.3137254901961	908.0	3830.8028122808014	466432	463360	723	232.40123327759198	554.2686036789298	466432	346	0.3907794370237043	723	32.0	1.0
417.5	1011.6111111111111	3837.474531900786	505600	501760	784	210.53462009803923	526.9754646650326	505600	383	0.31464139982813694	784	32.0	1.0
466.05263157894734	1057.921052631579	3962.0146176286507	543616	541440	845	212.5094696969697	527.1216856060606	543616	423	0.5464934728673247	845	32.0	1.0
431.94444444444446	990.4305555555555	3702.512579869412	583296	578560	904	210.13961693548387	530.380745967742	583296	463	0.5058522444155257	904	32.0	1.0
382.22222222222223	992.9722222222222	4093.0822556885996	621440	619520	968	204.06826761744966	517.9398332634228	621440	501	0.5270149088464677	968	32.0	1.0
373.14285714285717	933.5714285714286	3696.4047525262285	660736	656640	1025	206.2479641693811	522.91164495114	660736	537	0.7093793755037743	1025	32.0	1.0
381.02564102564105	935.9700854700856	3963.0403225524165	699136	696320	1088	218.52552083333333	550.7961458333333	699136	581	0.7804076146511805	1088	32.0	1.0
376.02150537634407	1019.3064516129032	3895.907336076363	737920	735360	1148	206.4609117161716	534.8159292491749	737920	616	0.9542376508315404	1148	32.0	1.0
344.3243243243243	956.8783783783783	3770.932536090274	777344	773120	1208	210.99482548701297	549.8548092532468	777344	660	0.720099667708079	1208	32.0	1.0
