local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3582.55999043277	39168	35840	56	0.0	77.5	39168	0	0.030032495469120995	56	32.0	1.0
		4095.1990824205136	78336	76800	120	6.46343954248366	230.0	78336	0	1.068032508759643	120	32.0	1.0
		3828.686931463147	118272	115200	179	107.25861378205128	384.5	118272	0	6.939994285609258	179	32.0	1.0
140.0	581.0	3839.162109137844	158720	153600	240	173.58534414556962	538.5608188291139	158720	6	0.2978813947163156	240	32.0	1.0
207.82608695652175	705.7826086956521	4086.4432483142105	197632	194560	304	212.1032072368421	653.7742855674342	197632	32	0.41261910216417164	304	32.0	1.0
254.00000000000003	850.5636363636364	4092.5699646004296	236544	235520	367	230.08120888157896	668.9621196546053	236544	94	0.37072997149967013	367	32.0	1.0
360.4918032786885	1001.5901639344262	3775.474856369208	276992	273280	426	192.88024129746836	586.203026107595	276992	158	0.3842331131888648	426	32.0	1.0
429.6212121212122	1158.9545454545455	3897.5158548632503	316672	312320	488	161.03175403225808	505.0923639112903	316672	206	0.37978935337835745	488	32.0	1.0
473.125	1240.375	4087.904022135574	356096	353280	552	153.65868506493507	488.25136972402595	356096	238	0.5267131221480668	552	32.0	1.0
387.2	1119.04	4091.4191912360084	395392	394240	616	151.66887214983714	493.62685769543975	395392	263	0.5113500298466533	616	32.0	1.0
329.3333333333333	971.55	3765.2746823454254	435584	432000	674	172.65525477707007	547.6148487261147	435584	295	0.4956729173146445	674	32.0	1.0
285.74468085106383	900.5212765957447	3961.625683010356	476288	471680	736	172.67295597484278	550.8044172562893	476288	348	0.4854675536194155	736	32.0	1.0
285.45454545454544	938.5151515151515	4027.301534033659	515328	512000	800	171.40625	542.6413165983606	515328	383	0.7535646371543407	800	32.0	1.0
372.27272727272725	1060.8181818181818	4093.5882373110726	554496	552960	864	176.50377859477123	548.3653492647059	554496	429	0.6254210023907945	864	32.0	1.0
378.6046511627907	1073.1627906976744	3962.477024809185	594688	592640	925	150.8106090764331	501.324716361465	594688	472	0.5577566797127489	925	32.0	1.0
306.57142857142856	1002.0857142857143	3827.583976613946	635136	631040	985	153.38854825949366	512.262559335443	635136	509	0.7687776303539674	985	32.0	1.0
320.0	981.8088235294117	3960.0903071051184	674688	670720	1048	162.69670307443366	516.6017900485436	674688	545	0.7731100540785563	1048	32.0	1.0
300.5405405405405	947.3918918918919	4095.027672276778	714112	711680	1112	168.4161931818182	543.4161931818181	714112	584	0.7563433607574552	1112	32.0	1.0
347.1794871794872	1003.0641025641025	4083.6170416579175	753664	752640	1175	164.40837378640776	547.1925313511326	753664	624	0.7475010665163161	1175	32.0	1.0
354.87179487179486	1027.948717948718	3709.75591070732	793984	789760	1234	166.68055555555554	555.4528273809524	793984	663	0.6831108811548201	1234	32.0	1.0
323.1578947368421	1016.4736842105264	3966.2932179858344	833664	829440	1296	167.9289314516129	538.3480090725807	833664	706	0.6133027413199025	1296	32.0	1.0
344.19354838709677	1035.241935483871	4095.361720572296	872192	870400	1360	167.62977574750832	530.1015365448505	872192	738	0.6818757543805987	1360	32.0	1.0
330.93023255813955	1000.6976744186046	3894.373868683915	912000	909440	1420	177.74065514469453	540.5193930868168	912000	783	0.6125870900849502	1420	32.0	1.0
354.0	1005.0375	3770.732774197877	952064	947200	1480	167.48502396166134	515.3625698881789	952064	825	0.5368245790402094	1480	32.0	1.0
325.55555555555554	998.5833333333334	4091.049350242117	991360	988160	1544	166.65818403908796	525.0716357899023	991360	861	0.6904832348227501	1544	32.0	1.0
376.3333333333333	1055.6833333333334	4087.2747783225377	1030144	1029120	1607	176.54393564356437	548.5230249587459	1030144	892	0.7631911853003124	1607	32.0	1.0
