local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3450.696152697275	36608	34560	53	0.0	72.5	36608	0	0.3352038158578271	53	32.0	1.0
		3709.6315445153577	74368	71680	112	0.03072033898305085	217.25084745762712	74368	0	0.05017579773882941	112	32.0	1.0
		3580.3599750981775	112384	107520	168	71.45728114478115	365.24915824915826	112384	0	2.013898206109713	168	32.0	1.0
80.0	581.0	3827.847874552345	148992	145920	227	121.05878496503496	510.9841291520979	148992	1	0.286393382981167	227	32.0	1.0
118.18181818181819	669.1818181818181	3836.964955655723	185600	184320	288	170.48513986013987	641.0845443618881	185600	12	0.5502874244187699	288	32.0	1.0
159.015873015873	803.2539682539683	3578.7329715172823	223104	220160	344	179.38886518771332	628.1633692406143	223104	104	0.4215143687490906	344	32.0	1.0
274.5	938.3	3583.9136129221283	260736	256000	400	145.75095663265307	497.63228103741494	260736	170	0.32949469211910454	400	32.0	1.0
350.55555555555554	1085.0	3760.7039031086297	297344	293760	458	122.30605332167832	444.3938756555944	297344	209	0.6934592872858047	458	32.0	1.0
481.2	1233.8	3903.302779569041	334080	332800	520	125.6179224738676	445.4615635888502	334080	235	0.41096661972903437	520	32.0	1.0
360.8333333333333	1059.8958333333333	3575.350308153186	371840	368640	576	135.34322033898306	473.6671345338983	371840	261	0.4504189592386995	576	32.0	1.0
256.9230769230769	835.5192307692307	3577.6152640495325	409088	404480	632	153.01975945017182	517.2366570017182	409088	288	0.3605967476697905	632	32.0	1.0
232.57142857142858	843.9428571428572	3766.5492866771247	445824	442240	690	173.66452526132403	559.601480836237	445824	325	0.5553573125909115	690	32.0	1.0
294.8	925.33	3823.6760739053334	482176	480640	750	171.6043133802817	538.1901408450705	482176	379	0.5104876423875491	750	32.0	1.0
310.0	982.0119047619048	3645.5987206493523	519808	517120	808	158.3296130952381	502.40040391156464	519808	424	0.43563042157169046	808	32.0	1.0
343.3333333333333	1010.8939393939394	3579.12467074838	557440	552960	864	150.77912414965985	497.26153273809524	557440	460	0.5175402366689273	864	32.0	1.0
320.0	1011.7115384615385	3833.3402140603457	594432	591360	923	157.84710207612457	511.6073205017301	594432	487	0.715420252817162	923	32.0	1.0
327.1794871794872	983.4615384615385	3837.958727281375	630912	629760	984	167.44243421052633	532.9616228070175	630912	526	0.7172749689856514	984	32.0	1.0
309.1666666666667	967.7638888888889	3576.5647976168775	668544	665600	1040	167.48086734693877	533.0935108418367	668544	566	0.6045776097370046	1040	32.0	1.0
320.0	996.9722222222222	3583.8833656121715	706304	701440	1096	169.03283898305085	529.0356197033898	706304	602	0.6824674941599369	1096	32.0	1.0
328.0	995.7166666666667	3767.2302828410548	742912	739200	1154	174.98798076923077	550.7008850524476	742912	635	0.800185807306191	1154	32.0	1.0
382.05882352941177	1072.4558823529412	3895.466259437034	779264	778240	1215	163.26034330985917	541.4687775088029	779264	672	0.7855256893595711	1215	32.0	1.0
301.70212765957444	1003.7659574468086	3578.6236654988747	817152	814080	1272	157.68211570945945	519.9553420608108	817152	719	0.7152425623253772	1272	32.0	1.0
279.72972972972974	898.5540540540541	3574.9744829422657	854912	849920	1328	159.8199152542373	503.1195444915254	854912	760	0.891371796572847	1328	32.0	1.0
373.0	1017.9166666666666	3958.792651606634	891648	889600	1389	162.4929224738676	511.07243575783974	891648	792	1.0844859554142248	1389	32.0	1.0
309.42857142857144	998.9571428571429	3708.654053258196	928896	926720	1448	166.95178264604812	524.9458494415808	928896	828	0.8052691432126498	1448	32.0	1.0
375.29411764705884	1002.2058823529412	3578.088818302207	966016	962560	1504	174.04956896551724	532.6959590517241	966016	862	0.9495959734278066	1504	32.0	1.0
320.52083333333337	987.8020833333334	3580.255259555895	1003648	998400	1560	178.75425170068027	560.3670014880952	1003648	897	0.6656602828630379	1560	32.0	1.0
322.5	966.46875	3902.628224184295	1040128	1037440	1621	181.109100877193	566.6415021929824	1040128	931	0.7412387208371866	1621	32.0	1.0
