local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3579.936801637603	37760	35840	56	4.802154436860068	74.75085324232082	37760	0	0.09513255146365347	56	32.0	1.0
		3578.515984727137	76928	71680	112	50.145526960784316	224.5	76928	0	0.11903583140312028	112	32.0	1.0
149.0116279069767	410.48837209302326	4024.1176568428696	113536	112000	174	92.01677229020979	330.17080965909093	113536	134	0.13790342681891016	174	32.0	1.0
69.55645161290323	469.16129032258067	3643.904857081217	151936	148480	232	30.139322916666668	142.2846875	151936	237	0.028538009749950265	232	32.0	1.0
358.8235294117647	622.3529411764706	3823.7896380583575	189952	186880	291	35.316708754208754	230.74202967171718	189952	257	0.06496253396558055	291	32.0	1.0
61.318407960199	406.81405472636817	3829.0180693228895	226816	225280	352	41.51475694444444	266.3419596354167	226816	438	0.03894603666162393	352	32.0	1.0
110.36036036036035	441.9234234234234	3581.4268365450075	265344	261120	408	27.389171511627907	161.76165386212625	265344	482	0.03272573962541563	408	32.0	1.0
180.35714285714286	518.7678571428571	3956.1430893104566	302848	300800	469	43.77266424914676	253.15851642491467	302848	513	0.04211866156366028	469	32.0	1.0
122.98245614035086	462.85438596491235	3703.967547412454	340992	337920	528	67.31464974832215	314.4824874161074	340992	636	0.06741915119148917	528	32.0	1.0
112.76881720430107	500.385752688172	3582.9264813163113	378880	373760	584	41.15287162162162	199.01528188344594	378880	714	0.06807748510202925	584	32.0	1.0
182.29166666666666	622.7083333333334	4084.431884839636	416128	414720	648	44.59165592783505	277.23292525773195	416128	739	0.06148117117845686	648	32.0	1.0
158.33333333333334	618.3939393939394	3576.4363937988487	455040	450560	704	58.24295847039474	336.54564144736844	455040	775	0.05417603675076472	704	32.0	1.0
95.15765765765765	577.6216216216217	3896.953937155436	492160	489600	764	83.82408405172414	376.3600484913793	492160	863	0.05895673685396711	764	32.0	1.0
176.5625	628.91875	3771.806260467603	529920	527360	824	55.858050847457626	269.31236758474574	529920	956	0.05191373602040888	824	32.0	1.0
215.0	641.4333333333333	3775.322579437903	568832	565120	883	48.49146792763158	274.0691560444079	568832	987	0.06202319919494754	883	32.0	1.0
203.2258064516129	664.9032258064516	3897.950714875872	606976	604160	944	80.87903733221476	345.0720165687919	606976	1019	0.08851393706119451	944	32.0	1.0
168.1818181818182	655.939393939394	3698.637106627773	645376	641280	1001	126.64583333333333	418.47270833333334	645376	1053	0.031771854628204255	1001	32.0	1.0
217.21311475409837	687.4918032786885	3960.7704652481443	682368	680960	1064	141.3386678200692	416.1817419982699	682368	1124	0.05019009012048916	1064	32.0	1.0
267.33870967741933	758.4247311827957	3583.9543706981194	720384	716800	1120	107.29166666666667	363.50484006734007	720384	1192	0.04387208688837875	1120	32.0	1.0
242.26190476190476	765.1309523809524	3769.077136670781	758144	754560	1178	98.24682203389831	344.10542902542375	758144	1239	0.047244000762444116	1178	32.0	1.0
355.0	790.7857142857143	3893.5296336546144	796288	793600	1240	108.95160444630872	371.6545459312081	796288	1276	0.08562449681302232	1240	32.0	1.0
155.12820512820514	711.8846153846154	3645.4745141754534	834816	830080	1297	131.07869601328903	411.39402512458474	834816	1318	0.13710791412577555	1297	32.0	1.0
235.35714285714286	705.6785714285714	4024.4399935833353	871424	870400	1359	144.52715253496504	400.9418159965035	871424	1394	0.10409876070315799	1359	32.0	1.0
349.537037037037	742.0092592592592	3576.234404067534	909824	906240	1416	112.21354166666667	332.1195572916667	909824	1453	0.04596463229768632	1416	32.0	1.0
329.54545454545456	744.5681818181819	3699.7122707803537	947456	943360	1473	98.55707908163265	334.88961522108843	947456	1498	0.06541539571787182	1473	32.0	1.0
194.04761904761904	698.7857142857143	3964.406300260015	984832	983040	1536	106.84396404109589	354.23116438356163	984832	1540	0.04348276948763265	1536	32.0	1.0
