local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3583.8887485706655	37504	35840	56	1.679284793814433	74.2508591065292	37504	0	0.0671193927243751	56	32.0	1.0
		3582.4071657363456	76928	71680	112	32.05281047077922	224.0	76928	0	0.021940250851912424	112	32.0	1.0
0.0	402.25	4093.4856264544883	114432	112640	176	79.39953071672355	372.53732935153585	114432	4	0.022303475067019463	176	32.0	1.0
126.48418491484186	538.985401459854	3575.4048178723797	151680	148480	232	91.9713810137457	369.65659901202747	151680	204	0.013491438592609484	232	32.0	1.0
113.04347826086956	608.9130434782609	3774.09329421748	189824	186240	290	31.337825083892618	181.27537751677852	189824	231	0.011210195542562047	290	32.0	1.0
224.0	796.8	3895.055672476421	227840	225280	352	55.222800925925924	289.46951283670035	227840	257	0.01533987975656806	352	32.0	1.0
172.72727272727272	573.2727272727273	3706.8355521601193	266496	262400	409	97.93434395695364	383.9984995860927	266496	268	0.024990094556032044	409	32.0	1.0
153.7938596491228	581.425730994152	3710.853204745295	302720	299520	468	112.519324204947	377.860203180212	302720	426	0.01342602281720709	468	32.0	1.0
235.83333333333334	633.2916666666666	3834.7922285714285	340608	337920	528	65.8057960304054	236.56983741554055	340608	460	0.013420509457743417	528	32.0	1.0
296.6666666666667	732.0555555555555	3581.68889359912	379008	373760	584	66.94401041666667	302.39197916666666	379008	508	0.024591959501516873	584	32.0	1.0
165.625	562.6875	4093.7743545387616	416640	414720	648	75.03055909863946	358.17386798469386	416640	525	0.02374463470914634	648	32.0	1.0
150.0	586.5196969696971	3577.3264753802746	453888	450560	704	92.87075816151203	344.02048432130584	453888	664	0.020502322108118927	704	32.0	1.0
219.44444444444446	616.2361111111111	3832.6262472237117	492032	488960	763	68.56386325503355	258.5067376258389	492032	705	0.017638158321506895	763	32.0	1.0
206.25	657.4375	3838.296136003584	529792	527360	824	79.46106991525424	296.98048199152544	529792	758	0.019759494116621427	824	32.0	1.0
254.46428571428572	577.3571428571429	3573.3452340363433	568192	563200	880	89.86197916666667	347.24645833333335	568192	791	0.019532544081032808	880	32.0	1.0
176.8421052631579	579.3	3887.8908935851223	604800	602240	940	81.13527097902097	313.20681271853147	604800	911	0.01430185791881134	940	32.0	1.0
173.71794871794873	606.2051282051282	3768.393948400266	643456	640000	1000	63.95772971854305	273.4534095612583	643456	951	0.01626849363092333	1000	32.0	1.0
233.98692810457513	632.6830065359477	3897.1952692141317	681600	679040	1060	74.76798447986577	295.46245805369125	681600	1008	0.03828003973079224	1060	32.0	1.0
210.47008547008545	604.9273504273505	3771.4317191007394	720128	716800	1120	89.54915905315615	352.1206135797342	720128	1051	0.022255866369232536	1120	32.0	1.0
176.06382978723406	588.04609929078	3636.1429931327402	757888	753280	1176	73.48119703389831	299.7444650423729	757888	1161	0.04324551515414247	1176	32.0	1.0
162.03703703703704	547.1878306878307	4031.4790407085266	795520	793600	1240	50.930059523809526	247.61856930272108	795520	1235	0.034927686596347485	1240	32.0	1.0
163.0952380952381	549.1666666666666	3636.918088853128	834688	830080	1296	42.122395833333336	266.4398233251634	834688	1279	0.016312660483111228	1296	32.0	1.0
106.8565400843882	509.12025316455697	3886.1339740289673	871168	869120	1357	54.82593201754386	279.8933388157895	871168	1371	0.03380671722936581	1357	32.0	1.0
160.1851851851852	534.9351851851852	3710.9428914626315	909184	906240	1416	65.80255681818181	263.6098747895623	909184	1430	0.020419238439082343	1416	32.0	1.0
208.1818181818182	574.5545454545454	3580.4817529924435	947328	942080	1472	75.87431837248322	290.51905935402687	947328	1490	0.017586258181836456	1472	32.0	1.0
148.71794871794873	585.3461538461538	4028.4316291733103	983936	982400	1534	78.2383631993007	323.34437827797206	983936	1530	0.013151614464849474	1534	32.0	1.0
194.95614035087718	604.5438596491227	3642.6622451722496	1022080	1018880	1592	84.49428481543625	323.12096266778525	1022080	1617	0.018358805064304637	1592	32.0	1.0
197.0	627.83	3770.736185684014	1060224	1056640	1650	87.47902684563758	310.37853921979865	1060224	1672	0.0215744534908826	1650	32.0	1.0
174.375	619.8333333333334	3892.778121579687	1097088	1095680	1712	95.77501085069444	328.6604817708333	1097088	1718	0.018582780620143298	1712	32.0	1.0
259.13461538461536	650.9038461538462	3571.9345661751745	1136000	1131520	1768	100.15419407894737	351.01156455592104	1136000	1773	0.017768631265166084	1768	32.0	1.0
215.0	659.9333333333334	3902.4269539711286	1173248	1170560	1829	93.46407860824742	341.00953071305844	1173248	1848	0.01665065141364199	1829	32.0	1.0
199.6732026143791	635.4084967320262	3773.978449491865	1211008	1208320	1888	83.24549788135593	316.4584745762712	1211008	1904	0.021808198148037417	1888	32.0	1.0
226.1627906976744	678.8372093023256	3581.738476274796	1249280	1244160	1944	89.56286580267559	325.86533235785953	1249280	1952	0.018321306003989384	1944	32.0	1.0
218.3673469387755	639.234693877551	4095.4974249542656	1286528	1285120	2008	96.66156572164948	341.03406894329896	1286528	2004	0.01694555980793666	2008	32.0	1.0
176.3888888888889	645.5	3581.2481716317293	1325056	1320960	2064	107.55684177740864	348.4881384966777	1325056	2076	0.017052768721311753	2064	32.0	1.0
265.5660377358491	655.2641509433962	3891.8708438611748	1362560	1360000	2124	108.44043302047781	322.30711390784984	1362560	2135	0.019738956288589786	2124	32.0	1.0
239.53488372093022	660.6860465116279	3772.4608535259867	1400704	1397760	2184	97.40719379194631	336.472079488255	1400704	2179	0.015144008033288022	2184	32.0	1.0
237.27272727272728	672.5	3636.365254859046	1438848	1434240	2240	103.24166317114094	346.45991505872485	1438848	2240	0.0174214361052561	2240	32.0	1.0
217.78846153846155	656.9423076923077	4027.9303949749983	1475968	1474560	2304	91.66352370689656	342.7725754310345	1475968	2297	0.020200314931571484	2304	32.0	1.0
170.45454545454547	647.3363636363637	3580.03433667859	1514240	1510400	2360	96.44648829431438	331.509406354515	1514240	2356	0.01755260889850823	2360	32.0	1.0
285.7142857142857	682.1938775510204	3763.7691751764446	1551744	1548160	2418	92.5047994880546	343.27903690273035	1551744	2406	0.014100151361319525	2418	32.0	1.0
