local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2044.5716179261121	24960	20480	32	5.089256800518135	49.751295336787564	24960	0	0.03530083427904174	32	32.0	1.0
		2554.345889542653	49152	46080	72	27.26521164021164	145.24867724867724	49152	0	0.06968162176199258	72	32.0	1.0
65.21739130434783	270.95652173913044	2362.531816810509	72448	69760	108	57.411143543956044	234.30588942307693	72448	29	0.11756387332247363	108	32.0	1.0
63.06506849315068	315.4931506849315	2236.4754336794326	94848	92160	144	52.71875	205.61647321428572	94848	143	0.09590708712736766	144	32.0	1.0
75.0	375.0	2416.938046918401	118528	116480	181	54.358108108108105	246.07293074324323	118528	144	0.09724464161774597	181	32.0	1.0
55.357142857142854	268.5	2174.4429545474795	143232	138240	216	90.06942195595855	338.86419203367876	143232	154	0.3729827913322619	216	32.0	1.0
46.875	285.3125	2555.6216977040312	166656	163840	256	226.1336663251366	415.45683913934425	166656	163	2.125409188866615	256	32.0	1.0
		2558.9830091528993	190592	189440	296	354.24611463903744	506.47367981283423	190592	163	2.3705497606657446	296	32.0	1.0
326.64434523809524	575.9136904761905	2043.7701798859791	214528	209920	328	435.45141209893046	488.2719334893048	214528	251	2.8465562714263797	328	32.0	1.0
567.8703703703703	707.3703703703703	2556.6558634286066	237056	235520	368	405.88911576704544	466.47749467329544	237056	283	0.7105485011823476	368	32.0	1.0
763.3152173913044	820.5760869565219	2046.235554664003	261120	256000	400	201.64436502659575	334.9272357047872	261120	377	0.07039852798334323	400	32.0	1.0
298.0	624.9222222222222	2549.5715250666403	284032	281600	440	11.576248254189943	243.25353526536313	284032	409	0.028792639286257325	440	32.0	1.0
1.524390243902439	385.5243902439024	2046.6813183796908	306944	302080	472	3.858240223463687	221.47992318435755	306944	515	0.024244867789093405	472	32.0	1.0
0.0	293.6849315068493	2555.393192747202	328832	327680	511	3.699515716374269	174.73053728070175	328832	605	0.022051682301725332	511	32.0	1.0
0.0	300.22727272727275	2042.7078998441514	353152	348160	544	3.7109375	189.0701480263158	353152	640	0.013788592310227228	544	32.0	1.0
4.166666666666667	342.5441919191919	2556.3378878038743	374784	373760	583	3.4636187130177514	217.65939349112426	374784	731	0.009952363235732684	583	32.0	1.0
4.88013698630137	356.1655251141553	2042.5384804458504	398336	394240	616	0.7334833559782609	150.5081946331522	398336	826	0.012049610973476912	616	32.0	1.0
0.0	305.0238095238095	2550.023830881464	421504	419840	656	0.5632769337016574	142.1068283839779	421504	877	0.014192326605552807	656	32.0	1.0
0.9615384615384616	308.64102564102564	2044.3352317395386	445568	440320	688	3.035654920212766	192.9567819148936	445568	924	0.03476477645745035	688	32.0	1.0
13.786764705882353	319.3112745098039	2554.924146669063	467328	465920	728	14.735753676470589	191.61351102941177	467328	1006	0.12467592011089437	728	32.0	1.0
72.27272727272727	328.5272727272727	2047.1744052156396	491392	486400	760	51.554188829787236	187.67312167553192	491392	1068	0.6131050630938262	760	32.0	1.0
75.0	310.8	2557.5444718389285	514944	512000	800	190.1180366847826	241.50454313858697	514944	1073	2.1454412379302084	800	32.0	1.0
368.3333333333333	359.5238095238095	2422.662393509513	538368	536320	837	1298.872737363388	316.1444245218579	538368	1100	65.63956871165617	837	32.0	1.0
1158.7005649717514	435.55367231638417	2172.364582957212	561920	558080	872	1181.9121518342392	320.15090013586956	561920	1179	0.2052793494292668	872	32.0	1.0
2058.020833333333	469.2786458333333	2491.0435745603713	584576	583040	910	774.1867496468926	280.14053672316385	584576	1257	0.06120620003754371	910	32.0	1.0
1850.7592592592591	473.79629629629636	2105.229472428195	608384	604160	944	150.7062752016129	221.92061491935485	608384	1312	0.015762270647375023	944	32.0	1.0
33.98936170212766	302.67021276595744	2558.266738274061	630912	629760	984	27.536399147727273	248.59450461647728	630912	1363	0.013870288344332949	984	32.0	1.0
5.597014925373134	305.93532338308455	2046.1404107494984	654464	650240	1016	32.32082201086956	265.63153872282606	654464	1438	0.06498692052991828	1016	32.0	1.0
50.474137931034484	338.0	2549.8499738779387	676864	675840	1055	46.95491071428572	268.9904017857143	676864	1504	0.1577470742452603	1055	32.0	1.0
12.5	352.26666666666665	2045.7748324005854	701184	696320	1088	39.16940789473684	279.9258634868421	701184	1553	0.03230471680448814	1088	32.0	1.0
58.25892857142857	360.49107142857144	2545.445766361029	722944	721920	1127	28.782169117647058	289.8723345588235	722944	1625	0.018818440626208216	1127	32.0	1.0
0.0	358.5725806451613	2046.6995079854173	745984	742400	1160	27.109375	274.040625	745984	1699	0.018345065351406283	1160	32.0	1.0
13.175675675675675	435.1081081081081	2360.459626601453	768640	766080	1196	28.492452330508474	272.78001412429376	768640	1744	0.02913591081354146	1196	32.0	1.0
8.418367346938776	369.8673469387755	2226.624710027785	792576	788480	1232	36.110670120320854	286.2690090240642	792576	1800	0.3066061868901468	1232	32.0	1.0
13.636363636363637	306.72727272727275	2550.230176800046	815872	814080	1272	40.922261332417584	323.9125171703297	815872	1813	0.44643554287031295	1272	32.0	1.0
10.714285714285714	578.2857142857143	2163.1779365653692	839936	835840	1305	40.63850565159574	410.7045794547872	839936	1820	0.04081551470991337	1305	32.0	1.0
19.6875	507.525	2431.69388619139	862976	860160	1344	39.407552083333336	454.63645833333334	862976	1864	0.028169935402006675	1344	32.0	1.0
8.173076923076923	548.9262820512821	2227.028420041253	886144	882560	1378	37.575535220994475	433.21098066298345	886144	1924	0.031584093580022454	1378	32.0	1.0
115.56122448979592	558.8265306122449	2356.789764832665	908928	906240	1416	24.168275983146067	398.73595505617976	908928	1981	0.07356028204881832	1416	32.0	1.0
67.23856209150327	535.9150326797386	2170.704878355882	932096	928000	1449	18.97919544198895	361.6163242403315	932096	2043	0.14022777698030978	1449	32.0	1.0
32.971698113207545	489.29245283018867	2422.3597761669685	955392	952320	1488	22.04584478021978	329.7307692307692	955392	2098	0.13723246896496186	1488	32.0	1.0
24.184782608695652	494.5905797101449	2239.217345088029	978432	974720	1522	73.89105902777777	309.5768229166667	978432	2152	6.820139569832998	1522	32.0	1.0
0.0	1454.5	2358.0014268454443	1002240	998400	1560	119.00243615591398	347.63474462365593	1002240	2154	6.80183946262849	1560	32.0	1.0
66.66666666666667	1456.0	2555.963101966625	1025664	1024000	1600	118.62342042349727	424.7837260928962	1025664	2157	0.16901689108926804	1600	32.0	1.0
0.0	1455.6666666666667	2109.1172960464846	1049856	1045120	1633	118.15620866402116	493.6616650132275	1049856	2163	0.02945170514144455	1633	32.0	1.0
0.0	1471.0	2490.906898126999	1073152	1070080	1672	118.2421875	563.8287259615385	1073152	2165	0.011768376636796463	1672	32.0	1.0
25.0	1467.6666666666667	2419.301491215371	1096448	1094400	1709	118.0232657967033	640.236821771978	1096448	2168	0.014484449818720916	1709	32.0	1.0
0.0	1472.6666666666667	2174.938588667597	1120768	1116160	1744	117.94921875	717.9815378289474	1120768	2171	0.01067375452132962	1744	32.0	1.0
