local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2559.8890428953173	27264	25600	40	6.275918246445498	54.25118483412322	27264	0	0.025121216231491418	40	32.0	1.0
		2553.535348154455	53632	51200	80	24.29839199029126	158.5	53632	0	0.03180062688188627	80	32.0	1.0
41.82692307692308	290.3333333333333	2555.5243180904795	78592	76800	120	49.50300480769231	249.28149038461538	78592	58	0.11925070127472281	120	32.0	1.0
47.38175675675676	338.7567567567568	2233.5576065615605	102912	99200	154	125.59004934210526	192.94111842105264	102912	166	1.040225134943338	154	32.0	1.0
75.0	407.5	2549.16573687191	128384	124800	194	608.1673994974874	240.68706815326632	128384	168	411.4181688975077	194	32.0	1.0
2512.4137931034484	558.0689655172414	2423.011705606572	153728	149120	232	514.545257260101	309.45020517676767	153728	200	0.11550325402793915	232	32.0	1.0
1019.4270833333334	466.6145833333333	2491.2183834086345	178560	174080	272	230.75144974226805	322.6824661726804	178560	252	0.02876733192242682	272	32.0	1.0
295.55194805194805	457.987012987013	2556.6055201337163	202752	199680	312	85.5036789021164	285.4155919312169	202752	346	0.06852146192686633	312	32.0	1.0
185.609756097561	467.69918699186996	2556.142357466572	227200	225280	352	27.731920811518325	249.17310209424085	227200	396	0.10403823222732171	352	32.0	1.0
31.818181818181817	397.3787878787878	2495.617295016252	251904	250240	390	67.57873218911917	266.35945595854923	251904	446	4.094672243061819	390	32.0	1.0
259.4886363636364	391.67045454545456	2360.894245893779	277120	273920	427	112.49167195431473	278.9052189086294	277120	499	0.7412893743933858	427	32.0	1.0
786.25	328.25	2416.2876641726075	302336	298240	465	106.26209549492386	336.0013483502538	302336	503	0.2572766009129976	465	32.0	1.0
1502.5	388.6666666666667	2429.7604260904154	327808	322560	504	91.84104114321607	431.24473932160805	327808	507	0.04975237896761451	504	32.0	1.0
75.0	256.0	2553.818915343047	352512	348160	544	77.42349417098445	524.3295012953367	352512	508	0.04284648697357625	544	32.0	1.0
22.5	1452.3	2555.8857122508516	377344	373760	584	77.40697487113403	607.6439271907217	377344	519	0.013680674351053312	584	32.0	1.0
56.25	1485.5	2549.0174118859395	402304	399360	624	79.04927884615384	635.4195913461539	402304	523	0.057488640648080035	624	32.0	1.0
		2553.4374595207223	426880	424960	664	80.831298828125	729.3203125	426880	523	0.016469276027055457	664	32.0	1.0
0.0	1460.0	2552.68981856876	452224	450560	704	306.0892124368687	826.4170612373738	452224	524	213.48437858733814	704	32.0	1.0
457.5	1148.876811594203	2428.1369716648524	477056	474880	741	1626.7362677190722	821.3310244845361	477056	553	73.20380967291626	741	32.0	1.0
1660.378787878788	1174.9734848484848	2481.546659625058	502400	499840	780	1620.4115372474748	813.9364346590909	502400	573	4.082754035026599	780	32.0	1.0
		2425.7316096724044	527872	524160	818	1598.0160568467336	897.4235238693467	527872	573	0.3228428138321952	818	32.0	1.0
		2548.559232421044	553344	549760	858	1597.8042556532664	997.0686636306533	553344	573	0.04954381708521396	858	32.0	1.0
		2493.8573051522785	578944	574720	897	1597.91015625	1096.74609375	578944	573	0.021604242551033027	897	32.0	1.0
		2553.0116827179704	604416	600320	937	1598.0160568467336	1196.4235238693468	604416	573	0.02123125109646935	937	32.0	1.0
2910.0	1687.0	2484.131108522017	630016	625280	976	1590.8625	1292.160390625	630016	574	0.06570937251075147	976	32.0	1.0
		2614.5379784387783	655616	651520	1017	1586.54296875	1389.65625	655616	574	0.021888240368287192	1017	32.0	1.0
