local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2553.221730240291	28160	25600	40	-0.002186066513761468	56.0	28160	0	0.030460898648016155	40	32.0	1.0
		2623.116560351097	56576	51840	80	-0.13745777027027026	166.0	56576	0	0.05669180583790876	80	32.0	1.0
		3002.033372211274	83840	81920	128	-0.42645980046948356	274.7511737089202	83840	0	0.06735176662914455	128	32.0	1.0
		2559.4526317094223	112256	107520	168	-0.8019073761261262	383.5	112256	0	0.05480366370175034	168	32.0	1.0
		3001.415897481171	139136	137600	214	-1.0789434523809525	491.5	139136	0	0.04200373826872395	214	32.0	1.0
		2623.344961839072	167936	163840	256	-1.4120833333333334	600.2488888888889	167936	0	0.039747875061861816	256	32.0	1.0
		2996.7936329705803	195456	193920	302	-1.7426598837209302	710.2511627906977	195456	0	0.0351682815640031	302	32.0	1.0
		2615.819452343847	224256	220160	344	-2.0344444444444445	820.2488888888889	224256	0	0.029876643503528266	344	32.0	1.0
		2926.1719465793435	251648	249600	389	-2.2825642523364484	930.0	251648	0	0.022358364860216775	389	32.0	1.0
		2686.6070881429014	280448	276480	432	-2.576909722222222	1039.7511111111112	280448	0	0.0263796053436953	432	32.0	1.0
		2878.038903430461	307840	305280	476	-2.8158221378504673	1149.5	307840	0	0.020737366285175085	476	32.0	1.0
		2744.0748174884015	336256	332800	520	-3.10571509009009	1258.5	336256	0	0.04834892158396542	520	32.0	1.0
		2734.760197175631	363904	360320	562	-3.3614366319444446	1368.0	363904	0	0.03423335080567215	562	32.0	1.0
		2877.1241133581984	391552	389120	608	-3.638454861111111	1476.0	391552	0	0.04602336620345064	608	32.0	1.0
		2549.497972424325	419968	414720	648	-3.9197635135135136	1585.5	419968	0	0.05510311765829101	648	32.0	1.0
		3060.7195774450256	446464	445440	695	-4.1433801328502415	1692.7487922705313	446464	0	0.059566935484713694	695	32.0	1.0
		2554.004917142098	475264	471040	736	-4.451805555555556	1800.7511111111112	475264	0	0.07200292870402336	736	32.0	1.0
		2877.890934668783	502528	499840	781	-4.72425176056338	1910.24882629108	502528	0	0.0653458294355207	781	32.0	1.0
		2751.841554227985	530304	527360	824	-4.946788594470046	2017.7511520737328	530304	0	0.051880697568142134	824	32.0	1.0
		2618.5607308122803	558208	553600	864	-5.1739535550458715	2126.5	558208	0	0.06514738160185515	864	32.0	1.0
		3006.0125490665873	584832	583680	912	-5.435434194711538	2233.0	584832	0	0.10911258215007062	912	32.0	1.0
		2558.0445855736098	613632	609280	952	-5.682638888888889	2341.248888888889	613632	0	0.036106094089336696	952	32.0	1.0
		2943.528536207527	640768	638720	997	-5.863907724056604	2450.5	640768	0	0.0507200683777531	997	32.0	1.0
		2683.9348437130116	668672	665600	1040	-6.131307339449541	2558.0	668672	0	0.07728683766584064	1040	32.0	1.0
		2750.947251931649	696832	693120	1083	-6.398792613636363	2667.5	696832	0	0.07028284322383792	1083	32.0	1.0
		2874.0238478210517	723968	721920	1128	-6.622752063679245	2775.5	723968	0	0.05118112112912867	1128	32.0	1.0
		2605.1752155115228	752768	748160	1168	-6.785347222222223	2884.751111111111	752768	0	0.0559185046935454	1168	32.0	1.0
-5.894736842105263	3011.1052631578946	2942.1646123628025	779264	777600	1214	-6.867602657004831	2922.225581219807	779264	19	0.06803608037855315	1214	32.0	1.0
-6.771428571428571	3114.2285714285713	2614.6837602959295	806528	803840	1256	-6.374266431924883	2708.368838028169	806528	66	0.06308571196028165	1256	32.0	1.0
-7.079710144927536	3202.4057971014495	2557.719196953667	833536	829440	1296	-4.5182538507109005	1889.0243631516587	833536	153	0.04401297615841031	1296	32.0	1.0
-8.254237288135593	3301.2881355932204	2748.383850308344	860544	856960	1338	-2.081050059241706	887.0340269549763	860544	224	0.039065266316313116	1338	32.0	1.0
-7.5227272727272725	3394.0454545454545	2871.488782003701	886912	885760	1383	-0.7918310072815534	388.37795813106794	886912	248	0.058512376124660176	1383	32.0	1.0
-9.785714285714286	3495.4285714285716	2556.967524633935	915456	911360	1424	-0.578160033632287	322.9481502242152	915456	256	0.06913178863867027	1424	32.0	1.0
		2812.535748914232	942720	939520	1467	-0.7429210680751174	401.97957012910797	942720	256	0.06936370997234832	1467	32.0	1.0
		2809.9655105258203	970368	967680	1512	-1.0177951388888888	509.203125	970368	256	0.07883592380417717	1512	32.0	1.0
		2557.9291057909645	998400	993280	1552	-1.2348744292237444	617.9274043949772	998400	256	0.10942433346062899	1552	32.0	1.0
		3005.7472145691586	1025024	1023360	1599	-1.4791165865384615	724.703125	1025024	256	0.05225670674538359	1599	32.0	1.0
		2615.5226789696253	1053568	1049600	1640	-1.7379133968609866	832.4783842488789	1053568	256	0.050743168174493605	1640	32.0	1.0
		2806.8080686879434	1080832	1077760	1683	-1.9476232394366197	941.426679870892	1080832	256	0.07070587228897006	1683	32.0	1.0
		2803.7499579834885	1108864	1105920	1728	-2.14390696347032	1049.4788456050228	1108864	256	0.10078155464596218	1728	32.0	1.0
		2685.7618352549634	1136896	1132800	1769	-2.291345605022831	1158.9274043949772	1136896	256	0.06155321415422893	1769	32.0	1.0
		2940.6531286620393	1164160	1162240	1816	-2.429174002347418	1266.979570129108	1164160	256	0.0773716530505013	1816	32.0	1.0
		2559.651109566846	1192960	1187840	1856	-2.633263888888889	1376.4280902777778	1192960	256	0.05494052560534328	1856	32.0	1.0
		3068.5070279110046	1219584	1218560	1903	-2.8516000600961537	1484.703125	1219584	256	0.10366373719211588	1903	32.0	1.0
		2558.4934408425825	1248128	1244160	1944	-3.0355941704035874	1592.478384248879	1248128	256	0.07505612102587049	1944	32.0	1.0
		2937.953116448316	1275776	1273600	1989	-3.259295428240741	1702.203125	1275776	256	0.06652460872299142	1989	32.0	1.0
		2684.951961811503	1304064	1300480	2032	-3.486672794117647	1811.4276371606336	1304064	256	0.06589006234047025	2032	32.0	1.0
		2748.138732152862	1331584	1328000	2074	-3.702761627906977	1920.479324127907	1331584	256	0.07187463875327792	2074	32.0	1.0
		2872.344804011069	1359232	1356800	2120	-3.891529224537037	2028.203125	1359232	256	0.07686140785074752	2120	32.0	1.0
		2605.9426359192603	1387648	1383040	2160	-4.035965653153153	2137.703125	1387648	256	0.11560335392132401	2160	32.0	1.0
		2996.874143041719	1414784	1413120	2208	-4.167895047169812	2246.203125	1414784	256	0.08193580864463001	2208	32.0	1.0
		2555.582221875684	1443712	1438720	2248	-4.344026548672566	2355.703125	1443712	256	0.05983851528726518	2248	32.0	1.0
		3070.2593608536304	1470464	1469440	2295	-4.52504485645933	2464.4261737440193	1470464	256	0.07508257938984861	2295	32.0	1.0
		2548.028293996223	1499392	1495040	2336	-4.744054203539823	2573.203125	1499392	256	0.05896719490609518	2336	32.0	1.0
		2990.9544355037065	1526656	1525120	2382	-4.890661678403756	2682.979570129108	1526656	256	0.07655741541605929	2382	32.0	1.0
-4.6	2990.8	2623.609114328493	1555200	1551360	2424	-5.061659192825112	2772.5363649103138	1555200	261	0.05622972073476939	2424	32.0	1.0
-4.909090909090909	3080.2727272727275	2798.51462135954	1582592	1579520	2467	-5.120254088785047	2796.8925963785045	1582592	272	0.050147701184763464	2467	32.0	1.0
-4.986486486486487	3084.8513513513512	2814.535661763882	1610240	1607680	2512	-4.770399305555555	2573.955982349537	1610240	312	0.05727054973443349	2512	32.0	1.0
-6.051020408163265	3157.2448979591836	2556.4705709247596	1637504	1633280	2552	-3.914942781690141	2107.579628814554	1637504	366	0.05235840231180191	2552	32.0	1.0
-5.870689655172414	3207.655172413793	2868.227715463233	1664640	1662080	2596	-2.5307709316037736	1420.4571418042453	1664640	433	0.056902093516493384	2596	32.0	1.0
-5.593023255813954	3257.7441860465115	2742.9941616056826	1691776	1689600	2640	-1.4335200471698113	800.7331589033018	1691776	485	0.05266213044524193	2640	32.0	1.0
-6.473684210526316	3318.2105263157896	2556.8237090263647	1720064	1715200	2680	-0.9021846719457014	475.0645149886878	1720064	504	0.06183240003883839	2680	32.0	1.0
-7.166666666666667	3333.5	2999.988522662285	1746816	1745280	2726	-0.8021456339712919	424.2101525119617	1746816	510	0.046745161161474556	2726	32.0	1.0
-7.5	3524.5	2616.736991159919	1775616	1771520	2768	-0.9644097222222222	480.9293055555556	1775616	512	0.0488858733414894	2768	32.0	1.0
		2926.3681307839647	1803008	1800960	2813	-1.2097692757009346	571.14453125	1803008	512	0.047316518591509926	2813	32.0	1.0
		2678.630008786698	1831296	1827840	2856	-1.4651442307692308	679.9411057692307	1831296	512	0.053783543321282365	2856	32.0	1.0
		2750.8755283133282	1859072	1855360	2899	-1.6773833525345623	789.3470982142857	1859072	512	0.0523326737416345	2899	32.0	1.0
		2879.3446773459923	1886592	1884160	2944	-1.9029433139534884	897.4424055232558	1886592	512	0.043883843099077544	2944	32.0	1.0
		2622.4426545705783	1915136	1910400	2985	-2.142797085201794	1006.8483744394618	1915136	512	0.05978084878041977	2985	32.0	1.0
		3005.2412394656385	1942144	1940480	3032	-2.3538210900473935	1115.4433130924172	1942144	512	0.0663801650417612	3032	32.0	1.0
