local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2555.478215902533	27776	25600	40	-0.0035973837209302326	55.25116279069768	27776	0	0.01792715910705738	40	32.0	1.0
		2556.9557119039214	56192	51200	80	-0.12640765765765766	164.5	56192	0	0.03305602251784876	80	32.0	1.0
		3007.2875238388924	82816	81280	126	-0.4158278245192308	272.0	82816	0	0.05653362202903499	126	32.0	1.0
		2621.4994432991143	111232	107520	168	-0.7456714527027027	379.5	111232	0	0.0644675051083877	168	32.0	1.0
		2685.258916842351	138496	134400	209	-1.0950704225352113	488.2488262910798	138496	0	0.0682288247455911	209	32.0	1.0
		2930.8879870494384	165376	163840	256	-1.46640625	594.0	165376	0	0.04697821614273051	256	32.0	1.0
		2557.3652023675463	194048	189440	296	-1.8226841517857142	702.5	194048	0	0.05210009606089443	296	32.0	1.0
		2995.1507775708915	221056	219520	342	-2.1448089454976302	811.2511848341233	221056	0	0.07339747952115115	342	32.0	1.0
		2618.0160759646756	249856	245760	384	-2.4889930555555555	920.2488888888889	249856	0	0.052428906728025707	384	32.0	1.0
		2801.6329529622376	276992	273920	427	-2.7411925117924527	1029.5	276992	0	0.035012043471079925	427	32.0	1.0
		2815.609508502222	304640	302080	472	-2.948459201388889	1136.5	304640	0	0.02955245528784063	472	32.0	1.0
		2619.1438198699993	332928	328320	512	-3.2720588235294117	1245.7511312217196	332928	0	0.05813431417045649	512	32.0	1.0
		3001.24289871665	360192	358400	560	-3.544967723004695	1354.24882629108	360192	0	0.17957829815956453	560	32.0	1.0
		2552.1060210551836	388352	384000	600	-4.013529829545455	1462.5	388352	0	0.30122077610576525	600	32.0	1.0
		2939.687229300314	415488	413440	645	-4.447044516509434	1570.5	415488	0	0.08752232260174221	645	32.0	1.0
		2682.3426752629493	443648	440320	688	-4.707990056818182	1678.5	443648	0	0.06311395292192004	688	32.0	1.0
		2812.9826006844664	471552	468480	731	-5.013367259174312	1788.0	471552	0	0.07157635108329528	731	32.0	1.0
		2813.8401953875946	499456	496640	776	-5.32443377293578	1897.0	499456	0	0.0696473550879293	776	32.0	1.0
		2622.855382325218	527488	522880	816	-5.6258204908675795	2006.2511415525114	527488	0	0.06253134775906802	816	32.0	1.0
		3007.2432964861127	554368	552960	864	-5.933556547619047	2113.5	554368	0	0.18788474794322005	864	32.0	1.0
		2559.356119018367	582656	578560	904	-6.24685378959276	2221.2488687782807	582656	0	0.06132507550064474	904	32.0	1.0
		2751.465884322401	609792	606080	946	-6.500737028301887	2329.5	609792	0	0.04791453951925394	946	32.0	1.0
		2877.6808698472364	636672	634880	992	-6.780245535714286	2435.0	636672	0	0.05866338845099444	992	32.0	1.0
		2558.806891766017	664704	660480	1032	-7.036279965753424	2542.2511415525114	664704	0	0.0643343904754147	1032	32.0	1.0
		2874.125532302065	691840	689280	1076	-7.253979952830188	2650.0	691840	0	0.04909033279611983	1076	32.0	1.0
		2745.3136755653927	719360	716800	1120	-7.483066860465116	2756.748837209302	719360	0	0.05377745486541905	1120	32.0	1.0
-3.3333333333333335	2898.6666666666665	2617.8423373860874	747648	743040	1160	-7.64179157239819	2859.104602658371	747648	3	0.04063225956633687	1160	32.0	1.0
-4.0	2992.5	3001.0866957534863	774656	773120	1208	-7.818942535545023	2917.6685426540284	774656	9	0.05867896496783942	1208	32.0	1.0
-6.103448275862069	3091.4827586206898	2555.0341265925003	802688	798720	1248	-7.670126997716895	2837.187785388128	802688	38	0.05561357354745269	1248	32.0	1.0
-8.08955223880597	3194.716417910448	2671.5588743371836	829696	825600	1289	-6.459974822274882	2329.3251999407585	829696	118	0.06696845550180935	1289	32.0	1.0
-9.620218579234974	3290.0163934426228	2810.3625292358447	855808	853760	1333	-3.6606924019607843	1334.344975490196	855808	195	0.05671492853963917	1333	32.0	1.0
-9.513513513513514	3388.4054054054054	2680.534224330139	882816	880640	1376	-1.6379591232227488	667.1766143364929	882816	236	0.05013514089203158	1376	32.0	1.0
-9.382352941176471	3484.5882352941176	2559.20447092314	910720	906240	1416	-0.6463231077981652	335.884711869266	910720	255	0.05313056157901883	1416	32.0	1.0
-7.0	3602.0	2869.373006752279	937600	935040	1460	-0.6677083333333333	357.14613095238093	937600	256	0.0557153617370535	1460	32.0	1.0
		2749.1583602059277	965248	962560	1504	-0.9159794560185185	457.75	965248	256	0.06142627680674195	1504	32.0	1.0
		2622.5255771723914	993408	988800	1544	-1.225	566.75	993408	256	0.05259496704675257	1544	32.0	1.0
		3002.862713411723	1020288	1018880	1592	-1.509375	674.25	1020288	256	0.06377777829766273	1592	32.0	1.0
