local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2046.2744531361348	25728	20480	32	-0.000785175879396985	51.25125628140704	25728	0	0.006838953668193426	32	32.0	1.0
		2559.6233464409297	47872	46080	72	-0.2061958092485549	144.2485549132948	47872	0	0.05406992383650504	72	32.0	1.0
		2038.3687496470202	68736	66560	104	-0.3983416411042945	228.25153374233128	68736	0	0.03377153223846108	104	32.0	1.0
		2041.32679552456	89856	87040	136	-0.6764678030303031	310.24848484848485	89856	0	0.05023043634719215	136	32.0	1.0
		2044.0188381446706	111616	107520	168	-0.9599724264705882	394.0	111616	0	0.06420136772794649	168	32.0	1.0
		2046.5427368788808	132480	128000	200	-1.2331288343558282	477.2515337423313	132480	0	0.0624858780647628	200	32.0	1.0
		2038.2464293814962	153216	148480	232	-1.5520351080246915	558.5	153216	0	0.0817813029862009	232	32.0	1.0
		2173.9747321919044	174464	170240	266	-1.8376788403614457	640.5	174464	0	0.11229175857870895	266	32.0	1.0
		2236.292310541271	195328	192640	300	-2.1814129601226995	722.7484662576687	195328	0	0.09057390865157633	300	32.0	1.0
		2229.73391994281	216832	215040	336	-2.4904668898809526	805.5	216832	0	0.1397279595128364	336	32.0	1.0
		2042.84168719651	238336	235520	368	-2.647646949404762	889.5	238336	0	0.045606679923366755	368	32.0	1.0
		2045.1436864850377	259584	256000	400	-2.862245858433735	973.0	259584	0	0.09381989273242652	400	32.0	1.0
		2046.524013723966	280832	276480	432	-3.0024943524096384	1056.0	280832	0	0.03744178845954593	432	32.0	1.0
		2043.6538229619412	301952	296960	464	-3.1392992424242423	1138.7515151515152	301952	0	0.03517339570680633	464	32.0	1.0
		2098.153938046504	322688	318080	496	-3.3330439814814814	1220.5	322688	0	0.06127623206702992	496	32.0	1.0
		2491.2905903568835	344832	343040	536	-3.5225343208092488	1304.2485549132948	344832	0	0.07606087271124125	536	32.0	1.0
		2030.5009548745738	366464	363520	568	-3.6963757396449703	1389.7514792899408	366464	0	0.06888599865487777	568	32.0	1.0
		2046.684536892282	388224	384000	600	-3.8666819852941177	1474.5	388224	0	0.10199286055285484	600	32.0	1.0
		2046.7528595249444	408960	404480	632	-4.055507330246914	1557.5	408960	0	0.07486814021831378	632	32.0	1.0
		2043.7297233225693	430080	424960	664	-4.254545454545455	1639.2484848484848	430080	0	0.0726968904491514	664	32.0	1.0
		2550.477205935518	452352	450560	704	-4.417025862068965	1724.0	452352	0	0.06191736049950123	704	32.0	1.0
		2043.1252052357493	474752	471040	736	-4.660758928571428	1811.2514285714285	474752	0	0.08296275179600343	736	32.0	1.0
		2043.7035635609495	494848	491520	768	-4.874950238853503	1894.248407643312	494848	0	0.0655313927854877	768	32.0	1.0
		2038.0046373381094	516096	512000	800	-5.008189006024097	1975.0	516096	0	0.08239930533454753	800	32.0	1.0
		2037.6466003600185	537344	532480	832	-5.152249623493976	2058.0	537344	0	0.08382483752211556	832	32.0	1.0
		2098.196925912251	558208	553600	864	-5.292273773006135	2140.2515337423315	558208	0	0.06729834678117186	864	32.0	1.0
		2101.9152464778253	578816	574720	897	-5.450262034161491	2221.248447204969	578816	0	0.06994655389677394	897	32.0	1.0
		2366.9751187531547	599936	598400	934	-5.6171875	2302.7515151515154	599936	0	0.09779803344124072	934	32.0	1.0
		2106.3288419296678	621824	619520	968	-5.791118421052632	2386.748538011696	621824	0	0.1182954705265515	968	32.0	1.0
		2037.0945147907469	643456	640000	1000	-5.956407174556213	2471.751479289941	643456	0	0.09681372361956164	1000	32.0	1.0
		2040.8929133671188	663936	660480	1032	-6.02861328125	2554.0	663936	0	0.07682664936874062	1032	32.0	1.0
		2042.442417367655	685440	680960	1064	-6.0964471726190474	2636.0	685440	0	0.07167334045516327	1064	32.0	1.0
		2557.476428105116	710016	706560	1104	-6.187459309895833	2726.0	710016	0	0.07130676065571606	1104	32.0	1.0
		2038.354287134263	731520	727040	1136	-6.268182663690476	2816.0	731520	0	0.038108245527837425	1136	32.0	1.0
-4.25	2898.0	2040.8742934458403	752384	747520	1168	-6.299031825153374	2876.136790644172	752384	4	0.04307998582953587	1168	32.0	1.0
-5.0	2990.5714285714284	2110.856677007955	773376	768640	1200	-6.234327362804878	2874.724657012195	773376	18	0.036351822956930846	1200	32.0	1.0
-5.3625	3062.825	2109.516493441352	793856	789760	1233	-5.701025390625	2595.7396484375	793856	63	0.07088085788894784	1233	32.0	1.0
-6.674418604651163	3149.9767441860463	2424.676954209129	815872	814080	1272	-4.797147529069767	2143.580941133721	815872	112	0.04621366005486403	1272	32.0	1.0
-6.846774193548387	3230.967741935484	2046.3166679383785	837632	834560	1304	-3.149034926470588	1425.0954503676471	837632	185	0.04540969495428726	1304	32.0	1.0
-7.823529411764706	3314.705882352941	2037.7855265880728	858368	855040	1336	-1.8510320216049383	810.0342881944445	858368	222	0.05994548584567383	1336	32.0	1.0
-8.68	3380.36	2233.5605801098673	881152	877440	1370	-0.8239554073033708	419.8054336376405	881152	247	0.06189481552471133	1370	32.0	1.0
-7.071428571428571	3465.8571428571427	2301.8873454722416	902144	900480	1406	-0.5398246951219512	324.5622618140244	902144	255	0.04846486071538594	1406	32.0	1.0
-13.0	3532.0	2103.8042349676844	923264	921600	1440	-0.6359375	364.72111742424244	923264	256	0.06801159762065201	1440	32.0	1.0
		2036.9143363106339	945152	942080	1472	-0.8931377923976608	447.42845394736844	945152	256	0.058608406281564385	1472	32.0	1.0
		2040.3314103003981	966784	962560	1504	-1.155787721893491	532.3837832840237	966784	256	0.05439454555744305	1504	32.0	1.0
		2042.8554847103944	988288	983040	1536	-1.3899739583333333	616.65625	988288	256	0.04793354612775147	1536	32.0	1.0
		2111.757220904369	1008768	1004160	1568	-1.586474609375	698.65625	1008768	256	0.0584855149500072	1568	32.0	1.0
		2165.839931312436	1029504	1025920	1602	-1.7731963734567902	779.15625	1029504	256	0.0796916970764013	1602	32.0	1.0
		2365.1746275534883	1051264	1049600	1640	-1.9373161764705882	862.15625	1051264	256	0.05787566328715337	1640	32.0	1.0
		2032.8866270374608	1071104	1070080	1671	-2.109274193548387	943.4307459677419	1071104	256	0.08347026511065421	1671	32.0	1.0
		2041.9530148025606	1092224	1090560	1704	-2.2153882575757575	1023.3832386363637	1092224	256	0.05560035698793151	1704	32.0	1.0
		2039.6448217618224	1114240	1111040	1736	-2.4021166424418605	1107.65625	1114240	256	0.04640861734515056	1736	32.0	1.0
		2040.2973897414538	1135360	1131520	1768	-2.5760890151515152	1191.9292613636364	1135360	256	0.06426388386171311	1768	32.0	1.0
		2043.97258400363	1156224	1152000	1800	-2.744200536809816	1273.8829562883436	1156224	256	0.05516985879512504	1800	32.0	1.0
		2044.085134533475	1177472	1172480	1832	-2.8581984186746987	1356.15625	1177472	256	0.040825279138516635	1832	32.0	1.0
		2102.8207547192205	1198208	1193600	1864	-2.9850501543209877	1438.15625	1198208	256	0.06729173060739413	1864	32.0	1.0
