local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		2622.1153271015614	30976	26240	40	0.0	61.5	30976	0	0.4570339081052225	40	32.0	1.0
		3005.483072449689	59392	56320	88	2.0129504504504503	177.0	59392	0	0.046077599457930773	88	32.0	1.0
0.0	324.5	2998.7692646451046	87936	86400	134	17.11042600896861	287.81933155829597	87936	2	0.029994481754408258	134	32.0	1.0
38.23529411764706	417.88235294117646	2622.8260671196454	117504	112640	176	32.981601731601735	379.09513663419915	117504	39	0.01532384356860781	176	32.0	1.0
37.71043771043771	518.1212121212121	3066.8795451929386	148224	143360	224	34.290364583333336	330.3432291666667	148224	167	0.012557024998386623	224	32.0	1.0
79.36507936507937	629.3492063492064	3063.1565615845007	178688	174080	272	21.61239495798319	210.04792542016807	178688	242	0.03528362719225697	272	32.0	1.0
40.74074074074074	513.7037037037037	3068.7867872873	208000	204800	320	21.820414847161572	213.27353984716157	208000	271	0.02638129060990953	320	32.0	1.0
36.0	384.46	3056.253420343645	236544	235520	367	30.142937219730943	270.7158772421525	236544	326	0.017280341968178115	367	32.0	1.0
52.11267605633803	441.90845070422534	2861.6155549932682	266880	264320	412	27.076740506329113	267.5534678270042	266880	408	0.008604982301282387	412	32.0	1.0
64.0625	503.0703125	2931.1272460910864	297344	293760	458	24.422268907563026	240.28489364495798	297344	483	0.0249330821528059	458	32.0	1.0
54.16666666666667	488.0654761904762	2877.6206121337555	327168	322560	504	24.959763948497855	215.34911480686696	327168	551	0.03524206875337531	504	32.0	1.0
63.63636363636363	396.3090909090909	3067.654763289885	356352	353280	552	31.263706140350877	233.31034128289474	356352	611	0.03858057566200538	552	32.0	1.0
60.0	417.67666666666673	3070.04860363548	385408	384000	600	32.02092511013216	218.0902739537445	385408	700	0.0203137705369348	600	32.0	1.0
52.63157894736842	406.906432748538	2682.028156005918	415104	410880	641	24.97979525862069	203.30128636853448	415104	763	0.00853162842643697	641	32.0	1.0
65.11627906976744	445.9651162790698	2935.678577381528	443648	440320	688	26.765695067264573	238.2318876121076	443648	807	0.008830068543791137	688	32.0	1.0
54.54545454545455	440.6636363636364	2933.296830175462	471808	469760	733	28.64346590909091	261.9780184659091	471808	868	0.010126403119001124	733	32.0	1.0
57.57575757575758	446.70959595959596	3054.892748027706	502528	500480	781	28.287760416666668	247.4072265625	502528	945	0.007461903051686629	781	32.0	1.0
45.90163934426229	477.71311475409834	2931.124323820061	532992	529920	827	24.212184873949578	231.65490414915968	532992	1014	0.01611720130313188	827	32.0	1.0
67.27272727272727	440.1	2879.9237157047237	563328	558720	872	19.53454641350211	227.02927215189874	563328	1080	0.010641264005486543	872	32.0	1.0
39.21568627450981	440.7843137254902	3004.0452469253664	593536	588800	920	22.239141949152543	243.93955243644066	593536	1140	0.0074801292406239854	920	32.0	1.0
45.76271186440678	448.6384180790961	3065.100515961326	622720	619520	968	22.724780701754387	246.99756716008773	622720	1207	0.005136538879014552	968	32.0	1.0
67.85714285714286	462.86607142857144	3069.440196308454	651776	650240	1016	19.238711453744493	241.0412651431718	651776	1272	0.008614219624481242	1016	32.0	1.0
26.785714285714285	458.7142857142857	3000.867981817734	681856	680320	1062	18.331117021276597	236.77001329787234	681856	1341	0.008610338868532815	1062	32.0	1.0
52.59259259259259	456.6629629629629	2931.077846578494	712320	709760	1108	25.558035714285715	244.99425551470588	712320	1394	0.010258654296985302	1108	32.0	1.0
42.622950819672134	453.6639344262295	2798.1041718810097	742528	737920	1152	31.83924788135593	254.00615730932202	742528	1466	0.010828222653468732	1152	32.0	1.0
67.77777777777777	446.3194444444444	3000.963201264278	770944	768000	1200	25.837556306306308	232.16156390765767	770944	1539	0.012182900553549795	1200	32.0	1.0
69.93464052287581	454.1013071895424	2994.6755876975985	799616	798080	1246	27.783203125	230.15973772321428	799616	1604	0.026867830571617284	1246	32.0	1.0
68.25396825396825	435.5132275132275	2739.1734470915185	829696	825600	1289	32.24734042553192	225.11376329787234	829696	1683	0.04060108348900496	1289	32.0	1.0
56.395348837209305	409.24418604651163	3001.6284783676615	860416	855680	1336	32.109375	200.06393229166667	860416	1778	0.03542151439816077	1336	32.0	1.0
67.6923076923077	375.83589743589744	3243.2614110189943	891392	888320	1387	32.37345041322314	180.90747675619835	891392	1854	0.04112053488143811	1387	32.0	1.0
69.62025316455696	346.23417721518985	2812.8285879153605	921472	916480	1432	35.75797872340426	183.4061170212766	921472	1947	0.02823782917112112	1432	32.0	1.0
70.58823529411765	363.9019607843137	3065.5786118483265	950016	947200	1480	36.988508968609864	198.4347673766816	950016	2003	0.035680946826081104	1480	32.0	1.0
67.52136752136752	374.6688034188034	2942.3954093409097	978816	976640	1526	35.5625	197.44972222222222	978816	2097	0.046734941814540194	1526	32.0	1.0
83.77192982456141	351.0350877192982	2750.2480078572767	1008768	1004160	1568	42.254273504273506	177.37787126068375	1008768	2191	0.051577989965499865	1568	32.0	1.0
89.70588235294117	360.97058823529414	3001.6171237734206	1037440	1034240	1616	36.900111607142854	179.27650669642858	1037440	2269	0.04208000499056652	1616	32.0	1.0
66.66666666666667	334.10493827160496	3065.3133654342405	1066240	1064960	1664	35.09027777777778	191.6457986111111	1066240	2333	0.012654610275300607	1664	32.0	1.0
79.66101694915254	381.41525423728814	2674.926844026961	1095936	1091840	1705	34.213362068965516	215.62109375	1095936	2398	0.010883595780242325	1705	32.0	1.0
71.1864406779661	412.8305084745763	2933.1547575173363	1124736	1121280	1752	27.270833333333332	226.60746527777778	1124736	2464	0.017783255053763377	1752	32.0	1.0
57.57575757575758	402.2348484848485	3064.434012208741	1153536	1152000	1800	34.763888888888886	220.23427083333334	1153536	2546	0.020392023419844918	1800	32.0	1.0
70.43010752688171	435.40591397849465	2990.595553331813	1183616	1182080	1846	32.307180851063826	210.3690824468085	1183616	2617	0.014963504534376703	1846	32.0	1.0
88.23529411764706	420.1372549019608	3128.37355718084	1215104	1213440	1896	31.453252032520325	232.61934705284554	1215104	2674	0.015034288195893168	1896	32.0	1.0
58.62068965517241	419.5804597701149	2938.191153363723	1244928	1242880	1941	29.452789699570815	243.832651555794	1244928	2743	0.009738854937151903	1941	32.0	1.0
52.30769230769231	440.25384615384615	2801.3841662438517	1275136	1271040	1985	26.516154661016948	230.79992055084745	1275136	2823	0.008042075086533177	1985	32.0	1.0
41.97530864197532	450.99074074074076	2939.789130892616	1304448	1300480	2032	25.614082969432314	218.3413277838428	1304448	2886	0.012656805155045808	2032	32.0	1.0
73.5632183908046	432.7557471264368	3063.415680998925	1333120	1331200	2080	28.536551339285715	231.46892438616072	1333120	2949	0.011245344406537091	2080	32.0	1.0
42.3728813559322	419.6271186440678	3062.0719113042314	1363328	1361920	2128	27.019332627118644	234.37132547669492	1363328	3018	0.007204984889540356	2128	32.0	1.0
50.0	447.9396551724138	2928.1451802419656	1393408	1391360	2173	27.460106382978722	231.15668218085105	1393408	3082	0.008349282030637065	2173	32.0	1.0
70.14925373134328	450.20398009950253	2751.8940394193255	1423616	1418880	2216	30.00529661016949	234.23219014830508	1423616	3157	0.010238273794827767	2216	32.0	1.0
73.33333333333333	444.23333333333335	3000.3818429768166	1452928	1448960	2264	29.701146288209607	228.96557723799125	1452928	3222	0.011136631117551588	2264	32.0	1.0
32.72727272727273	437.6272727272727	3063.1029661879115	1481344	1479680	2312	27.75197072072072	229.8293918918919	1481344	3283	0.01346052654844243	2312	32.0	1.0
69.04761904761905	440.30059523809524	2861.6588739127938	1511040	1508480	2356	30.724676724137932	240.2274380387931	1511040	3348	0.010999793364052575	2356	32.0	1.0
73.38308457711443	441.6455223880597	3052.3952762822532	1541760	1539200	2404	30.455729166666668	225.1267578125	1541760	3428	0.022565744613530114	2404	32.0	1.0
59.583333333333336	433.88541666666663	3122.3486429098734	1572608	1570560	2453	28.475103734439834	212.96495720954357	1572608	3520	0.039139501417854	2453	32.0	1.0
58.208955223880594	368.69029850746267	2807.0121888414137	1602816	1598720	2497	22.59666313559322	180.83030985169492	1602816	3598	0.06573960239289921	2497	32.0	1.0
47.34299516908213	348.69565217391306	2941.1261936475216	1631616	1628160	2544	24.26388888888889	178.6065625	1631616	3680	0.03133235713021156	2544	32.0	1.0
67.1171171171171	360.9144144144144	3064.4194359066028	1660800	1658880	2592	34.84100877192982	198.98766447368422	1660800	3767	0.03928585887964194	2592	32.0	1.0
58.7719298245614	358.11842105263156	2924.3929966031606	1690368	1688320	2637	34.03679653679654	182.1522930194805	1690368	3855	0.01587518450493614	2637	32.0	1.0
85.80246913580247	389.7438271604938	2684.28425731707	1720448	1715200	2680	29.820478723404257	196.14657579787234	1720448	3916	0.015795683916008402	2680	32.0	1.0
47.2636815920398	368.0796019900498	3065.259475774072	1748480	1745920	2728	32.070490867579906	207.3921946347032	1748480	3999	0.03230260639490249	2728	32.0	1.0
73.01587301587301	373.1190476190476	2869.947836476301	1777280	1774720	2772	33.5625	196.69576388888888	1777280	4071	0.01795479479055344	2772	32.0	1.0
69.0909090909091	401.63939393939387	2746.52679279037	1807232	1802240	2816	33.44684829059829	198.5216346153846	1807232	4139	0.019954749287783423	2816	32.0	1.0
75.43859649122807	384.96491228070175	3061.248599797749	1835776	1832960	2864	38.305773542600896	216.84119254484304	1835776	4201	0.01685131501290016	2864	32.0	1.0
78.87323943661971	406.71830985915494	3067.886448241171	1865984	1863680	2912	39.41340042372882	226.02115333686442	1865984	4283	0.02146609975413109	2912	32.0	1.0
90.41095890410959	413.56621004566216	3071.984472734732	1897344	1894400	2960	23.067602040816325	206.8328443877551	1897344	4368	0.018310497616766952	2960	32.0	1.0
37.03703703703704	396.47883597883595	2878.0678407130526	1925888	1923200	3005	24.28531390134529	196.0474005044843	1925888	4441	0.026655374560505152	3005	32.0	1.0
63.849765258215974	379.3779342723005	2943.294334225059	1956224	1952640	3050	35.476002109704645	199.14698707805908	1956224	4524	0.03058356612196399	3050	32.0	1.0
69.31216931216932	367.5449735449735	2929.372567121026	1986688	1982080	3096	37.71008403361345	198.32467830882354	1986688	4595	0.016295283141991367	3096	32.0	1.0
85.64102564102565	403.6384615384615	3006.2997790084396	2015872	2012160	3144	36.73245614035088	210.14281798245614	2015872	4675	0.02319366724501985	3144	32.0	1.0
67.63285024154588	368.22946859903385	3062.040256879686	2045312	2042880	3192	28.91983695652174	198.77224864130434	2045312	4755	0.02028574274542431	3192	32.0	1.0
83.06451612903226	407.56451612903226	2997.869807109085	2074496	2072960	3238	37.09566885964912	200.62643914473685	2074496	4831	0.03720288385596612	3238	32.0	1.0
61.471861471861466	359.4307359307359	2750.6249839296806	2104576	2100480	3281	41.38297872340426	185.70282579787235	2104576	4924	0.0378052199605939	3281	32.0	1.0
88.33333333333333	362.90833333333336	2938.26533368871	2133504	2129920	3328	44.94607300884956	189.75712112831857	2133504	4990	0.028631000858830646	3328	32.0	1.0
88.23529411764706	360.75	3067.0419018480084	2162176	2160640	3376	43.61049107142857	193.40290178571428	2162176	5071	0.04706059619396304	3376	32.0	1.0
87.5	370.5486111111111	2749.4267781215867	2191744	2188160	3418	52.22537878787879	195.78699945887445	2191744	5151	0.05407967888528392	3418	32.0	1.0
135.22012578616352	384.9433962264151	3117.901277920359	2222592	2219520	3467	78.81872406639005	204.48359699170123	2222592	5212	0.10004264948775574	3467	32.0	1.0
190.2439024390244	403.3536585365854	2812.5772061744983	2251904	2247680	3512	145.80376637554585	244.10217658296943	2251904	5256	0.1089451726526022	3512	32.0	1.0
275.4901960784314	446.43627450980387	3071.937818641471	2280448	2278400	3560	133.42909192825113	243.52511911434976	2280448	5335	0.04976150442962535	3560	32.0	1.0
251.46198830409355	446.6081871345029	2876.6796442285445	2309760	2307200	3604	129.18258733624455	233.2498635371179	2309760	5401	0.10204125805334611	3604	32.0	1.0
343.1372549019608	500.20588235294116	2934.499110800044	2340224	2336640	3650	137.5984768907563	245.3157169117647	2340224	5457	0.09230596130794805	3650	32.0	1.0
313.1782945736434	493.08914728682174	2988.9365420064505	2370816	2366720	3697	140.38964435146443	256.10287003138075	2370816	5506	0.07438363665913014	3697	32.0	1.0
270.0	475.91666666666674	2943.7860049360024	2400512	2396160	3744	161.7120150862069	281.55886314655174	2400512	5564	0.11107836889618254	3744	32.0	1.0
346.7592592592593	515.3032407407408	3318.4166894730924	2432512	2429440	3795	155.88125	259.0840625	2432512	5649	0.07525299653849181	3795	32.0	1.0
315.2542372881356	482.864406779661	3321.318488833135	2466560	2462720	3848	149.24812030075188	244.29170582706766	2466560	5714	0.0883131208566	3848	32.0	1.0
402.3809523809524	521.2142857142857	3069.095838910329	2496000	2493440	3896	169.49728260869566	257.0778192934783	2496000	5759	0.10299197231264164	3896	32.0	1.0
326.0	486.09	2879.9744570136545	2524800	2522240	3940	191.43055555555554	274.1121875	2524800	5810	0.10456797743046825	3940	32.0	1.0
414.75409836065575	503.8032786885246	2748.2499656192704	2554752	2549760	3984	195.2190170940171	270.90110844017096	2554752	5877	0.1526812951673161	3984	32.0	1.0
420.0	530.075	3065.585176130451	2582400	2580480	4032	199.0306712962963	281.8505859375	2582400	5919	0.117408242309466	4032	32.0	1.0
