local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3070.1635252789088	33280	30720	48	0.0	66.0	33280	0	0.15116682377023002	48	32.0	1.0
		3126.7734812098643	66688	62080	96	103.0411877394636	195.75095785440612	66688	0	0.2733585158518205	96	32.0	1.0
		3510.626870391826	99200	97280	152	387.5553641732283	324.5	99200	0	0.32925794792494606	152	32.0	1.0
		3067.6332180757895	132992	128000	200	729.78515625	454.0	132992	0	0.41484527437326807	200	32.0	1.0
		3518.6776133723356	164864	163200	255	1005.5817018072289	582.2489959839357	164864	0	0.31013972542502666	255	32.0	1.0
500.0	753.0	3133.285579090075	198016	194560	304	1265.1182432432433	708.3444437741313	198016	2	0.33260270071272946	304	32.0	1.0
1230.7692307692307	849.3846153846154	3248.3987479072584	230784	227200	354	1598.931884765625	815.0704650878906	230784	15	0.35500511780381205	354	32.0	1.0
1450.0	960.55	3391.4229985590523	263168	261120	408	1869.4756669960475	877.1555397727273	263168	35	0.3493363791041904	408	32.0	1.0
2012.5	1085.1666666666667	3069.8130813867606	296576	291840	456	2113.2932231800764	913.4163074712644	296576	59	0.3694648921179275	456	32.0	1.0
2508.3333333333335	1217.875	3517.1807571159784	328704	327040	511	2282.610184262948	936.707015687251	328704	83	0.37855094359679653	511	32.0	1.0
2730.769230769231	1348.7692307692307	3134.6580390989766	362112	358400	560	2445.48910440613	975.6056034482758	362112	96	0.32297199455146886	560	32.0	1.0
3555.0	1485.4	3313.85204667696	394752	391680	611	2626.9607843137255	1019.5108455882353	394752	116	0.35823379427778956	611	32.0	1.0
4028.2608695652175	1597.7391304347825	3319.7263756459856	427648	424960	664	2641.2329766536964	996.6444248540856	427648	140	0.3642651759228616	664	32.0	1.0
4064.285714285714	1733.0714285714287	3122.370211552782	460928	456320	712	2761.5474759615386	1012.859765625	460928	154	0.4148857429002722	712	32.0	1.0
4666.666666666667	1871.888888888889	3512.9047649582994	493312	491520	768	3031.367341897233	1066.940340909091	493312	163	0.3906494223379663	768	32.0	1.0
5415.625	1991.6875	3064.586853086298	526848	522240	816	3196.040076335878	1093.6753936068703	526848	180	0.3662452350060145	816	32.0	1.0
5972.727272727273	2113.7272727272725	3455.072041832179	558976	556800	870	3278.212151394422	1100.757470119522	558976	192	0.42774144063393277	870	32.0	1.0
5962.5	1990.5	3193.925204677507	591872	588800	920	3495.7563229571983	1145.3080009727626	591872	200	0.35551109120249746	920	32.0	1.0
7400.0	2385.1	3190.139881278772	624896	620800	969	3803.1431686046512	1208.3932594476744	624896	210	0.4042233879468879	969	32.0	1.0
7320.0	2326.2	3450.4473541959246	657152	655360	1024	3883.1101190476193	1230.536892361111	657152	220	0.34867986460978334	1024	32.0	1.0
7375.0	2493.625	3066.3703940909722	690944	686080	1072	4072.1413352272725	1277.232362689394	690944	228	0.478004387114197	1072	32.0	1.0
6722.222222222223	2249.8888888888887	3583.7289755747192	723072	721920	1128	4429.06499003984	1337.9436628486055	723072	237	0.5392628716903606	1128	32.0	1.0
7788.461538461538	2573.923076923077	3068.0177178241306	756352	752640	1176	4410.099158653846	1332.0676382211539	756352	251	0.3068692988405625	1176	32.0	1.0
7816.666666666667	2444.9166666666665	3261.8269283804957	788864	785280	1226	4306.994340551181	1314.4251660925197	788864	270	0.3430411846935749	1226	32.0	1.0
7300.0	2265.5	3383.1880549846924	822016	819200	1280	4398.289695945946	1326.8071307915059	822016	278	0.42641677124494753	1280	32.0	1.0
8150.0	2288.25	3063.5133537388415	855168	849920	1328	4790.93569015444	1388.8686655405406	855168	282	0.547155181877315	1328	32.0	1.0
8890.90909090909	2583.7272727272725	3577.9604753567032	887424	885760	1384	5257.536582341269	1447.4747953869048	887424	293	0.5263815769659621	1384	32.0	1.0
8525.0	2534.25	3061.4207623786942	920960	916480	1432	5747.990219465649	1498.0763060591603	920960	297	0.5727640204131603	1432	32.0	1.0
10057.142857142857	2717.1428571428573	3320.623035102182	952832	949760	1483	6284.9554467871485	1575.656438253012	952832	304	0.5985540236328163	1483	32.0	1.0
9800.0	2617.804347826087	3320.7130910828073	985344	983040	1536	6232.566437007874	1553.7177657480315	985344	328	0.5272130942815598	1536	32.0	1.0
9258.333333333334	2553.625	3070.2137833418583	1018752	1013760	1584	5717.953783524904	1469.2835548371647	1018752	341	0.33035412275542814	1584	32.0	1.0
7537.5	2269.0	3576.3724931478014	1051008	1049600	1640	5875.9765625	1525.862320188492	1051008	349	0.3950954909835543	1640	32.0	1.0
10410.0	2678.8	3070.3959551770727	1084416	1080320	1688	5965.619013409962	1542.8356082375478	1084416	359	0.3735733865760267	1688	32.0	1.0
10137.5	2731.0	3391.9129844100185	1116800	1114240	1740	6234.325592885375	1588.420238389328	1116800	367	0.4764603370657334	1740	32.0	1.0
10460.0	2786.5333333333333	3254.7825868024115	1149312	1146880	1792	6421.4197834645665	1597.8016117125985	1149312	382	0.5200202404879607	1792	32.0	1.0
10310.526315789473	2782.157894736842	3065.602608082765	1182208	1177600	1840	6422.8568822957195	1555.4136673151752	1182208	401	0.5734521597623825	1840	32.0	1.0
12500.0	3008.5384615384614	3510.0811826702684	1214336	1212800	1894	6254.304656374502	1474.2101282370518	1214336	414	0.7622817448443837	1894	32.0	1.0
12300.0	2936.03125	3128.2701378563065	1247104	1244160	1944	6118.90869140625	1442.4090881347656	1247104	431	0.5453221900761127	1944	32.0	1.0
10931.818181818182	2756.1363636363635	3193.0535943919685	1280256	1276160	1993	5987.050555019305	1425.3425132722007	1280256	443	1.0343696744922473	1993	32.0	1.0
10891.666666666666	2795.9166666666665	3446.3647644193147	1313152	1310720	2048	5598.635092412452	1370.5105787937744	1313152	455	0.2473442179574208	2048	32.0	1.0
12163.636363636364	2930.7272727272725	3070.0095424771757	1346176	1341440	2096	5526.350532945737	1391.7711361434108	1346176	466	0.45261141339627403	2096	32.0	1.0
11188.888888888889	2787.777777777778	3503.2900000237287	1378176	1376640	2150	5517.6375	1417.8861875	1378176	475	0.45256554176685987	2150	32.0	1.0
10612.5	2613.5	3130.469978520429	1411456	1408000	2200	5505.982572115385	1438.9728365384615	1411456	488	0.4124978885054588	2200	32.0	1.0
9129.166666666666	2368.4166666666665	3193.1828887798097	1444224	1440000	2250	5419.189453125	1421.506591796875	1444224	501	0.57750163346529	2250	32.0	1.0
10918.181818181818	2775.7272727272725	3454.6737452353054	1476480	1474560	2304	5543.126860119048	1429.575427827381	1476480	512	0.4373849507559229	2304	32.0	1.0
9433.333333333334	2295.0	3068.596913684844	1509888	1505280	2352	5952.146192528736	1484.7087823275863	1509888	515	0.7991201387097439	2352	32.0	1.0
9120.0	2453.8	3566.76850140152	1542144	1541120	2407	6637.574404761905	1589.9989459325398	1542144	520	0.7644166141748429	2407	32.0	1.0
7233.333333333333	2257.0	3066.4919006037812	1576192	1571840	2456	7222.550516917293	1661.159568843985	1576192	523	0.5480037836395965	2456	32.0	1.0
16400.0	3594.0	3391.6535006701856	1608448	1605760	2509	7867.553323412699	1756.2218191964287	1608448	528	0.4572606241365649	2509	32.0	1.0
14000.0	3039.5	3253.725519890608	1641216	1638400	2560	8394.7021484375	1826.9514770507812	1641216	530	0.6007083845781345	2560	32.0	1.0
11900.0	2842.8	3071.537179113102	1674368	1669120	2608	8938.284266409266	1902.0215673262549	1674368	535	0.5424367419133583	2608	32.0	1.0
11800.0	2869.0	3578.2123155614777	1706624	1704960	2664	9475.424727182539	1966.0879526289682	1706624	542	0.4992048131035907	2664	32.0	1.0
19833.333333333332	3896.5	3070.0509444106156	1739904	1735680	2712	9985.655048076924	2030.968359375	1739904	548	0.5266715561350187	2712	32.0	1.0
15757.142857142857	3408.5714285714284	3391.484360319	1772288	1769600	2765	10297.122035573122	2060.71121541502	1772288	555	0.4603501629998099	2765	32.0	1.0
17010.0	3472.2	3258.066926197458	1805056	1802240	2816	10512.643432617188	2079.9791564941406	1805056	565	0.4169955072449703	2816	32.0	1.0
22800.0	4116.25	3132.6647082516747	1838208	1833600	2864	10661.522683397683	2090.10382480695	1838208	569	0.552018842039009	2864	32.0	1.0
17400.0	3584.8	3511.6728982183695	1870592	1868800	2920	11210.813982213438	2169.890192687747	1870592	574	0.5016085625227008	2920	32.0	1.0
19214.285714285714	3741.1428571428573	3068.908777760438	1904384	1899520	2968	11539.624763257576	2208.788204308712	1904384	581	0.5494850669056177	2968	32.0	1.0
22375.0	4148.5	3508.152271051539	1936256	1934720	3022	11822.273468875503	2247.7391440763054	1936256	585	0.56121825206059	3022	32.0	1.0
17257.14285714286	3545.6428571428573	3135.089888227485	1969024	1966080	3072	12206.94580078125	2300.9781494140625	1969024	593	0.4287550015747547	3072	32.0	1.0
17114.285714285714	3558.4285714285716	3258.1783509217944	2002304	1998720	3122	12470.766225961539	2321.2220853365384	2002304	600	0.7062916105985642	3122	32.0	1.0
20512.5	4197.5	3386.5580809569738	2034688	2032640	3176	12703.189846837944	2335.8959980237155	2034688	608	0.558245600649604	3176	32.0	1.0
24733.333333333332	4434.666666666667	3065.479275810515	2068096	2063360	3224	13037.497006704982	2365.294210967433	2068096	611	0.6245736613248786	3224	32.0	1.0
22300.0	4364.4	3567.3086888744447	2100224	2099200	3279	13532.880976095617	2426.886983316733	2100224	616	0.5237310466441241	3279	32.0	1.0
21800.0	4123.333333333333	3071.632441443834	2133632	2129920	3328	14047.536518199233	2493.149066091954	2133632	619	0.6836521312290308	3328	32.0	1.0
20485.714285714286	3720.8571428571427	3312.7844900484943	2166272	2163200	3379	14358.422181372549	2527.161856617647	2166272	626	0.6960303463480052	3379	32.0	1.0
21243.75	4133.1875	3324.996067143148	2199168	2196480	3432	14507.599708171207	2532.370044990272	2199168	635	0.5942698562482618	3432	32.0	1.0
22580.0	4142.8	3124.6026570865397	2232448	2227840	3480	14740.44170673077	2562.029747596154	2232448	640	0.44344805522511405	3480	32.0	1.0
23366.666666666668	4289.0	3515.7082800948824	2264704	2263040	3536	14820.628720238095	2567.0231274801586	2264704	649	0.6134655558105025	3536	32.0	1.0
23620.0	4493.4	3060.642439084319	2298240	2293760	3584	14969.271827290077	2579.5773795324426	2298240	654	0.40831035453205305	3584	32.0	1.0
27800.0	5338.0	3577.6643934134204	2330624	2329600	3639	15513.16699604743	2654.8608880928855	2330624	655	0.4574647383256392	3639	32.0	1.0
27171.428571428572	4997.714285714285	3068.3217190657533	2363776	2360320	3688	16076.239744208495	2733.290661196911	2363776	662	0.5152353790341592	3688	32.0	1.0
26450.0	4817.0	3199.6192622247277	2396544	2392320	3737	15964.75830078125	2697.399932861328	2396544	671	0.4643908863773151	3737	32.0	1.0
28771.428571428572	5009.142857142857	3446.260295797747	2428672	2426880	3792	16028.607445219124	2686.925143177291	2428672	678	0.601262927326289	3792	32.0	1.0
28425.0	4861.5	3063.7825869107933	2462464	2457600	3840	16061.215672348484	2676.950964725379	2462464	682	0.572183029105266	3840	32.0	1.0
27900.0	5227.0	3582.7398963224755	2494720	2493440	3896	16409.883432539682	2719.0997333829364	2494720	685	0.5418139142649514	3896	32.0	1.0
30760.0	5170.2	3069.4727351323354	2527872	2524160	3944	16891.689792471043	2787.343930984556	2527872	690	0.48921770974993706	3944	32.0	1.0
27800.0	4941.333333333333	3262.5367097715325	2560384	2556800	3994	16829.152312992126	2761.4799151082675	2560384	702	0.5866179913282394	3994	32.0	1.0
30680.0	5270.8	3391.279021381529	2593024	2590720	4048	16406.05698529412	2688.2685355392155	2593024	707	0.4939702485722524	4048	32.0	1.0
30485.714285714286	5199.571428571428	3066.382799719961	2626176	2621440	4096	16618.535834942086	2717.772110279923	2626176	714	0.6030436437577009	4096	32.0	1.0
32300.0	5397.5	3577.3065547678084	2658304	2657280	4151	16866.92293326693	2754.37546688247	2658304	716	0.6558731374415484	4151	32.0	1.0
32320.0	5358.3	3067.4805843784275	2691584	2688000	4200	16608.47355769231	2703.3956730769232	2691584	726	0.5627718320002362	4200	32.0	1.0
31080.0	5135.9	3255.248718856791	2724224	2720640	4250	16422.720588235294	2677.8407475490194	2724224	736	0.5257890623807907	4250	32.0	1.0
32580.0	5214.7	3387.5376424245455	2756992	2754560	4304	15999.444580078125	2618.436737060547	2756992	746	0.5737344801977828	4304	32.0	1.0
32833.333333333336	5375.166666666667	3068.2162140923992	2790144	2785280	4352	15512.125965250965	2550.265625	2790144	752	0.6449283305555582	4352	32.0	1.0
32585.714285714286	5328.0	3503.2817703278765	2822016	2820480	4406	15207.542670682731	2498.7048506526103	2822016	766	0.6814294095944475	4406	32.0	1.0
33844.444444444445	5300.666666666667	3133.4043337446224	2855296	2851840	4456	14418.185096153846	2374.1513521634615	2855296	775	0.5166416142880916	4456	32.0	1.0
29650.0	5035.25	3313.326990876357	2888192	2885120	4507	14328.459387159533	2353.058943336576	2888192	779	0.6828100121780938	4507	32.0	1.0
31640.0	5150.8	3320.2898704406903	2920960	2918400	4560	14787.298583984375	2421.9489135742188	2920960	784	0.46797616582996443	4560	32.0	1.0
33150.0	5328.5	3065.686050800982	2954112	2949120	4608	14855.170125482626	2425.972158542471	2954112	788	0.5017627254128456	4608	32.0	1.0
32100.0	5365.0	3574.562016454025	2986368	2984960	4664	15367.652529761905	2502.1711309523807	2986368	790	0.5355467253497669	4664	32.0	1.0
32200.0	5394.0	3064.4338664450333	3019776	3015680	4712	15974.0780651341	2601.533644636015	3019776	791	0.5142543842084706	4712	32.0	1.0
32550.0	5287.0	3444.8834588225322	3052288	3050240	4765	16308.71062992126	2656.9568467027557	3052288	795	0.5525589127023265	4765	32.0	1.0
34600.0	5259.4	3194.6864956706886	3084928	3082240	4816	16533.553921568626	2697.3872549019607	3084928	800	0.49789156793963674	4816	32.0	1.0
34057.142857142855	5269.142857142857	3066.034385676844	3117952	3112960	4864	16693.192829457363	2725.3348171027133	3117952	807	0.58706482903411	4864	32.0	1.0
30733.333333333332	5159.166666666667	3566.9511412835673	3149824	3148800	4919	16359.789156626506	2676.5503576807228	3149824	813	0.6172925055027008	4919	32.0	1.0
