local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3066.5893317007262	34048	30720	48	0.0	67.5	34048	0	0.01705722390518834	48	32.0	1.0
0.0	232.14814814814815	3439.8064436594777	67328	65280	101	0.0	193.03311298076923	67328	29	0.007456360057541082	101	32.0	1.0
0.0	328.71014492753625	3184.994780454584	100864	97280	152	0.0	253.57761808206106	100864	111	0.0024346361317964015	152	32.0	1.0
0.0	431.6811594202899	3391.5450775002	133888	131200	204	0.0	270.812378875969	133888	190	0.0009329146196250804	204	32.0	1.0
0.0	454.9074074074074	3255.5010724917483	167040	163840	256	0.0	267.9438344594595	167040	249	0.00022368836373341485	256	32.0	1.0
0.0	459.7101449275362	3451.4260810068445	200448	198400	309	0.0	302.4420797413793	200448	303	3.852336149580913e-05	309	32.0	1.0
0.0	460.1073446327684	3193.333087004906	234496	230400	360	0.0	324.74521264097746	234496	369	1.1772881131108471e-05	360	32.0	1.0
0.0	552.0961538461538	3578.2166594133782	267264	266240	415	0.0	334.29266357421875	267264	426	1.684375146479314e-05	415	32.0	1.0
0.0	583.0408163265306	3066.85406902276	301952	296960	464	0.0	331.12456757380073	301952	478	1.0619826414359542e-05	464	32.0	1.0
0.0	572.3823529411765	3578.525696176439	334464	332800	520	0.0	359.59479576771656	334464	532	7.150543171162228e-06	520	32.0	1.0
0.0	550.81	3068.1916654992688	368256	363520	568	0.0	362.46706321022725	368256	586	7.492366407291229e-06	568	32.0	1.0
0.0	609.0887096774194	3579.4674459571306	400768	399360	624	0.0	352.99600147637796	400768	655	6.380179069001965e-06	624	32.0	1.0
0.0	554.2708333333334	3062.1765574851206	435072	430080	672	0.0	350.8836870335821	435072	707	5.613381176772236e-06	672	32.0	1.0
0.0	556.324074074074	3580.0641780063615	466944	465920	727	0.0	360.5495419176707	466944	767	5.7555969223440945e-06	727	32.0	1.0
0.0	540.5535714285714	3068.8151461006496	500992	496640	776	0.0	351.26571311090225	500992	830	4.7995676679271795e-06	776	32.0	1.0
0.0	577.4795918367347	3579.318805382984	534016	532480	832	0.0	354.4181504360465	534016	886	4.211117184484335e-06	832	32.0	1.0
0.0	595.8358208955224	3068.587120995347	567680	563200	880	0.0	338.0521031368821	567680	962	4.107695374955256e-06	880	32.0	1.0
0.0	487.3690476190476	3579.7238458669312	600704	599040	936	0.0	324.72162669573646	600704	1009	5.841389612523276e-06	936	32.0	1.0
0.0	599.6063829787234	3197.476814088995	635136	631040	985	0.0	360.03746514869886	635136	1059	4.188266379227274e-06	985	32.0	1.0
0.0	496.73497267759564	3454.742825037514	668160	665600	1040	0.0	361.8561652131783	668160	1126	2.9321138402916733e-06	1040	32.0	1.0
0.0	570.9496855345911	3250.5734850409176	701824	698240	1090	0.0	349.17389496197717	701824	1186	3.681413422782498e-06	1090	32.0	1.0
0.0	571.8611111111111	3381.6024470809616	734976	732160	1144	0.0	364.1033723455598	734976	1243	3.894923210097019e-06	1144	32.0	1.0
0.0	517.1836734693877	3196.280953898594	768384	764160	1194	0.0	368.72246168582376	768384	1295	3.0127472018648405e-06	1194	32.0	1.0
0.0	560.7592592592592	3445.8366687665834	801280	798720	1248	0.0	378.8207076848249	801280	1366	5.090075144717385e-06	1248	32.0	1.0
0.0	556.6333333333333	3133.8889997980286	834688	830080	1296	0.0	364.33815253831415	834688	1415	4.1472320333468815e-06	1296	32.0	1.0
0.0	631.3269230769231	3518.732794312046	867712	865280	1352	0.0	383.58778464147287	867712	1471	3.5533410778855668e-06	1352	32.0	1.0
0.0	562.2692307692307	3253.236631533592	901504	897920	1402	0.0	369.38920454545456	901504	1530	3.022352093466907e-06	1402	32.0	1.0
0.0	596.2111111111111	3386.8776582657792	935040	931840	1456	0.0	374.70261808206106	935040	1578	4.1301439510890405e-06	1456	32.0	1.0
0.0	540.3833333333333	3260.638225569093	968192	964480	1507	0.0	384.86260255791507	968192	1644	2.577797556345924e-06	1507	32.0	1.0
0.0	587.140625	3375.2682840565567	1001600	998400	1560	0.0	365.10497485632186	1001600	1714	3.4574514555335453e-06	1560	32.0	1.0
0.0	674.6931818181819	3383.8647911529374	1034880	1032320	1612	0.0	354.54119591346154	1034880	1763	2.6567418427265902e-06	1612	32.0	1.0
0.0	569.0659722222222	3262.7331960178103	1068544	1064960	1664	0.0	351.6517942015209	1068544	1822	3.362353698303895e-06	1664	32.0	1.0
0.0	511.33076923076925	3381.420323632472	1101440	1098880	1716	0.0	341.55231639105057	1101440	1891	3.305603233736922e-06	1716	32.0	1.0
0.0	572.1228070175439	3254.9151457243047	1135360	1131520	1768	0.0	335.31662735849056	1135360	1955	3.892225239409387e-06	1768	32.0	1.0
