local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3061.6504881106425	34432	30720	48	0.0	68.25093632958801	34432	0	0.00716570985969156	48	32.0	1.0
0.0	223.40540540540542	3571.4565300597405	67968	66560	104	0.0	190.22850071564886	67968	40	0.10568254476986892	104	32.0	1.0
0.0	341.4237288135593	3070.6776690469187	102272	97280	152	0.0	263.60491487873134	102272	103	0.001252475146126623	152	32.0	1.0
0.0	432.32142857142856	3575.2171447528863	135040	133120	208	0.0	297.26019287109375	135040	168	0.00037744499500799326	208	32.0	1.0
0.0	467.86524822695037	3255.0662899977424	169344	165760	258	0.0	319.71933302238807	169344	223	0.00012657751605729572	258	32.0	1.0
0.0	528.5090909090909	3385.282630027549	202880	199680	312	0.0	336.79147781488547	202880	286	7.958699791709444e-05	312	32.0	1.0
0.0	530.6159420289855	3260.620208640317	235904	232320	362	0.0	310.5556564922481	235904	364	4.633877932064934e-05	362	32.0	1.0
0.0	594.0777777777778	3386.754463905366	269312	266240	416	0.0	314.66142840038316	269312	413	3.377550540419718e-05	416	32.0	1.0
0.0	522.83	3452.9203401326176	302848	300800	469	0.0	324.68287810114504	302848	473	2.3334826694753127e-05	469	32.0	1.0
0.0	539.1962365591398	3197.3336139881594	337024	332800	520	0.0	326.3147823033708	337024	541	1.384031856657969e-05	520	32.0	1.0
0.0	561.5113636363636	3455.2936685582586	369408	367360	573	0.0	328.8506052371541	369408	593	1.8532950160182015e-05	573	32.0	1.0
0.0	544.3461538461538	3197.797689817713	403840	399360	624	0.0	336.3222583643123	403840	650	1.2042250158201033e-05	624	32.0	1.0
0.0	517.0508474576271	3582.886259292396	436864	435200	680	0.0	343.6140988372093	436864	714	9.89142986083737e-06	680	32.0	1.0
0.0	558.5701754385965	3123.362098017247	471168	466560	728	0.0	333.0003789645522	471168	781	1.131242339624805e-05	728	32.0	1.0
0.0	555.8308823529412	3517.692614574142	504064	501760	784	0.0	313.153939688716	504064	855	1.0921937071576135e-05	784	32.0	1.0
0.0	594.8333333333334	3133.962250268714	537728	533120	832	0.0	313.91973621673003	537728	912	9.664931226893714e-06	832	32.0	1.0
0.0	517.0160256410256	3513.1542849609887	570496	568320	888	0.0	310.1044616699219	570496	971	9.481416827026936e-06	888	32.0	1.0
0.0	534.8983050847457	3263.2868593370276	604672	600960	938	0.0	313.2363354400749	604672	1037	8.444991253782064e-06	938	32.0	1.0
0.0	501.92857142857144	3384.0203741297114	637696	634880	992	0.0	312.8738190406977	637696	1094	8.310050866889975e-06	992	32.0	1.0
0.0	539.8707482993198	3261.435984846012	671104	667520	1042	0.0	328.81267959770116	671104	1150	6.379249834935763e-06	1042	32.0	1.0
0.0	542.047619047619	3387.5674864953435	704000	701440	1096	0.0	324.7955678501946	704000	1222	9.413469586905666e-06	1096	32.0	1.0
0.0	578.6756756756756	3326.8570211011393	737920	734720	1147	0.0	330.2044221698113	737920	1263	1.1122063285131612e-05	1147	32.0	1.0
0.0	503.62068965517244	3324.537785280679	771456	768000	1200	0.0	354.3942330629771	771456	1331	8.182321569208552e-06	1200	32.0	1.0
