local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3195.004682015597	36096	32000	49	36.422433035714285	71.5	36096	0	14.190770730414258	49	32.0	1.0
		3703.327389966201	72192	69120	107	163.62062278368793	212.0	72192	0	3.118383815447832	107	32.0	1.0
245.0	391.6666666666667	3697.4142554926975	108288	106240	165	307.8753878546099	351.01396276595744	108288	6	1.629500923742508	165	32.0	1.0
399.22222222222223	510.53333333333336	3448.3427510546453	143872	140800	219	408.07778776978415	449.77768098021585	143872	56	0.8668359711214348	219	32.0	1.0
521.1163522012579	627.7924528301887	3324.1479452435824	178816	174080	272	318.37511446886447	348.6753949175824	178816	196	5.4683774735005395	272	32.0	1.0
692.4468085106383	734.1063829787234	3571.401631565059	214272	209920	328	222.6015342960289	229.75741764440434	214272	245	5.136573798688395	328	32.0	1.0
586.4705882352941	751.5882352941177	3580.3318343261562	250240	245760	384	239.7909252669039	286.53528136120997	250240	262	2.7704255679356202	384	32.0	1.0
474.54545454545456	609.6363636363636	3575.2344911473238	286464	281600	440	339.7451965547703	386.40302009717317	286464	273	6.019162890102182	440	32.0	1.0
437.6470588235294	623.2647058823529	3583.8711472108366	322048	317440	496	492.37634892086334	503.43780912769785	322048	291	2.8366763410823688	496	32.0	1.0
716.8678160919541	739.3793103448276	3578.582858494484	356992	353280	552	595.7217261904761	557.0247252747253	356992	356	2.5042738217328275	552	32.0	1.0
820.4605263157895	778.671052631579	3581.02499351742	391936	389120	608	445.9114583333333	425.7094207875458	391936	440	2.5292641097413644	608	32.0	1.0
864.3971631205675	893.2659574468086	3577.1017428762307	427392	424960	664	377.72958032490976	347.3464011732852	427392	496	3.5399795320949385	664	32.0	1.0
794.1379310344828	875.7931034482758	3574.3128144934763	463488	460800	720	410.39173315602835	336.286873891844	463488	526	2.3532026138688837	720	32.0	1.0
716.3120567375886	661.45390070922	3572.6610729843474	499200	496640	776	418.51058467741933	362.57272065412184	499200	578	1.8985621138874973	776	32.0	1.0
657.5980392156863	608.3627450980393	3578.25626560835	535040	532480	832	411.947265625	358.80212053571427	535040	655	7.570909155266626	832	32.0	1.0
694.8765432098766	632.9444444444443	3582.474270394038	570496	568320	888	336.35999548736464	309.34837545126356	570496	719	8.197596541472844	888	32.0	1.0
