local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3314.7371914338205	36352	33280	51	32.52410239361702	72.0	36352	0	12.482052860023709	51	32.0	1.0
106.66666666666667	263.22222222222223	3839.2802557789996	72704	71680	111	126.43898547535211	212.21135013204224	72704	9	3.752571129364272	111	32.0	1.0
199.71929824561403	363.81052631578945	3508.514754941868	108416	106880	166	170.34554211469535	277.3184083781362	108416	128	3.054721637205644	166	32.0	1.0
273.8414634146341	482.4512195121951	3518.5558524370263	144256	142080	221	145.70005580357142	216.01858258928573	144256	223	4.235339347340844	221	32.0	1.0
308.3783783783784	544.8648648648649	3580.810372916638	180096	177920	278	198.81305803571428	239.54601004464286	180096	260	4.13524061336852	278	32.0	1.0
410.4901960784314	469.1470588235294	3645.60636440112	215936	214400	334	282.08705357142856	294.2696986607143	215936	316	2.6709271014801095	334	32.0	1.0
399.5384615384615	489.1615384615385	3519.498545567791	251776	249600	390	286.05580357142856	301.2933872767857	251776	400	4.306483501302345	390	32.0	1.0
532.8703703703703	566.3518518518518	3638.9571441607777	287616	286080	446	289.41489955357144	279.68178013392856	287616	469	5.16857079975307	446	32.0	1.0
544.7076023391813	551.9005847953217	3583.845429029915	323456	321920	502	291.58482142857144	272.5280970982143	323456	531	3.1321197439517294	502	32.0	1.0
518.75	551.625	3642.9997069090186	360064	358400	560	314.5533763111888	310.3706293706294	360064	566	2.0259283077100227	560	32.0	1.0
648.0	601.65	3579.6409039780715	395648	394240	616	312.47049235611513	331.66069019784175	395648	631	1.5794382356107235	616	32.0	1.0
510.6609195402299	588.7385057471264	3574.3206333994053	432256	430080	672	311.3090034965035	334.20039335664336	432256	699	4.851680683238166	672	32.0	1.0
578.8841807909604	613.4166666666667	3576.7149966847473	468096	465920	728	291.70982142857144	291.6020089285714	468096	774	5.6752277346594	728	32.0	1.0
433.3050847457627	508.3135593220339	3578.696762626623	504192	501760	784	283.55690381205676	295.4839594414894	504192	839	8.375812162246023	784	32.0	1.0
413.94841269841265	499.4146825396825	3576.2387431184984	539264	537600	840	229.67752052919707	259.70985401459853	539264	939	10.863198242017202	840	32.0	1.0
412.3511904761904	501.6607142857143	3574.0537900796066	575232	573440	896	231.87305382562278	233.35197953736656	575232	1003	10.217101309980665	896	32.0	1.0
468.19444444444446	503.8333333333333	3575.911812359649	611584	609280	952	320.90724031690144	284.86919564260563	611584	1042	4.571885469236544	952	32.0	1.0
509.12698412698415	532.8650793650794	3573.294694311671	647296	645120	1008	338.06507616487454	313.43114359319	647296	1112	6.656808316707611	1008	32.0	1.0
501.94029850746267	531.8582089552239	3577.360187691412	683136	680960	1064	323.47684151785717	302.8561941964286	683136	1186	8.148344071848053	1064	32.0	1.0
550.3809523809523	545.1309523809524	3574.4707290289916	719232	716800	1120	308.05961879432624	282.6440325797872	719232	1268	8.491442486643791	1120	32.0	1.0
536.4705882352941	576.5098039215686	3579.9640836311696	755072	752640	1176	317.38253348214283	274.71883370535716	755072	1323	9.340367451310158	1176	32.0	1.0
504.2307692307692	550.7820512820513	3579.132510720634	790528	788480	1232	354.6807310469314	306.08263763537906	790528	1364	6.67592125173126	1232	32.0	1.0
599.0845070422536	578.3450704225352	3575.331770125097	825984	824320	1288	350.35254963898916	314.6835514440433	825984	1441	5.8576431678874155	1288	32.0	1.0
544.2553191489362	560.3723404255319	3572.0647689600855	861568	860160	1344	315.5451888489209	298.9597290917266	861568	1491	10.829325043729373	1344	32.0	1.0
645.5649717514125	602.5225988700565	3582.3281971900033	897152	896000	1399	360.32683228417267	322.4574808902878	897152	1558	10.73252829204906	1399	32.0	1.0
531.8579234972677	567.6639344262295	3574.4330764493416	932864	931840	1455	311.90440188172045	302.9323196684588	932864	1626	7.230037942528725	1455	32.0	1.0
572.7678571428571	602.0178571428571	3576.841803452016	968704	967680	1511	242.05217633928572	290.6279017857143	968704	1685	6.072839218590941	1511	32.0	1.0
390.15625	626.9375	3578.4838691693003	1005184	1003520	1568	207.85252192982455	322.86916118421055	1005184	1718	3.6215709845225015	1568	32.0	1.0
401.75	745.025	3579.4769068702667	1041280	1039360	1624	227.33710106382978	401.8629765070922	1041280	1739	7.0023224119629175	1624	32.0	1.0
329.22222222222223	720.5	3582.3620038387867	1077504	1075200	1680	301.66243374558303	427.19672040636044	1077504	1790	9.554265125521592	1680	32.0	1.0
442.25	743.0375	3573.7177431628843	1113984	1111040	1736	357.03125	443.4844846491228	1113984	1834	7.90854064481599	1736	32.0	1.0
538.8970588235294	730.1617647058823	3581.5942550909836	1149824	1146880	1792	365.10825892857144	404.42541852678573	1149824	1908	6.845574542347874	1792	32.0	1.0
590.0806451612904	712.5349462365592	3575.9910086781215	1185408	1182720	1848	340.3990557553957	352.2195930755396	1185408	1977	6.6484672746488025	1848	32.0	1.0
646.9551282051283	709.9551282051282	3583.1646722754117	1221504	1218560	1904	329.0406139184397	318.1883034131206	1221504	2039	8.342575382973466	1904	32.0	1.0
571.2068965517242	612.0172413793103	3582.839035860625	1258112	1254400	1960	346.8135380244755	322.56099759615387	1258112	2070	5.3503895572253635	1960	32.0	1.0
627.8682170542635	612.6899224806202	3579.834327363595	1293952	1290240	2016	416.4662388392857	381.0103236607143	1293952	2121	6.462707792009626	2016	32.0	1.0
601.9166666666666	617.6166666666667	3583.177825370041	1329408	1326080	2072	413.10525722021663	367.7851139440433	1329408	2186	7.1156245331679076	2072	32.0	1.0
709.5555555555555	701.6555555555556	3579.9199211123246	1365504	1361920	2128	379.4215425531915	328.0421376329787	1365504	2254	7.037828050553799	2128	32.0	1.0
621.2295081967213	583.4426229508197	3580.8051697954156	1401472	1397760	2184	373.1316725978648	295.3315447064057	1401472	2319	6.358019520129476	2184	32.0	1.0
715.1587301587301	596.5714285714286	3581.787804291959	1437824	1433600	2240	393.8539832746479	299.16967429577466	1437824	2390	7.791245826653072	2240	32.0	1.0
552.7586206896551	511.2701149425288	3574.6833152463564	1473664	1469440	2296	320.63839285714283	289.115234375	1473664	2459	4.452188553554671	2296	32.0	1.0
410.06944444444446	495.6736111111111	3581.895169967313	1509248	1505280	2352	255.77225719424462	281.3754496402878	1509248	2544	4.5593215610299795	2352	32.0	1.0
324.17874396135267	454.9009661835749	3578.0112323154867	1544448	1541120	2408	232.90511363636364	252.1677556818182	1544448	2625	6.594212298946721	2408	32.0	1.0
450.0980392156863	525.8954248366013	3580.2546626607523	1580288	1576960	2464	276.84988839285717	255.60747767857143	1580288	2682	10.031397117035729	2464	32.0	1.0
465.96153846153845	542.1826923076923	3583.2724621704137	1616384	1612800	2520	299.7797539893617	287.46115913120565	1616384	2739	7.448125185178859	2520	32.0	1.0
535.4166666666666	593.9791666666666	3577.2109559413234	1652864	1648640	2576	383.8689692982456	338.82678179824563	1652864	2764	5.504263723535197	2576	32.0	1.0
705.7377049180328	633.2295081967213	3575.8851024697215	1689216	1684480	2632	440.45857174295776	366.2890900088028	1689216	2838	3.482720167509147	2632	32.0	1.0
737.3446327683616	648.3559322033898	3576.6983167321637	1725440	1720320	2688	362.2493374558304	321.98180764134275	1725440	2903	5.408690599458558	2688	32.0	1.0
621.195652173913	650.9673913043479	3709.769877012277	1761536	1757440	2745	367.05784574468083	328.5682901152482	1761536	2953	6.007990307975233	2745	32.0	1.0
635.6818181818181	649.1477272727273	3636.5648987785576	1797504	1793920	2802	396.57528914590745	335.50628336298934	1797504	3000	5.758458306914882	2802	32.0	1.0
