local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3251.1648756044633	36224	32640	50	43.42637900355872	71.7508896797153	36224	0	5.2715872417017815	50	32.0	1.0
		3647.282335731583	72320	69120	107	193.09203235815602	212.5	72320	0	4.2283057848873895	107	32.0	1.0
300.0	401.7142857142857	3708.3597227367345	108416	106240	165	347.46287677304963	351.8335826684397	108416	7	3.49135595174699	165	32.0	1.0
500.4807692307692	496.6923076923077	3634.847036501931	144256	142720	222	436.283203125	433.84754464285714	144256	63	4.747874924226811	222	32.0	1.0
608.1343283582089	630.179104477612	3515.269146025522	179968	177920	277	375.05264336917566	420.26369287634407	179968	137	3.2973846863616596	277	32.0	1.0
515.8645833333334	710.8572916666667	3503.091334327825	215680	213120	332	301.434811827957	357.56874439964156	215680	232	6.319524982842532	332	32.0	1.0
637.6041666666666	684.15625	3630.2275418414656	251648	249600	389	275.616659252669	263.29957184163703	251648	284	6.026766260987834	389	32.0	1.0
630.3448275862069	662.9655172413793	3697.8667795191386	287744	286720	447	383.8317265070922	310.33070146276594	287744	313	4.991388156496245	447	32.0	1.0
534.9702380952381	567.9732142857143	3451.6649111702295	323328	321280	501	440.78771357913666	350.49047324640287	323328	376	3.259653722246488	501	32.0	1.0
694.84375	605.2890625	3444.552742903695	358912	355840	555	416.6305080935252	338.60246178057554	358912	450	6.5759848025110035	555	32.0	1.0
741.75	631.4416666666667	3510.4457346715585	394624	391040	610	362.5882056451613	302.2273185483871	394624	514	7.644305432926525	610	32.0	1.0
705.6382978723404	641.2765957446809	3581.058690264711	430464	426880	666	389.119140625	302.4741350446429	430464	565	5.981518214302404	666	32.0	1.0
663.9583333333334	585.2708333333334	3507.672436930879	466176	462080	721	455.71152553763443	329.68455981182797	466176	617	4.516237032413483	721	32.0	1.0
717.9411764705883	567.8382352941177	3450.0447856798546	501632	496640	776	419.5188402527076	317.8079309566787	501632	691	4.9275267156687645	776	32.0	1.0
791.6369047619048	603.5833333333333	3579.710462383285	537088	532480	832	374.4827391696751	294.4463278429603	537088	754	5.971899324229786	832	32.0	1.0
580.6467661691543	534.7213930348258	3576.1057687515513	571904	568320	888	323.6957146139706	276.43523092830884	571904	831	5.834076468433652	888	32.0	1.0
587.8846153846154	531.7019230769231	3577.4191857648643	608000	604160	944	324.8930629432624	267.87184175531917	608000	891	5.551477832453592	944	32.0	1.0
607.8368794326242	538.1879432624114	3582.5841532963505	643712	640000	1000	371.28976254480284	298.51612903225805	643712	947	5.020133414438793	1000	32.0	1.0
