local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3577.4839752128987	39168	35840	56	81.95826480263158	77.5	39168	0	13.622326001990587	56	32.0	1.0
		4087.2118645954924	79616	76800	120	183.6110561708861	232.5	79616	0	0.27005082537652925	120	32.0	1.0
248.0	441.0	4092.052733384609	119936	117760	184	272.18526785714283	388.77410714285713	119936	5	0.435544908628799	184	32.0	1.0
361.780303030303	551.4772727272727	4027.1755168867826	159616	158080	246	324.0897177419355	481.2929435483871	159616	62	0.42639028437195287	246	32.0	1.0
588.9000000000001	703.9	3903.1518658136124	200320	197120	308	363.2286753144654	496.91951650943395	200320	121	0.46024339742237524	308	32.0	1.0
826.2878787878788	839.4318181818181	3897.870081699872	240768	236160	368	379.71914556962025	485.8069373022152	240768	172	0.4561314627528191	368	32.0	1.0
978.3673469387755	916.5102040816327	4024.32028436944	281216	276480	432	356.20945411392404	450.73959157436707	281216	226	0.46994363091653213	432	32.0	1.0
617.1875	819.0390625	4092.0547802161605	320128	317440	496	360.90254934210526	458.7835115131579	320128	263	0.487538373330608	496	32.0	1.0
851.1224489795918	837.3979591836735	4094.6388313954794	359808	358400	560	397.50050403225805	456.91844758064514	359808	321	0.4022791327442974	560	32.0	1.0
886.219512195122	834.1585365853658	3891.58762595623	400000	397440	620	362.44302348726114	442.05938992834393	400000	364	0.4005356006324291	620	32.0	1.0
839.811320754717	821.4433962264151	3769.4117363695736	440192	435200	680	399.4257563694268	445.051179339172	440192	422	0.4335394068310658	680	32.0	1.0
803.8392857142857	791.7678571428571	4091.9741755877585	479488	476160	744	382.03481270358304	404.5871589983713	479488	485	0.474864894291386	744	32.0	1.0
881.7916666666667	783.1708333333333	4092.182759988676	519552	517120	808	391.16987819488816	388.4240465255591	519552	534	0.47297674289438874	808	32.0	1.0
865.7037037037037	775.4962962962964	4086.728650617103	559104	558080	871	413.7618830906149	397.2929561084142	559104	585	0.450035632484489	871	32.0	1.0
1035.357142857143	782.0119047619048	3952.7959382838408	599808	597760	933	418.7993808962264	400.5552525550315	599808	630	0.41264071195356306	933	32.0	1.0
949.1463414634146	744.719512195122	3774.931683562186	640256	635520	993	497.8562598892405	440.0179242484177	640256	674	0.43881921681265035	993	32.0	1.0
1133.611111111111	795.5472222222221	4027.5712410638544	678912	675840	1056	497.75170736754967	414.7211299668874	678912	743	0.4451702915959888	1056	32.0	1.0
1176.0869565217392	776.0217391304348	4089.6181619659187	719232	716800	1120	432.75669642857144	373.1	719232	793	0.4722407031804323	1120	32.0	1.0
1089.2083333333335	769.3666666666667	4026.69559228742	758656	757120	1182	459.52237215909093	386.5641487418831	758656	840	0.42977018149629714	1182	32.0	1.0
