local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3581.3835764991977	40192	35840	56	72.2440905448718	79.5	40192	0	3.6190585436997935	56	32.0	1.0
		4089.310162874798	81152	76800	120	176.18017578125	237.5	81152	0	0.3305227989330888	120	32.0	1.0
273.3333333333333	443.6666666666667	4095.3936444632504	121344	117760	184	273.79777070063693	395.0158489251592	121344	3	0.4688627099385485	184	32.0	1.0
366.2179487179488	563.7115384615385	4087.0914879319735	161280	158720	248	359.66346153846155	496.89044971955127	161280	60	0.4955497259506956	248	32.0	1.0
635.8620689655172	709.1896551724138	4079.554285116426	200704	199680	311	418.4273538961039	490.29778814935065	200704	125	0.41714473837424837	311	32.0	1.0
973.7755102040817	854.8979591836735	3775.538938750165	241152	237440	370	381.0116693037975	449.7090338212025	241152	182	0.378627042901718	370	32.0	1.0
1083.448275862069	914.1379310344828	4028.948153691508	281856	277760	433	311.10259433962267	449.71135514937106	281856	214	0.31914743036031723	433	32.0	1.0
647.4074074074074	785.2222222222222	4082.528243920135	322816	318720	497	328.79052734375	523.0877197265625	322816	242	0.43646116671152413	497	32.0	1.0
655.0	841.2	3964.0241659018716	362752	358400	560	385.01101762820514	573.7768429487179	362752	284	0.3834095292148136	560	32.0	1.0
920.8333333333334	871.9444444444445	4083.9359305921485	402560	399360	624	410.5792805466238	595.2061645900321	402560	322	0.3544118432328105	624	32.0	1.0
923.2051282051282	946.6666666666666	4090.6098369486695	442752	440320	688	460.0659335191083	625.051676950637	442752	366	0.3602417455986142	688	32.0	1.0
980.7196969696969	1144.2424242424242	4095.3329211588534	482432	481280	751	428.3918850806452	564.145060483871	482432	415	0.4037378549812332	751	32.0	1.0
929.0384615384615	1014.0480769230769	3954.9861720427957	523008	520960	813	467.48176261829656	511.20886731072557	523008	468	0.44028784683154476	813	32.0	1.0
1193.5365853658536	947.8780487804878	3953.008496059556	563712	560640	875	435.0041764937107	477.7625540487421	563712	513	0.36781449399648175	875	32.0	1.0
927.2641509433962	852.5880503144654	3902.032379512151	604416	599680	936	416.7447916666667	472.3302623820755	604416	572	0.40264542376408813	936	32.0	1.0
792.8703703703703	878.5925925925926	4022.832175342743	644096	640000	1000	397.45917338709677	413.7000504032258	644096	631	0.3934222417883575	1000	32.0	1.0
787.3529411764706	808.9117647058823	4094.853250830549	683648	680960	1064	421.2889360841424	414.15172431229774	683648	665	0.3345280372304842	1064	32.0	1.0
1097.0542635658915	811.6705426356588	4091.5991670317103	723456	721920	1128	465.7802451768489	444.16067122186496	723456	716	0.36786644952371716	1128	32.0	1.0
860.9649122807018	777.8333333333334	3892.371894579822	763520	760960	1188	471.3473442492013	424.01412739616615	763520	780	0.388895033672452	1188	32.0	1.0
1014.4871794871796	773.0160256410255	3839.791911911588	804096	799360	1249	425.45987776025237	380.03159503154575	804096	839	0.3807366010351259	1249	32.0	1.0
1133.7209302325582	798.2209302325581	4021.932664238142	844800	839680	1312	400.10244693396226	381.1236979166667	844800	886	0.36428125935887534	1312	32.0	1.0
944.6739130434783	759.1847826086956	4093.9867322364066	885120	880640	1376	422.9347718253968	408.4660714285714	885120	934	0.3903950478415936	1376	32.0	1.0
767.0731707317074	718.1178861788618	4095.336923764961	924416	921600	1440	470.11756921824104	427.27114719055373	924416	981	0.41194095427636057	1440	32.0	1.0
998.8983050847457	759.9152542372881	4095.3847603946865	963712	962560	1504	475.5051404723127	402.7640726791531	963712	1047	0.3873360203579068	1504	32.0	1.0
1101.923076923077	790.8653846153846	3897.2160463152522	1004160	1001600	1564	448.68992286392404	373.56863132911394	1004160	1103	0.374089386065801	1564	32.0	1.0
1288.25	773.725	3963.677881917777	1044992	1041280	1626	469.59321120689657	393.3895474137931	1044992	1143	0.4428648163955058	1626	32.0	1.0
1042.7536231884058	758.3115942028984	3897.8779685721956	1085312	1080320	1688	469.55257936507934	405.0933779761905	1085312	1195	0.42857843252920336	1688	32.0	1.0
1101.5217391304348	757.5652173913044	4090.061551847829	1124352	1121280	1752	532.0192110655738	419.3059426229508	1124352	1245	0.5519602852873504	1752	32.0	1.0
