local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3583.7198339143897	39936	35840	56	68.61592741935483	79.0	39936	0	3.7602017611996934	56	32.0	1.0
		4092.448004790154	80896	76800	120	154.720703125	236.5	80896	0	0.2897121490095742	120	32.0	1.0
230.0	451.2	4090.446309900048	121728	117760	184	252.23942006269593	394.85486873040753	121728	6	0.5549503444926813	184	32.0	1.0
349.4871794871795	562.4358974358975	4095.792002750257	161664	158720	248	323.2454427083333	505.1607071314103	161664	48	0.39320976787712425	248	32.0	1.0
564.6808510638298	714.0851063829788	4089.1272738654343	201344	199680	312	385.2600806451613	544.3041078629033	201344	98	0.34326312004122883	312	32.0	1.0
913.3720930232558	860.7441860465116	3903.1748463782587	241408	238720	372	406.4376996805112	541.7476787140575	241408	146	0.3693315559377273	372	32.0	1.0
1017.5	940.1739130434783	3839.1626582146323	281856	277120	432	372.38009295886076	521.2411985759494	281856	195	0.3492135958125194	432	32.0	1.0
866.6666666666666	873.5	4026.730300279085	322048	317440	496	334.1677448248408	508.78806727707007	322048	237	0.33766008832026273	496	32.0	1.0
751.1666666666666	848.6666666666667	4093.3403999190664	361856	358400	560	345.8500803858521	532.6939811093248	361856	282	0.39033699908759445	560	32.0	1.0
829.6511627906976	902.046511627907	4095.264487567309	401792	399360	624	350.2361278044872	526.503180088141	401792	332	0.3882406640332192	624	32.0	1.0
698.2170542635658	740.0193798449612	4094.7581891020445	441856	440320	688	361.10772763578274	527.2925818690096	441856	378	0.4418770397314802	688	32.0	1.0
789.047619047619	874.3809523809524	3902.737889844469	482048	479360	749	338.03219546178343	509.28060310509557	482048	426	0.361537619448099	749	32.0	1.0
830.7777777777778	928.2555555555556	3959.007361642098	522624	519040	810	371.65294755520506	501.0849270504732	522624	478	0.4157421344616374	810	32.0	1.0
860.0	855.875	3901.511269235411	562816	558080	872	385.5583200636943	488.5973825636943	562816	528	0.36320648065978484	872	32.0	1.0
935.1041666666666	817.5625	4089.6108605656555	602752	599040	936	386.86147836538464	482.1130809294872	602752	582	0.3866529747610912	936	32.0	1.0
630.8139534883721	762.5116279069767	4091.586499024025	642304	640000	1000	391.33014765372167	473.74954490291265	642304	628	0.4604813386686146	1000	32.0	1.0
1071.1627906976744	999.4302325581396	4024.8943788035567	681856	680320	1062	462.26613066343043	472.2799605582524	681856	675	0.40455074968837923	1062	32.0	1.0
939.1176470588235	807.1960784313726	3839.1338318955604	722432	718720	1122	513.6004041798108	451.78879140378547	722432	732	0.49632546765108904	1122	32.0	1.0
1103.6333333333332	812.14	3897.8366788297494	762368	757760	1184	497.51953125	405.9049479166667	762368	793	0.43688713038159954	1184	32.0	1.0
1166.7045454545455	797.6136363636364	4090.2476406674373	802304	798720	1248	465.8583733974359	390.33731470352564	802304	843	0.4110135396476835	1248	32.0	1.0
