local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3065.8884036676727	33152	30720	48	-2.086302285992218	65.75097276264592	33152	0	0.18567564772092737	48	32.0	1.0
0.0	244.0	3315.020115648921	67072	64000	99	-7.4184846698113205	196.1195754716981	67072	1	0.16030533952346326	99	32.0	1.0
-1.8823529411764706	362.88235294117646	3319.068128162338	100864	97280	152	-12.658380681818182	322.00414299242425	100864	20	0.3835455566504092	152	32.0	1.0
-12.747967479674799	481.0	3261.869517435309	133632	129920	203	-19.853302001953125	402.2184753417969	133632	76	0.4806216274406396	203	32.0	1.0
-25.92767295597484	596.2264150943396	3383.2688306625228	166400	163840	256	-22.368377685546875	396.76800537109375	166400	142	0.3239363480078162	256	32.0	1.0
-35.94956140350877	656.6052631578947	3192.9354761809095	199936	195840	305	-21.236432490458014	367.07848282442745	199936	194	0.40616677929552236	305	32.0	1.0
-24.475609756097562	603.5569105691058	3448.5129773915473	233088	230400	360	-20.119118001930502	373.2394727316602	233088	242	0.25620157501914287	360	32.0	1.0
-23.07010582010582	523.4431216931216	3135.5424861904266	266368	261760	408	-19.318449519230768	361.1741887019231	266368	319	0.32854240682596964	408	32.0	1.0
-17.571428571428573	485.1111111111111	3510.607002980816	298752	296960	464	-16.57250494071146	333.18277544466406	298752	398	0.2071231507164027	464	32.0	1.0
-15.689655172413794	446.41379310344826	3061.806689289436	332672	327680	512	-14.22538325471698	326.50813679245283	332672	467	0.22141927936657643	512	32.0	1.0
-9.354497354497353	400.47089947089944	3509.5055483606698	364416	362880	566	-13.831558719758064	315.5066154233871	364416	554	0.37769919261336327	566	32.0	1.0
-8.49685534591195	360.31446540880506	3133.701819706579	397440	394240	616	-12.893168604651162	332.0529917635659	397440	619	0.23948262063786388	616	32.0	1.0
-5.643849206349206	356.9880952380952	3133.8390480769044	430336	425600	664	-12.780459630350194	349.13828428988325	430336	718	0.32001695192108554	664	32.0	1.0
-7.817401960784315	364.81004901960785	3512.3176759816515	462208	460800	720	-12.53156375502008	343.32090863453817	462208	797	0.26623961981385946	720	32.0	1.0
-7.524853801169591	350.9400584795322	3071.6046895476775	495616	491520	768	-13.333931992337165	384.0419659961686	495616	874	0.19815885002026334	768	32.0	1.0
-8.976525821596242	344.0598591549296	3256.3978636356924	527744	524160	818	-13.393768675298805	376.0035483067729	527744	971	0.2579686916619539	818	32.0	1.0
-6.299019607843138	341.79901960784315	3388.7217261133487	559872	558080	872	-13.328405129482071	400.38050921314743	559872	1053	0.30628487247007863	872	32.0	1.0
-8.391666666666666	329.49642857142857	3061.594690249085	593536	588800	920	-14.212511882129277	428.5580442015209	593536	1138	0.20090607805953672	920	32.0	1.0
-8.840909090909092	356.3787878787879	3571.2291407864914	625664	624640	975	-15.04777763944223	426.8060881474104	625664	1217	0.2753082742745226	975	32.0	1.0
-6.506535947712418	344.702614379085	3063.6886121648836	659712	655360	1024	-16.67613369360902	471.08957941729324	659712	1275	0.23269507802110545	1024	32.0	1.0
-4.734567901234568	376.8333333333333	3448.902797475983	691968	689920	1077	-19.80992683531746	516.9539000496031	691968	1339	0.15066896386022838	1077	32.0	1.0
-6.215909090909091	402.6363636363636	3196.5406852187452	725632	721920	1128	-24.687321768060837	558.6305548954373	725632	1386	0.18718778378531045	1128	32.0	1.0
-7.76	427.24333333333334	3263.2222983814568	758272	754560	1178	-30.344148284313725	605.2723958333333	758272	1442	0.3623502317070961	1178	32.0	1.0
-8.233333333333333	436.21666666666664	3388.4322249329157	791168	788480	1232	-38.33037451361868	659.7401507782101	791168	1474	0.6929748033483824	1232	32.0	1.0
-15.954545454545455	521.5454545454545	3327.3739215138294	824832	821760	1283	-45.065173479087456	736.2993702471483	824832	1497	0.3715608638583445	1283	32.0	1.0
-8.5	494.3076923076923	3317.1837121005533	858368	855040	1336	-52.32204198473283	822.8365636927481	858368	1524	0.4967600479722023	1336	32.0	1.0
-6.5	494.5	3518.214430080101	891904	890240	1390	-56.65356631679389	912.3221314408397	891904	1538	0.37950497210301737	1390	32.0	1.0
-4.625	469.3125	3132.1453657272314	926336	921600	1440	-58.03499651486989	1009.6862511617101	926336	1556	0.0954499920643866	1440	32.0	1.0
-7.9	553.225	3579.937568937989	959104	957440	1496	-58.694183349609375	1110.2348327636719	959104	1577	0.08984983570241768	1496	32.0	1.0
-14.15625	499.5	3065.5048750106703	993408	988160	1544	-58.183535447761194	1175.2922399720148	993408	1612	0.11300148244481534	1544	32.0	1.0
-18.076923076923077	554.5384615384615	3582.511751061666	1026432	1024000	1600	-57.47335271317829	1262.0171996124031	1026432	1625	0.043736744954782934	1600	32.0	1.0
-3.5555555555555554	457.94444444444446	3128.741532449365	1059968	1055360	1648	-57.51264312977099	1364.1236879770993	1059968	1643	0.09148664694900314	1648	32.0	1.0
-8.48	413.76	3514.5061541557975	1093376	1090560	1704	-57.61973180076628	1455.7063577586207	1093376	1668	0.04655524176113041	1704	32.0	1.0
-17.894736842105264	516.3421052631579	3248.9487131463516	1126784	1123200	1754	-57.85269995210728	1544.1933967911878	1126784	1688	0.10940687218680978	1754	32.0	1.0
-9.875	485.125	3388.196189351935	1160704	1157120	1808	-58.465772405660374	1644.631633254717	1160704	1704	0.11581867505554799	1808	32.0	1.0
-2.263157894736842	435.94736842105266	3453.17393759294	1193728	1191680	1861	-58.59468871124031	1744.9056140988373	1193728	1723	0.07625236443050627	1861	32.0	1.0
-8.444444444444445	610.3333333333334	3191.822783536793	1227776	1223680	1912	-60.27058858082707	1833.3088874530076	1227776	1741	0.09577776151983176	1912	32.0	1.0
-12.45	521.15	3582.5243870899353	1260544	1259520	1967	-61.3236083984375	1924.7218627929688	1260544	1761	0.07697730763730677	1967	32.0	1.0
-7.928571428571429	564.1428571428571	3068.6625409333765	1294976	1290240	2016	-61.65430413568773	2017.0228566449814	1294976	1775	0.10520421149095102	2016	32.0	1.0
-6.9523809523809526	379.0238095238095	3578.444172751199	1328256	1326080	2072	-61.91965144230769	2119.247295673077	1328256	1798	0.08674488871890519	2072	32.0	1.0
-18.0	851.2142857142857	3133.7876793578675	1362048	1357440	2120	-62.30788352272727	2213.2621034564395	1362048	1812	0.049062279154895805	2120	32.0	1.0
-69.625	3647.95	3519.4021477627084	1394560	1392640	2176	-58.147237942913385	2101.6393024114172	1394560	1845	0.03393755177135712	2176	32.0	1.0
-3.3333333333333335	557.5833333333334	3199.246393338056	1428864	1424640	2225	-53.88724347014925	1886.1115904850747	1428864	1857	0.032329934478110195	2225	32.0	1.0
-0.6428571428571429	508.35714285714283	3452.4613601238316	1462528	1459200	2280	-54.89516991444867	1992.247385931559	1462528	1871	0.09175363743931732	2280	32.0	1.0
-37.88235294117647	944.3529411764706	3453.5143744483985	1495936	1493760	2334	-55.990930316091955	2078.3610512452105	1495936	1888	0.2509462461910314	2334	32.0	1.0
-28.466666666666665	1011.9333333333333	3192.844481743826	1530112	1525760	2384	-57.0106800093633	2153.386089653558	1530112	1903	0.1682047164067626	2384	32.0	1.0
-32.06	2233.2	3579.265028491714	1562880	1561600	2440	-58.660400390625	2196.2876892089844	1562880	1929	0.07039601174515805	2440	32.0	1.0
