local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3252.580732921924	36224	32640	50	-0.8571508007117438	71.7508896797153	36224	0	0.7280775009281933	50	32.0	1.0
		3899.189303205912	72704	71680	111	-4.545751096491228	213.24912280701756	72704	0	1.190576076629709	111	32.0	1.0
		3575.251922742671	110080	107520	168	-8.536654537671232	357.5	110080	0	1.2564277533899273	168	32.0	1.0
		3580.388116312565	146944	143360	224	-12.55251736111111	502.5	146944	0	1.2873209470084734	224	32.0	1.0
		3578.52535542294	183552	179200	280	-16.356807255244757	646.0	183552	0	1.0273114621107067	280	32.0	1.0
-20.91975308641975	800.6851851851852	3578.2333535306	218880	215040	336	-10.619904891304348	455.8466938405797	218880	205	0.34369693017963854	336	32.0	1.0
-20.25	913.85	3578.5662463062167	255104	250880	392	-4.01995914310954	213.8256128533569	255104	248	0.596607005489724	392	32.0	1.0
-19.2	1031.2	3631.833365044896	291968	287360	448	-5.856987847222222	274.6932779947917	291968	253	0.35916339765701977	448	32.0	1.0
-18.666666666666668	1181.6666666666667	3708.80750879532	328192	324480	507	-9.325833701413428	402.83563383392226	328192	256	0.2256223345964642	507	32.0	1.0
		3769.906837596238	364288	362240	565	-13.134724069148936	539.96875	364288	256	0.13656771895957404	565	32.0	1.0
-21.0	766.6932194616977	3567.8799487607475	400128	398080	621	-15.024051339285714	606.0555803571428	400128	358	0.26368057129106354	621	32.0	1.0
-20.89887640449438	810.0318352059926	3567.29167326677	435968	433920	677	-7.1561662946428575	323.27338169642854	435968	468	0.37090702288384947	677	32.0	1.0
-20.636363636363637	848.3484848484849	3706.670258126322	472704	471040	736	-5.0390897212543555	230.5879518728223	472704	503	0.25939248028700634	736	32.0	1.0
-20.0	935.125	3582.243512628538	509824	506880	792	-7.915436422413793	323.96039870689657	509824	511	0.1935701532555478	792	32.0	1.0
-18.0	1046.0	3577.9821916644864	546816	542720	848	-11.654303633217992	450.92495674740485	546816	512	0.10848169321460384	848	32.0	1.0
