local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3069.904360255174	31872	30720	47	0.0	63.25101214574899	31872	0	0.005111073010026458	47	32.0	1.0
		3068.4993549791393	65536	61440	96	-3.445342205323194	190.7490494296578	65536	0	14.177598274455463	96	32.0	1.0
		3583.17159044951	98560	97280	152	-151.7053355135659	321.0	98560	0	45.4517165680549	152	32.0	1.0
		3064.705302496685	132736	128000	200	-236.49777621722848	452.250936329588	132736	0	3.1101539762845882	200	32.0	1.0
		3577.669161673084	165504	163840	256	-531.3464050292969	583.0	165504	0	3.03265849707116	256	32.0	1.0
		3063.184306677365	198912	194560	304	-452.7052502394636	712.2490421455939	198912	0	0.33379792495785904	304	32.0	1.0
		3441.2319168139793	231168	229120	357	-277.0293898809524	840.5	231168	0	34.905796332917404	357	32.0	1.0
		3190.7022190732528	264448	261120	408	-7.186117788461538	968.5	264448	0	0.1680496448249209	408	32.0	1.0
		3249.075708032008	297344	293760	458	198.27437986381324	1097.750972762646	297344	0	0.16752246379852295	458	32.0	1.0
		3383.0681053927688	330240	327680	512	221.64165856031127	1226.249027237354	330240	0	0.12810769152862053	512	32.0	1.0
		3064.71776755172	363392	358400	560	294.468840492278	1355.2509652509652	363392	0	0.10398478588710229	560	32.0	1.0
		3571.0546306745964	395264	394240	615	316.19321034136544	1482.2489959839359	395264	0	0.10673697862604803	615	32.0	1.0
		3068.524054649246	429184	424960	664	585.0064563679246	1610.7509433962264	429184	0	0.24720998499922606	664	32.0	1.0
		3439.9415418174776	461568	459520	717	914.5366847826087	1740.2490118577075	461568	0	0.21466363131789104	717	32.0	1.0
		3199.567166707423	494592	491520	768	1155.3027797965117	1868.0	494592	0	0.19059729247408755	768	32.0	1.0
		3195.265042699243	527616	523520	817	1197.97265625	1997.0	527616	0	0.00885364201813176	817	32.0	1.0
		3452.0827379724074	560128	558080	872	1308.7010027066929	2125.0	560128	0	0.00793244828554717	872	32.0	1.0
		3065.6444747529586	593536	588800	920	2256.9135237068967	2253.7509578544064	593536	0	0.3907460884268706	920	32.0	1.0
		3517.0528998084865	625664	624000	975	3602.1043326693225	2381.7490039840636	625664	0	7.6237318812784824	975	32.0	1.0
		3134.195614302193	659200	655360	1024	3675.01171875	2510.0	659200	0	0.016237485346061235	1024	32.0	1.0
3839.1902661371996	2694.0	3065.9232746679854	690176	686080	1072	3634.7507425103304	2607.3097882231405	690176	177	0.012029793879870946	1072	32.0	1.0
2840.89231411863	2698.0	3135.379547828508	722176	717440	1121	13.53128125	76.0290625	722176	256	0.02872213577775627	1121	32.0	1.0
		3516.6363807124753	754304	752640	1176	-47.393364043824704	188.9694970119522	754304	256	8.865078518844463	1176	32.0	1.0
		3066.189210372808	787840	783360	1224	-234.4982108778626	317.21875	787840	256	0.391730296832975	1224	32.0	1.0
		3583.8570491589726	820352	819200	1279	-347.0482283464567	446.21875	820352	256	0.23609757894142108	1279	32.0	1.0
		3062.2655633078616	854144	849920	1328	-701.9905894886364	575.71875	854144	256	0.3675897274242372	1328	32.0	1.0
		3455.141466990257	886528	884480	1381	-642.5122282608696	704.9680088932806	886528	256	10.41294972071389	1381	32.0	1.0
		3197.0623306697844	919808	916480	1432	260.1735276442308	833.21875	919808	256	1.8089445229692787	1432	32.0	1.0
		3319.681531699582	952832	949760	1483	561.1327822189922	962.71875	952832	256	0.0979737659697147	1483	32.0	1.0
		3317.8549343269483	986112	983040	1536	570.160576923077	1092.21875	986112	256	0.049625074877491536	1536	32.0	1.0
		3258.2456591795985	1019264	1015680	1586	583.6681346525097	1221.969473938224	1019264	256	0.02134591863490641	1586	32.0	1.0
		3381.4511048147274	1051776	1049600	1640	587.2114603838583	1350.21875	1051776	256	0.010138557620208573	1640	32.0	1.0
		3069.1421142955796	1085440	1080320	1688	588.7437024714828	1479.4680370722433	1085440	256	0.01873840936362588	1688	32.0	1.0
		3576.0085327198767	1117184	1116160	1743	587.015372983871	1607.21875	1117184	256	0.008027263576249508	1743	32.0	1.0
		3063.0787906173937	1150976	1146880	1792	613.1773200757576	1735.21875	1150976	256	0.009814376443890589	1792	32.0	1.0
		3389.2065717891037	1183360	1180800	1844	674.357831027668	1864.4694911067193	1183360	256	0.005854608451884884	1844	32.0	1.0
		3262.683275227552	1216512	1213440	1896	782.9964708011584	1992.468026061776	1216512	256	0.013696104565706965	1896	32.0	1.0
		3263.5297247491744	1249792	1246080	1946	1106.4867487980769	2122.21875	1249792	256	0.04740895513445139	1946	32.0	1.0
		3386.570253457915	1281920	1280000	2000	1631.4205988545816	2249.969497011952	1281920	256	0.128864872717747	2000	32.0	1.0
		3064.0075669316566	1315328	1310720	2048	2571.7270713601533	2377.9680316091954	1315328	256	0.177552682464011	2048	32.0	1.0
		3454.657196133886	1347328	1345280	2101	3823.3204375	2505.71875	1347328	256	0.25528332130667175	2101	32.0	1.0
4296.100778495009	2692.1957326861175	3190.827606094674	1379456	1377280	2152	4027.6777577191233	2612.534673804781	1379456	370	0.19602632710673645	2152	32.0	1.0
4021.640456043956	2695.9224822954816	3063.0999078115206	1410432	1408000	2200	57.48841038223141	98.7654313016529	1410432	512	0.16668382807741486	2200	32.0	1.0
		3067.4580192497847	1443584	1438720	2248	-5.821036438223938	185.37400458494207	1443584	512	1.1162515874990884	2248	32.0	1.0
		3583.7551192719498	1475712	1474560	2303	-160.3199701195219	312.87602714143424	1475712	512	0.8154504911466078	2303	32.0	1.0
		3067.851386480575	1509376	1505280	2352	-270.5878980513308	441.3740197243346	1509376	512	0.26801240900341344	2352	32.0	1.0
		3450.7688523307384	1541888	1539840	2405	-498.84645669291336	570.625	1541888	512	0.2849186507036101	2405	32.0	1.0
		3193.5105016927655	1575424	1571840	2456	-640.9932013358779	699.625	1575424	512	0.4801199667740102	2456	32.0	1.0
		3389.1533659951533	1608320	1605760	2508	641.4543409533073	829.3760031614786	1608320	512	1.0034829379560857	2508	32.0	1.0
		3259.220312085238	1641600	1638400	2560	1311.3792067307693	958.625	1641600	512	0.037238653211926036	2560	32.0	1.0
		3188.992387036847	1674496	1670400	2609	1380.7262281128405	1087.8739968385214	1674496	512	0.03154421116852639	2609	32.0	1.0
		3449.011119269423	1707136	1704960	2664	1384.7386642156862	1215.8760110294118	1707136	512	0.01644646500829946	2664	32.0	1.0
		3068.0888725319733	1740672	1735680	2712	1383.9453125	1345.125	1740672	512	0.01295395995839499	2712	32.0	1.0
		3573.152341360217	1772928	1771520	2768	1383.9453125	1473.625	1772928	512	0.007802188396453857	2768	32.0	1.0
		3061.5396946078426	1806208	1802240	2816	1383.9453125	1601.625	1806208	512	0.00791822501923889	2816	32.0	1.0
		3439.552275648723	1838848	1836800	2869	1383.1519607843138	1730.3739889705882	1838848	512	0.006525591639626138	2869	32.0	1.0
		3197.153337207365	1872256	1868800	2920	1384.7204262452108	1859.3759877873563	1872256	512	0.005626759975783381	2920	32.0	1.0
		3262.414646736865	1905152	1901440	2970	1383.1581347276265	1988.8739968385214	1905152	512	0.005581871015019715	2970	32.0	1.0
		3383.710671063365	1937536	1935360	3024	1384.744935770751	2116.376019021739	1937536	512	0.00460596658349796	3024	32.0	1.0
		3066.4940899986336	1971072	1966080	3072	1383.9453125	2245.125	1971072	512	0.004790647189414206	3072	32.0	1.0
		3572.6912160727816	2002944	2001920	3127	1383.132843875502	2372.8739646084337	2002944	512	0.003911397398703478	3127	32.0	1.0
		3067.114763524722	2036480	2032640	3176	1383.9453125	2500.625	2036480	512	0.0036426928839931377	3176	32.0	1.0
1397.4958333333334	2692.441203703703	3134.74200874588	2068608	2064000	3224	1380.6264628984063	2620.664124750996	2068608	573	0.003116094866224254	3224	32.0	1.0
1055.5431294332027	2695.553060800855	3190.580254946939	2099584	2096000	3274	33.6158638946281	137.50839359504133	2099584	768	0.024750933665782213	3274	32.0	1.0
		3388.6820953462225	2132352	2129920	3328	-18.5731201171875	182.3046875	2132352	768	16.953760061007753	3328	32.0	1.0
		3197.551161327263	2166144	2161920	3377	-232.51559540719697	312.3046875	2166144	768	3.3900171840297326	3377	32.0	1.0
		3455.4343516288213	2198912	2196480	3432	-346.5517578125	442.3046875	2198912	768	0.2641591057858684	3432	32.0	1.0
		3070.011371160911	2231808	2227200	3480	-634.1049671692607	570.5542315175097	2231808	768	0.34692740843941766	3480	32.0	1.0
		3578.2922100538863	2264448	2263040	3536	-684.997794117647	698.5551470588235	2264448	768	0.3314792249085648	3536	32.0	1.0
		3069.2338650385777	2298112	2293760	3584	-152.2763783269962	828.0542419201521	2298112	768	3.8987127454020083	3584	32.0	1.0
		3444.3950203253676	2330368	2328320	3637	1148.8993365575398	956.8046875	2330368	768	0.37478357202039575	3637	32.0	1.0
		3193.207351058099	2363904	2360320	3688	1191.203125	1085.3046875	2363904	768	0.020548671502254756	3688	32.0	1.0
		3260.084296067541	2396672	2392960	3738	1191.203125	1214.8046875	2396672	768	0.013442941391840577	3738	32.0	1.0
		3388.3248952755744	2428800	2426880	3792	1190.7174427290836	1341.5551543824702	2428800	768	0.012320811239381632	3792	32.0	1.0
		3066.9953247543135	2462208	2457600	3840	1191.6701987547892	1469.5542385057472	2462208	768	0.009049106636666693	3840	32.0	1.0
		3518.1341987343635	2494464	2492800	3895	1192.908234126984	1597.8046875	2494464	768	0.006646694331853227	3895	32.0	1.0
		3132.480061583936	2528128	2524160	3944	1262.3294320342206	1726.555133079848	2528128	768	0.012780605050336038	3944	32.0	1.0
		3326.707881019361	2560640	2557440	3996	1794.6451464074803	1855.8046875	2560640	768	28.81328335674838	3996	32.0	1.0
		3317.005327637669	2594176	2590720	4048	2328.6568165553435	1984.8046875	2594176	768	33.74833010273198	4048	32.0	1.0
		3440.1704574203422	2627328	2625280	4101	2252.8132842664095	2115.05423503861	2627328	768	145.49949167183829	4101	32.0	1.0
		3190.997686998673	2660736	2657280	4152	2592.7352430555557	2245.055136494253	2660736	768	0.9379388334266111	4152	32.0	1.0
		3194.8419306036308	2693376	2689280	4201	3065.227389705882	2374.0542279411766	2693376	768	13.172121992828895	4201	32.0	1.0
		3447.6427437533644	2726016	2723840	4256	3018.4699754901962	2501.5551470588234	2726016	768	1.8750674404881218	4256	32.0	1.0
2359.4934820081876	2692.4091072326364	3053.1926337523596	2758400	2754560	4304	2768.6216032608695	2616.4163475790515	2758400	834	0.4284466534542541	4304	32.0	1.0
2742.380512323933	2695.191968320422	3064.2597615966347	2789632	2785280	4352	78.73559170081967	134.89917392418033	2789632	1024	0.2513461911585182	4352	32.0	1.0
		3446.0822630868083	2821888	2819840	4405	0.0	182.6171875	2821888	1024	0.044871238552315056	4405	32.0	1.0
		3194.593804639499	2854784	2851840	4456	0.16555204280155641	309.867765077821	2854784	1024	0.05375825586345266	4456	32.0	1.0
		3071.4609588594876	2887808	2882560	4504	-2.5493883236434107	438.6171875	2887808	1024	0.08694996759489489	4504	32.0	1.0
		3576.7281024709177	2919936	2918400	4560	-6.8229892928286855	565.8665961155378	2919936	1024	0.186754273184176	4560	32.0	1.0
		3071.4838757906778	2952960	2949120	4608	-6.602380087209302	693.1171875	2952960	1024	0.08927172921054687	4608	32.0	1.0
		3261.1080562078796	2985344	2981760	4658	-10.818675889328063	820.8677742094861	2985344	1024	0.27515052922070027	4658	32.0	1.0
		3380.5556255725314	3017856	3015680	4712	-2.293676181102362	947.6171875	3017856	1024	0.1977361822328358	4712	32.0	1.0
		3061.3506439755142	3050624	3046400	4760	12.222412109375	1075.1171875	3050624	1024	0.0886151473193119	4760	32.0	1.0
		3390.263202061112	3083008	3080320	4812	17.88972949604743	1202.3666007905138	3083008	1024	0.0649555065543749	4812	32.0	1.0
		3262.1210331430507	3115392	3112960	4864	15.836215415019764	1328.8677742094862	3115392	1024	0.11315526533424138	4864	32.0	1.0
		3068.3554763442044	3148544	3143680	4912	14.996289816602317	1456.8666143822393	3148544	1024	0.08566042749832074	4912	32.0	1.0
		3515.7940939793702	3180544	3178880	4966	11.45978125	1584.1171875	3180544	1024	0.019313486124802794	4966	32.0	1.0
		3127.6206125385243	3213184	3210240	5016	5.945680147058823	1710.3677696078432	3213184	1024	0.009894491061568261	5016	32.0	1.0
		3125.5236968999843	3246208	3241600	5064	3.074703246124031	1838.6171875	3246208	1024	0.00929758689017035	5064	32.0	1.0
		3454.677944286257	3277696	3276160	5118	1.360645325203252	1964.6171875	3277696	1024	0.008422907653126728	5118	32.0	1.0
		3134.4902626922867	3310720	3307520	5168	1.512294089147287	2090.6171875	3310720	1024	0.009744859705679119	5168	32.0	1.0
		3133.409334923828	3343488	3338880	5216	1.5546875	2219.1171875	3343488	1024	0.005238443777974074	5216	32.0	1.0
		3506.22805958024	3375872	3374080	5272	2.093070652173913	2346.366600790514	3375872	1024	0.011648045493140151	5272	32.0	1.0
		3062.7093596468935	3409152	3404800	5320	3.069110576923077	2474.6171875	3409152	1024	0.01031849579885602	5320	32.0	1.0
		3318.5045745846223	3441152	3438080	5371	4.7453125	2602.1171875	3441152	1024	0.011677321446055145	5371	32.0	1.0
12.245977117156787	2694.3441159295385	2879.557181744045	3471616	3466880	5416	1.635110294117647	712.4794511554621	3471616	1280	0.015455811253438393	5416	32.0	1.0
		3509.7006871776607	3503104	3502080	5471	0.2223069105691057	150.8515625	3503104	1280	0.008585577809505841	5471	32.0	1.0
		3066.6212992072706	3536384	3532800	5520	0.42265625	277.3515625	3536384	1280	0.06454632077983828	5520	32.0	1.0
		3196.062666081926	3568896	3564800	5569	-1.9103407972440944	405.8515625	3568896	1280	0.21795256952850187	5569	32.0	1.0
		3455.7515895118145	3600640	3599360	5624	-6.9794921875	531.3515625	3600640	1280	0.17412800199606202	5624	32.0	1.0
		3060.8055175020613	3634176	3630080	5672	-2.3055224236641223	658.8515625	3634176	1280	0.07403683476150036	5672	32.0	1.0
		3379.2811593784304	3666560	3664000	5724	6.723598073122529	787.6017786561265	3666560	1280	0.3359590768814087	5724	32.0	1.0
		3257.4338806896976	3699584	3696640	5776	5.223171027131783	915.3515625	3699584	1280	0.7456126645064125	5776	32.0	1.0
		3120.812773285066	3732608	3728000	5824	24.71293604651163	1044.3515625	3732608	1280	0.24948942969786003	5824	32.0	1.0
		3514.1490391730877	3764864	3763200	5880	19.713727678571427	1171.8515625	3764864	1280	0.109825029545131	5880	32.0	1.0
		3064.0285512087844	3797888	3793920	5928	11.498304263565892	1299.3515625	3797888	1280	0.0763495529924209	5928	32.0	1.0
		3389.7904920038964	3830400	3827840	5980	4.6504982775590555	1427.3515625	3830400	1280	0.04697568873122621	5980	32.0	1.0
		3258.8075745057054	3862912	3860480	6032	-2.343503937007874	1554.3515625	3862912	1280	0.023694357718341053	6032	32.0	1.0
		3070.2371937727826	3895808	3891200	6080	-5.04939810311284	1682.1013497081713	3895808	1280	0.01969187636859715	6080	32.0	1.0
		3453.901375852499	3927808	3925760	6133	-5.2734375	1808.8515625	3927808	1280	0.009806531270579347	6133	32.0	1.0
		3196.997068083494	3960704	3957760	6184	-5.32724343385214	1935.6017752918287	3960704	1280	0.00870443730815953	6184	32.0	1.0
		3133.773418863879	3993856	3989120	6233	-5.220047055984556	2064.6013513513512	3993856	1280	0.007030564170254737	6233	32.0	1.0
		3511.6683877800756	4025984	4024320	6288	-5.328529631474104	2192.101780378486	4025984	1280	0.006650232261216099	6288	32.0	1.0
		3064.0619226303847	4059136	4055040	6336	-5.220047055984556	2319.6013513513512	4059136	1280	0.006655742773242916	6336	32.0	1.0
		3388.796308726463	4091648	4088960	6389	-5.2734375	2447.8515625	4091648	1280	0.005237288193179751	6389	32.0	1.0
		3258.6961843081003	4124416	4121600	6440	-5.2734375	2575.3515625	4124416	1280	0.004991797415320487	6440	32.0	1.0
2.6924489253436628	2694.3486644157138	3060.8381643554094	4154752	4152320	6488	-1.8445741033755274	1265.3286853902953	4154752	1536	0.01146966289767685	6488	32.0	1.0
		3068.5643934270065	4188032	4183040	6536	3.2421875	128.5390625	4188032	1536	0.04028172456310131	6536	32.0	1.0
		3572.6343267261414	4220288	4218880	6592	14.109002976190476	256.5390625	4220288	1536	0.0638893475074188	6592	32.0	1.0
		3065.8935102499418	4253312	4249600	6640	18.715297965116278	384.0390625	4253312	1536	0.07439258030596345	6640	32.0	1.0
		3196.175687955005	4285696	4281600	6689	39.96325345849802	511.78955657114625	4285696	1536	0.15848393713561248	6689	32.0	1.0
		3455.6635215324895	4317696	4316160	6744	54.55	637.5390625	4317696	1536	0.08324409980665554	6744	32.0	1.0
		3063.4984220069327	4350464	4346880	6792	61.1478271484375	764.0390625	4350464	1536	0.04049683020760616	6792	32.0	1.0
		3262.0536424051566	4383104	4379520	6842	65.46047794117646	891.7885723039216	4383104	1536	0.07361348014324903	6842	32.0	1.0
		3390.960310230504	4415232	4413440	6896	64.63184760956176	1018.2895605079681	4415232	1536	0.22838243186749793	6896	32.0	1.0
		3060.881936953191	4447872	4444160	6944	60.48164828431373	1144.7885723039215	4447872	1536	0.2310643120047947	6944	32.0	1.0
		3327.509398505202	4480640	4477440	6996	60.698974609375	1272.5390625	4480640	1536	0.16463259879786235	6996	32.0	1.0
		3326.5235556957045	4513024	4510720	7048	60.675981966403164	1399.7895565711462	4513024	1536	0.09457158526548973	7048	32.0	1.0
		3126.7721432927765	4546688	4542080	7096	56.58875950570342	1528.7885872148288	4546688	1536	0.0339624160163415	7096	32.0	1.0
		3516.878472524282	4578944	4577280	7152	48.21943204365079	1657.5390625	4578944	1536	0.03626206370037315	7152	32.0	1.0
		3065.5032704898395	4612224	4608000	7200	43.62430889423077	1785.5390625	4612224	1536	0.048014304804382846	7200	32.0	1.0
		3383.337299919708	4644480	4641920	7252	40.54265873015873	1913.5390625	4644480	1536	0.03492484678729223	7252	32.0	1.0
		3263.7070346597316	4677376	4674560	7304	36.188290369649806	2040.7895488813228	4677376	1536	0.058272911190914996	7304	32.0	1.0
		3068.729486542274	4710400	4705280	7352	27.459453730620154	2169.5390625	4710400	1536	0.07458255591336638	7352	32.0	1.0
		3575.6853863854512	4742144	4741120	7407	21.167464717741936	2296.0390625	4742144	1536	0.04972000519999049	7407	32.0	1.0
		3067.384557085461	4775040	4771840	7456	17.41381930933852	2422.288576118677	4775040	1536	0.03168115177552919	7456	32.0	1.0
		3125.2658549832577	4807808	4803200	7504	16.36328125	2550.5390625	4807808	1536	0.017865341001500685	7504	32.0	1.0
25.95697988286224	2694.020650581446	3000.1145052099737	4837760	4833280	7552	11.477530715811966	1823.505876068376	4837760	1792	0.061908712630004935	7552	32.0	1.0
		3517.040667552012	4870144	4868480	7607	0.0	100.64519515810277	4870144	1792	0.02174221421168609	7607	32.0	1.0
		3135.730559040671	4902912	4899840	7656	0.0	227.89453125	4902912	1792	0.02024071128582772	7656	32.0	1.0
