local/mean_episode_return	local/mean_episode_step	local/SPS	local/env_act_steps	local/env_train_steps	local/optimizer_steps	local/running_reward	local/running_step	local/steps_done	local/episodes_done	local/unclipped_grad_norm	local/model_version	local/virtual_batch_size	local/num_gradients
		0.0	256	0	0	0.0	1.0	256	0		0		
		3061.9232503428975	32384	30720	48	0.0	64.25099601593625	32384	0	0.029590756583881255	48	32.0	1.0
		3070.083057279894	65280	61440	96	-0.16445768482490272	191.24902723735408	65280	0	0.07259541185339913	96	32.0	1.0
		3326.278613005307	97920	94720	148	-0.26403186274509804	319.25098039215686	97920	0	0.10297517375483249	148	32.0	1.0
		3320.5031260364945	130688	128000	200	0.23760986328125	447.0	130688	0	0.07998116704850243	200	32.0	1.0
		3071.267240255517	163840	158720	248	2.077551882239382	575.7490347490348	163840	0	0.25001436883273226	248	32.0	1.0
		3508.5315137133216	195456	193920	302	12.85355516194332	702.251012145749	195456	0	0.058740587810192396	302	32.0	1.0
		3126.048869445283	228352	225280	352	35.63357247081712	828.2490272373541	228352	0	0.059115374907851216	352	32.0	1.0
		3120.578510477157	261248	256640	400	42.784472276264594	956.7509727626459	261248	0	0.009239276988713149	400	32.0	1.0
		3510.930251986195	293760	291840	456	43.38533464566929	1084.5	293760	0	0.012173424482170958	456	32.0	1.0
		3061.7665279859234	326656	322560	504	43.31514469844358	1212.249027237354	326656	0	0.00393933500466422	504	32.0	1.0
		3255.121473150935	358784	355200	554	43.644266683266935	1339.2509960159362	358784	0	0.0003812106855912134	554	32.0	1.0
		3386.156034544169	391424	389120	608	43.613786764705885	1465.7490196078431	391424	0	0.00014820432719446857	608	32.0	1.0
		3069.3931807545464	423808	419840	656	43.91588438735178	1592.7509881422925	423808	0	0.0003832687760526217	656	32.0	1.0
		3252.8060861190716	456064	452480	706	42.81045386904762	1719.0	456064	0	0.0012059475370188011	706	32.0	1.0
		3389.3871125484193	488192	486400	760	41.50946215139442	1844.7490039840638	488192	0	0.0014250285840481174	760	32.0	1.0
		3063.694949815296	521216	517120	808	40.81916182170543	1972.0	521216	0	0.0007841380123257599	808	32.0	1.0
		3263.360057438077	553344	549760	858	39.980017430278885	2099.2509960159364	553344	0	0.0004278441841597669	858	32.0	1.0
		3380.787544931467	585600	583680	912	40.75892857142857	2225.0	585600	0	0.001958843442278319	912	32.0	1.0
		3065.811369290534	618496	614400	960	41.12086575875487	2352.2490272373543	618496	0	0.0014481293090587617	960	32.0	1.0
		3256.1950144297907	650624	647040	1010	42.457295816733065	2479.2509960159364	650624	0	0.013438962658401579	1010	32.0	1.0
		3386.8870917112117	682880	680960	1064	50.71062748015873	2605.0	682880	0	0.04146372891436503	1064	32.0	1.0
144.81610307799355	2695.5	2930.2533988884525	712448	710400	1109	16.65631764069264	680.2190205627705	712448	256	0.06600862768892612	1109	32.0	1.0
		3194.5107750754064	745088	742400	1160	-0.0944546568627451	151.90716911764707	745088	256	0.007957228634611466	1160	32.0	1.0
		3061.3895578378942	777984	773120	1208	-2.009393239299611	279.90533803501944	777984	256	1.4742544111213647	1208	32.0	1.0
		3518.130174688002	809984	808320	1263	-4.654625	406.65625	809984	256	0.14062662503089418	1263	32.0	1.0
		3135.247639954182	842624	839680	1312	-10.42251838235294	532.9071691176471	842624	256	0.16036263735470724	1312	32.0	1.0
		3068.578278396592	875648	870400	1360	-18.779614825581394	661.15625	875648	256	0.05360619418206625	1360	32.0	1.0
		3573.94952805438	907264	906240	1415	-18.917098937246962	787.4053011133603	907264	256	0.038814907766539945	1415	32.0	1.0
		3071.2674598772855	940416	936960	1464	-0.3326496138996139	913.9071549227799	940416	256	0.068292828979997	1464	32.0	1.0
		3256.012479494747	973184	969600	1514	10.28863525390625	1042.65625	973184	256	0.037307399455457926	1514	32.0	1.0
		3391.530282034675	1004800	1003520	1568	10.201575151821862	1168.4053011133603	1004800	256	0.007644369801036427	1568	32.0	1.0
		3062.1011649405214	1037696	1034240	1616	10.174428501945526	1294.4071619649806	1037696	256	0.021379342447592837	1616	32.0	1.0
		3312.090954868471	1070592	1067520	1667	9.349829766536965	1422.9053380350194	1070592	256	0.05711460329007869	1667	32.0	1.0
		3325.1167761794836	1102976	1100800	1720	6.970263092885376	1550.4071763833992	1102976	256	0.0066780486860189515	1720	32.0	1.0
		3071.418493884565	1136000	1131520	1768	6.483375726744186	1678.15625	1136000	256	0.004096841343804651	1768	32.0	1.0
		3376.8317656917607	1168000	1165440	1820	5.86484375	1805.15625	1168000	256	0.003208813799294428	1820	32.0	1.0
		3259.101910875941	1200640	1198080	1872	4.619270833333333	1931.405330882353	1200640	256	0.005834751098658531	1872	32.0	1.0
		3065.524202325377	1233408	1228800	1920	1.9173583984375	2059.15625	1233408	256	0.005733631607048058	1920	32.0	1.0
		3442.4410155883015	1265408	1263360	1973	1.58984375	2185.65625	1265408	256	0.007887125981725612	1973	32.0	1.0
		3189.1036969993215	1298048	1295360	2024	2.163419117647059	2311.907169117647	1298048	256	0.027826759649221513	2024	32.0	1.0
		3069.9728961143996	1330816	1326080	2072	1.267242431640625	2439.65625	1330816	256	0.03898315589564542	2072	32.0	1.0
		3452.4995969448073	1362688	1360640	2125	6.48054718875502	2565.90530873494	1362688	256	0.03967433781275209	2125	32.0	1.0
13.625103609336822	2694.3513084792803	2869.978997845329	1393024	1389440	2170	4.136998945147679	1506.856276371308	1393024	512	0.03368624401692715	2170	32.0	1.0
		3387.7880262802496	1425664	1423360	2224	0.0	116.17420343137255	1425664	512	0.002171898878360581	2224	32.0	1.0
		3071.8198347856146	1458048	1454080	2272	-1.2012104743083003	243.17737154150197	1458048	512	0.003713906593475258	2272	32.0	1.0
		3378.227431823442	1490560	1488000	2324	-3.0286355807086616	369.92578125	1490560	512	0.018441682956808318	2324	32.0	1.0
		3260.1722568800437	1523072	1520640	2376	0.15375861220472442	496.92578125	1523072	512	0.08798750676214695	2376	32.0	1.0
		3065.62354127492	1555968	1551360	2424	3.9568032587548636	624.6742157101168	1555968	512	0.030541551212081686	2424	32.0	1.0
		3391.8588849603116	1587840	1585280	2476	20.014903363453815	751.1773970883534	1587840	512	0.06208032151111043	2476	32.0	1.0
		3262.2325021359675	1620096	1617920	2528	36.11656746031746	876.42578125	1620096	512	0.023607927235738877	2528	32.0	1.0
		3061.5503880500114	1653376	1648640	2576	36.4296875	1004.42578125	1653376	512	0.005221258785847264	2576	32.0	1.0
		3512.944719211763	1685504	1683840	2630	36.44749128486056	1132.1741782868526	1685504	512	0.0031786577062491604	2630	32.0	1.0
		3134.166712614839	1718272	1715200	2680	36.4296875	1258.92578125	1718272	512	0.004586272537708282	2680	32.0	1.0
		3131.096091429184	1751296	1746560	2728	36.4296875	1387.42578125	1751296	512	0.0034071218287863303	2728	32.0	1.0
